,harmonised_code,harmonised_name,nuts_3_code,nuts_3_name,nuts_2_code,nuts_2_name,nuts_1_code,nuts_1_name
2807,KSH_30872,Megyehíd,HU222,Vas,HU22,Nyugat-Dunántúl,HU2,Dunántúl
2808,KSH_30881,Répcelak,HU222,Vas,HU22,Nyugat-Dunántúl,HU2,Dunántúl
2809,KSH_30890,Felsőszenterzsébet,HU223,Zala,HU22,Nyugat-Dunántúl,HU2,Dunántúl
2810,KSH_30906,Gasztony,HU222,Vas,HU22,Nyugat-Dunántúl,HU2,Dunántúl
2811,KSH_30915,Vanyarc,HU313,Nógrád,HU31,Észak-Magyarország,HU3,Alföld és Észak
2812,KSH_30924,Csabrendek,HU213,Veszprém,HU21,Közép-Dunántúl,HU2,Dunántúl
2813,KSH_30933,Nagykanizsa,HU223,Zala,HU22,Nyugat-Dunántúl,HU2,Dunántúl
2814,KSH_30942,Gersekarát,HU222,Vas,HU22,Nyugat-Dunántúl,HU2,Dunántúl
2815,KSH_30951,Hegyhátmaróc,HU231,Baranya,HU23,Dél-Dunántúl,HU2,Dunántúl
2816,KSH_30960,Gyékényes,HU232,Somogy,HU23,Dél-Dunántúl,HU2,Dunántúl
2817,KSH_30979,Levelek,HU323,Szabolcs-Szatmár-Bereg,HU32,Észak-Alföld,HU3,Alföld és Észak
2818,KSH_30988,Érd,HU120,Pest,HU12,Pest,HU1,Közép-Magyarország
2819,KSH_30997,Semjénháza,HU223,Zala,HU22,Nyugat-Dunántúl,HU2,Dunántúl
2820,KSH_31006,Bózsva,HU311,Borsod-Abaúj-Zemplén,HU31,Észak-Magyarország,HU3,Alföld és Észak
2821,KSH_31015,Szalaszend,HU311,Borsod-Abaúj-Zemplén,HU31,Észak-Magyarország,HU3,Alföld és Észak
2822,KSH_31024,Kistelek,HU333,Csongrád-Csanád,HU33,Dél-Alföld,HU3,Alföld és Észak
2823,KSH_31033,Mezőpeterd,HU321,Hajdú-Bihar,HU32,Észak-Alföld,HU3,Alföld és Észak
2824,KSH_31042,Tépe,HU321,Hajdú-Bihar,HU32,Észak-Alföld,HU3,Alföld és Észak
2825,KSH_31051,Vámoscsalád,HU222,Vas,HU22,Nyugat-Dunántúl,HU2,Dunántúl
2826,KSH_31060,Szava,HU231,Baranya,HU23,Dél-Dunántúl,HU2,Dunántúl
2827,KSH_31079,Öttömös,HU333,Csongrád-Csanád,HU33,Dél-Alföld,HU3,Alföld és Észak
2828,KSH_31088,Székely,HU323,Szabolcs-Szatmár-Bereg,HU32,Észak-Alföld,HU3,Alföld és Észak
2829,KSH_31097,Hajdúsámson,HU321,Hajdú-Bihar,HU32,Észak-Alföld,HU3,Alföld és Észak
2830,KSH_31103,Balinka,HU211,Fejér,HU21,Közép-Dunántúl,HU2,Dunántúl
2831,KSH_31112,Pölöskefő,HU223,Zala,HU22,Nyugat-Dunántúl,HU2,Dunántúl
2832,KSH_31121,Sántos,HU232,Somogy,HU23,Dél-Dunántúl,HU2,Dunántúl
2833,KSH_31130,Körösszakál,HU321,Hajdú-Bihar,HU32,Észak-Alföld,HU3,Alföld és Észak
2834,KSH_31149,Csonkahegyhát,HU223,Zala,HU22,Nyugat-Dunántúl,HU2,Dunántúl
2835,KSH_31158,Nyírbogát,HU323,Szabolcs-Szatmár-Bereg,HU32,Észak-Alföld,HU3,Alföld és Észak
2836,KSH_31167,Hollóháza,HU311,Borsod-Abaúj-Zemplén,HU31,Észak-Magyarország,HU3,Alföld és Észak
2837,KSH_31185,Kisvejke,HU233,Tolna,HU23,Dél-Dunántúl,HU2,Dunántúl
2838,KSH_31194,Lövő,HU221,Győr-Moson-Sopron,HU22,Nyugat-Dunántúl,HU2,Dunántúl
2839,KSH_31200,Hernádnémeti,HU311,Borsod-Abaúj-Zemplén,HU31,Észak-Magyarország,HU3,Alföld és Észak
2840,KSH_31219,Somogyaszaló,HU232,Somogy,HU23,Dél-Dunántúl,HU2,Dunántúl
2841,KSH_31228,Végegyháza,HU332,Békés,HU33,Dél-Alföld,HU3,Alföld és Észak
2842,KSH_31237,Szatmárcseke,HU323,Szabolcs-Szatmár-Bereg,HU32,Észak-Alföld,HU3,Alföld és Észak
2843,KSH_31246,Visonta,HU312,Heves,HU31,Észak-Magyarország,HU3,Alföld és Észak
2844,KSH_31255,Pápateszér,HU213,Veszprém,HU21,Közép-Dunántúl,HU2,Dunántúl
2845,KSH_31264,Vértesszőlős,HU212,Komárom-Esztergom,HU21,Közép-Dunántúl,HU2,Dunántúl
2846,KSH_31273,Szamosújlak,HU323,Szabolcs-Szatmár-Bereg,HU32,Észak-Alföld,HU3,Alföld és Észak
2847,KSH_31282,Mikófalva,HU312,Heves,HU31,Észak-Magyarország,HU3,Alföld és Észak
2848,KSH_31291,Bocska,HU223,Zala,HU22,Nyugat-Dunántúl,HU2,Dunántúl
2849,KSH_31307,Adorjánháza,HU213,Veszprém,HU21,Közép-Dunántúl,HU2,Dunántúl
2850,KSH_31316,Győrság,HU221,Győr-Moson-Sopron,HU22,Nyugat-Dunántúl,HU2,Dunántúl
2851,KSH_31325,Szabadkígyós,HU332,Békés,HU33,Dél-Alföld,HU3,Alföld és Észak
2852,KSH_31334,Csabacsűd,HU332,Békés,HU33,Dél-Alföld,HU3,Alföld és Észak
2853,KSH_31343,Mosdós,HU232,Somogy,HU23,Dél-Dunántúl,HU2,Dunántúl
2854,KSH_31352,Darány,HU232,Somogy,HU23,Dél-Dunántúl,HU2,Dunántúl
2855,KSH_31361,Kóka,HU120,Pest,HU12,Pest,HU1,Közép-Magyarország
2856,KSH_31370,Pusztacsalád,HU221,Győr-Moson-Sopron,HU22,Nyugat-Dunántúl,HU2,Dunántúl
2857,KSH_31389,Lothárd,HU231,Baranya,HU23,Dél-Dunántúl,HU2,Dunántúl
2858,KSH_31398,Tyukod,HU323,Szabolcs-Szatmár-Bereg,HU32,Észak-Alföld,HU3,Alföld és Észak
2859,KSH_31404,Kállósemjén,HU323,Szabolcs-Szatmár-Bereg,HU32,Észak-Alföld,HU3,Alföld és Észak
2860,KSH_31413,Keszeg,HU313,Nógrád,HU31,Észak-Magyarország,HU3,Alföld és Észak
2861,KSH_31422,Bana,HU212,Komárom-Esztergom,HU21,Közép-Dunántúl,HU2,Dunántúl
2862,KSH_31431,Husztót,HU231,Baranya,HU23,Dél-Dunántúl,HU2,Dunántúl
2863,KSH_31440,Fertőszéplak,HU221,Győr-Moson-Sopron,HU22,Nyugat-Dunántúl,HU2,Dunántúl
2864,KSH_31459,Tevel,HU233,Tolna,HU23,Dél-Dunántúl,HU2,Dunántúl
2865,KSH_31468,Fülöpháza,HU331,Bács-Kiskun,HU33,Dél-Alföld,HU3,Alföld és Észak
2866,KSH_31477,Nyírjákó,HU323,Szabolcs-Szatmár-Bereg,HU32,Észak-Alföld,HU3,Alföld és Észak
2867,KSH_31486,Nagyréde,HU312,Heves,HU31,Észak-Magyarország,HU3,Alföld és Észak
2868,KSH_31501,Dunaföldvár,HU233,Tolna,HU23,Dél-Dunántúl,HU2,Dunántúl
2869,KSH_31510,Szegilong,HU311,Borsod-Abaúj-Zemplén,HU31,Észak-Magyarország,HU3,Alföld és Észak
2870,KSH_31529,Kerecseny,HU223,Zala,HU22,Nyugat-Dunántúl,HU2,Dunántúl
2871,KSH_31538,Sárszentágota,HU211,Fejér,HU21,Közép-Dunántúl,HU2,Dunántúl
2872,KSH_31556,Nemesmedves,HU222,Vas,HU22,Nyugat-Dunántúl,HU2,Dunántúl
2873,KSH_31565,Mónosbél,HU312,Heves,HU31,Észak-Magyarország,HU3,Alföld és Észak
2874,KSH_31574,Kevermes,HU332,Békés,HU33,Dél-Alföld,HU3,Alföld és Észak
2875,KSH_31583,Szentgotthárd,HU222,Vas,HU22,Nyugat-Dunántúl,HU2,Dunántúl
2876,KSH_31592,Rédics,HU223,Zala,HU22,Nyugat-Dunántúl,HU2,Dunántúl
2877,KSH_31608,Zemplénagárd,HU311,Borsod-Abaúj-Zemplén,HU31,Észak-Magyarország,HU3,Alföld és Észak
2878,KSH_31617,Zalamerenye,HU223,Zala,HU22,Nyugat-Dunántúl,HU2,Dunántúl
2879,KSH_31626,Kunsziget,HU221,Győr-Moson-Sopron,HU22,Nyugat-Dunántúl,HU2,Dunántúl
2880,KSH_31635,Iván,HU221,Győr-Moson-Sopron,HU22,Nyugat-Dunántúl,HU2,Dunántúl
2881,KSH_31644,Fiad,HU232,Somogy,HU23,Dél-Dunántúl,HU2,Dunántúl
2882,KSH_31653,Albertirsa,HU120,Pest,HU12,Pest,HU1,Közép-Magyarország
2883,KSH_31662,Mezőtárkány,HU312,Heves,HU31,Észak-Magyarország,HU3,Alföld és Észak
2884,KSH_31671,Felsőtelekes,HU311,Borsod-Abaúj-Zemplén,HU31,Észak-Magyarország,HU3,Alföld és Észak
