Land;Statistische Kennziffer;Kreisfreie Stadt bzw. Stadtkreis, Landkreis bzw. Kreis;Wahlberechtigte;Wähler;Ungültige;Gültige;SPD;CDU;CSU;GRÜNE;FDP;PDS;Deutschland;APPD;APD;BP;BüSo;BfB;CHANCE 2000;CM;DPD;GRAUE;REP;FAMILIE;DIE FRAUEN;HP;MLPD;Die Tierschutzpartei;NPD;NATURGESETZ;FORUM;ödp;PBC;AB 2000;PASS;DKP;DSU;ZENTRUM;DMP;FP Deutschland;FSU;STATT Partei;Einzelbewerber;Ungültige;Gültige;SPD;CDU;CSU;GRÜNE;FDP;PDS;Deutsch-land;APPD;APD;BP;BüSo;BfB;CHANCE 2000;CM;DPD;DVU;GRAUE;REP;FAMILIE;DIE FRAUEN;HP;Pro DM;MLPD;Die Tier-schutzpartei;NPD;NATUR-GESETZ;FORUM;ödp;PBC;AB 2000;Nicht-wähler;PASS;PSG
;;;;;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen
NI;03152;Göttingen;200220;168799;1625;167174;80582;66070;0;12481;3029;2333;0;0;0;0;0;0;0;0;0;694;1722;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;263;1254;167545;79269;51802;0;17678;11033;2891;0;229;0;0;0;171;0;55;0;798;406;1087;0;0;0;1150;0;429;236;86;0;65;144;0;0;0;16
NI;03153;Goslar;123789;103198;1152;102046;52899;38568;0;3339;3060;1285;0;0;0;0;0;0;0;0;0;0;1232;0;0;0;0;0;0;0;0;0;231;0;0;0;0;0;0;0;0;0;1432;888;102310;52244;34687;0;4287;6433;1182;0;104;0;0;0;55;0;18;0;784;128;771;0;0;0;883;0;294;162;43;0;21;189;0;0;0;25
NI;03154;Helmstedt;78842;66031;712;65319;34665;25378;0;2240;1115;759;0;0;0;0;0;0;0;0;0;0;549;0;0;0;0;0;613;0;0;0;0;0;0;0;0;0;0;0;0;0;0;506;65525;34206;22065;0;2700;3516;626;0;78;0;0;0;56;0;20;0;415;80;445;0;0;0;665;0;202;337;35;0;9;63;0;0;0;7
NI;03155;Northeim;119476;102430;1114;101316;57146;34546;0;3097;3500;873;0;0;0;0;0;0;0;0;0;0;1969;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;185;882;101548;55534;30996;0;4465;6204;919;0;120;0;0;0;73;0;28;0;388;115;1483;0;0;0;692;0;258;118;40;0;17;83;0;0;0;15
NI;03156;Osterode am Harz;69353;58008;750;57258;32403;20043;0;1572;1396;590;0;0;0;0;0;0;0;0;0;0;1024;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;210;551;57457;31106;18252;0;2199;3049;644;0;75;0;0;0;43;0;16;0;420;82;701;0;0;0;522;0;175;91;18;0;9;44;0;0;0;11
NI;03157;Peine;99298;85351;889;84462;50442;27130;0;2915;1595;553;0;0;0;0;0;458;0;0;0;0;1059;0;0;0;0;0;0;0;0;0;155;0;0;0;0;0;0;0;0;0;155;711;84640;49458;23874;0;3628;4315;611;0;115;0;0;0;216;0;15;0;499;137;761;0;0;0;592;0;166;88;36;0;16;100;0;0;0;13
NI;03158;Wolfenbüttel;96876;82649;1392;81257;46463;29041;0;2721;1376;543;0;0;0;0;0;0;0;0;0;0;949;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;164;1074;81575;43080;26973;0;4009;4414;673;0;89;0;0;0;87;0;17;0;422;96;742;0;0;0;539;0;206;83;39;0;18;83;0;0;0;5
NI;03201;Hannover, Landeshauptstadt;373241;310777;3167;307610;166294;101320;0;21015;7269;4037;0;0;0;0;63;0;0;0;0;691;4907;0;0;0;103;0;0;293;0;403;665;0;0;145;0;0;0;0;0;0;405;2452;308325;153411;86933;0;32613;20312;4532;0;500;0;0;0;264;0;98;0;2567;836;3046;0;0;0;1327;0;628;257;226;0;176;564;0;0;0;35
NI;03251;Diepholz;160150;132971;1191;131780;63763;50003;0;6488;8603;1257;0;0;0;0;0;0;0;0;0;0;1666;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;869;132102;65318;42183;0;7732;11527;1350;0;130;0;0;0;145;0;36;0;759;149;1161;0;0;0;908;0;325;126;77;0;29;130;0;0;0;17
NI;03252;Hameln-Pyrmont;125019;105294;1457;103837;56880;38460;0;4031;2767;1361;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;338;912;104382;54570;33628;0;5075;6637;965;0;79;0;0;0;100;0;40;0;1025;135;993;0;0;0;389;0;347;183;65;0;30;107;0;0;0;14
