Land;Statistische Kennziffer;Kreisfreie Stadt bzw. Stadtkreis, Landkreis bzw. Kreis;Wahlberechtigte;Wähler;Ungültige;Gültige;SPD;CDU;CSU;GRÜNE;FDP;Die Linke.;Offensive D;REP;NPD;Die Tierschutzpartei;GRAUE;PBC;DIE FRAUEN;FAMILIE;BüSo;BP;ZENTRUM;Deutschland;AGFG;APPD;MLPD;DIE PARTEI;CM;DSU;HP;HUMANWIRTSCHAFTSPARTEI;STATT Partei;UNABHÄNGIGE;Übrige;Ungültige;Gültige;SPD;CDU;CSU;GRÜNE;FDP;Die Linke.;Offensive D;REP;NPD;Die Tierschutzpartei;GRAUE;PBC;DIE FRAUEN;FAMILIE;BüSo;BP;ZENTRUM;Deutschland;AGFG;APPD;50plus;MLPD;Die Partei;PSG;Pro DM
;;;;;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen
NI;03155;Northeim;116702;93185;1448;91737;48488;31994;0;2993;3480;3464;0;0;1318;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1369;91816;43898;27590;0;5273;8479;4075;0;0;1317;553;292;161;0;0;42;0;0;0;0;0;0;30;0;0;106
NI;03156;Osterode am Harz;66805;52131;806;51325;26165;18378;0;1581;1881;2168;0;0;908;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;205;39;764;51367;24399;15947;0;2575;4328;2529;0;0;896;345;167;82;0;0;28;0;0;0;0;0;0;15;0;0;56
NI;03157;Peine;103478;84058;1143;82915;46001;27303;0;2433;2431;3139;0;0;1000;0;0;310;0;0;0;0;0;0;298;0;0;0;0;0;0;0;0;0;0;997;83061;42216;24052;0;4806;6086;3704;0;0;1048;519;256;239;0;0;45;0;0;0;0;0;0;28;0;0;62
NI;03158;Wolfenbüttel;98808;80987;1302;79685;40000;29918;0;3533;2148;2744;0;0;1090;0;0;252;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1218;79769;35981;25937;0;5373;6510;3709;0;0;1118;547;303;149;0;0;38;0;0;0;0;0;0;28;0;0;76
NI;03241;Region Hannover;837554;671919;8880;663039;344414;228991;0;32376;24637;23765;0;0;8649;0;0;0;0;0;0;0;0;0;0;0;207;0;0;0;0;0;0;0;0;7559;664360;303897;192500;0;63767;58833;28353;0;0;8017;3644;2754;1432;0;0;346;0;0;0;0;0;0;338;0;0;479
NI;03251;Diepholz;167096;132460;1425;131035;60300;50261;0;7516;6755;4770;0;0;1433;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1252;131208;54930;42954;0;9976;14332;5839;0;0;1450;761;493;261;0;0;67;0;0;0;0;0;0;45;0;0;100
NI;03252;Hameln-Pyrmont;123450;96783;1399;95384;46690;33306;0;4675;4764;4493;0;0;1456;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1218;95565;44701;29121;0;6036;8474;4531;0;0;1422;633;296;179;0;0;49;0;0;0;0;0;0;34;0;0;89
NI;03254;Hildesheim;223707;182239;2978;179261;91383;66053;0;8630;4929;5481;0;0;2289;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;496;0;0;2594;179645;84440;58261;0;12684;12909;6781;0;0;2315;1041;553;383;0;0;74;0;0;0;0;0;0;48;0;0;156
NI;03255;Holzminden;62146;49538;988;48550;24960;17455;0;1635;2079;1753;0;0;668;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;906;48632;23103;13529;0;2980;5741;1967;0;0;678;313;107;156;0;0;14;0;0;0;0;0;0;8;0;0;36
NI;03256;Nienburg (Weser);97084;74957;957;74000;35729;29764;0;2586;2383;2284;0;0;1132;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;122;846;74111;32963;26351;0;4204;5888;2673;0;0;1191;369;198;153;0;0;31;0;0;0;0;0;0;30;0;0;60
NI;03257;Schaumburg;127464;102157;1306;100851;53001;35896;0;3417;3690;3001;0;0;1533;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;313;1194;100963;48006;31649;0;6347;8420;3683;0;0;1510;548;297;333;0;0;52;0;0;0;0;0;0;26;0;0;92
NI;03351;Celle;140550;110769;1249;109520;49051;47620;0;3051;4093;3354;0;0;1818;0;0;533;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1192;109577;43109;41359;0;6484;10805;4330;0;0;1900;643;363;415;0;0;49;0;0;0;0;0;0;37;0;0;83
NI;03352;Cuxhaven;160777;126233;1763;124470;61152;48249;0;4351;4729;4078;0;0;1911;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1588;124645;55018;42085;0;7857;10580;5667;0;0;1652;854;569;151;0;0;70;0;0;0;0;0;0;38;0;0;104
NI;03353;Harburg;185646;154160;1924;152236;64462;66788;0;7065;6599;4904;0;0;1879;0;0;539;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1555;152605;56250;55816;0;13324;17501;5771;0;0;1687;996;605;397;0;0;69;0;0;0;0;0;0;42;0;0;147
NI;03354;Lüchow-Dannenberg;41409;32053;521;31532;13190;12070;0;2464;1169;2220;0;0;419;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;447;31606;11280;10545;0;3958;2573;2415;0;0;382;178;139;84;0;0;15;0;0;0;0;0;0;18;0;0;19
NI;03355;Lüneburg;133974;106902;1415;105487;48278;37293;0;9093;4434;4904;0;0;1485;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1210;105692;42730;31720;0;12462;10076;5850;0;0;1444;620;428;171;0;0;45;0;0;0;0;0;0;38;0;0;108
NI;03356;Osterholz;87767;70649;912;69737;34936;23273;0;3994;2945;3575;0;0;1014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;786;69863;30715;19771;0;6671;6622;4008;0;0;959;471;341;167;0;0;48;0;0;0;0;0;0;27;0;0;63
