Land;Statistische Kennziffer;Kreisfreie Stadt bzw. Stadtkreis, Landkreis bzw. Kreis;Wahlberechtigte;Wähler;Ungültige;Gültige;SPD;CDU;CSU;GRÜNE;FDP;PDS;REP;GRAUE;Die Tierschutzpartei;NPD;ödp;PBC;DIE FRAUEN;BP;FAMILIE;CM;BüSo;HP;Die Violetten;AUFBRUCH;ZENTRUM;KPD;PRG;Schill;Deutschland;DKP;DSU;FP Deutschlands;Einzelbewerber;Ungültige;Gültige;SPD;CDU;CSU;GRÜNE;FDP;PDS;REP;GRAUE;Die Tierschutzpartei;NPD;ödp;PBC;DIE FRAUEN;BP;FAMILIE;CM;BüSo;HP;Die Violetten;AUFBRUCH;Zentrum;KPD;PRG;Schill
;;;;;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen
NI;03155;Northeim ;117963;95635;1134;94501;52023;31017;0;3476;6742;914;0;316;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;824;94811;50226;30520;0;5058;6251;880;361;127;322;298;25;84;0;0;0;0;14;0;0;0;0;0;0;645
NI;03156;Osterode am Harz ;67891;54019;706;53313;28343;18912;0;2179;2863;618;0;164;0;199;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;558;53461;27873;17800;0;2614;3509;599;174;80;239;189;18;69;0;0;0;0;15;0;0;0;0;0;0;282
NI;03157;Peine ;102258;84212;829;83383;49444;26975;0;2646;3243;761;0;0;0;0;0;314;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;594;83618;46876;24863;0;4592;4774;693;280;123;304;182;20;201;0;0;0;0;18;0;0;0;0;0;0;692
NI;03158;Wolfenbüttel ;98869;82003;859;81144;45069;27533;0;3499;4253;790;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;552;81451;41501;26360;0;5536;5558;794;217;89;362;218;19;124;0;0;0;0;16;0;0;0;0;0;0;657
NI;03241;Region Hannover ;833540;682682;7114;675568;368313;218924;0;36350;31921;7495;0;1773;0;0;0;0;0;0;0;0;775;0;0;0;0;0;0;9426;0;281;0;0;310;5456;677226;343243;201638;0;63326;44882;8364;2424;1263;2127;1336;278;1321;0;0;0;0;298;0;0;0;0;0;0;6726
NI;03251;Diepholz ;164997;133340;1450;131890;63948;48526;0;9607;9136;0;0;0;0;0;0;673;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;871;132469;63591;43045;0;9587;12197;1253;385;162;463;292;44;349;0;0;0;0;25;0;0;0;0;0;0;1076
NI;03252;Hameln-Pyrmont ;124300;100597;1229;99368;50246;35835;0;4642;7108;1214;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;323;860;99737;49923;33573;0;5565;6932;947;342;121;424;275;32;203;0;0;0;0;34;0;0;0;0;0;0;1366
NI;03254;Hildesheim ;225028;186886;1970;184916;98953;64651;0;8828;6718;1598;0;730;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3438;0;0;0;0;0;1496;185390;95444;61160;0;12184;10144;1606;526;338;658;387;66;394;0;0;0;0;35;0;0;0;0;0;0;2448
NI;03255;Holzminden ;63355;51798;767;51031;26314;17995;0;2485;3572;579;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;86;503;51295;26985;16685;0;2552;3419;460;109;60;205;260;12;110;0;0;0;0;12;0;0;0;0;0;0;426
NI;03256;Nienburg ;96587;75931;984;74947;38832;29362;0;3276;3389;0;0;0;0;0;0;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;569;75362;37227;26863;0;4033;4819;636;347;84;301;175;27;110;0;0;0;0;16;0;0;0;0;0;0;724
