"Nr okręgu",TERYT,Powiat,Uprawnieni do głosowania,Karty wydane (frekwencja),Karty ważne (głosy oddane),Głosy nieważne,Głosy ważne,1 - Ruch Patriotyczny,2 - Polska Partia Pracy,3 - Liga Polskich Rodzin,4 - Partia Demokratyczna,5 - Socjaldemokracja Polska,6 - Prawo i Sprawiedliwość,7 - Sojusz Lewicy Demokratycznej,8 - Platforma Obywatelska,9 - Polska Partia Narodowa,10 - Polskie Stronnictwo Ludowe,11 - Centrum,12 - Platforma Janusza Korwin-Mikke,13 - Ogólnopolska Koalicja Obywatelska O.K.O.,14 - Polska Konfederacja - Godność i Praca,15 - Samoobrona RP,16 - Inicjatywa RP,17 - Dom Ojczysty,18 - Narodowe Odrodzenie Polski,19 - Stronnictwo Pracy,19 - Społeczni Ratownicy,19 - Mniejszość Niemiecka,19 - Mniejszość Niemiecka Śląska
33,261100,starachowicki,77882,27095,26982,1015,25967,654,187,1795,376,1266,5846,2913,4656,73,2646,210,321,60,,4608,55,301,,,,,
33,261200,staszowski,59589,19958,19950,795,19155,355,104,1007,285,1167,3410,2807,2169,49,2938,196,273,50,,4287,29,29,,,,,
33,261300,włoszczowski,37682,13535,13528,693,12835,370,118,925,109,245,2531,1070,1496,38,2020,126,160,45,,3524,35,23,,,,,
33,266101,m. Kielce,167654,77883,77724,2088,75636,882,873,4082,1922,2829,22668,14302,17737,241,3014,478,1308,235,,4691,119,255,,,,,
34,280100,bartoszycki,51413,16703,16670,832,15838,129,126,835,706,610,2609,1384,2593,47,1179,109,230,,,5281,,,,,,,
34,280200,braniewski,34901,11264,11213,479,10734,100,125,540,723,446,1585,1380,2468,43,1108,16,159,,,2041,,,,,,,
34,280300,działdowski,51374,16311,16306,823,15483,130,113,1521,645,374,3196,1545,3016,50,1964,62,138,,,2729,,,,,,,
34,280400,elbląski,44081,12646,12641,571,12070,132,102,635,280,620,2590,1166,2622,46,1029,28,125,,,2695,,,,,,,
34,280700,iławski,70959,25372,25255,941,24314,181,285,1342,624,802,4213,2109,6214,75,4105,88,218,,,4058,,,,,,,
34,280900,lidzbarski,34439,11127,11125,508,10617,92,89,574,294,321,2388,1018,2742,41,482,276,124,,,2176,,,,,,,
34,281200,nowomiejski,32833,12148,12142,636,11506,101,81,985,156,310,2108,738,1619,53,2439,40,63,,,2813,,,,,,,
34,281500,ostródzki,84210,26990,26912,1090,25822,218,193,1081,966,689,6467,4224,5262,66,2166,85,279,,,4126,,,,,,,
34,286101,m. Elbląg,100337,40998,40975,1012,39963,386,325,1776,742,1757,11199,6441,12516,139,508,64,625,,,3485,,,,,,,
35,280500,ełcki,65176,20592,20586,768,19818,140,190,1826,162,301,5918,3346,4277,70,1084,27,195,,,2282,,,,,,,
35,280600,giżycki,46095,14658,14643,787,13856,99,130,933,362,427,2539,1986,2911,47,1778,30,261,,,2353,,,,,,,
35,280800,kętrzyński,54940,16151,16145,781,15364,91,147,985,233,476,3517,2300,3473,63,1375,64,210,,,2430,,,,,,,
35,281000,mrągowski,40150,12940,12934,566,12368,97,123,1156,196,324,3204,1526,2706,29,1352,38,203,,,1414,,,,,,,
35,281100,nidzicki,26900,8317,8316,428,7888,60,64,976,113,220,1670,1264,1128,25,1135,32,84,,,1117,,,,,,,
35,281300,olecki,26832,8247,8246,320,7926,47,70,864,87,188,2139,761,1300,27,977,25,95,,,1346,,,,,,,
35,281400,olsztyński,88466,27192,27163,1382,25781,240,178,1488,1212,709,5805,3061,6061,85,2592,246,412,,,3692,,,,,,,
35,281600,piski,45136,15749,15742,803,14939,132,115,1869,130,529,2599,1244,2869,24,2975,39,140,,,2274,,,,,,,
35,281700,szczycieński,54904,17382,17361,851,16510,179,119,1320,457,526,3012,1871,3292,47,2384,403,221,,,2679,,,,,,,
35,281800,gołdapski,21496,6199,6195,281,5914,34,34,321,45,103,820,595,1196,26,2026,26,74,,,614,,,,,,,
35,281900,węgorzewski,19682,5684,5677,237,5440,37,48,424,109,191,1034,813,1132,11,394,9,80,,,1158,,,,,,,
35,286201,m. Olsztyn,133877,62325,62227,1667,60560,467,382,3915,3029,2379,14362,10709,19353,105,1412,200,1257,,,2990,,,,,,,
36,300400,gostyński,58381,20430,20413,1294,19119,284,114,1503,172,706,3589,2439,3467,36,1875,287,203,,82,4338,24,,,,,,
36,300600,jarociński,54962,20150,20102,1170,18932,182,131,1177,352,697,5285,2132,2910,53,2810,56,232,,47,2838,30,,,,,,
36,300700,kaliski,62231,22772,22739,1222,21517,262,113,1422,270,716,3317,3259,1829,79,3699,13,224,,52,6214,48,,,,,,
36,300800,kępiński,42756,16583,16572,1048,15524,138,114,1194,159,523,3476,1413,3773,71,1830,34,195,,39,2512,53,,,,,,
36,301100,kościański,60270,22651,22639,1430,21209,250,123,1370,280,845,2946,2179,7437,45,1329,29,306,,46,3997,27,,,,,,
