Okręg,TERYT,Powiat,Liczba obwodów,Liczba uprawnionych do głosowania,Liczba wysłanych pakietów,Liczba kart wydanych,Liczba osób głosujących przez pełnomocnika,Liczba oddanych kart,Karty wyjęte z kopert zwrotnych,Karty nieważne,Karty ważne,Głosy nieważne,Głosy ważne,Liczba zaświadczeń,Liczba kopert zwrotnych,Liczba kopert bez oświadczenia,Liczba kopert z niepodpisanym oświadczeniem,Liczba kopert zwrotnych bez koperty na kartę do głosowania,Liczba niezaklejonych kopert na karty do głosowania,Liczba kopert zwrotnych wrzuconych do urn,Komitet Wyborczy Nasz Dom Polska-Samoobrona Andrzeja Leppera,Komitet Wyborczy Nowa Prawica - Janusza Korwin-Mikke,Komitet Wyborczy Platforma Obywatelska RP,Komitet Wyborczy Polska Jest Najważniejsza,Komitet Wyborczy Polska Partia Pracy - Sierpień 80,Komitet Wyborczy Polskie Stronnictwo Ludowe,Komitet Wyborczy Prawica,Komitet Wyborczy Prawo i Sprawiedliwość,Komitet Wyborczy Ruch Palikota,Komitet Wyborczy Sojusz Lewicy Demokratycznej,Komitet Wyborczy Wyborców Mniejszość Niemiecka
29,240500,gliwicki,72,91803,3,40371,9,40358,3,3,40355,2211,38144,135,3,0,0,0,0,3,,,18184,903,285,3645,,9223,3445,2459,
29,241300,tarnogórski,89,112507,2,53256,40,53249,1,13,53236,2312,50924,285,2,1,0,0,0,1,,,24099,1332,399,3217,,13388,4610,3879,
29,246201,Bytom,99,135743,5,60681,33,60663,5,52,60611,2474,58137,328,5,0,0,0,0,5,,,28470,1391,577,2047,,14182,6906,4564,
29,246601,Gliwice,115,149804,10,79037,82,79017,6,185,78832,2232,76600,525,10,4,0,0,0,6,,,40826,1740,510,2088,,16751,8680,6005,
29,247801,Zabrze,91,144254,1,59879,44,59873,1,2,59871,2488,57383,317,1,0,0,0,0,1,,,28693,1161,614,3031,,12180,6679,5025,
30,240800,mikołowski,52,75022,3,39175,40,39172,3,1,39171,1678,37493,488,3,0,0,0,0,3,,930,18233,924,230,1016,130,10785,3568,1677,
30,241100,raciborski,69,89620,3,36075,25,36068,3,1,36067,1996,34071,216,3,0,0,0,0,3,,578,18457,1032,190,1574,169,7027,3349,1695,
30,241200,rybnicki,43,60202,0,27615,20,27606,0,2,27604,1668,25936,132,0,0,0,0,0,0,,521,10719,804,202,742,88,9076,2091,1693,
30,241500,wodzisławski,93,125969,1,59383,38,59369,1,3,59366,3074,56292,209,1,0,0,0,0,1,,842,24228,3115,374,2905,157,15943,4438,4290,
30,246701,Jastrzębie-Zdrój,53,73514,1,35778,13,35763,1,2,35761,1570,34191,160,1,0,0,0,0,1,,656,11729,742,151,1315,107,10820,3231,5440,
30,247301,Rybnik,73,111753,2,56135,36,56124,2,1,56123,2319,53804,226,2,0,0,0,0,2,,1168,25475,1269,434,1055,129,15614,4779,3881,
30,247901,Żory,33,48230,0,23390,9,23387,0,1,23386,1125,22261,111,0,0,0,0,0,0,,405,9683,562,131,599,62,6239,2348,2232,
31,241400,bieruńsko-lędziński,32,45741,0,23288,17,23284,0,3,23281,1116,22165,208,0,0,0,0,0,0,,585,8283,870,201,1074,,8147,1958,1047,
