Nr okr.,TERYT,Powiat,L. obw.,Liczba uprawnionych do głosowania,w tym obywatele polscy,w tym obywatele innych państw UE,Otrzymane karty do głosowania,Niewykorzystane karty do głosowania,Wydane karty do głosowania,w tym obywatelom polskim,w tym obywatelom innych państw UE,Liczba osób głosujących przez pełnomocnika,Liczba osób głosujących na podstawie zaświadczenia,Liczba wysłanych pakietów wyborczyh,Liczba otrzymanych kopert zwrotnych,Liczba kopert bez oświadczenia,Liczba kopert z niepodpisanym oświadczeniem,Liczba kopert zwrotnych bez koperty na kartę do głosowania,Liczba niezaklejonych kopert na karty do głosowania,Liczba kopert na karty do głosowania wrzuconych do urn,Kart wyjęte z urn,w tym: karty wyjęte z kopert zwrotnych,Karty nieważne,Karty ważne (głosy oddane),Głosy nieważne,Głosy ważne,1 - Komitet Wyborczy Solidarna Polska Zbigniewa Ziobro,2 - Komitet Wyborczy Wyborców Ruch Narodowy,3 - Koalicyjny Komitet Wyborczy Sojusz Lewicy Demokratycznej-Unia Pracy,4 - Komitet Wyborczy Prawo i Sprawiedliwość,5 - Koalicyjny Komitet Wyborczy Europa Plus Twój Ruch,6 - Komitet Wyborczy Polska Razem Jarosława Gowina,7 - Komitet Wyborczy Nowa Prawica – Janusza Korwin-Mikke,8 - Komitet Wyborczy Platforma Obywatelska RP,9 - Komitet Wyborczy Polskie Stronnictwo Ludowe,10 - Komitet Wyborczy Demokracja Bezpośrednia,11 - Komitet Wyborczy Samoobrona,12 - Komitet Wyborczy Partia Zieloni
2,413,sępoleński,41,32659,32659,0,23123,17099,6024,6024,0,3,37,0,0,0,0,0,0,0,6024,0,1,6023,261,5762,148,58,922,1535,189,71,264,1783,792,,,
2,414,świecki,93,78093,78093,0,55575,41144,14431,14431,0,7,133,0,0,0,0,0,0,0,14429,0,0,14429,700,13729,403,270,2457,3325,413,201,688,3865,2107,,,
2,415,toruński,67,77068,77068,0,55378,40171,15207,15207,0,4,46,0,0,0,0,0,0,0,15206,0,0,15206,619,14587,639,145,1653,4337,566,360,1053,4237,1597,,,
2,416,tucholski,51,37841,37838,3,26672,18205,8467,8465,2,4,80,0,0,0,0,0,0,0,8466,0,0,8466,407,8059,191,55,1005,2188,212,180,384,2703,1141,,,
2,417,wąbrzeski,28,27646,27646,0,19850,15313,4537,4537,0,0,7,0,0,0,0,0,0,0,4537,0,0,4537,197,4340,114,40,819,989,160,70,300,1181,667,,,
2,418,włocławski,82,70232,70231,1,50509,40346,10163,10163,0,4,69,0,0,0,0,0,0,0,10160,0,0,10160,534,9626,295,96,1578,2938,430,156,553,2307,1273,,,
2,419,żniński,78,56195,56195,0,39773,28516,11257,11257,0,3,37,0,0,0,0,0,0,0,11255,0,0,11255,639,10616,363,85,2734,2791,300,150,544,2200,1449,,,
2,461,Bydgoszcz,206,281429,281422,7,200950,113128,87822,87817,5,24,376,5,5,0,0,0,0,5,87802,5,0,87802,2195,85607,1224,855,25312,22687,3463,1876,4858,22774,2558,,,
2,462,Grudziądz,54,75690,75689,1,55641,39084,16557,16556,1,4,42,0,0,0,0,0,0,0,16554,0,0,16554,520,16034,267,192,2716,4214,658,272,942,6233,540,,,
2,463,Toruń,123,157175,157173,2,115410,66514,48894,48892,2,13,396,3,3,0,0,0,0,3,48892,3,4,48888,1272,47616,914,498,6167,14286,2465,906,3114,17799,1467,,,
2,464,Włocławek,68,92953,92952,1,67707,47238,20468,20467,1,5,51,2,2,0,0,0,0,2,20467,2,1,20466,675,19791,405,202,5234,5059,857,285,1098,6182,469,,,
8,601,bialski,114,91290,91290,0,64114,45593,18521,18521,0,4,146,0,0,0,0,0,0,0,18514,0,0,18514,685,17829,601,327,1031,7536,395,375,1241,2211,4025,87,,
8,602,biłgorajski,98,84233,84233,0,59540,40340,19200,19200,0,3,96,0,0,0,0,0,0,0,19198,0,0,19198,509,18689,665,575,673,8782,565,552,1408,1733,3695,41,,
8,603,chełmski,91,64838,64838,0,45817,33596,12221,12221,0,15,56,1,1,0,0,0,0,1,12220,1,0,12220,499,11721,335,172,397,3392,240,116,502,1913,4625,29,,
8,604,hrubieszowski,69,56142,56142,0,40123,30057,10066,10066,0,3,62,1,1,1,0,0,0,0,10066,0,0,10066,340,9726,301,155,504,4086,613,244,575,1112,2094,42,,
8,605,janowski,38,38786,38786,0,27385,16592,10793,10793,0,4,45,0,0,0,0,0,0,0,10792,0,0,10792,236,10556,256,239,446,6354,174,181,542,512,1832,20,,
8,606,krasnostawski,91,55957,55957,0,39703,29348,10355,10355,0,3,33,0,0,0,0,0,0,0,10353,0,0,10353,343,10010,384,212,781,3584,348,244,614,1503,2241,99,,
8,607,kraśnicki,86,80181,80179,2,56793,37984,18809,18808,1,12,48,0,0,0,0,0,0,0,18806,0,0,18806,587,18219,663,414,860,8812,492,355,1167,2118,3236,102,,
8,608,lubartowski,91,72340,72339,1,51008,34622,16386,16385,1,14,68,0,0,0,0,0,0,0,16384,0,1,16383,541,15842,618,379,556,6821,431,392,1195,2624,2698,128,,
8,609,lubelski,128,117788,117788,0,82802,55707,27095,27095,0,7,112,0,0,0,0,0,0,0,27092,0,0,27092,799,26293,862,822,775,11180,913,714,2028,3126,5737,136,,
8,610,łęczyński,53,45714,45714,0,32220,23338,8882,8882,0,2,35,0,0,0,0,0,0,0,8881,0,0,8881,306,8575,316,335,298,3443,268,382,809,1305,1365,54,,
8,611,łukowski,97,86157,86157,0,60691,43588,17103,17103,0,5,90,0,0,0,0,0,0,0,17103,0,0,17103,580,16523,628,409,1846,7270,283,286,1030,1726,2916,129,,
8,612,opolski,62,51105,51105,0,36214,26814,9400,9400,0,1,49,0,0,0,0,0,0,0,9398,0,0,9398,352,9046,516,159,528,3621,394,322,603,1029,1808,66,,
8,613,parczewski,38,29917,29917,0,21161,15394,5767,5767,0,2,37,0,0,0,0,0,0,0,5767,0,0,5767,213,5554,237,104,288,2290,160,180,349,732,1188,26,,
8,614,puławski,98,96421,96420,1,68546,44677,23869,23869,0,10,288,1,1,0,0,0,0,1,23867,1,0,23867,666,23201,852,472,1126,9966,852,801,1772,4897,2349,114,,
8,615,radzyński,55,49328,49328,0,34925,24170,10755,10755,0,3,23,0,0,0,0,0,0,0,10754,0,1,10753,402,10351,305,226,379,4070,172,198,614,1042,3302,43,,
8,616,rycki,74,47275,47275,0,33445,22180,11265,11265,0,7,61,0,0,0,0,0,0,0,11264,0,0,11264,425,10839,1802,139,1073,3002,333,136,568,1173,2575,38,,
8,617,świdnicki,53,59007,59007,0,42000,28861,13139,13139,0,10,35,0,0,0,0,0,0,0,13138,0,0,13138,345,12793,329,221,695,5244,619,524,887,2447,1756,71,,
8,618,tomaszowski,98,72154,72154,0,50882,36426,14456,14456,0,8,53,0,0,0,0,0,0,0,14456,0,0,14456,535,13921,866,281,710,6175,319,276,877,2088,2274,55,,
8,619,włodawski,49,33261,33261,0,23574,16854,6720,6720,0,0,62,0,0,0,0,0,0,0,6720,0,0,6720,223,6497,168,180,592,2395,225,163,383,1126,1224,41,,
8,620,zamojski,118,89962,89962,0,63404,44691,18713,18713,0,16,101,0,0,0,0,0,0,0,18710,0,0,18710,674,18036,592,320,960,8880,419,393,1106,1305,3974,87,,
8,661,Biała Podlaska,29,46170,46170,0,32961,21598,11363,11363,0,3,60,0,0,0,0,0,0,0,11359,0,0,11359,291,11068,238,224,1074,4581,425,286,1001,2414,764,61,,
8,662,Chełm,36,54578,54578,0,38728,24103,14625,14625,0,6,45,2,2,0,0,0,0,2,14627,2,0,14627,311,14316,203,157,688,3725,389,155,666,2738,5564,31,,
8,663,Lublin,208,274125,274122,3,195332,106922,88410,88409,1,15,779,6,6,0,0,0,0,6,88385,6,2,88383,1579,86804,1893,2182,3875,33709,5997,2815,6638,21489,7646,560,,
8,664,Zamość,34,54263,54262,1,38663,25232,13431,13430,1,6,72,0,0,0,0,0,0,0,13429,0,0,13429,355,13074,302,290,1093,5660,694,374,907,2526,1167,61,,
13,801,gorzowski,61,54341,54340,1,38326,28760,9566,9566,0,0,34,0,0,0,0,0,0,0,9566,0,0,9566,364,9202,205,132,1339,2566,296,202,670,3103,630,,,59
13,802,krośnieński,50,45082,45080,2,31927,24890,7037,7035,2,3,37,0,0,0,0,0,0,0,7037,0,0,7037,323,6714,141,83,1042,1497,242,170,383,2185,920,,,51
13,803,międzyrzecki,58,47613,47613,0,34029,25584,8445,8445,0,1,85,0,0,0,0,0,0,0,8443,0,0,8443,459,7984,225,156,1804,1788,233,155,515,2489,552,,,67
13,804,nowosolski,54,69279,69278,1,49125,36815,12309,12309,0,4,58,0,0,0,0,0,0,0,12309,0,0,12309,440,11869,304,242,1777,3459,314,242,823,4033,591,,,84
13,805,słubicki,35,36968,36967,1,26050,20047,6003,6003,0,0,67,0,0,0,0,0,0,0,6002,0,0,6002,290,5712,158,86,923,1353,201,117,410,2044,349,,,71
13,806,strzelecko-drezdenecki,38,40219,40217,2,28354,22616,5738,5736,2,0,38,0,0,0,0,0,0,0,5736,0,0,5736,270,5466,134,80,744,1442,163,85,338,1808,632,,,40
13,807,sulęciński,36,28566,28566,0,20369,15699,4670,4670,0,2,29,1,1,0,0,0,0,1,4670,1,0,4670,220,4450,116,93,813,1220,107,84,305,1280,396,,,36
13,808,świebodziński,37,44516,44515,1,31436,23316,8120,8120,0,0,59,1,1,0,0,0,0,1,8120,1,0,8120,270,7850,155,129,1181,2106,191,137,611,2620,662,,,58
13,809,zielonogórski,60,75108,75108,0,53129,38871,14258,14258,0,5,71,0,0,0,0,0,0,0,14255,0,1,14254,572,13682,291,228,2315,3065,416,311,1069,4843,1023,,,121
13,810,żagański,55,65215,65215,0,46008,35468,10540,10540,0,0,54,0,0,0,0,0,0,0,10539,0,1,10538,393,10145,268,169,1645,2690,367,176,658,3439,660,,,73
13,811,żarski,67,78902,78901,1,55641,42009,13632,13631,1,3,46,0,0,0,0,0,0,0,13622,0,0,13622,592,13030,294,159,2311,3408,427,329,1032,4208,741,,,121
13,812,wschowski,32,31040,31040,0,21856,17009,4847,4847,0,0,34,0,0,0,0,0,0,0,4847,0,0,4847,202,4645,110,88,469,1608,112,98,365,1382,382,,,31
13,861,Gorzów Wielkopolski,68,98299,98299,0,70202,46747,23371,23371,0,4,71,0,0,0,0,0,0,0,23364,0,1,23363,672,22691,295,373,3872,6630,762,529,1662,7889,539,,,140
13,862,Zielona Góra,66,92670,92670,0,65806,38404,27401,27401,0,8,136,0,0,0,0,0,0,0,27391,0,2,27389,605,26784,334,261,4861,6103,769,601,1623,10507,1511,,,214
6,1001,bełchatowski,72,91831,91831,0,64720,44072,20648,20648,0,2,59,0,0,0,0,0,0,0,20647,0,0,20647,761,19886,544,469,2030,9239,299,383,1566,4160,920,106,60,110
6,1002,kutnowski,76,83286,83284,2,58969,43400,15569,15568,1,10,57,0,0,0,0,0,0,0,15567,0,1,15566,643,14923,1420,206,1242,5996,282,221,838,3567,958,95,36,62
6,1003,łaski,41,41446,41445,1,29264,20898,8366,8366,0,3,61,0,0,0,0,0,0,0,8365,0,0,8365,295,8070,176,66,604,3627,157,204,553,1904,621,59,30,69
6,1004,łęczycki,49,43529,43529,0,30984,23442,7542,7542,0,4,38,0,0,0,0,0,0,0,7540,0,0,7540,318,7222,248,62,506,3119,325,182,359,1480,824,47,33,37
6,1005,łowicki,71,65994,65994,0,46876,33293,13583,13583,0,2,41,0,0,0,0,0,0,0,13583,0,0,13583,519,13064,304,181,806,5377,194,482,1057,2402,2090,80,32,59
6,1006,łódzki wschodni,74,55522,55522,0,39174,24319,14855,14855,0,7,51,0,0,0,0,0,0,0,14853,0,0,14853,362,14491,356,155,808,6315,285,358,952,4536,549,70,18,89
6,1007,opoczyński,73,63128,63128,0,44515,29727,14788,14788,0,3,62,1,1,0,0,0,0,1,14786,1,0,14786,580,14206,513,131,660,7739,389,207,664,1577,2226,41,14,45
6,1008,pabianicki,91,97202,97201,1,68709,44201,24508,24507,1,9,71,0,0,0,0,0,0,0,24501,0,2,24499,642,23857,590,332,1783,8634,643,605,1593,8456,779,177,42,223
6,1009,pajęczański,37,42956,42956,0,30172,22928,7244,7244,0,0,43,0,0,0,0,0,0,0,7244,0,0,7244,293,6951,205,75,546,3440,163,105,495,1019,784,43,43,33
6,1010,piotrkowski,75,73131,73130,1,51521,37115,14406,14405,1,7,61,0,0,0,0,0,0,0,14404,0,0,14404,517,13887,503,176,1050,7394,168,228,716,1800,1674,74,37,67
6,1011,poddębicki,51,34642,34642,0,24247,17471,6776,6776,0,3,63,0,0,0,0,0,0,0,6776,0,1,6775,299,6476,138,63,403,2945,116,260,301,1291,871,23,42,23
6,1012,radomszczański,89,94997,94996,1,67198,49529,17669,17668,1,4,60,0,0,0,0,0,0,0,17667,0,0,17667,704,16963,862,381,1405,7547,340,236,958,3590,1423,119,35,67
6,1013,rawski,29,40244,40244,0,28429,19934,8495,8495,0,1,49,0,0,0,0,0,0,0,8494,0,1,8493,336,8157,127,116,344,4140,88,117,430,1226,1463,36,43,27
6,1014,sieradzki,92,98051,98049,2,69675,49608,20067,20067,0,5,101,0,0,0,0,0,0,0,20065,0,0,20065,788,19277,507,264,1787,7717,413,364,1303,4589,2043,97,96,97
6,1015,skierniewicki,38,30653,30652,1,21507,15244,6263,6263,0,3,24,0,0,0,0,0,0,0,6263,0,0,6263,234,6029,103,53,188,3418,67,81,390,565,1098,29,14,23
6,1016,tomaszowski,78,96429,96429,0,68198,46216,21980,21980,0,4,90,2,2,0,0,0,0,2,21982,2,2,21980,713,21267,397,188,1358,9842,763,409,1080,4926,2008,104,106,86
6,1017,wieluński,79,63272,63272,0,44562,30692,13870,13870,0,6,57,0,0,0,0,0,0,0,13869,0,0,13869,584,13285,250,112,849,5657,258,234,808,2366,2501,77,130,43
6,1018,wieruszowski,38,34125,34124,1,23982,17125,6857,6857,0,3,22,0,0,0,0,0,0,0,6857,0,1,6856,298,6558,183,69,450,2428,125,109,373,1085,1620,35,49,32
6,1019,zduńskowolski,42,54336,54334,2,38394,27140,11254,11254,0,2,26,0,0,0,0,0,0,0,11249,0,0,11249,347,10902,269,118,972,4386,237,296,687,3195,576,73,15,78
6,1020,zgierski,124,132745,132745,0,94021,63485,30536,30536,0,5,133,0,0,0,0,0,0,0,30530,0,0,30530,904,29626,635,359,2221,10475,703,715,1911,11026,1088,196,50,247
6,1021,brzeziński,39,24994,24994,0,17737,12381,5356,5356,0,1,18,0,0,0,0,0,0,0,5356,0,11,5345,159,5186,114,55,255,2420,85,80,312,1070,738,25,7,25
6,1061,Łódź,421,572680,572671,9,414421,246602,167801,167798,3,53,730,6,6,0,0,0,0,6,167734,6,14,167720,3510,164210,2429,1876,12453,46614,4995,4910,10175,76134,1787,1072,250,1515
6,1062,Piotrków Trybunalski,41,61824,61823,1,43780,29030,14750,14749,1,5,54,0,0,0,0,0,0,0,14745,0,3,14742,400,14342,229,121,1924,5669,264,293,856,4373,456,64,18,75
6,1063,Skierniewice,26,39013,39009,4,27572,17695,9877,9876,1,3,39,0,0,0,0,0,0,0,9877,0,0,9877,245,9632,176,108,700,3516,238,253,825,3137,518,104,12,45
