OKW,TERYT,Powiat,Liczba obwodów,Uprawnieni do głosowania,Otrzymane karty do głosowania,Karty niewykorzystane,Karty wydane (frekwencja),Głosy oddane,Głosy ważne,Głosy nieważne,Bochniarz Henryka Teodora,Borowski Marek Stefan,Bubel Leszek Henryk,Ilasz Liwiusz Marian,Kaczyński Lech Aleksander,Kalinowski Jarosław,Korwin-Mikke Janusz Ryszard,Lepper Andrzej Zbigniew,Pyszko Jan,Słomka Adam Andrzej,Tusk Donald Franciszek,Tymiński Stanisław
15,100600,łódzki wschodni,49,50818,50037,24264,25773,25768,25599,169,335,2097,34,43,9701,550,497,4930,23,13,7341,35
16,100700,opoczyński,69,62119,59748,27770,31977,31971,31686,285,262,2124,50,97,10247,1313,316,11822,17,27,5369,42
15,100800,pabianicki,67,97427,94834,45177,49657,49633,49313,320,844,5873,73,88,17036,742,1130,5990,19,34,17414,70
17,100900,pajęczański,38,42567,40485,22025,18460,18456,18321,135,195,1551,43,42,5648,547,221,6704,14,15,3308,33
16,101000,piotrkowski,66,70611,67626,33912,33714,33710,33397,313,295,1690,59,80,10817,1528,321,13356,11,12,5172,56
17,101100,poddębicki,47,34505,33496,18464,15042,15039,14905,134,126,1262,21,24,3557,764,130,6330,6,8,2636,41
16,101200,radomszczański,85,95418,91755,49265,42489,42461,42091,370,535,3944,85,119,12653,1178,545,13203,21,21,9705,82
18,101300,rawski,30,39791,38404,21173,17231,17228,17101,127,177,1396,35,29,4929,801,179,6209,13,26,3273,34
17,101400,sieradzki,92,97314,95053,47821,47232,47217,46879,338,550,4801,70,134,13231,1815,521,15474,20,25,10148,90
18,101500,skierniewicki,36,29901,28591,14295,14296,14294,14156,138,101,724,21,26,4342,1038,125,5714,9,9,2028,19
16,101600,tomaszowski,84,97903,94875,46496,48379,48365,47915,450,602,5078,91,102,15703,1421,665,11197,39,34,12934,49
17,101700,wieluński,79,62578,61039,31393,29646,29643,29388,255,362,3088,42,67,8274,1333,383,8582,17,14,7169,57
17,101800,wieruszowski,36,33382,32383,16900,15484,15480,15376,104,153,1277,20,57,4174,747,160,5186,7,12,3558,25
17,101900,zduńskowolski,41,53888,52325,26073,26252,26250,26024,226,356,2886,55,59,8773,551,444,5038,12,17,7793,40
15,102000,zgierski,100,129817,125330,62650,62682,62655,62221,434,936,7542,116,126,20583,980,1067,10489,39,39,20203,101
