TERYT,Powiat,Uprawnieni do głosowania,Wydane karty do głosowania,Karty wyjęte (głosy oddane),Głosy nieważne,Głosy ważne,Lech Aleksander Kaczyński,Donald Franciszek Tusk
142600,siedlecki,61481,32309,32306,230,32076,26772,5304
142700,sierpecki,42168,18064,18058,144,17914,12861,5053
142800,sochaczewski,65740,31120,31115,291,30824,20452,10372
142900,sokołowski,46826,24916,24916,259,24657,19432,5225
143000,szydłowiecki,31782,14772,14767,153,14614,11003,3611
143200,warszawski zachodni,75029,44155,44127,308,43819,22920,20899
143300,węgrowski,54657,26987,26985,297,26688,20233,6455
143400,wołomiński,150855,88536,88515,622,87893,55971,31922
143500,wyszkowski,55059,28460,28457,218,28239,20779,7460
143600,zwoleński,29375,13465,13464,148,13316,10606,2710
143700,żuromiński,32104,13218,13217,122,13095,9550,3545
143800,żyrardowski,58882,29384,29380,313,29067,17025,12042
146101,m. Ostrołęka,42792,22278,22275,215,22060,13777,8283
146201,m. Płock,102266,55226,55207,648,54559,29523,25036
146301,m. Radom,180848,101698,101667,939,100728,60136,40592
146401,m. Siedlce,60166,34209,34200,361,33839,20497,13342
146501,m. st. Warszawa,1359912,900924,900252,9730,890522,359203,531319
149901,Zagranica,80071,48196,48179,383,47796,21418,26378
160100,brzeski,73148,34637,34631,311,34320,17920,16400
160200,głubczycki,40128,17674,17673,206,17467,9110,8357
160300,kędzierzyńsko-kozielski,80890,34083,34079,334,33745,11924,21821
160400,kluczborski,55507,22990,22988,194,22794,10552,12242
160500,krapkowicki,54094,19065,19062,182,18880,5323,13557
160600,namysłowski,34542,15992,15990,138,15852,8105,7747
160700,nyski,118093,53622,53609,495,53114,27416,25698
160800,oleski,54570,19924,19920,224,19696,8837,10859
160900,opolski,106359,38603,38600,320,38280,12183,26097
161000,prudnicki,47484,20133,20128,167,19961,9488,10473
161100,strzelecki,65081,23495,23489,178,23311,8390,14921
166101,m. Opole,100565,54590,54578,587,53991,17883,36108
180100,bieszczadzki,17542,7498,7498,64,7434,4461,2973
180200,brzozowski,50348,25916,25909,202,25707,20794,4913
180300,dębicki,101898,56549,56543,418,56125,42352,13773
180400,jarosławski,94456,50752,50749,395,50354,38670,11684
180500,jasielski,90095,47173,47172,357,46815,34990,11825
180600,kolbuszowski,46639,23899,23892,157,23735,19323,4412
180700,krośnieński,84591,44722,44716,307,44409,33160,11249
180800,leżajski,53138,29161,29151,185,28966,23080,5886
180900,lubaczowski,45334,22233,22230,258,21972,16118,5854
181000,łańcucki,59088,35638,35626,232,35394,28631,6763
181100,mielecki,102971,53710,53700,464,53236,38831,14405
181200,niżański,51651,24652,24649,179,24470,18940,5530
181300,przemyski,55210,27771,27770,229,27541,20917,6624
181400,przeworski,60921,31825,31823,208,31615,25570,6045
181500,ropczycko-sędziszowski,53825,31019,31014,234,30780,25688,5092
181600,rzeszowski,131721,78440,78429,540,77889,60935,16954
181700,sanocki,75182,35161,35154,274,34880,22470,12410
181800,stalowowolski,87259,43196,43189,453,42736,29104,13632
181900,strzyżowski,47486,25152,25149,168,24981,19592,5389
182000,tarnobrzeski,42563,20557,20556,193,20363,14436,5927
182100,leski,21706,10375,10374,90,10284,6518,3766
186101,m. Krosno,38742,21077,21070,175,20895,12252,8643
186201,m. Przemyśl,54030,28528,28513,245,28268,16871,11397
186301,m. Rzeszów,122911,74356,74327,747,73580,41798,31782
186401,m. Tarnobrzeg,39137,19786,19785,165,19620,10871,8749
200100,augustowski,46717,20979,20976,170,20806,13757,7049
200200,białostocki,109518,53251,53245,375,52870,35518,17352
200300,bielski,49044,21113,21111,216,20895,13181,7714
200400,grajewski,38982,15989,15987,141,15846,11274,4572
200500,hajnowski,42054,13345,13335,198,13137,3737,9400
200600,kolneński,31266,13439,13439,80,13359,10635,2724
200700,łomżyński,39449,18371,18369,128,18241,15554,2687
200800,moniecki,34465,13868,13866,111,13755,10451,3304
200900,sejneński,17185,6104,6103,66,6037,3697,2340
201000,siemiatycki,40038,15881,15880,144,15736,10545,5191
201100,sokólski,59146,24127,24122,193,23929,16574,7355
201200,suwalski,27150,11521,11496,85,11411,8648,2763
201300,wysokomazowiecki,47890,25781,25779,169,25610,21854,3756
201400,zambrowski,36108,17104,17104,115,16989,12895,4094
206101,m. Białystok,224414,123495,123446,1151,122295,61256,61039
206201,m. Łomża,48718,24724,24719,182,24537,15748,8789
206301,m. Suwałki,52314,25351,25343,206,25137,14588,10549
220100,bytowski,57653,26702,26697,258,26439,12481,13958
220200,chojnicki,70217,36601,36596,351,36245,18842,17403
220300,człuchowski,45399,19290,19290,212,19078,7743,11335
220400,gdański,63101,32994,32987,263,32724,13914,18810
220500,kartuski,76622,46517,46510,384,46126,25001,21125
220600,kościerski,50635,28351,28346,222,28124,15004,13120
220700,kwidzyński,62362,26893,26889,290,26599,12117,14482
220800,lęborski,48962,24208,24203,239,23964,10932,13032
220900,malborski,50028,23317,23312,227,23085,10246,12839
221000,nowodworski,28063,12059,12054,124,11930,5549,6381
221100,pucki,55792,31474,31462,316,31146,11568,19578
221200,słupski,72529,28469,28467,320,28147,12004,16143
221300,starogardzki,92528,47488,47484,459,47025,25378,21647
221400,tczewski,86357,43483,43480,361,43119,20364,22755
221500,wejherowski,134179,78204,78188,644,77544,34361,43183
221600,sztumski,33930,13841,13836,165,13671,6183,7488
226101,m. Gdańsk,367181,233665,233541,2239,231302,87621,143681
226201,m. Gdynia,200504,126589,126546,1267,125279,45578,79701
226301,m. Słupsk,77847,40400,40394,422,39972,16833,23139
226401,m. Sopot,33824,22587,22580,201,22379,7862,14517
229901,Statki,114,114,114,5,109,32,77
240100,będziński,126538,59109,59097,758,58339,27199,31140
240200,bielski,116867,67963,67929,587,67342,37172,30170
240300,cieszyński,135486,71836,71823,769,71054,30938,40116
240400,częstochowski,106257,46828,46821,596,46225,28139,18086
240500,gliwicki,92512,43076,43071,407,42664,21287,21377
240600,kłobucki,67247,29553,29546,435,29111,18542,10569
240700,lubliniecki,60735,29212,29204,309,28895,14472,14423
240800,mikołowski,71618,40346,40330,307,40023,20594,19429
240900,myszkowski,58050,25325,25321,310,25011,14407,10604
241000,pszczyński,80573,46170,46149,347,45802,27129,18673
241100,raciborski,90776,37189,37184,347,36837,14399,22438
241200,rybnicki,57559,30466,30459,264,30195,17966,12229
241300,tarnogórski,112803,56008,55997,485,55512,25591,29921
241400,bieruńsko-lędziński,43313,24165,24157,197,23960,15499,8461
241500,wodzisławski,123633,64422,64391,465,63926,36255,27671
241600,zawierciański,103270,46843,46833,544,46289,26110,20179
241700,żywiecki,116904,64384,64369,560,63809,39159,24650
246101,m. Bielsko-Biała,141476,84854,84826,737,84089,39503,44586
246201,m. Bytom,153045,67735,67727,683,67044,29621,37423
246301,m. Chorzów,92641,45566,45553,483,45070,16720,28350
246401,m. Częstochowa,199732,107728,107672,1146,106526,50267,56259
246501,m. Dąbrowa Górnicza,106319,50891,50884,667,50217,23064,27153
246601,m. Gliwice,159497,83620,83605,810,82795,32305,50490
246701,m. Jastrzębie-Zdrój,75896,40498,40494,368,40126,25255,14871
246801,m. Jaworzno,76680,38712,38705,356,38349,18873,19476
246901,m. Katowice,261467,148044,147965,1381,146584,60349,86235
247001,m. Mysłowice,60714,32460,32455,297,32158,16821,15337
247101,m. Piekary Śląskie,48549,24787,24782,255,24527,13109,11418
247201,m. Ruda Śląska,116818,59703,59691,578,59113,31332,27781
247301,m. Rybnik,112016,59079,59071,418,58653,29669,28984
247401,m. Siemianowice Śląskie,59394,30163,30158,315,29843,12052,17791
247501,m. Sosnowiec,189702,93173,93145,1181,91964,42006,49958
247601,m. Świętochłowice,44617,20236,20231,214,20017,8379,11638
247701,m. Tychy,106461,60775,60765,539,60226,28196,32030
247801,m. Zabrze,152112,64930,64920,638,64282,27861,36421
247901,m. Żory,49802,26110,26102,171,25931,14052,11879
260100,buski,62350,27293,27290,246,27044,19344,7700
260200,jędrzejowski,72037,30668,30666,328,30338,22364,7974
260300,kazimierski,29940,10542,10542,109,10433,7937,2496
260400,kielecki,151845,69387,69374,639,68735,50209,18526
260500,konecki,70049,31916,31914,327,31587,20821,10766
260600,opatowski,45910,16810,16808,237,16571,12570,4001
260700,ostrowiecki,96604,39502,39492,465,39027,23159,15868
260800,pińczowski,35128,13926,13926,161,13765,9435,4330
260900,sandomierski,66506,29065,29060,348,28712,20493,8219
261000,skarżyski,67235,31986,31981,354,31627,18184,13443
261100,starachowicki,77399,35025,35024,368,34656,21555,13101
261200,staszowski,59307,25398,25397,234,25163,18607,6556
261300,włoszczowski,37717,16644,16642,183,16459,11947,4512
266101,m. Kielce,167336,94691,94650,1106,93544,47020,46524
280100,bartoszycki,51211,19855,19850,250,19600,9158,10442
280200,braniewski,34696,13448,13446,148,13298,6373,6925
280300,działdowski,51217,21769,21763,197,21566,12247,9319
280400,elbląski,43977,16423,16422,169,16253,8661,7592
280500,ełcki,64944,26466,26458,381,26077,13709,12368
280600,giżycki,45643,19087,19087,415,18672,8086,10586
280700,iławski,70818,31844,31832,361,31471,16325,15146
280800,kętrzyński,54513,21359,21353,289,21064,9201,11863
280900,lidzbarski,34196,13877,13875,131,13744,6731,7013
281000,mrągowski,39868,17539,17537,230,17307,7836,9471
281100,nidzicki,26734,11066,11064,185,10879,6156,4723
281200,nowomiejski,33107,14658,14653,179,14474,8545,5929
281300,olecki,26635,10591,10589,154,10435,6140,4295
281400,olsztyński,88248,36393,36389,523,35866,16038,19828
281500,ostródzki,83678,34194,34189,397,33792,15192,18600
281600,piski,44847,18887,18887,208,18679,9993,8686
281700,szczycieński,54702,23399,23399,371,23028,11309,11719
281800,gołdapski,21285,7573,7572,99,7473,3688,3785
281900,węgorzewski,19444,7303,7299,110,7189,3064,4125
286101,m. Elbląg,100041,52468,52459,640,51819,22558,29261
286201,m. Olsztyn,134862,77537,77516,1220,76296,30643,45653
300100,chodzieski,36679,18368,18365,294,18071,7570,10501
300200,czarnkowsko-trzcianecki,67317,32294,32293,365,31928,14521,17407
300300,gnieźnieński,110474,56213,56176,735,55441,28687,26754
300400,gostyński,58214,26485,26479,336,26143,14238,11905
300500,grodziski,37093,17148,17140,209,16931,8797,8134
300600,jarociński,54893,25185,25181,355,24826,13720,11106
300700,kaliski,62291,27337,27333,266,27067,19660,7407
300800,kępiński,42654,20950,20950,241,20709,11358,9351
300900,kolski,70795,31354,31341,309,31032,21731,9301
301000,koniński,93397,41893,41878,399,41479,29939,11540
301100,kościański,60451,29585,29568,452,29116,14421,14695
301200,krotoszyński,59517,29229,29222,370,28852,16197,12655
301300,leszczyński,37588,17903,17900,272,17628,8781,8847
301400,międzychodzki,28089,12026,12026,247,11779,5164,6615
301500,nowotomyski,54931,26858,26854,377,26477,11847,14630
301600,obornicki,43066,20903,20900,266,20634,9862,10772
301700,ostrowski,124125,63623,63604,669,62935,34990,27945
301800,ostrzeszowski,41739,18914,18905,318,18587,11114,7473
301900,pilski,105833,55105,55100,644,54456,24501,29955
302000,pleszewski,48129,21665,21663,361,21302,12033,9269
302100,poznański,217471,121064,121031,1214,119817,47644,72173
302200,rawicki,46675,21184,21176,336,20840,10161,10679
302300,słupecki,46298,20782,20782,278,20504,12773,7731
302400,szamotulski,68261,31997,31990,415,31575,14062,17513
302500,średzki,42222,20504,20501,287,20214,10211,10003
302600,śremski,45410,22368,22363,279,22084,10570,11514
302700,turecki,65233,30435,30430,349,30081,20288,9793
302800,wągrowiecki,51948,24631,24622,324,24298,13099,11199
302900,wolsztyński,41574,20542,20535,317,20218,9130,11088
303000,wrzesiński,57772,29097,29087,357,28730,15193,13537
303100,złotowski,53253,24268,24264,372,23892,10847,13045
306101,m. Kalisz,86764,46594,46581,494,46087,21076,25011
306201,m. Konin,64759,35716,35709,415,35294,18306,16988
306301,m. Leszno,50527,28072,28062,316,27746,9529,18217
306401,m. Poznań,454440,281508,281302,2788,278514,92680,185834
320100,białogardzki,37895,15099,15098,175,14923,6575,8348
320200,choszczeński,40353,14615,14594,146,14448,6603,7845
320300,drawski,47128,18970,18969,213,18756,8097,10659
320400,goleniowski,62668,26458,26429,294,26135,10283,15852
320500,gryficki,48714,19655,19637,222,19415,8039,11376
320600,gryfiński,64916,27082,27078,300,26778,12427,14351
320700,kamieński,38722,16093,16090,186,15904,6293,9611
320800,kołobrzeski,61260,28800,28793,324,28469,11495,16974
320900,koszaliński,48947,19709,19706,202,19504,8811,10693
321000,myśliborski,53250,22202,22194,254,21940,9619,12321
321100,policki,47903,24151,24135,215,23920,8222,15698
321200,pyrzycki,31997,12512,12511,152,12359,6393,5966
321300,sławieński,45200,18033,18032,216,17816,9031,8785
321400,stargardzki,94343,42445,42436,443,41993,17845,24148
321500,szczecinecki,61505,26769,26761,281,26480,11396,15084
321600,świdwiński,39377,15646,15644,191,15453,6919,8534
321700,wałecki,43172,18323,18317,232,18085,7000,11085
321800,łobeski,30371,11405,11402,141,11261,4832,6429
326101,m. Koszalin,87914,46456,46438,525,45913,18403,27510
326201,m. Szczecin,325782,182419,182280,1717,180563,71296,109267
326301,m. Świnoujście,33707,16808,16805,163,16642,6212,10430
329901,Statki,48,48,48,3,45,21,24
