Okręg,Kod pow.,Powiat,Upr.,Frekw.,Odd.,Ważne,2 - Polska Partia Pracy,3 - Liga Polskich Rodzin,6 - Prawo i Sprawiedliwość,8 - Platforma Obywatelska,10 - Polskie Stronnictwo Ludowe,15 - Samoobrona,19 - Mniejszość Niemiecka,20 - Lewica i DemokraciD,21 - Patia Kobiet,22 - Samoobrona Patriotyczna
9,106101,m. Łódź,616669,388513,387729,382114,2863,4245,101861,180038,10815,5386,,70132,6774,
10,100100,bełchatowski,90300,46899,46869,45824,699,685,21690,12591,3947,854,,5358,,
10,100700,opoczyński,62557,31729,31721,30917,311,299,14378,5270,5955,1005,,3699,,
10,101000,piotrkowski,71173,33183,33172,32220,291,444,15584,6129,5898,1226,,2648,,
10,101200,radomszczański,95369,42310,42293,41231,393,474,15856,12672,6184,708,,4944,,
10,101300,rawski,40097,18802,18789,18406,199,165,7575,3706,4581,574,,1606,,
10,101500,skierniewicki,30057,14523,14520,14117,166,143,6072,2103,4136,565,,932,,
10,101600,tomaszowski,97962,51309,51290,50244,544,758,20107,15172,5546,1096,,7021,,
10,106201,m. Piotrków Trybunalski,63695,37220,37174,36385,392,429,12757,14195,1889,409,,6314,,
10,106301,m. Skierniewice,38983,23002,22966,22638,251,288,6925,9694,1753,194,,3533,,
11,100200,kutnowski,85763,39880,39851,38756,452,363,14216,10793,5103,1215,,6167,447,
11,100300,łaski,41001,19496,19485,19047,177,201,6888,5115,3147,512,,2682,325,
11,100400,łęczycki,43993,18897,18892,18372,176,187,6310,4554,3520,1163,,2302,160,
11,100500,łowicki,67072,32734,32709,31917,274,295,12238,7267,6844,710,,3823,466,
11,100800,pabianicki,97562,55432,55265,54269,449,559,18089,21860,3832,657,,7752,1071,
11,100900,pajęczański,42759,18195,18188,17709,169,269,8289,3744,2020,680,,2368,170,
11,101100,poddębicki,34464,15090,15079,14613,126,188,4815,3003,3956,618,,1686,221,
11,101400,sieradzki,97619,47771,47750,46603,424,857,17032,12093,7780,1249,,6558,610,
11,101700,wieluński,63120,30441,30439,29625,274,439,9036,7122,7319,1738,,3427,270,
11,101800,wieruszowski,33582,15425,15419,15023,173,194,5100,4037,3204,413,,1764,138,
11,101900,zduńskowolski,54292,28044,28033,27492,240,341,9970,9231,2219,379,,4470,642,
11,102000,zgierski,130885,70356,70276,68961,602,790,22401,27666,4786,1017,,10640,1059,
12,120300,chrzanowski,104356,57935,57795,56588,635,775,17761,24472,2872,596,,9477,,
12,120900,myślenicki,88917,47273,47198,46115,348,1224,23823,13357,4659,356,,2348,,
12,121300,oświęcimski,123585,71722,71680,70166,709,739,24977,26391,7430,551,,9369,,
12,121500,Suski,63750,32475,32440,31368,291,452,14568,10378,3725,327,,1627,,
12,121800,wadowicki,121114,65190,65141,63439,633,874,27019,22919,5428,755,,5811,,
13,120600,krakowski,193177,103216,103161,100777,2052,1239,44192,37543,7563,954,,6417,817,
13,120800,miechowski,41486,17451,17437,16946,338,171,6399,3537,3773,434,,2134,160,
13,121200,olkuski,93360,48843,48815,47835,689,459,17787,16643,3101,851,,7841,464,
13,126101,m. Kraków,601803,401189,400633,395846,6270,5003,124892,208098,9056,1244,,37892,3391,
14,120500,gorlicki,84779,40756,40712,39598,300,441,17762,11637,4614,758,,4086,,
14,120700,limanowski,90885,47573,47525,46274,262,983,25035,10748,7102,446,,1698,,
14,121000,nowosądecki,149601,82663,82632,80309,567,1045,47735,17434,7743,1405,,4380,,
