Okręg,TERYT,Powiat,L. obw.,Upr.,"Wydane
karty","Głosy
oddane","Głosy
ważne",1 - Komitet Wyborczy Unia Polityki Realnej,2 - Komitet Wyborczy Polskie Stronnictwo Ludowe,3 - Komitet Wyborczy Samoobrona Rzeczpospolitej Polskiej,4 - Komitet Wyborczy Polska Partia Pracy,5 - Komitet Wyborczy Libertas,6 - Koalicyjny Komitet Wyborczy Sojusz Lewicy Demokratycznej - Unia Pracy,7 - Koalicyjny Komitet Wyborczy Porozumienie dla Przyszłości - CentroLewica (PD+SDPL+Zieloni 2004),8 - Komitet Wyborczy Prawica Rzeczypospolitej,9 - Komitet Wyborczy Platforma Obywatelska RP,10 - Komitet Wyborczy Prawo i Sprawiedliwość,11 - Komitet Wyborczy Polska Partia Socjalistyczna,12 - Koalicyjny Komitet Wyborczy Naprzód Polsko - Piast
6,1016,tomaszowski,84,98025,21121,21096,20617,150,2053,527,130,156,2721,427,316,6778,7359,,
6,1017,wieluński,79,63601,11868,11858,11517,118,1869,448,81,120,1304,232,134,3878,3333,,
6,1018,wieruszowski,36,33734,6072,6069,5881,54,1591,208,48,50,621,94,83,1611,1521,,
6,1019,zduńskowolski,43,54554,10566,10561,10364,78,582,149,90,108,1216,238,108,4455,3340,,
6,1020,zgierski,105,131682,30745,30697,30138,313,1125,667,230,298,3627,1131,232,14273,8242,,
6,1021,brzeziński,25,24849,4892,4878,4783,46,836,132,38,107,383,108,71,1470,1592,,
6,1061,"Łódź, m.",396,605839,195408,195080,192882,2033,2124,1068,989,1140,27999,9280,1521,103812,42916,,
6,1062,"Piotrków Trybunalski, m.",41,63664,15917,15898,15592,181,380,133,121,118,2389,362,315,6917,4676,,
6,1063,"Skierniewice, m.",25,39300,9880,9881,9728,85,556,72,72,77,1463,282,303,4246,2572,,
10,1201,bocheński,72,79035,20054,20034,19700,219,1193,155,77,199,928,249,436,6636,9608,,
10,1202,brzeski,64,70658,17776,17768,17374,169,1198,203,94,285,699,267,622,4516,9321,,
10,1203,chrzanowski,81,104550,25765,25745,25211,287,654,195,178,183,4065,780,261,10452,8156,,
10,1204,dąbrowski,51,46839,9969,9965,9741,46,1693,157,38,132,413,94,438,1676,5054,,
10,1205,gorlicki,91,86188,19924,19901,19404,182,1176,268,120,176,1579,215,217,5272,10199,,
10,1206,krakowski,168,197081,47802,47764,46980,660,2733,383,191,442,2685,737,458,18467,20224,,
10,1207,limanowski,95,92741,25804,25798,25233,178,3271,251,138,748,721,197,406,4644,14679,,
10,1208,miechowski ,57,41216,7043,7032,6862,75,1315,240,52,72,822,140,60,1363,2723,,
10,1209,myślenicki,76,90727,21391,21388,21012,298,899,143,119,384,897,237,323,6342,11370,,
10,1210,nowosądecki,163,152621,42459,42415,41533,403,2344,432,185,356,1770,336,791,8207,26709,,
10,1211,nowotarski,142,141928,31815,31797,31148,361,846,325,174,282,1217,344,471,10398,16730,,
10,1212,olkuski,81,93833,20952,20938,20488,326,771,293,154,161,2800,399,208,7220,8156,,
10,1213,oświęcimski,99,124434,34060,34049,33377,270,2829,200,283,250,3823,500,337,13708,11177,,
10,1214,proszowicki,37,35009,5697,5688,5557,45,1612,187,31,56,337,61,38,1135,2055,,
10,1215,Suski,57,64559,13343,13328,12989,135,685,146,117,110,606,144,150,4048,6848,,
10,1216,tarnowski,130,150241,35070,35050,34170,281,2522,376,203,770,1246,416,818,8479,19059,,
10,1217,tatrzański,51,52954,13806,13804,13649,90,301,88,38,108,605,293,153,5425,6548,,
10,1218,wadowicki,102,123117,28983,28950,28325,230,1509,252,220,301,2201,434,372,10373,12433,,
10,1219,wielicki,70,84474,21012,20992,20678,267,1454,116,91,202,1157,308,223,8215,8645,,
10,1261,"Kraków, m.",455,591312,230834,230590,228657,3453,2394,556,680,1526,22079,6046,2178,115778,73967,,
10,1262,"Nowy Sącz, m.",51,66982,22597,22585,22290,338,337,73,52,107,2578,312,360,8214,9919,,
10,1263,"Tarnów, m.",72,95130,30830,30825,30410,290,503,100,144,240,2827,796,440,13568,11502,,
5,1401,białobrzeski,22,26528,4208,4199,4118,45,790,196,25,135,257,56,61,880,1673,,
5,1402,ciechanowski,56,73796,13638,13617,13294,137,2518,267,97,192,1722,393,203,4174,3591,,
5,1403,garwoliński,90,83964,16186,16180,15828,282,2981,367,121,255,638,402,965,3893,5924,,
5,1404,gostyniński,39,38346,6454,6442,6261,38,1615,141,64,109,476,117,76,1834,1791,,
4,1405,grodziski,44,64480,18672,18662,18463,206,1449,149,79,175,1434,506,927,9076,4462,,
