TERYT,Powiat,Województwo,L. obw.,Liczba wyborców uprawnionych do głosowania,Komisja otrzymała kart do głosowania,Nie wykorzystano kart do głosowania,"Liczba wyborców, którym wydano karty do głosowania",Liczba wyborców głosujących przez pełnomocnika,Liczba wyborców głosujących na podstawie zaświadczenia,"Liczba wyborców, którym wysłano pakiety wyborcze",Liczba otrzymanych kopert zwrotnych,w których nie było oświadczenia,w których oświadczenie nie było podpisane,w których nie było koperty na kartę do głosowania,w których znajdowała się niezaklejona koperta,Liczba kopert na kartę do głosowania wrzuconych do urny,Liczba kart wyjętych z urny,w tym liczba kart wyjętych z kopert,Liczba kart nieważnych,Liczba kart ważnych,Liczba głosów nieważnych,Liczba głosów ważnych,Braun Grzegorz Michał,Duda Andrzej Sebastian,Jarubas Adam Sebastian,Komorowski Bronisław Maria,Korwin-Mikke Janusz Ryszard,Kowalski Marian Janusz,Kukiz Paweł Piotr,Ogórek Magdalena Agnieszka,Palikot Janusz Marian,Tanajno Paweł Jan,Wilk Jacek
2807,iławski,warmińsko-mazurskie,69,73488,64221,32759,31462,8,147,13,11,0,0,0,0,11,31470,11,0,31470,217,31253,194,9964,379,11714,1190,155,6242,843,395,49,128
2808,kętrzyński,warmińsko-mazurskie,60,52962,45626,25546,20080,6,129,6,6,0,0,0,0,6,20086,6,0,20086,165,19921,101,5686,336,7950,594,117,4161,572,296,25,83
2809,lidzbarski,warmińsko-mazurskie,34,33970,29381,15746,13635,9,93,3,3,0,0,0,0,3,13637,3,0,13637,125,13512,81,3995,154,5443,466,70,2698,354,168,26,57
2810,mrągowski,warmińsko-mazurskie,41,40507,35604,18599,17006,9,239,2,2,0,0,0,0,2,17008,2,0,17008,144,16864,139,4935,232,6378,628,82,3673,464,230,20,83
2811,nidzicki,warmińsko-mazurskie,31,26715,22969,12617,10352,9,76,5,5,0,0,0,0,5,10355,5,0,10355,114,10241,62,3785,160,3628,320,51,1763,314,111,5,42
2812,nowomiejski,warmińsko-mazurskie,32,34472,29695,14936,14760,9,94,0,0,0,0,0,0,0,14758,0,0,14758,124,14634,84,5524,254,5216,346,102,2554,366,126,10,52
2813,olecki,warmińsko-mazurskie,38,27151,23488,13144,10343,6,76,8,8,0,0,0,0,8,10350,8,0,10350,93,10257,117,3317,129,3656,372,71,2187,227,130,8,43
2814,olsztyński,warmińsko-mazurskie,130,97620,83855,43135,40721,10,311,37,33,2,1,0,0,30,40746,30,1,40745,391,40354,329,10653,611,16260,1464,225,8874,1093,599,76,170
2815,ostródzki,warmińsko-mazurskie,85,84256,71704,38311,33393,12,288,7,6,0,0,1,0,5,33391,5,1,33390,278,33112,151,8986,349,14273,1043,192,6668,869,424,35,122
2816,piski,warmińsko-mazurskie,44,45720,39687,21602,18085,6,364,3,3,0,0,0,0,3,18088,3,0,18088,162,17926,93,6634,288,6070,585,185,3315,398,253,14,91
2817,szczycieński,warmińsko-mazurskie,73,56805,48792,25237,23555,12,405,3,2,0,0,0,2,2,23555,2,4,23551,272,23279,197,7713,428,8131,785,157,4835,548,339,26,120
2818,gołdapski,warmińsko-mazurskie,23,21827,19116,11338,7778,5,147,2,2,0,0,0,0,2,7780,2,1,7779,70,7709,46,2102,98,3274,249,35,1570,207,98,11,19
2819,węgorzewski,warmińsko-mazurskie,25,19168,17002,10208,6794,1,94,0,0,0,0,0,0,0,6794,0,0,6794,34,6760,36,1785,107,3097,189,33,1243,167,69,16,18
2861,Elbląg,warmińsko-mazurskie,62,95674,83483,39373,44108,15,165,24,21,0,0,0,0,21,44126,21,4,44122,344,43778,267,11902,266,18399,1518,187,9213,1141,618,87,180
2862,Olsztyn,warmińsko-mazurskie,101,134733,117100,45772,71327,25,812,60,55,0,1,0,0,54,71369,54,4,71365,745,70620,714,17830,589,28718,2805,388,15841,1827,1254,220,434
3001,chodzieski,wielkopolskie,35,37563,32270,14649,17619,12,74,6,6,1,0,0,0,5,17621,5,0,17621,193,17428,74,3945,222,8515,436,92,3205,593,254,28,64
3002,czarnkowsko-trzcianecki,wielkopolskie,69,68988,58694,28465,30229,11,143,13,13,0,0,0,0,13,30238,13,0,30238,303,29935,164,8473,449,13143,764,108,5514,799,356,43,122
3003,gnieźnieński,wielkopolskie,91,114239,98007,44487,53520,16,217,57,53,1,0,0,0,52,53568,52,2,53566,573,52993,300,15877,734,20142,1473,302,11449,1653,773,82,208
3004,gostyński,wielkopolskie,56,60769,52456,25950,26506,5,80,9,9,0,0,0,0,9,26512,9,0,26512,179,26333,166,8661,476,9458,795,130,5349,874,270,39,115
3005,grodziski,wielkopolskie,30,39655,33887,16356,17531,1,77,1,1,0,0,0,0,1,17528,1,0,17528,137,17391,107,5264,319,7370,513,84,2914,555,156,22,87
3006,jarociński,wielkopolskie,41,56802,49353,23383,25970,11,127,15,15,0,0,0,0,15,25982,15,0,25982,182,25800,113,8397,418,9562,641,92,5536,706,230,34,71
3007,kaliski,wielkopolskie,64,66202,56810,29148,27662,5,96,4,1,0,0,0,0,1,27662,1,1,27661,216,27445,195,10500,845,7947,844,146,5377,1087,321,49,134
3008,kępiński,wielkopolskie,43,44744,38910,17602,21308,8,63,7,7,1,0,0,0,6,21313,6,0,21313,112,21201,119,6750,344,8618,472,93,3923,549,230,26,77
3009,kolski,wielkopolskie,62,71531,61586,31707,29879,9,141,14,14,1,0,0,0,13,29889,13,0,29889,236,29653,167,12681,625,8545,777,167,5279,941,313,35,123
3010,koniński,wielkopolskie,95,102361,87283,44076,43207,32,239,12,11,0,0,0,0,11,43216,11,0,43216,366,42850,239,19013,807,11518,1095,208,8030,1237,480,54,169
3011,kościański,wielkopolskie,56,62975,54369,25979,28389,6,82,5,4,0,0,0,0,4,28389,4,0,28389,262,28127,129,8457,520,11772,836,123,5008,809,288,44,141
3012,krotoszyński,wielkopolskie,49,61240,52667,25145,27522,6,109,9,9,0,0,0,0,9,27530,9,0,27530,219,27311,140,8802,697,10660,801,112,4798,898,266,37,100
3013,leszczyński,wielkopolskie,37,42431,36176,17338,18838,8,152,4,3,0,0,0,0,3,18840,3,1,18839,141,18698,94,5618,384,7345,541,88,3734,600,193,26,75
3014,międzychodzki,wielkopolskie,22,29245,25041,12711,12330,2,99,3,3,0,0,0,0,3,12333,3,0,12333,114,12219,79,2982,197,5734,292,57,2214,442,149,26,47
3015,nowotomyski,wielkopolskie,49,58046,49306,22022,27283,5,129,8,8,1,0,0,0,7,27291,7,0,27291,190,27101,188,7244,321,12707,802,111,4454,794,326,41,113
3016,obornicki,wielkopolskie,43,45585,38847,17669,21177,5,71,3,3,0,0,0,0,3,21182,3,3,21179,178,21001,130,5385,271,9649,538,113,3887,612,284,43,89
3017,ostrowski,wielkopolskie,109,129119,111236,50653,60583,21,200,29,28,0,0,0,0,28,60591,28,1,60590,380,60210,434,19631,1054,22432,1900,226,11733,1702,751,113,234
3018,ostrzeszowski,wielkopolskie,56,43814,37503,18198,19305,7,109,3,3,0,0,0,0,3,19306,3,0,19306,126,19180,125,6136,473,7034,596,81,3739,632,238,30,96
3019,pilski,wielkopolskie,90,107548,92738,41224,51514,13,241,19,19,0,0,0,0,19,51529,19,0,51529,546,50983,290,14361,575,20072,1705,216,11112,1578,750,74,250
3020,pleszewski,wielkopolskie,55,50011,43005,20610,22395,12,88,9,9,0,0,0,0,9,22402,9,0,22402,177,22225,101,7159,497,8578,587,114,4150,698,222,25,94
3021,poznański,wielkopolskie,218,272496,232073,85856,146218,38,997,107,101,2,0,0,1,98,146282,98,44,146238,1372,144866,1016,32618,1247,68984,4531,591,28744,3155,2721,432,827
3022,rawicki,wielkopolskie,45,48038,41619,20806,20814,5,72,7,7,0,0,0,0,7,20818,7,0,20818,128,20690,137,5734,493,8887,634,93,3647,696,259,24,86
