TERYT,Powiat,Województwo,L. obw.,Liczba wyborców uprawnionych do głosowania,Komisja otrzymała kart do głosowania,Nie wykorzystano kart do głosowania,"Liczba wyborców, którym wydano karty do głosowania",Liczba wyborców głosujących przez pełnomocnika,Liczba wyborców głosujących na podstawie zaświadczenia,"Liczba wyborców, którym wysłano pakiety wyborcze",Liczba otrzymanych kopert zwrotnych,w których nie było oświadczenia,w których oświadczenie nie było podpisane,w których nie było koperty na kartę do głosowania,w których znajdowała się niezaklejona koperta,Liczba kopert na kartę do głosowania wrzuconych do urny,Liczba kart wyjętych z urny,w tym liczba kart wyjętych z kopert,Liczba kart nieważnych,Liczba kart ważnych,Liczba głosów nieważnych,Liczba głosów ważnych,Duda Andrzej Sebastian,Komorowski Bronisław Maria
1211,nowotarski,małopolskie,154,148532,127768,50009,77759,48,2099,46,40,-,2,-,-,38,77794,38,2,77792,997,76795,54766,22029
1212,olkuski,małopolskie,87,92121,80017,27525,52491,26,409,12,12,-,-,-,1,11,52493,11,3,52490,825,51665,31187,20478
1213,oświęcimski,małopolskie,106,123668,107302,33908,73394,50,509,75,72,3,1,-,-,68,73451,68,-,73451,1139,72312,39795,32517
1214,proszowicki,małopolskie,41,35480,30429,12917,17513,14,102,2,2,-,-,-,-,2,17514,2,-,17514,236,17278,11864,5414
1215,suski,małopolskie,60,66532,57033,19476,37557,18,592,14,13,-,-,-,-,13,37553,13,-,37553,462,37091,25517,11574
1216,tarnowski,małopolskie,156,156451,135510,47822,87686,65,669,62,58,4,-,-,-,54,87728,54,2,87726,966,86760,65247,21513
1217,tatrzański,małopolskie,54,55045,46211,15901,30310,20,2471,32,29,-,-,-,-,29,30336,29,1,30335,319,30016,19559,10457
1218,wadowicki,małopolskie,105,125646,108245,35631,72615,45,673,21,20,-,-,-,-,20,72630,20,2,72628,1128,71500,42791,28709
1219,wielicki,małopolskie,82,92342,78800,23500,55302,17,543,37,35,-,-,-,-,33,55326,33,-,55326,717,54609,32917,21692
1261,Kraków,małopolskie,491,596651,505401,126709,378687,173,11427,537,489,17,2,2,1,468,379097,467,38,379059,5823,373236,176990,196246
1262,Nowy Sącz,małopolskie,52,65657,57647,17272,40375,23,403,32,28,2,-,-,-,26,40395,26,-,40395,485,39910,24916,14994
1263,Tarnów,małopolskie,74,91528,79358,28024,51330,48,451,64,57,1,-,-,-,56,51376,56,5,51371,901,50470,28025,22445
1401,białobrzeski,mazowieckie,24,27094,23159,7938,15219,13,209,2,2,-,-,-,-,2,15222,2,-,15222,197,15025,11018,4007
1402,ciechanowski,mazowieckie,58,73056,63314,25782,37532,24,290,14,14,1,-,-,-,13,37544,13,1,37543,540,37003,21972,15031
1403,garwoliński,mazowieckie,102,85494,73368,20872,52494,17,608,8,8,-,-,-,-,8,52499,8,-,52499,648,51851,38734,13117
1404,gostyniński,mazowieckie,49,37843,32976,13751,19225,11,143,3,3,-,-,-,-,3,19228,3,-,19228,290,18938,12205,6733
1405,grodziski,mazowieckie,55,69405,58939,14422,44522,20,775,35,34,-,-,-,-,35,44546,34,3,44543,660,43883,21034,22849
1406,grójecki,mazowieckie,79,79620,67915,21909,46005,22,478,13,11,1,-,1,-,9,46010,9,5,46005,640,45365,28262,17103
1407,kozienicki,mazowieckie,56,51169,44453,15647,28806,26,373,11,11,-,-,-,-,11,28816,11,2,28814,416,28398,20217,8181
1408,legionowski,mazowieckie,61,85905,73213,18020,55192,32,1108,69,69,-,-,-,-,69,55259,69,6,55253,836,54417,26605,27812
1409,lipski,mazowieckie,41,29515,25826,11874,13952,7,199,1,1,-,-,-,-,1,13950,1,-,13950,147,13803,9353,4450
1410,łosicki,mazowieckie,33,26229,22864,8912,13952,19,239,4,4,-,-,-,-,4,13956,4,1,13955,182,13773,9759,4014
1411,makowski,mazowieckie,50,37336,32393,12286,20106,7,317,1,1,-,-,-,-,1,20108,1,-,20108,196,19912,13888,6024
1412,miński,mazowieckie,105,117301,99555,27917,71639,25,874,33,31,-,-,-,-,31,71664,31,2,71662,1138,70524,41797,28727
