Nr okr.,TERYT,Powiat,L. obw.,Liczba wyborców,Otrzymane karty,Niewykorzystane karty,Wydane karty,Liczba wyborców głosujących przez pełnomocnika,Liczba wyborców głosujących na podstawie zaświadczenia,Pakiety wyborcze,Koperty zwrotne,Koperty  bez oświadczenia,Niepodpisane oświadczenie,Koperty zwrotne bez koperty na kartę do głosowania,Niezaklejona koperta na kartę do głosowania,Koperty na kartę do głosowania wrzucone do urny,Karty wyjęte z urny,Karty wyjęte z kopert na karty do głosowania,Karty nieważne,Karty ważne,Głosy nieważne,w tym: z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów z różnych list,w tym: z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata,"w tym: z powodu postawienia znaku „x” wyłącznie obok nazwiska kandydata z listy, której rejestracja została unieważniona",Głosy ważne,1 - Komitet Wyborczy Prawo i Sprawiedliwość,2 - Komitet Wyborczy Platforma Obywatelska RP,3 - Komitet Wyborczy Partia Razem,4 - Komitet Wyborczy KORWiN,5 - Komitet Wyborczy Polskie Stronnictwo Ludowe,6 - Koalicyjny Komitet Wyborczy Zjednoczona Lewica SLD+TR+PPS+UP+Zieloni,7 - Komitet Wyborczy Wyborców „Kukiz'15”,8 - Komitet Wyborczy Nowoczesna Ryszarda Petru,9 - Komitet Wyborczy Wyborców JOW Bezpartyjni,10 - Komitet Wyborczy Wyborców Zbigniewa Stonogi,11 - Komitet Wyborczy Wyborców  Ruch Społeczny Rzeczypospolitej Polskiej,12 - Komitet Wyborczy Wyborców Zjednoczeni dla Śląska,13 - Komitet Wyborczy Samoobrona,14 - Komitet Wyborczy Wyborców Grzegorza Brauna „Szczęść Boże!”,15 - Komitet Wyborczy Kongres Nowej Prawicy,16 - Komitet Wyborczy Wyborców Mniejszość Niemiecka,16 - Komitet Wyborczy Wyborców Obywatele do Parlamentu
8,861,Gorzów Wielkopolski,68,96739,74891,25703,49188,36,300,22,20,1,1,1,1,16,49195,16,12,49183,1027,723,283,-,48156,13757,14325,2186,3018,940,4690,4593,4375,,272,,,,,,,
8,862,Zielona Góra,76,106820,82532,21672,60859,29,467,52,47,-,1,1,-,45,60885,45,27,60858,867,566,260,-,59991,14930,17179,2517,2921,1845,6183,4252,9892,,272,,,,,,,
10,1001,bełchatowski,72,91257,70034,20052,49980,25,191,4,4,-,-,-,-,4,49976,4,-,49976,1392,1017,338,-,48584,24715,5954,1577,2723,1571,3285,5991,2768,,,,,,,,,
11,1002,kutnowski,79,82119,61534,24946,36588,37,164,13,13,-,-,-,-,13,36596,13,3,36593,1145,760,343,-,35448,15041,7877,1187,1093,2187,3058,3004,1647,,232,,,64,58,,,
11,1003,łaski,41,41176,30565,10428,20137,7,150,5,5,-,-,-,-,5,20136,5,1,20135,597,416,161,-,19538,8079,3556,706,965,1571,1574,1863,1077,,91,,,28,28,,,
11,1004,łęczycki,49,43147,32439,14746,17693,11,66,5,5,-,-,-,-,5,17696,5,5,17691,767,474,268,-,16924,7408,2870,502,650,1953,1372,1305,698,,93,,,41,32,,,
11,1005,łowicki,71,65541,48708,16985,31723,11,178,15,15,-,-,-,-,15,31733,15,2,31731,982,625,322,-,30749,13105,4302,928,1284,3467,3375,2884,1145,,117,,,38,104,,,
9,1006,łódzki wschodni,75,56119,43280,12031,31249,16,198,18,18,-,-,-,-,18,31258,18,-,31258,666,469,180,-,30592,12650,6732,1193,1405,1274,2428,2631,2279,,,,,,,,,
10,1007,opoczyński,73,62742,47969,16303,31666,26,168,6,5,-,-,-,-,5,31667,5,-,31667,1015,801,199,-,30652,16813,3124,695,828,3490,1577,3244,881,,,,,,,,,
11,1008,pabianicki,93,96445,71593,19273,52319,37,238,17,15,-,-,-,-,15,52325,15,7,52318,1140,781,337,-,51178,17548,13206,2238,2471,2067,4588,4635,4036,,250,,,39,100,,,
11,1009,pajęczański,38,42707,31786,11995,19791,13,110,-,-,-,-,-,-,-,19783,-,1,19782,719,490,199,-,19063,9901,2512,531,669,1421,1330,1965,597,,66,,,47,24,,,
10,1010,piotrkowski,74,73087,55461,19461,35999,45,192,2,2,-,-,-,-,2,35992,2,2,35990,1286,1003,242,-,34704,18340,3485,909,1158,3865,2231,3507,1209,,,,,,,,,
11,1011,poddębicki,51,34478,25421,9873,15548,8,128,5,4,1,-,-,-,3,15551,3,-,15551,609,436,154,-,14942,6775,2470,414,516,2110,1027,988,467,,50,,,104,21,,,
10,1012,radomszczański,89,94236,72075,28938,43137,47,246,24,23,4,-,1,-,18,43143,18,3,43140,1550,1203,284,-,41590,19137,6937,1298,1372,3249,3611,3963,2023,,,,,,,,,
10,1013,rawski,29,39869,30385,12668,17716,11,80,2,2,-,-,-,-,2,17718,2,-,17718,635,437,170,-,17083,8203,2153,469,657,2304,947,1584,766,,,,,,,,,
11,1014,sieradzki,94,97160,72951,27236,45714,27,207,26,25,1,-,-,-,24,45729,24,-,45729,1655,1136,474,-,44074,18483,9354,1230,1907,3460,3178,4143,1744,,228,,,113,234,,,
10,1015,skierniewicki,39,30665,23420,8537,14883,5,53,1,1,-,-,-,-,1,14883,1,38,14845,498,347,134,-,14347,7530,1645,440,498,1806,584,1375,469,,,,,,,,,
10,1016,tomaszowski,79,95374,72740,25738,47002,27,206,16,14,-,-,-,-,14,47012,14,1,47011,1403,1018,329,-,45608,19701,8083,1388,1726,3632,2939,3942,4197,,,,,,,,,
11,1017,wieluński,79,62770,46749,17412,29335,24,153,5,5,-,-,-,-,5,29336,5,3,29333,943,677,243,-,28390,11960,4821,925,951,3672,2123,2447,1228,,104,,,102,57,,,
11,1018,wieruszowski,38,34046,25117,9959,15158,14,113,2,1,-,-,-,-,1,15155,1,-,15155,523,340,175,-,14632,5679,2780,432,617,1990,905,1506,559,,101,,,38,25,,,
11,1019,zduńskowolski,42,53951,40456,13627,26829,14,103,8,8,1,-,-,-,7,26827,7,-,26827,684,467,186,-,26143,9826,5603,900,1177,2359,1922,2647,1435,,179,,,38,57,,,
11,1020,zgierski,127,133009,99319,28961,70358,40,399,34,33,3,-,-,-,30,70372,30,12,70360,1696,1169,493,-,68664,23818,18963,3084,2871,2787,5804,5586,5048,,394,,,60,249,,,
9,1021,brzeziński,39,24966,19276,7132,12144,13,84,1,1,-,-,-,-,1,12142,1,-,12142,345,241,100,-,11797,5294,1825,428,448,1296,747,1123,636,,,,,,,,,
9,1061,Łódź,420,561118,442127,121085,321035,165,2667,240,229,11,3,-,5,211,321082,211,88,320994,4319,2656,1523,-,316675,89406,103776,15006,15310,7140,34440,22238,29359,,,,,,,,,
10,1062,Piotrków Trybunalski,41,60415,46568,13947,32621,21,128,13,11,-,-,-,-,11,32625,11,-,32625,622,435,183,-,32003,12132,7051,1038,1231,636,4255,3405,2255,,,,,,,,,
10,1063,Skierniewice,26,38370,29526,7972,21554,13,99,11,11,-,-,-,-,11,21560,11,3,21557,407,276,115,-,21150,7563,5741,933,967,811,1923,1797,1415,,,,,,,,,
15,1201,bocheński,76,82213,62676,17494,45181,30,274,14,13,-,-,-,-,13,45188,13,-,45188,1477,1104,317,-,43711,24548,5035,1137,2043,3415,1106,4079,2104,,,,,,159,85,,
15,1202,brzeski,74,73279,56322,18669,37653,32,255,8,8,1,-,-,-,7,37650,7,-,37650,1283,925,309,-,36367,19862,4416,825,1947,3280,907,3599,1319,,,,,,91,121,,
12,1203,chrzanowski,90,101996,78452,23621,54830,28,219,23,23,1,-,-,-,22,54840,22,-,54840,1558,1251,264,-,53282,21079,13743,2251,2571,1037,4229,4751,3621,,,,,,,,,
15,1204,dąbrowski,54,47554,36751,15254,21497,22,79,6,5,-,-,-,-,5,21496,5,-,21496,719,499,203,-,20777,12464,1427,352,882,3141,474,1404,555,,,,,,45,33,,
14,1205,gorlicki,97,87129,66767,24151,42616,30,393,8,8,-,-,-,-,8,42617,8,-,42617,1328,977,326,-,41289,23172,6115,991,1686,2438,1891,3384,1283,,177,,,,,152,,
13,1206,krakowski,192,211401,160245,44634,115610,87,769,54,53,2,-,-,-,51,115643,51,3,115640,3098,2100,884,-,112542,52646,21399,3468,6344,5796,4638,9089,8543,,,,,,322,297,,
14,1207,limanowski,102,97881,74873,21482,53389,44,367,24,23,-,-,-,-,23,53402,23,-,53402,1883,1450,408,-,51519,34384,5223,997,1831,2619,845,3997,1243,,253,,,,,127,,
13,1208,miechowski,65,40793,31262,13220,18041,9,103,2,2,-,-,-,-,2,18042,2,-,18042,546,363,156,-,17496,8589,2004,451,781,2159,1132,1695,604,,,,,,52,29,,
12,1209,myślenicki,82,96484,73192,19750,53440,25,311,54,53,-,1,1,-,52,53480,52,-,53480,1582,1252,267,-,51898,31292,7378,1183,2638,1216,1353,4127,2711,,,,,,,,,
14,1210,nowosądecki,168,162019,123732,33217,90515,79,1323,23,22,-,-,-,-,22,90511,22,-,90511,2985,2139,766,-,87526,58072,8934,1673,3641,4033,1574,6622,2362,,366,,,,,249,,
