country,country_code,nutslevel,nuts2016,regionname,type,year,party_abbreviation,party_english,party_native,partyfacts_id,partyvote,electorate,totalvote,validvote
Spain,ES,3,ES114,Pontevedra,EP,1999,VERDES,EUROPE OF THE PEOPLE - THE GREENS,EUROPA DE LOS PUEBLOS - VERDES,1643,1394,815155,495767,491033
Spain,ES,3,ES120,Asturias,EP,1999,BNG,GALICIAN NATIONALIST BLOCK,BLOQUE NACIONALISTA GALEGO,1011,519,980375,621075,617770
Spain,ES,3,ES120,Asturias,EP,1999,CE,UNITED NATIONAL MOVEMENT,ERTIANI NATSIONALURI MODZRAOBA,2172,78,980375,621075,617770
Spain,ES,3,ES120,Asturias,EP,1999,CIU,CONVERGENCE AND UNITY,CONVERGENCIA I UNIO,139,120,980375,621075,617770
Spain,ES,3,ES120,Asturias,EP,1999,CN+EP,NA,NA,NA,142,980375,621075,617770
Spain,ES,3,ES120,Asturias,EP,1999,HB,UNITED PEOPLE,HERRI BATASUNA,473,790,980375,621075,617770
Spain,ES,3,ES120,Asturias,EP,1999,IU-EUIA,UNITED LEFT,IZQUIERDA UNIDA,247,63912,980375,621075,617770
Spain,ES,3,ES120,Asturias,EP,1999,OTHER,NA,NA,NA,38162,980375,621075,617770
Spain,ES,3,ES120,Asturias,EP,1999,PP,PEOPLE'S ALLIANCE-PARTY / PEOPLE'S PARTY,ALIANZA-PARTIDO POPULAR / PARTIDO POPULAR,441,243576,980375,621075,617770
Spain,ES,3,ES120,Asturias,EP,1999,PSOE,SPANISH SOCIALIST WORKERS PARTY,PARTIDO SOCIALISTA OBRERO ESPANOL,1338,256497,980375,621075,617770
Spain,ES,3,ES120,Asturias,EP,1999,VERDES,EUROPE OF THE PEOPLE - THE GREENS,EUROPA DE LOS PUEBLOS - VERDES,1643,3339,980375,621075,617770
Spain,ES,3,ES130,Cantabria,EP,1999,BNG,GALICIAN NATIONALIST BLOCK,BLOQUE NACIONALISTA GALEGO,1011,146,465475,315979,312941
Spain,ES,3,ES130,Cantabria,EP,1999,CE,UNITED NATIONAL MOVEMENT,ERTIANI NATSIONALURI MODZRAOBA,2172,90,465475,315979,312941
Spain,ES,3,ES130,Cantabria,EP,1999,CIU,CONVERGENCE AND UNITY,CONVERGENCIA I UNIO,139,132,465475,315979,312941
Spain,ES,3,ES130,Cantabria,EP,1999,CN+EP,NA,NA,NA,410,465475,315979,312941
Spain,ES,3,ES130,Cantabria,EP,1999,HB,UNITED PEOPLE,HERRI BATASUNA,473,708,465475,315979,312941
Spain,ES,3,ES130,Cantabria,EP,1999,IU-EUIA,UNITED LEFT,IZQUIERDA UNIDA,247,15660,465475,315979,312941
Spain,ES,3,ES130,Cantabria,EP,1999,OTHER,NA,NA,NA,7026,465475,315979,312941
Spain,ES,3,ES130,Cantabria,EP,1999,PP,PEOPLE'S ALLIANCE-PARTY / PEOPLE'S PARTY,ALIANZA-PARTIDO POPULAR / PARTIDO POPULAR,441,170152,465475,315979,312941
Spain,ES,3,ES130,Cantabria,EP,1999,PSOE,SPANISH SOCIALIST WORKERS PARTY,PARTIDO SOCIALISTA OBRERO ESPANOL,1338,107218,465475,315979,312941
Spain,ES,3,ES130,Cantabria,EP,1999,VERDES,EUROPE OF THE PEOPLE - THE GREENS,EUROPA DE LOS PUEBLOS - VERDES,1643,1352,465475,315979,312941
Spain,ES,3,ES211,Alava,EP,1999,BNG,GALICIAN NATIONALIST BLOCK,BLOQUE NACIONALISTA GALEGO,1011,128,243813,155836,154341
Spain,ES,3,ES211,Alava,EP,1999,CE,UNITED NATIONAL MOVEMENT,ERTIANI NATSIONALURI MODZRAOBA,2172,57,243813,155836,154341
Spain,ES,3,ES211,Alava,EP,1999,CIU,CONVERGENCE AND UNITY,CONVERGENCIA I UNIO,139,63,243813,155836,154341
Spain,ES,3,ES211,Alava,EP,1999,CN+EP,NA,NA,NA,40757,243813,155836,154341
Spain,ES,3,ES211,Alava,EP,1999,HB,UNITED PEOPLE,HERRI BATASUNA,473,20789,243813,155836,154341
