,index,election_date,election_type,harmonised_code,harmonised_name,type,name,party_name,votes,nuts3_code,nuts3_name
7604,18,1996-11-03,house,RO124,Harghita,2,PNA,,372,RO124,Harghita
7605,19,1996-11-03,house,RO124,Harghita,2,PNTCD,,346,RO124,Harghita
7606,20,1996-11-03,house,RO124,Harghita,2,PSM,,254,RO124,Harghita
7607,0,2004-11-28,president_b,RO423,Hunedoara,0,eligible_voters,eligible_voters,417632,RO423,Hunedoara
7608,1,2004-11-28,president_b,RO423,Hunedoara,1,issued_ballots,issued_ballots,233879,RO423,Hunedoara
7609,0,2004-11-28,president_b,RO423,Hunedoara,2,ADRIAN NASTASE,PSD + PUR,116585,RO423,Hunedoara
7610,1,2004-11-28,president_b,RO423,Hunedoara,2,TRAIAN BASESCU,Alianța Dreptate și Adevăr,114871,RO423,Hunedoara
7611,0,2016-12-11,house,RO122,Brasov,0,eligible_voters,eligible_voters,516991,RO122,Braşov
7612,1,2016-12-11,house,RO122,Brasov,1,issued_ballots,issued_ballots,201780,RO122,Braşov
7613,0,2016-12-11,house,RO122,Brasov,2,PSD,Partidul Social Democrat,71162,RO122,Braşov
7614,1,2016-12-11,house,RO122,Brasov,2,PNL,Partidul Național Liberal,40738,RO122,Braşov
7615,2,2016-12-11,house,RO122,Brasov,2,USR-PLUS,Uniunea Salvați România,27016,RO122,Braşov
7616,3,2016-12-11,house,RO122,Brasov,2,UDMR,UNIUNEA DEMOCRATA MAGHIARA DIN ROMANIA,11825,RO122,Braşov
7617,4,2016-12-11,house,RO122,Brasov,2,ALDE,PARTIDUL ALIANȚA LIBERALILOR ȘI DEMOCRAȚILOR,11507,RO122,Braşov
7618,5,2016-12-11,house,RO122,Brasov,2,PMP,Partidul Miscarea Populară,8481,RO122,Braşov
7619,6,2016-12-11,house,RO122,Brasov,2,PRU,Partidul România Unită,8428,RO122,Braşov
7620,7,2016-12-11,house,RO122,Brasov,2,PER,Partidul Ecologist Român,3632,RO122,Braşov
7621,8,2016-12-11,house,RO122,Brasov,2,DUMITRU FLUCUS,,3003,RO122,Braşov
7622,9,2016-12-11,house,RO122,Brasov,2,PRM,Partidul România Mare,2210,RO122,Braşov
7623,10,2016-12-11,house,RO122,Brasov,2,ANR,,1511,RO122,Braşov
7624,11,2016-12-11,house,RO122,Brasov,2,FDGR,Forumul Democrat al Germanilor din România,1205,RO122,Braşov
7625,12,2016-12-11,house,RO122,Brasov,2,NICU RADULESCU,,891,RO122,Braşov
7626,13,2016-12-11,house,RO122,Brasov,2,PSR,,684,RO122,Braşov
7627,14,2016-12-11,house,RO122,Brasov,2,PRO,,337,RO122,Braşov
7628,15,2016-12-11,house,RO122,Brasov,2,UER,,218,RO122,Braşov
7629,16,2016-12-11,house,RO122,Brasov,2,FCER,,216,RO122,Braşov
7630,17,2016-12-11,house,RO122,Brasov,2,AMR,,180,RO122,Braşov
7631,18,2016-12-11,house,RO122,Brasov,2,UBBR,,67,RO122,Braşov
7632,19,2016-12-11,house,RO122,Brasov,2,UUR,,64,RO122,Braşov
7633,20,2016-12-11,house,RO122,Brasov,2,(CRLR),,64,RO122,Braşov
7634,21,2016-12-11,house,RO122,Brasov,2,UAR,,59,RO122,Braşov
7635,22,2016-12-11,house,RO122,Brasov,2,UDSCR,,58,RO122,Braşov
7636,23,2016-12-11,house,RO122,Brasov,2,PNL-Aripa tânără,,52,RO122,Braşov
7637,24,2016-12-11,house,RO122,Brasov,2,PO,,50,RO122,Braşov
7638,25,2016-12-11,house,RO122,Brasov,2,UCRR,,45,RO122,Braşov
7639,26,2016-12-11,house,RO122,Brasov,2,USR-PLUS,,44,RO122,Braşov
7640,27,2016-12-11,house,RO122,Brasov,2,UDTR,,44,RO122,Braşov
7641,28,2016-12-11,house,RO122,Brasov,2,ROASIT,,41,RO122,Braşov
7642,0,2000-11-26,house,RO423,Hunedoara,0,eligible_voters,eligible_voters,415243,RO423,Hunedoara
7643,1,2000-11-26,house,RO423,Hunedoara,1,issued_ballots,issued_ballots,287237,RO423,Hunedoara
7644,0,2000-11-26,house,RO423,Hunedoara,2,PDSR,,92186,RO423,Hunedoara
7645,1,2000-11-26,house,RO423,Hunedoara,2,PRM,Partidul România Mare,67013,RO423,Hunedoara
7646,2,2000-11-26,house,RO423,Hunedoara,2,PNL,Partidul Național Liberal,22075,RO423,Hunedoara
