"DATA_ELEZIONE";"TIPO_ELEZIONE";"CIRCOSCRIZIONE";"REGIONE";"PROVINCIA";"COMUNE";"ELETTORI";"ELETTORI_MASCHI";"VOTANTI";"VOTANTI_MASCHI";"SCHEDEBIANCHE";"LISTA";"VOTI_LISTA"
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALICE BEL COLLE";635;328;383;214;7;"EUROPA VERDE";2
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALICE BEL COLLE";635;328;383;214;7;"MOVIMENTO 5 STELLE";32
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALICE BEL COLLE";635;328;383;214;7;"PARTITO PIRATA";1
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALICE BEL COLLE";635;328;383;214;7;"FRATELLI D'ITALIA";22
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALICE BEL COLLE";635;328;383;214;7;"FORZA ITALIA";55
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALICE BEL COLLE";635;328;383;214;7;"PARTITO ANIMALISTA";1
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALICE BEL COLLE";635;328;383;214;7;"AUTONOMIE PER L'EUROPA";0
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALICE BEL COLLE";635;328;383;214;7;"FORZA NUOVA";2
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALICE BEL COLLE";635;328;383;214;7;"CASAPOUND ITALIA - DESTRE UNITE";0
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALLUVIONI PIOVERA";1781;847;863;450;12;"LEGA SALVINI PREMIER";405
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALLUVIONI PIOVERA";1781;847;863;450;12;"AUTONOMIE PER L'EUROPA";0
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALLUVIONI PIOVERA";1781;847;863;450;12;"POPOLARI PER L'ITALIA";2
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALLUVIONI PIOVERA";1781;847;863;450;12;"PARTITO DEMOCRATICO";128
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALLUVIONI PIOVERA";1781;847;863;450;12;"PARTITO COMUNISTA";6
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALLUVIONI PIOVERA";1781;847;863;450;12;"LA SINISTRA";3
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALLUVIONI PIOVERA";1781;847;863;450;12;"POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE";3
