"CIRCOSCRIZIONE";"REGIONE";"PROVINCIA";"COMUNE";"ELETTORI";"ELETTORI_MASCHI";"VOTANTI";"VOTANTI_MASCHI";"SCHEDE_BIANCHE";"LISTA";"VOTI_LISTA"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALESSANDRIA";74090;34783;42695;20888;505;"IO CAMBIO - MAIE";"56"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALESSANDRIA";74090;34783;42695;20888;505;"FRATELLI D'ITALIA - ALLEANZA NAZIONALE";"1391"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALESSANDRIA";74090;34783;42695;20888;505;"SCELTA EUROPEA";"342"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALFIANO NATTA";657;314;475;231;25;"NUOVO CENTRO DESTRA - UDC";"17"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALFIANO NATTA";657;314;475;231;25;"SCELTA EUROPEA";"3"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALFIANO NATTA";657;314;475;231;25;"PARTITO DEMOCRATICO";"131"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALFIANO NATTA";657;314;475;231;25;"MOVIMENTO 5 STELLE BEPPEGRILLO.IT";"89"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALFIANO NATTA";657;314;475;231;25;"LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO";"37"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALFIANO NATTA";657;314;475;231;25;"IO CAMBIO - MAIE";"1"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALFIANO NATTA";657;314;475;231;25;"FRATELLI D'ITALIA - ALLEANZA NAZIONALE";"32"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALFIANO NATTA";657;314;475;231;25;"FORZA ITALIA";"90"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALFIANO NATTA";657;314;475;231;25;"ITALIA DEI VALORI";"3"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALFIANO NATTA";657;314;475;231;25;"L'ALTRA EUROPA CON TSIPRAS";"19"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALFIANO NATTA";657;314;475;231;25;"VERDI EUROPEI-GREEN ITALIA";"8"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALICE BEL COLLE";670;331;426;230;12;"NUOVO CENTRO DESTRA - UDC";"8"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALICE BEL COLLE";670;331;426;230;12;"SCELTA EUROPEA";"2"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALICE BEL COLLE";670;331;426;230;12;"L'ALTRA EUROPA CON TSIPRAS";"5"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALICE BEL COLLE";670;331;426;230;12;"MOVIMENTO 5 STELLE BEPPEGRILLO.IT";"72"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALICE BEL COLLE";670;331;426;230;12;"PARTITO DEMOCRATICO";"140"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALICE BEL COLLE";670;331;426;230;12;"LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO";"48"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALICE BEL COLLE";670;331;426;230;12;"IO CAMBIO - MAIE";"0"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALICE BEL COLLE";670;331;426;230;12;"FRATELLI D'ITALIA - ALLEANZA NAZIONALE";"13"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALICE BEL COLLE";670;331;426;230;12;"FORZA ITALIA";"101"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALICE BEL COLLE";670;331;426;230;12;"ITALIA DEI VALORI";"3"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALICE BEL COLLE";670;331;426;230;12;"VERDI EUROPEI-GREEN ITALIA";"3"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALLUVIONI CAMBIO'";984;457;501;253;15;"NUOVO CENTRO DESTRA - UDC";"12"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALLUVIONI CAMBIO'";984;457;501;253;15;"L'ALTRA EUROPA CON TSIPRAS";"4"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALLUVIONI CAMBIO'";984;457;501;253;15;"LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO";"43"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALLUVIONI CAMBIO'";984;457;501;253;15;"VERDI EUROPEI-GREEN ITALIA";"3"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALLUVIONI CAMBIO'";984;457;501;253;15;"FORZA ITALIA";"114"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALLUVIONI CAMBIO'";984;457;501;253;15;"ITALIA DEI VALORI";"1"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALLUVIONI CAMBIO'";984;457;501;253;15;"SCELTA EUROPEA";"0"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALLUVIONI CAMBIO'";984;457;501;253;15;"IO CAMBIO - MAIE";"1"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALLUVIONI CAMBIO'";984;457;501;253;15;"PARTITO DEMOCRATICO";"174"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALLUVIONI CAMBIO'";984;457;501;253;15;"MOVIMENTO 5 STELLE BEPPEGRILLO.IT";"87"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALLUVIONI CAMBIO'";984;457;501;253;15;"FRATELLI D'ITALIA - ALLEANZA NAZIONALE";"22"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALTAVILLA MONFERRATO";426;217;322;167;17;"MOVIMENTO 5 STELLE BEPPEGRILLO.IT";"54"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALTAVILLA MONFERRATO";426;217;322;167;17;"L'ALTRA EUROPA CON TSIPRAS";"9"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALTAVILLA MONFERRATO";426;217;322;167;17;"VERDI EUROPEI-GREEN ITALIA";"4"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALTAVILLA MONFERRATO";426;217;322;167;17;"FRATELLI D'ITALIA - ALLEANZA NAZIONALE";"22"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALTAVILLA MONFERRATO";426;217;322;167;17;"IO CAMBIO - MAIE";"1"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALTAVILLA MONFERRATO";426;217;322;167;17;"SCELTA EUROPEA";"0"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALTAVILLA MONFERRATO";426;217;322;167;17;"FORZA ITALIA";"37"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALTAVILLA MONFERRATO";426;217;322;167;17;"PARTITO DEMOCRATICO";"114"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALTAVILLA MONFERRATO";426;217;322;167;17;"LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO";"46"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALTAVILLA MONFERRATO";426;217;322;167;17;"NUOVO CENTRO DESTRA - UDC";"7"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALTAVILLA MONFERRATO";426;217;322;167;17;"ITALIA DEI VALORI";"1"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALZANO SCRIVIA";320;169;276;143;22;"FORZA ITALIA";"65"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALZANO SCRIVIA";320;169;276;143;22;"VERDI EUROPEI-GREEN ITALIA";"1"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALZANO SCRIVIA";320;169;276;143;22;"LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO";"28"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALZANO SCRIVIA";320;169;276;143;22;"L'ALTRA EUROPA CON TSIPRAS";"1"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALZANO SCRIVIA";320;169;276;143;22;"SCELTA EUROPEA";"1"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALZANO SCRIVIA";320;169;276;143;22;"FRATELLI D'ITALIA - ALLEANZA NAZIONALE";"7"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALZANO SCRIVIA";320;169;276;143;22;"PARTITO DEMOCRATICO";"56"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALZANO SCRIVIA";320;169;276;143;22;"MOVIMENTO 5 STELLE BEPPEGRILLO.IT";"67"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALZANO SCRIVIA";320;169;276;143;22;"IO CAMBIO - MAIE";"0"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALZANO SCRIVIA";320;169;276;143;22;"ITALIA DEI VALORI";"3"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALZANO SCRIVIA";320;169;276;143;22;"NUOVO CENTRO DESTRA - UDC";"1"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ARQUATA SCRIVIA";5233;2502;3364;1650;36;"ITALIA DEI VALORI";"20"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ARQUATA SCRIVIA";5233;2502;3364;1650;36;"NUOVO CENTRO DESTRA - UDC";"71"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ARQUATA SCRIVIA";5233;2502;3364;1650;36;"L'ALTRA EUROPA CON TSIPRAS";"198"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ARQUATA SCRIVIA";5233;2502;3364;1650;36;"SCELTA EUROPEA";"17"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ARQUATA SCRIVIA";5233;2502;3364;1650;36;"LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO";"254"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ARQUATA SCRIVIA";5233;2502;3364;1650;36;"PARTITO DEMOCRATICO";"1318"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ARQUATA SCRIVIA";5233;2502;3364;1650;36;"MOVIMENTO 5 STELLE BEPPEGRILLO.IT";"837"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ARQUATA SCRIVIA";5233;2502;3364;1650;36;"IO CAMBIO - MAIE";"5"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ARQUATA SCRIVIA";5233;2502;3364;1650;36;"FRATELLI D'ITALIA - ALLEANZA NAZIONALE";"91"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ARQUATA SCRIVIA";5233;2502;3364;1650;36;"FORZA ITALIA";"360"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ARQUATA SCRIVIA";5233;2502;3364;1650;36;"VERDI EUROPEI-GREEN ITALIA";"28"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"AVOLASCA";260;127;212;113;15;"NUOVO CENTRO DESTRA - UDC";"5"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"AVOLASCA";260;127;212;113;15;"IO CAMBIO - MAIE";"1"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"AVOLASCA";260;127;212;113;15;"L'ALTRA EUROPA CON TSIPRAS";"11"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"AVOLASCA";260;127;212;113;15;"FRATELLI D'ITALIA - ALLEANZA NAZIONALE";"8"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"AVOLASCA";260;127;212;113;15;"LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO";"10"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"AVOLASCA";260;127;212;113;15;"PARTITO DEMOCRATICO";"76"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"AVOLASCA";260;127;212;113;15;"MOVIMENTO 5 STELLE BEPPEGRILLO.IT";"43"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"AVOLASCA";260;127;212;113;15;"SCELTA EUROPEA";"1"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"AVOLASCA";260;127;212;113;15;"VERDI EUROPEI-GREEN ITALIA";"3"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"AVOLASCA";260;127;212;113;15;"FORZA ITALIA";"33"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"AVOLASCA";260;127;212;113;15;"ITALIA DEI VALORI";"0"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"BALZOLA";1186;571;938;457;44;"NUOVO CENTRO DESTRA - UDC";"23"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"BALZOLA";1186;571;938;457;44;"L'ALTRA EUROPA CON TSIPRAS";"17"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"BALZOLA";1186;571;938;457;44;"SCELTA EUROPEA";"2"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"BALZOLA";1186;571;938;457;44;"LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO";"65"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"BALZOLA";1186;571;938;457;44;"MOVIMENTO 5 STELLE BEPPEGRILLO.IT";"156"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"BALZOLA";1186;571;938;457;44;"PARTITO DEMOCRATICO";"338"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"BALZOLA";1186;571;938;457;44;"IO CAMBIO - MAIE";"2"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"BALZOLA";1186;571;938;457;44;"FRATELLI D'ITALIA - ALLEANZA NAZIONALE";"51"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"BALZOLA";1186;571;938;457;44;"FORZA ITALIA";"193"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"BALZOLA";1186;571;938;457;44;"ITALIA DEI VALORI";"9"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"BALZOLA";1186;571;938;457;44;"VERDI EUROPEI-GREEN ITALIA";"10"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"BASALUZZO";1926;964;1279;642;45;"ITALIA DEI VALORI";"4"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"BASALUZZO";1926;964;1279;642;45;"IO CAMBIO - MAIE";"2"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"BASALUZZO";1926;964;1279;642;45;"FORZA ITALIA";"238"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"BASALUZZO";1926;964;1279;642;45;"L'ALTRA EUROPA CON TSIPRAS";"24"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"BASALUZZO";1926;964;1279;642;45;"SCELTA EUROPEA";"6"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"BASALUZZO";1926;964;1279;642;45;"LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO";"124"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"BASALUZZO";1926;964;1279;642;45;"PARTITO DEMOCRATICO";"362"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"BASALUZZO";1926;964;1279;642;45;"MOVIMENTO 5 STELLE BEPPEGRILLO.IT";"331"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"BASALUZZO";1926;964;1279;642;45;"FRATELLI D'ITALIA - ALLEANZA NAZIONALE";"49"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"BASALUZZO";1926;964;1279;642;45;"NUOVO CENTRO DESTRA - UDC";"20"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"BASALUZZO";1926;964;1279;642;45;"VERDI EUROPEI-GREEN ITALIA";"14"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"BASSIGNANA";1732;779;1133;547;55;"ITALIA DEI VALORI";"4"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"BASSIGNANA";1732;779;1133;547;55;"NUOVO CENTRO DESTRA - UDC";"23"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"BASSIGNANA";1732;779;1133;547;55;"SCELTA EUROPEA";"4"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"BASSIGNANA";1732;779;1133;547;55;"L'ALTRA EUROPA CON TSIPRAS";"26"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"BASSIGNANA";1732;779;1133;547;55;"LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO";"81"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"BASSIGNANA";1732;779;1133;547;55;"MOVIMENTO 5 STELLE BEPPEGRILLO.IT";"268"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"BASSIGNANA";1732;779;1133;547;55;"PARTITO DEMOCRATICO";"329"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"BASSIGNANA";1732;779;1133;547;55;"IO CAMBIO - MAIE";"4"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"BASSIGNANA";1732;779;1133;547;55;"FRATELLI D'ITALIA - ALLEANZA NAZIONALE";"32"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"BASSIGNANA";1732;779;1133;547;55;"FORZA ITALIA";"250"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"BASSIGNANA";1732;779;1133;547;55;"VERDI EUROPEI-GREEN ITALIA";"10"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"BELFORTE MONFERRATO";430;222;339;182;8;"FRATELLI D'ITALIA - ALLEANZA NAZIONALE";"12"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"BELFORTE MONFERRATO";430;222;339;182;8;"VERDI EUROPEI-GREEN ITALIA";"5"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"BELFORTE MONFERRATO";430;222;339;182;8;"ITALIA DEI VALORI";"1"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"BELFORTE MONFERRATO";430;222;339;182;8;"FORZA ITALIA";"24"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"BELFORTE MONFERRATO";430;222;339;182;8;"NUOVO CENTRO DESTRA - UDC";"5"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"BELFORTE MONFERRATO";430;222;339;182;8;"IO CAMBIO - MAIE";"1"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"BELFORTE MONFERRATO";430;222;339;182;8;"L'ALTRA EUROPA CON TSIPRAS";"10"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"BELFORTE MONFERRATO";430;222;339;182;8;"SCELTA EUROPEA";"0"
"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"BELFORTE MONFERRATO";430;222;339;182;8;"LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO";"17"
