"DESCRCIRC";"DESCRREG";"DESCRPROV";"DESCRCOMUNE";"ELETTORI";"ELETTORI_MASCHI";"VOTANTI";"VOTANTI_MASCHI";"SCHEDE_BIANCHE";"LISTA";"VOTI_LISTA"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"LECCE NEI MARSI";1451;;1258;;167;"LDR-PS D'AZ-PCONSI";"35"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"LECCE NEI MARSI";1451;;1258;;167;"DEMOCRATICI SINISTRA";"164"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"LECCE NEI MARSI";1451;;1258;;167;"LS.CITO LG.AZ.MERID.";"3"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"LECCE NEI MARSI";1451;;1258;;167;"RIFONDAZIONE COMUNISTA";"50"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"LECCE NEI MARSI";1451;;1258;;167;"CDU";"32"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"LECCE NEI MARSI";1451;;1258;;167;"LEGA NORD";"4"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"LECCE NEI MARSI";1451;;1258;;167;"LISTA EMMA BONINO";"27"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"LECCE NEI MARSI";1451;;1258;;167;"COMUNISTI ITALIANI";"22"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"LECCE NEI MARSI";1451;;1258;;167;"RINNOVAMENTO IT-DINI";"17"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"LECCE NEI MARSI";1451;;1258;;167;"PRI-LIB-ELDR.";"1"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"LUCO DEI MARSI                          ";4417;;3500;;229;"LDR-PS D'AZ-PCONSI";"3"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"LUCO DEI MARSI                          ";4417;;3500;;229;"PRI-LIB-ELDR.";"7"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"LUCO DEI MARSI                          ";4417;;3500;;229;"DEMOCRATICI SINISTRA";"766"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"LUCO DEI MARSI                          ";4417;;3500;;229;"COMUNISTI ITALIANI";"69"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"LUCO DEI MARSI                          ";4417;;3500;;229;"LISTA EMMA BONINO";"128"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"LUCO DEI MARSI                          ";4417;;3500;;229;"I DEMOCRATICI";"207"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"LUCO DEI MARSI                          ";4417;;3500;;229;"PPI (POP)";"114"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"LUCO DEI MARSI                          ";4417;;3500;;229;"RINNOVAMENTO IT-DINI";"56"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"LUCO DEI MARSI                          ";4417;;3500;;229;"CENTRO CRIST.DEM.";"36"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"LUCO DEI MARSI                          ";4417;;3500;;229;"PARTITO PENSIONATI";"10"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"LUCO DEI MARSI                          ";4417;;3500;;229;"SDI";"47"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"LUCO DEI MARSI                          ";4417;;3500;;229;"LEGA NORD";"3"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"LUCO DEI MARSI                          ";4417;;3500;;229;"FORZA ITALIA";"945"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"LUCO DEI MARSI                          ";4417;;3500;;229;"LS.CITO LG.AZ.MERID.";"5"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"LUCO DEI MARSI                          ";4417;;3500;;229;"RIFONDAZIONE COMUNISTA";"173"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"LUCO DEI MARSI                          ";4417;;3500;;229;"CDU";"55"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"LUCO DEI MARSI                          ";4417;;3500;;229;"AN - P.SEGNI";"315"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"LUCO DEI MARSI                          ";4417;;3500;;229;"FED.DEI VERDI";"15"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"LUCO DEI MARSI                          ";4417;;3500;;229;"MOV.SOC.TRICOLORE";"75"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"LUCO DEI MARSI                          ";4417;;3500;;229;"U.D.EUR";"77"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"LUCOLI";873;;740;;109;"CENTRO CRIST.DEM.";"5"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"LUCOLI";873;;740;;109;"RINNOVAMENTO IT-DINI";"1"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"LUCOLI";873;;740;;109;"SDI";"12"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"LUCOLI";873;;740;;109;"LS.CITO LG.AZ.MERID.";"1"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"LUCOLI";873;;740;;109;"PARTITO PENSIONATI";"1"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"LUCOLI";873;;740;;109;"COMUNISTI ITALIANI";"11"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"LUCOLI";873;;740;;109;"CDU";"15"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"LUCOLI";873;;740;;109;"RIFONDAZIONE COMUNISTA";"31"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"LUCOLI";873;;740;;109;"LISTA EMMA BONINO";"47"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"LUCOLI";873;;740;;109;"LEGA NORD";"1"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"LUCOLI";873;;740;;109;"I DEMOCRATICI";"63"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"LUCOLI";873;;740;;109;"LDR-PS D'AZ-PCONSI";"1"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"LUCOLI";873;;740;;109;"PRI-LIB-ELDR.";"0"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"LUCOLI";873;;740;;109;"DEMOCRATICI SINISTRA";"91"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"LUCOLI";873;;740;;109;"PPI (POP)";"19"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"LUCOLI";873;;740;;109;"FORZA ITALIA";"146"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"LUCOLI";873;;740;;109;"U.D.EUR";"4"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"LUCOLI";873;;740;;109;"FED.DEI VERDI";"4"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"LUCOLI";873;;740;;109;"MOV.SOC.TRICOLORE";"13"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"LUCOLI";873;;740;;109;"AN - P.SEGNI";"107"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"MAGLIANO DE' MARSI";3032;;2519;;273;"COMUNISTI ITALIANI";"19"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"MAGLIANO DE' MARSI";3032;;2519;;273;"LS.CITO LG.AZ.MERID.";"6"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"MAGLIANO DE' MARSI";3032;;2519;;273;"FORZA ITALIA";"616"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"MAGLIANO DE' MARSI";3032;;2519;;273;"LEGA NORD";"3"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"MAGLIANO DE' MARSI";3032;;2519;;273;"LISTA EMMA BONINO";"164"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"MAGLIANO DE' MARSI";3032;;2519;;273;"PPI (POP)";"129"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"MAGLIANO DE' MARSI";3032;;2519;;273;"PRI-LIB-ELDR.";"30"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"MAGLIANO DE' MARSI";3032;;2519;;273;"LDR-PS D'AZ-PCONSI";"1"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"MAGLIANO DE' MARSI";3032;;2519;;273;"I DEMOCRATICI";"186"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"MAGLIANO DE' MARSI";3032;;2519;;273;"RINNOVAMENTO IT-DINI";"14"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"MAGLIANO DE' MARSI";3032;;2519;;273;"FED.DEI VERDI";"9"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"MAGLIANO DE' MARSI";3032;;2519;;273;"MOV.SOC.TRICOLORE";"47"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"MAGLIANO DE' MARSI";3032;;2519;;273;"CDU";"60"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"MAGLIANO DE' MARSI";3032;;2519;;273;"RIFONDAZIONE COMUNISTA";"64"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"MAGLIANO DE' MARSI";3032;;2519;;273;"SDI";"9"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"MAGLIANO DE' MARSI";3032;;2519;;273;"DEMOCRATICI SINISTRA";"147"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"MAGLIANO DE' MARSI";3032;;2519;;273;"AN - P.SEGNI";"460"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"MAGLIANO DE' MARSI";3032;;2519;;273;"CENTRO CRIST.DEM.";"86"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"MAGLIANO DE' MARSI";3032;;2519;;273;"PARTITO PENSIONATI";"17"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"MAGLIANO DE' MARSI";3032;;2519;;273;"U.D.EUR";"47"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"MASSA D'ALBE";1346;;889;;57;"FORZA ITALIA";"205"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"MASSA D'ALBE";1346;;889;;57;"LEGA NORD";"1"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"MASSA D'ALBE";1346;;889;;57;"LS.CITO LG.AZ.MERID.";"2"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"MASSA D'ALBE";1346;;889;;57;"RIFONDAZIONE COMUNISTA";"17"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"MASSA D'ALBE";1346;;889;;57;"U.D.EUR";"25"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"MASSA D'ALBE";1346;;889;;57;"CDU";"27"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"MASSA D'ALBE";1346;;889;;57;"RINNOVAMENTO IT-DINI";"3"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"MASSA D'ALBE";1346;;889;;57;"MOV.SOC.TRICOLORE";"22"
