"DATA_ELEZIONE";"DESCCIRCEUROPEA";"DESCREGIONE";"DESCPROVINCIA";"DESCCOMUNE";"ELETTORI";"ELETTORI_M";"ELETTORI_F";"VOTANTI";"VOTANTI_M";"VOTANTI_F";"NUMSCHEDEBIANCHE";"NUMSCHEDECONTESTAT";"DESCLISTA";"NUMVOTI"
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALFIANO NATTA";646;322;324;409;209;200;27;0;"PARTITO DEMOCRATICO";55
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALFIANO NATTA";646;322;324;409;209;200;27;0;"AZIONE - SIAMO EUROPEI";10
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALFIANO NATTA";646;322;324;409;209;200;27;0;"ALTERNATIVA POPOLARE";2
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALFIANO NATTA";646;322;324;409;209;200;27;0;"MOVIMENTO 5 STELLE";27
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALFIANO NATTA";646;322;324;409;209;200;27;0;"FORZA ITALIA - NOI MODERATI - PPE";42
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALFIANO NATTA";646;322;324;409;209;200;27;0;"RASSEMBLEMENT VALDÔTAIN";0
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALFIANO NATTA";646;322;324;409;209;200;27;0;"PACE TERRA DIGNITA'";6
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALFIANO NATTA";646;322;324;409;209;200;27;0;"LIBERTA'";3
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALFIANO NATTA";646;322;324;409;209;200;27;0;"FRATELLI D'ITALIA";144
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALFIANO NATTA";646;322;324;409;209;200;27;0;"STATI UNITI D'EUROPA";8
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALFIANO NATTA";646;322;324;409;209;200;27;0;"LEGA SALVINI PREMIER";51
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALICE BEL COLLE";611;317;294;318;178;140;10;0;"ALTERNATIVA POPOLARE";1
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALICE BEL COLLE";611;317;294;318;178;140;10;0;"AZIONE - SIAMO EUROPEI";10
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALICE BEL COLLE";611;317;294;318;178;140;10;0;"PARTITO DEMOCRATICO";49
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALICE BEL COLLE";611;317;294;318;178;140;10;0;"ALLEANZA VERDI E SINISTRA";11
