"CIRCOSCRIZIONE";"REGIONE";"PROVINCIA";"COMUNE";"ELETTORI";"ELETTORI_MASCHI";"VOTANTI";"VOTANTI_MASCHI";"SCHEDE_BIANCHE";"LISTA";"VOTILISTA"
"ITALIA MERIDIONALE";"Abruzzi";"L'Aquila ";"COCULLO";462;216;195;86;13;"UNITI NELL'ULIVO";"36"
"ITALIA MERIDIONALE";"Abruzzi";"L'Aquila ";"COCULLO";462;216;195;86;13;"PAESE NUOVO";"1"
"ITALIA MERIDIONALE";"Abruzzi";"L'Aquila ";"COCULLO";462;216;195;86;13;"ALLEANZA NAZIONALE";"42"
"ITALIA MERIDIONALE";"Abruzzi";"L'Aquila ";"COCULLO";462;216;195;86;13;"AB.SCORP.VERDI VERDI";"1"
"ITALIA MERIDIONALE";"Abruzzi";"L'Aquila ";"COCULLO";462;216;195;86;13;"COMUNISTI ITALIANI";"1"
"ITALIA MERIDIONALE";"Abruzzi";"L'Aquila ";"COCULLO";462;216;195;86;13;"FORZA ITALIA";"37"
"ITALIA MERIDIONALE";"Abruzzi";"L'Aquila ";"COCULLO";462;216;195;86;13;"FIAMMA TRICOLORE";"2"
"ITALIA MERIDIONALE";"Abruzzi";"L'Aquila ";"COCULLO";462;216;195;86;13;"FED.DEI VERDI";"1"
"ITALIA MERIDIONALE";"Abruzzi";"L'Aquila ";"COCULLO";462;216;195;86;13;"P.SEGNI SCOGNAMIGLIO";"2"
"ITALIA MERIDIONALE";"Abruzzi";"L'Aquila ";"COCULLO";462;216;195;86;13;"ALLEANZA LOMBARDA AUTONOMIA";"0"
"ITALIA MERIDIONALE";"Abruzzi";"L'Aquila ";"COCULLO";462;216;195;86;13;"LEGA NORD";"0"
"ITALIA MERIDIONALE";"Abruzzi";"L'Aquila ";"COCULLO";462;216;195;86;13;"SOCIALISTI UNITI";"4"
"ITALIA MERIDIONALE";"Abruzzi";"L'Aquila ";"COCULLO";462;216;195;86;13;"PRI I LIBERAL SGARBI";"1"
"ITALIA MERIDIONALE";"Abruzzi";"L'Aquila ";"COCULLO";462;216;195;86;13;"LISTA EMMA BONINO";"1"
"ITALIA MERIDIONALE";"Abruzzi";"L'Aquila ";"COCULLO";462;216;195;86;13;"RIFONDAZIONE COMUNISTA";"11"
"ITALIA MERIDIONALE";"Abruzzi";"L'Aquila ";"COCULLO";462;216;195;86;13;"DIPIETRO OCCHETTO";"7"
"ITALIA MERIDIONALE";"Abruzzi";"L'Aquila ";"COCULLO";462;216;195;86;13;"UNIONE DI CENTRO";"7"
"ITALIA MERIDIONALE";"Abruzzi";"L'Aquila ";"COCULLO";462;216;195;86;13;"ALTERNATIVA SOCIALE";"7"
"ITALIA MERIDIONALE";"Abruzzi";"L'Aquila ";"COLLARMELE";917;448;808;392;78;"PARTITO PENSIONATI";"3"
"ITALIA MERIDIONALE";"Abruzzi";"L'Aquila ";"COLLARMELE";917;448;808;392;78;"LISTA EMMA BONINO";"15"
"ITALIA MERIDIONALE";"Abruzzi";"L'Aquila ";"COLLARMELE";917;448;808;392;78;"RIFONDAZIONE COMUNISTA";"83"
