COLLEGIO;COMUNE;ELETTORI_TOTALI;ELETTORI_MASCHI;VOTANTI_TOTALI;VOTANTI_MASCHI;SCHEDE_BIANCHE;LISTA;VOTI_LISTA;ELETTO;COGNOME;NOME;SESSO
VALLE D'AOSTA;DONNAS;2087;1014;1614;803;31;FARE PER FERMARE IL DECLINO;17;N;BUILLET;FABRIZIO;M
VALLE D'AOSTA;DONNAS;2087;1014;1614;803;31;VALLEE D'AOSTE;440;E;MARGUERETTAZ;RUDI FRANCO;M
VALLE D'AOSTA;DONNAS;2087;1014;1614;803;31;UNIONE DI CENTRO;18;N;BRINGHEN;LUCA;M
VALLE D'AOSTA;DONNAS;2087;1014;1614;803;31;CASAPOUND ITALIA;6;N;LADU;ANDREA;M
VALLE D'AOSTA;DONNAS;2087;1014;1614;803;31;LEGA NORD;46;N;SPELGATTI;NICOLETTA;F
VALLE D'AOSTA;DOUES;396;198;324;169;10;UNION VALDOTAINE PROGRESSISTE;103;N;VIERIN;LAURENT;M
VALLE D'AOSTA;DOUES;396;198;324;169;10;FRATELLI D'ITALIA;3;N;MELONI;GIORGIA;F
VALLE D'AOSTA;DOUES;396;198;324;169;10;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;26;N;COGNETTA;ROBERTO UGO MASSIMO;M
VALLE D'AOSTA;DOUES;396;198;324;169;10;AUTONOMIE LIBERTE' DEMOCRATIE;48;N;GUICHARDAZ;JEAN PIERRE;M
VALLE D'AOSTA;DOUES;396;198;324;169;10;NATION VAL D'OUTA;0;N;CAMPION;EROS;M
VALLE D'AOSTA;DOUES;396;198;324;169;10;FARE PER FERMARE IL DECLINO;1;N;BUILLET;FABRIZIO;M
VALLE D'AOSTA;DOUES;396;198;324;169;10;VALLEE D'AOSTE;110;E;MARGUERETTAZ;RUDI FRANCO;M
VALLE D'AOSTA;DOUES;396;198;324;169;10;UNIONE DI CENTRO;4;N;BRINGHEN;LUCA;M
VALLE D'AOSTA;DOUES;396;198;324;169;10;CASAPOUND ITALIA;0;N;LADU;ANDREA;M
VALLE D'AOSTA;DOUES;396;198;324;169;10;LEGA NORD;8;N;SPELGATTI;NICOLETTA;F
