,teryt_code,eligible_voters,issued_ballots,spd,cdu,gruene,csu,rep,fdp,oedp,bp,cm,liga,solidariaet,bsa,apd,bfb,familie,dsu,graue,naturgesetz,autonome,npd,forum,pbc,pass,pds,pead,statt
403,A_14018,72895,55522,13055,22439,2351,0,1555,2294,138,60,181,243,39,20,663,471,0,675,513,163,46,93,621,298,517,5702,58,160
404,A_14019,39373,27944,6519,10172,1268,0,893,1055,79,28,16,14,17,7,342,241,0,194,391,83,25,33,270,30,257,4356,13,60
405,A_14020,32421,25997,3739,11896,956,0,1091,796,96,50,61,104,22,10,434,204,0,266,274,96,29,61,280,93,391,3298,34,57
406,A_14021,64762,46856,8820,19234,1746,0,1458,1809,97,47,49,35,29,38,678,423,0,297,440,133,46,88,486,47,610,6875,50,106
407,A_14022,79214,58803,8222,24279,3663,0,2157,2587,224,57,113,169,71,27,824,753,0,1216,828,192,34,163,726,122,617,7974,50,205
408,A_14023,36165,26533,6077,8636,1721,0,1010,896,51,46,22,18,12,7,339,255,0,251,278,80,20,40,265,37,251,4708,21,55
409,A_14024,37356,28217,5133,12225,1174,0,986,989,67,25,67,92,25,13,383,222,0,266,284,104,34,35,347,96,385,3373,22,106
410,A_14025,58392,42079,7217,17654,2230,0,1308,1281,244,58,105,87,38,34,634,413,0,401,352,138,76,103,483,48,634,5813,34,282
411,A_14026,58410,41980,6735,17925,1822,0,1599,1296,147,46,71,67,47,14,525,387,0,602,481,114,52,91,550,46,503,6242,60,112
412,A_14027,20969,15703,3540,5968,571,0,526,494,33,16,23,22,13,6,168,157,0,287,140,58,14,34,384,63,165,1813,11,48
413,A_14028,48186,34127,7931,13553,1848,0,969,1204,62,29,60,69,27,11,337,306,0,454,318,107,41,73,423,103,371,3803,19,102
414,A_14029,17922,13745,2094,5901,504,0,644,407,34,10,32,52,13,17,146,128,0,399,152,57,5,45,151,38,199,1644,17,41
415,A_14030,52708,38861,9193,13763,2091,0,1306,1892,112,45,61,32,32,34,545,496,0,571,353,150,21,107,484,58,457,4925,33,87
416,A_14031,29928,22045,3486,9101,913,0,866,746,73,30,36,46,13,7,244,156,0,680,186,93,18,33,165,52,240,3224,18,49
417,A_14032,47203,34614,7180,13707,1355,0,1179,1257,83,34,59,81,32,7,448,279,0,521,359,124,26,83,323,50,442,4555,22,88
418,A_14033,44810,32387,7158,12409,1401,0,894,1619,54,19,108,49,14,14,383,252,0,483,369,79,25,41,351,117,256,4240,19,50
419,A_14034,75720,50645,11779,16146,1602,0,1343,1793,94,45,52,60,35,35,539,411,0,492,394,174,50,103,317,59,567,11536,50,103
420,A_14035,43058,33522,5286,15275,1104,0,926,1153,64,34,60,51,28,19,372,203,0,400,344,121,25,50,245,55,398,5275,29,77
421,A_14036,25283,19431,4746,7189,711,0,991,769,62,22,54,77,10,13,216,189,0,233,204,70,12,34,169,149,202,2003,15,57
422,A_14037,99877,70854,17056,23989,4626,0,1857,2988,252,55,77,50,42,25,836,908,0,1844,1087,190,66,119,1016,81,608,9438,66,233
423,A_14038,69000,51511,7089,21669,1776,0,1932,1746,112,43,125,180,37,18,714,622,0,1637,555,153,57,103,552,204,732,7237,44,132
424,A_14039,43743,34338,6298,14452,1152,0,1749,1240,87,31,145,133,26,19,410,277,0,389,246,100,46,61,627,163,476,3640,30,78
425,A_14040,82740,59080,9352,23835,2848,0,2067,2188,175,46,83,95,93,26,730,543,0,1144,715,171,41,208,625,77,663,8901,73,191
426,A_14041,27630,20695,3159,8674,668,0,938,588,45,12,46,88,32,16,246,152,0,639,158,68,11,30,177,50,301,3233,18,44
427,A_14042,28472,20607,4707,7500,782,0,1029,826,53,34,54,81,14,11,213,181,0,467,175,66,18,33,205,100,190,2451,13,43
428,A_14043,36784,27722,5495,9661,1428,0,900,1158,61,17,24,18,15,23,342,184,0,835,206,80,33,48,421,22,354,4332,20,47
429,A_14044,80976,59705,8326,26074,2462,0,1939,1952,163,62,76,90,95,74,771,730,0,925,859,187,38,472,529,78,764,9585,84,233
430,A_14045,27542,21458,4830,8570,1092,0,811,1122,51,29,47,58,15,14,262,150,0,248,187,76,30,23,256,65,213,2086,17,56
431,A_14046,40446,28518,7293,9756,1425,0,1318,1295,64,30,69,133,17,9,301,199,0,692,253,76,31,19,309,77,255,3504,12,62
