,teryt_code,eligible_voters,issued_ballots,spd,cdu,fdp,linke,gruene,csu,npd,rep,familie,tierschutz,pbc,mlpd,bueso,bp,psg,volksabstimmung,zentrum,adm,cm,dkp,dvu,violetten,fwd,oedp,piraten,rrp,renter
108,A_05914,140145,95011,30708,28492,10689,9670,8545,0,1147,801,441,829,0,74,23,0,8,102,48,0,0,0,68,0,0,54,1544,210,467
109,A_05915,129218,89529,28756,29654,10746,8447,6435,0,980,310,376,502,0,13,15,0,13,53,29,0,0,0,59,0,0,44,1617,115,309
110,A_05916,118280,79748,31927,18002,7090,10060,6322,0,938,1211,364,532,0,102,8,0,16,46,40,0,0,0,68,0,0,44,1242,146,358
111,A_05954,261058,191561,65201,52660,24335,17374,20260,0,2009,443,905,1505,0,166,42,0,46,161,85,0,0,0,136,0,0,141,3043,262,798
112,A_05958,209440,152242,36741,63133,24530,10064,9460,0,1223,306,910,809,0,25,23,0,26,146,121,0,0,0,96,0,0,112,2008,206,601
113,A_05962,320421,221471,62225,75693,33062,18922,16364,0,2789,790,1282,1869,0,73,37,0,39,269,117,0,0,0,175,0,0,164,3217,547,1248
114,A_05966,104768,76642,16000,35159,12575,4325,4604,0,677,268,407,419,0,15,8,0,21,51,65,0,0,0,49,0,0,49,865,69,211
115,A_05970,218411,156878,44822,53999,23059,12362,13385,0,1910,660,755,920,0,22,26,0,22,152,88,0,0,0,67,0,0,218,2044,200,485
116,A_05974,232781,165293,41522,59805,27675,12460,14081,0,1324,388,1037,922,0,13,48,0,22,149,123,0,0,0,118,0,0,106,2612,315,652
117,A_05978,313622,226802,81932,61615,27025,21312,20119,0,2798,533,1161,1592,0,91,35,0,31,211,89,0,0,0,354,0,0,132,3711,309,1324
118,A_06411,99125,73578,17438,19175,9883,7105,15155,0,500,225,0,603,0,49,63,0,0,0,0,0,0,0,73,0,0,0,2264,0,0
119,A_06412,402198,288977,62350,79120,49792,29948,48870,0,2449,1475,0,2918,0,154,400,0,0,0,0,0,0,0,183,0,0,0,7077,0,0
120,A_06413,67209,44428,10342,12451,6618,5057,6078,0,720,442,0,608,0,19,64,0,0,0,0,0,0,0,36,0,0,0,1106,0,0
121,A_06414,187479,133425,30892,40831,23194,11333,18560,0,1070,1049,0,1005,0,37,269,0,0,0,0,0,0,0,125,0,0,0,2839,0,0
122,A_06431,199708,148308,35748,50275,25219,10891,15683,0,1607,1458,0,1618,0,41,165,0,0,0,0,0,0,0,113,0,0,0,2782,0,0
123,A_06432,212102,161670,41068,49123,26230,12120,21445,0,1644,1065,0,1678,0,70,183,0,0,0,0,0,0,0,101,0,0,0,3539,0,0
124,A_06433,172278,128119,35058,37526,18630,11103,15677,0,1680,1098,0,1463,0,60,178,0,0,0,0,0,0,0,109,0,0,0,2772,0,0
125,A_06434,164545,131574,24481,47648,28898,7694,15756,0,765,722,0,1246,0,20,110,0,0,0,0,0,0,0,68,0,0,0,2313,0,0
126,A_06435,299306,219769,52143,70596,37044,18739,22663,0,3026,2313,0,3061,0,53,288,0,0,0,0,0,0,0,211,0,0,0,4555,0,0
127,A_06436,164372,130279,25135,47388,26848,7486,15532,0,1010,612,0,1241,0,27,151,0,0,0,0,0,0,0,92,0,0,0,2763,0,0
128,A_06437,73386,52967,14547,15958,8044,4866,5306,0,611,768,0,462,0,39,67,0,0,0,0,0,0,0,32,0,0,0,969,0,0
129,A_06438,237891,179457,37342,59161,33870,12937,20985,0,1699,1079,0,1922,0,30,222,0,0,0,0,0,0,0,177,0,0,0,4445,0,0
130,A_06439,138092,107149,23941,36765,20373,6905,12312,0,893,841,0,970,0,22,106,0,0,0,0,0,0,0,68,0,0,0,2202,0,0
131,A_06440,223046,166853,40951,54215,28966,12218,17798,0,3175,502,0,1870,0,39,148,0,0,0,0,0,0,0,105,0,0,0,3299,0,0
132,A_06531,194073,141443,38043,42226,21762,12267,17161,0,1427,550,0,1276,0,37,161,0,0,0,0,0,0,0,135,0,0,0,3651,0,0
133,A_06532,194479,133947,36239,46439,18878,11138,11709,0,2115,694,0,1305,0,37,133,0,0,0,0,0,0,0,117,0,0,0,2626,0,0
134,A_06533,131968,94277,22068,35965,15615,6696,7745,0,1017,466,0,1117,0,19,99,0,0,0,0,0,0,0,62,0,0,0,1630,0,0
135,A_06534,185071,135293,38139,41356,17410,13181,16884,0,1290,843,0,1116,0,27,151,0,0,0,0,0,0,0,76,0,0,0,2625,0,0
136,A_06535,89974,65598,17585,20023,11038,6055,6010,0,968,417,0,629,0,21,79,0,0,0,0,0,0,0,62,0,0,0,1057,0,0
137,A_06611,140827,97906,27186,23811,11710,11997,16502,0,703,268,0,814,0,142,93,0,0,0,0,0,0,0,71,0,0,0,2530,0,0
138,A_06631,168552,125472,21768,54780,21710,8518,10187,0,1843,669,0,1054,0,43,154,0,0,0,0,0,0,0,121,0,0,0,2166,0,0
139,A_06632,98857,72557,24110,22371,9509,6298,5214,0,1242,191,0,541,0,20,88,0,0,0,0,0,0,0,53,0,0,0,1070,0,0
140,A_06633,191915,145761,50954,38254,18547,13014,15004,0,1350,467,0,1259,0,60,139,0,0,0,0,0,0,0,117,0,0,0,2390,0,0
141,A_06634,148215,111042,37835,30006,14843,10125,9915,0,1420,380,0,1033,0,28,88,0,0,0,0,0,0,0,87,0,0,0,1859,0,0
142,A_06635,128771,91622,26067,29764,14784,7135,8332,0,1008,415,0,645,0,28,80,0,0,0,0,0,0,0,80,0,0,0,1301,0,0
