,teryt_code,eligible_voters,issued_ballots,cdu,spd,gruene,fdp,linke,csu,fw,rep,tierschutz,familie,piraten,oedp,pbc,volksabstimmung,bp,cm,auf,dkp,bueso,psg,afd,pro_nrw,mlpd,npd,partei
189,A_07339,157364,98591,35459,30374,10073,4034,3097,0,1442,452,1566,436,1310,564,143,359,62,66,109,28,25,15,6066,37,16,433,492
190,A_07340,80182,53610,21024,15308,2384,1816,1761,0,1548,561,1237,475,616,104,100,297,42,80,86,14,5,12,3042,19,14,658,235
193,A_08111,378862,201380,61736,46512,39059,10698,11529,0,3109,889,1857,475,3538,1362,371,288,105,149,276,170,153,42,14887,49,238,545,1618
194,A_08115,258396,138646,53400,30164,16588,6380,4524,0,4826,710,1170,585,1761,649,706,296,101,197,596,38,32,31,12193,48,90,805,610
195,A_08116,363627,195920,72535,45347,26801,8101,6462,0,5974,2549,1771,808,2588,1047,709,448,141,290,453,53,35,37,14586,45,153,792,1137
196,A_08117,179093,90071,34748,21022,10306,3385,2901,0,2840,726,895,422,841,466,253,209,71,142,183,25,19,20,7571,31,57,467,370
197,A_08118,363677,198535,72069,47931,25652,8574,6682,0,6385,1231,1885,850,2191,1387,701,398,163,220,470,45,60,44,16232,59,133,937,953
198,A_08119,296116,156642,58877,34777,17377,7859,5033,0,3842,1123,1533,710,1838,1234,938,345,140,225,535,72,61,32,15467,55,87,942,791
199,A_08121,78309,33272,11528,9971,3283,1661,1314,0,375,202,262,114,309,209,61,78,18,28,40,12,6,5,2793,41,49,273,137
200,A_08125,239085,123791,48454,30817,11247,5202,3523,0,2274,951,1250,764,1135,1285,580,340,101,213,285,29,42,29,10041,42,56,1374,491
201,A_08126,82285,42348,17613,9745,3958,1893,1484,0,878,279,380,330,412,224,220,97,46,79,119,13,17,16,2930,10,8,449,160
202,A_08127,141514,68197,25490,16034,8112,2955,2353,0,1312,441,657,475,723,916,454,180,84,127,208,40,27,49,4771,19,60,521,306
203,A_08128,103283,59300,28310,12033,4476,1601,1779,0,1289,457,516,487,576,735,132,116,62,108,123,8,14,14,3894,24,22,493,222
204,A_08135,95219,44594,18133,10735,4644,1040,1518,0,950,572,438,275,440,510,201,108,27,66,111,94,9,11,3252,18,26,277,156
205,A_08136,230415,116074,54057,24869,10913,3123,3397,0,2127,795,986,587,1081,441,338,241,109,181,246,31,39,41,7846,35,66,861,436
206,A_08211,39257,18657,7035,4403,2464,1089,533,0,330,60,216,79,143,63,42,44,6,16,25,7,5,3,1665,9,3,64,80
207,A_08212,207006,101277,28839,25595,19266,4665,5328,0,969,223,960,343,2950,563,305,140,36,82,166,65,31,17,7961,65,75,363,1199
208,A_08215,323232,173398,70759,39874,17574,5830,4990,0,4066,1355,1899,969,2175,611,677,479,98,311,383,53,47,39,14325,64,68,1003,884
209,A_08216,167850,83628,34976,19073,8466,2560,2001,0,2214,406,936,455,803,239,153,253,43,109,106,37,20,29,7112,36,40,488,350
210,A_08221,98268,53822,13983,13388,12757,2574,3421,0,343,86,462,142,1250,313,81,57,19,40,69,36,8,12,3611,13,29,139,537
211,A_08222,200318,88285,24552,26169,12359,3495,5125,0,848,331,1016,296,1485,274,161,211,44,59,119,71,28,26,8437,47,78,874,863
212,A_08225,109800,59582,30153,12223,3901,1302,1454,0,1352,371,531,357,509,329,168,129,48,122,126,16,7,8,3822,22,26,459,184
213,A_08226,399656,216540,77224,55567,25559,8521,7476,0,4999,1072,2403,1089,2729,764,505,516,137,276,328,100,53,70,18401,80,71,1503,1090
214,A_08231,77938,29737,10278,6663,2884,1344,1543,0,424,168,321,156,333,85,109,80,40,46,48,15,17,10,4232,15,20,225,162
215,A_08235,110858,57453,24398,11119,5077,2779,1589,0,1264,385,610,337,492,254,658,188,45,165,245,18,17,18,5761,19,27,401,206
216,A_08236,142528,76435,28203,17542,7983,3188,2114,0,1662,534,906,411,736,342,588,226,79,144,227,26,21,20,8538,36,20,601,341
217,A_08237,86824,44445,17994,7825,3458,5643,1040,0,791,572,426,295,345,223,404,96,23,113,120,6,14,10,3479,20,11,298,128
218,A_08311,155449,85548,18338,20857,23466,2821,7257,0,1047,215,1044,248,1795,749,203,177,30,86,151,71,22,28,4825,21,73,206,988
219,A_08315,190289,109276,40848,24549,17386,4027,3455,0,2119,486,1253,587,1027,609,446,330,65,198,224,37,29,39,7879,42,29,339,485
220,A_08316,121857,65600,23457,15837,9624,2174,2147,0,1634,349,984,393,764,961,181,203,45,134,123,24,15,16,3822,18,19,324,327
221,A_08317,316303,161212,66144,36934,18641,4631,4307,0,4538,729,1765,1137,1481,691,487,464,92,332,305,80,48,46,11084,55,45,796,641
222,A_08325,103195,53160,24116,9731,4112,2416,1174,0,1106,308,507,366,419,1126,247,176,37,130,150,12,13,15,4542,23,13,436,179
223,A_08326,150541,74092,32525,14776,7801,2886,1900,0,1856,278,761,370,676,257,410,236,69,153,182,32,17,27,5925,20,45,648,254
224,A_08327,96043,48601,23261,8605,4310,2233,1206,0,1081,233,480,333,416,212,160,157,41,95,147,17,14,16,3386,23,26,335,174
225,A_08335,202911,102839,38136,22483,16146,4579,3866,0,2393,370,1126,472,1276,542,270,326,64,148,232,37,30,45,6970,44,44,451,564
226,A_08336,162717,78919,26815,20539,11322,2895,2617,0,2037,420,850,423,895,336,455,334,71,165,291,31,20,20,5303,22,46,632,348
227,A_08337,119139,61692,26678,13294,6860,2062,1701,0,1872,409,589,308,563,361,232,240,31,128,178,21,11,18,3800,23,25,419,197
228,A_08415,199935,100213,39288,21246,12923,4473,3461,0,2039,536,956,504,1034,480,447,315,91,189,281,36,18,21,8626,43,76,601,493
229,A_08416,158007,91219,28500,20343,18331,3597,5453,0,1192,332,810,358,1385,650,363,203,43,118,244,71,23,33,6624,16,80,364,739
230,A_08417,139454,68190,30105,13171,6052,2935,2031,0,1609,467,737,507,678,277,314,247,59,121,151,22,17,27,5630,29,95,644,255
231,A_08421,82591,41224,13061,10810,7242,1760,1836,0,571,129,456,180,829,267,93,98,26,46,106,8,14,53,2738,11,45,146,278
232,A_08425,138961,79911,37916,15116,8434,2154,1910,0,1926,462,757,558,801,578,285,221,73,182,428,35,19,20,5221,34,41,492,292
233,A_08426,143105,77407,39244,12092,7863,2358,1677,0,2021,537,724,586,720,1060,184,268,89,291,391,15,17,20,4459,21,26,341,244
234,A_08435,156520,85430,34910,17145,12613,3444,2741,0,2398,295,883,393,872,768,184,264,65,142,280,35,24,20,5630,20,43,344,359
235,A_08436,206250,106823,47401,17930,15027,3253,3344,0,3313,516,981,716,1010,2725,285,316,104,234,472,28,25,55,5886,28,49,455,432
236,A_08437,96443,51879,26157,7864,5525,1509,1164,0,1526,411,521,373,442,294,116,148,42,115,113,13,14,22,3343,18,20,297,163
239,A_09161,90683,30667,0,6166,3419,961,1155,12446,915,222,241,65,439,1033,46,71,287,29,36,9,4,8,2648,9,12,173,173
240,A_09162,924005,422743,0,108649,82846,22303,17057,113475,7699,1386,4859,764,8086,11360,286,626,3498,257,851,292,157,80,32869,142,168,1123,2960
241,A_09163,41596,15629,0,2613,2238,501,497,5758,445,252,194,42,210,461,13,25,372,24,41,17,10,4,1696,8,4,48,105
242,A_09171,82981,30679,0,4828,2682,724,752,14878,1234,244,338,82,275,1053,25,48,609,48,79,15,60,9,2332,10,7,123,121
243,A_09172,74848,27428,0,4423,3301,703,610,12434,981,239,278,67,193,887,73,53,439,85,128,9,5,3,2193,10,7,125,74
244,A_09173,92336,40436,0,6139,5323,1405,906,16628,2083,146,455,107,389,862,34,77,1005,52,125,10,15,13,4215,7,5,120,124
245,A_09174,102640,44674,0,8168,4860,1081,1023,18550,2085,185,480,139,495,1779,45,84,952,44,127,17,14,14,4079,11,10,142,168
246,A_09175,97182,46287,0,8385,7169,1744,1050,17603,1644,146,482,145,617,1286,31,72,1180,38,146,21,13,14,4032,15,8,117,194
247,A_09176,96247,42483,0,7203,3230,818,894,20643,2653,149,309,128,339,1680,64,101,598,67,129,13,13,7,2846,9,6,280,167
248,A_09177,96834,40820,0,5866,4609,975,990,17304,2373,478,525,122,396,1608,17,85,1019,47,133,21,7,11,3725,11,16,142,174
249,A_09178,119723,51944,0,8096,8467,1456,1559,18528,3380,173,639,201,636,1672,55,108,906,50,136,20,12,10,4998,19,13,243,320
250,A_09179,155035,71977,0,15044,10373,2572,1834,26159,2963,261,821,194,1078,1876,68,127,893,61,233,24,15,21,6591,26,16,227,295
251,A_09180,65622,28061,0,3574,2585,971,554,12599,1415,57,322,66,156,1482,29,88,671,34,68,5,2,12,3079,13,8,102,77
252,A_09181,88105,38543,0,6341,6136,1193,1000,15202,1268,127,467,128,360,1548,34,73,899,64,156,14,9,6,3125,6,6,131,138
