,teryt_code,eligible_voters,issued_ballots,cdu,spd,gruene,linke,afd,csu,fdp,fw,piraten,tierschutz,npd,fpd,oedp,partei,ajddvpfdm,bayern,dkp,mlpd,sgvi,tierschutzdo,afmtn,bcfd,bfig,bg,direkt,diem25,dw,grauen,rechte,violetten,liebe,frauen,grauepanther,lkr,mwfdwga,nlds,oel,humanisten,pfdtd,pfg,volt
288,A_09472,84304,50453,0,5612,6845,910,4269,22991,1284,3810,195,589,83,269,982,799,67,304,11,8,1,110,88,73,15,36,42,80,29,76,24,34,25,57,56,39,39,8,31,62,115,75,175
289,A_09473,69832,40006,0,5802,5626,836,3555,16526,1091,2431,169,490,78,166,1009,862,43,156,8,24,0,97,47,43,61,29,36,57,13,61,22,28,27,39,42,34,34,15,16,51,78,46,146
290,A_09474,90648,57875,0,5207,9967,1252,4968,24369,1818,4426,306,644,98,257,1359,1067,63,286,12,11,12,120,76,132,19,31,25,121,35,94,22,35,33,54,76,57,37,18,24,104,107,74,316
291,A_09475,76879,43751,0,6540,4741,860,4528,18790,1144,2976,201,583,87,181,605,842,48,207,11,8,2,99,100,246,28,40,19,55,28,59,17,28,31,32,62,39,35,13,12,45,98,74,113
292,A_09476,54955,31142,0,4644,3113,603,2896,14769,680,1774,122,489,91,126,413,423,21,108,7,11,2,72,56,49,17,21,16,45,24,38,11,26,26,33,25,16,23,1,6,14,104,32,81
293,A_09477,58900,33827,0,4463,4787,675,3218,14217,894,2309,131,426,77,119,732,627,37,168,2,3,0,67,58,76,15,27,15,70,17,41,10,28,18,36,43,26,23,10,17,27,74,51,88
294,A_09478,53699,30999,0,3090,3859,573,3062,14664,745,1835,127,414,89,152,673,639,38,192,3,4,0,62,55,49,21,17,7,38,14,72,12,24,16,25,35,21,27,8,6,32,54,45,92
295,A_09479,58033,31669,0,4869,3531,690,3428,13167,789,1874,126,558,84,162,420,589,55,260,7,7,2,113,70,44,29,23,9,55,21,41,13,27,26,32,51,21,30,10,11,46,77,57,105
296,A_09561,30644,16542,0,1891,3383,608,1683,5590,504,685,128,239,37,76,695,348,30,71,9,3,1,47,32,34,21,11,9,43,3,26,8,10,12,20,18,15,8,2,6,31,44,21,72
297,A_09562,77514,51535,0,6222,14870,2151,3041,14136,2151,1352,586,425,54,157,2116,1953,40,139,6,27,1,58,47,86,56,42,17,286,11,61,17,33,30,50,56,59,29,25,61,204,47,53,667
298,A_09563,86896,49124,0,6914,12144,2406,4348,13687,1694,1280,387,684,71,210,1112,1655,61,236,34,38,4,105,94,199,64,49,25,217,24,59,21,39,47,53,72,58,42,34,57,144,99,63,422
299,A_09564,342881,201242,0,25941,48464,9649,17661,60582,6862,4904,1986,2598,382,682,5348,6874,249,632,132,99,17,351,303,385,377,188,114,872,67,249,74,167,133,263,300,241,174,98,253,482,324,288,1887
300,A_09565,30044,17944,0,2200,4037,520,1508,6428,583,678,130,245,30,101,454,343,25,87,6,5,0,32,23,39,24,16,7,47,4,27,9,15,10,17,20,20,17,6,4,27,21,26,78
301,A_09571,140434,83057,0,7498,13660,2078,6957,35857,2248,5538,660,962,287,506,2410,1326,101,526,20,14,8,142,150,284,22,52,51,130,21,104,27,62,57,95,114,86,63,29,51,85,145,131,272
302,A_09572,103993,69148,0,7638,15265,1660,5296,25955,2391,3925,461,713,117,284,1671,1431,47,325,5,6,1,113,78,85,40,37,40,174,24,92,27,30,41,62,84,77,31,12,34,123,98,70,402
303,A_09573,91862,59550,0,7306,12093,1557,5563,22181,1780,2989,378,811,112,266,1179,1173,54,282,16,9,5,124,91,134,17,34,23,118,37,98,12,36,36,54,66,42,46,19,27,108,133,102,285
304,A_09574,130181,84954,0,9755,16989,2238,7088,32412,2284,5143,690,1058,136,351,2103,1666,79,341,26,11,4,191,112,167,110,48,40,215,28,103,30,50,64,75,77,84,50,23,49,117,219,104,404
305,A_09575,77458,47420,0,4516,7645,1178,3787,20168,1324,3580,308,566,163,232,1407,802,53,279,10,12,0,84,66,89,17,34,21,93,22,59,16,25,35,49,64,52,38,11,26,61,88,69,206
306,A_09576,98021,61851,0,6261,11047,1404,5260,25935,1664,3854,388,785,96,262,1485,1149,76,355,5,19,4,127,99,98,29,40,41,102,34,94,19,44,46,57,73,63,42,15,28,85,112,109,272
307,A_09577,72142,42249,0,4226,6863,928,3206,19042,960,2513,345,455,85,181,1356,630,51,275,9,8,1,66,59,108,15,36,17,61,18,50,15,36,28,31,35,29,41,10,14,35,71,53,147
308,A_09661,50032,28272,0,3196,6548,1029,2517,9236,1255,693,171,341,57,123,1059,817,37,87,13,25,0,45,45,15,27,22,12,102,3,47,13,30,24,34,41,28,28,15,43,58,54,45,191
309,A_09662,37301,18077,0,2512,3022,861,2078,6393,606,583,117,201,21,65,348,484,27,109,3,20,3,43,29,31,52,15,5,45,9,22,7,10,17,20,26,22,15,3,17,29,19,19,86
310,A_09663,98961,62514,0,6512,19475,2431,3692,18068,2834,1390,518,712,78,152,1520,2373,38,173,25,17,7,102,70,66,28,99,41,358,8,68,12,36,30,83,55,90,47,33,61,209,69,75,709
311,A_09671,133359,83199,0,9308,15407,1907,7486,32619,3403,3914,460,1119,137,439,2039,1708,109,429,23,26,4,172,155,67,75,53,58,184,28,134,34,78,67,118,128,64,61,25,42,115,161,148,302
312,A_09672,83393,50100,0,4218,6868,1262,4524,24213,1508,2722,250,638,135,225,1006,769,54,303,8,8,6,110,68,60,6,55,30,66,18,76,25,27,45,56,70,36,48,15,18,54,81,87,155
313,A_09673,63683,37849,0,2999,5651,920,2850,18684,1085,2198,175,357,80,216,547,761,43,220,9,5,3,55,67,59,9,38,18,49,19,62,10,20,25,51,46,34,29,7,21,41,53,61,121
314,A_09674,68076,41409,0,4229,5294,978,3867,18972,1139,2457,215,482,160,235,1226,691,49,320,12,9,2,75,54,51,3,29,15,54,32,77,21,27,39,52,41,20,25,10,16,39,65,60,126
315,A_09675,69339,42702,0,4202,6920,956,3447,17793,1345,3599,218,551,110,210,981,675,45,393,7,6,5,94,67,74,16,33,29,75,18,63,15,27,32,39,51,27,38,12,29,62,56,73,181
316,A_09676,95625,57058,0,6387,9494,1352,4661,23471,2011,3477,307,794,95,291,1391,1025,99,296,17,13,6,118,92,75,91,48,30,119,18,91,28,40,46,82,78,56,59,15,25,69,125,96,189
317,A_09677,99845,63090,0,6997,10240,1249,4917,27794,1679,4068,335,972,106,271,1082,1228,79,341,15,13,2,124,92,44,20,37,37,137,33,93,20,36,43,75,78,64,38,14,22,64,106,81,207
318,A_09678,91257,57003,0,5417,8583,1348,5026,26229,1728,3111,259,713,121,316,1094,986,74,389,4,15,6,122,82,77,15,33,24,73,28,81,31,48,40,65,75,53,38,11,25,61,106,91,207
319,A_09679,127271,86646,0,9695,17730,1841,5991,35729,3078,3933,501,1079,138,387,1791,1677,94,484,10,16,3,140,102,93,33,81,37,183,37,134,28,52,42,112,98,70,60,37,43,142,125,149,412
320,A_09761,190297,105747,0,10642,27011,4085,9421,32368,3837,3389,700,1465,139,316,3463,3608,112,643,37,48,12,196,156,187,309,100,68,504,15,164,36,108,73,114,135,157,102,48,102,262,191,132,929
321,A_09762,31409,16454,0,1422,3365,553,1676,6257,508,797,134,194,21,51,466,301,19,140,4,3,2,31,28,29,21,20,11,48,4,17,6,11,14,13,23,22,11,5,13,29,33,20,80
322,A_09763,48801,27480,0,2326,6009,805,2545,9027,1158,2112,168,317,33,87,882,550,41,159,3,14,3,45,45,45,18,145,14,71,8,37,6,24,20,25,34,47,35,11,15,38,48,48,352
323,A_09764,29480,16907,0,1761,2925,451,1683,6238,620,871,74,156,70,56,1035,267,31,120,0,4,0,26,13,52,18,15,10,20,10,28,6,9,21,17,18,16,12,4,5,23,24,26,77
324,A_09771,101054,63818,0,4575,10564,980,6036,28672,1995,3509,267,726,92,228,2555,1038,66,832,8,13,2,115,72,103,28,36,26,111,10,72,32,35,30,49,62,71,49,14,39,74,105,77,275
325,A_09772,188792,113784,0,8990,20165,2080,10529,47461,3605,7610,596,1446,168,519,4062,1897,127,1080,19,19,13,247,164,152,112,75,57,226,21,180,41,106,85,114,126,149,77,42,53,142,243,144,497
326,A_09773,72685,39769,0,2859,5345,602,4457,18242,1215,3221,173,415,143,203,811,540,49,436,2,8,1,69,72,61,19,23,26,57,9,60,30,30,30,47,46,34,20,9,11,44,73,51,117
327,A_09774,90250,48920,0,3485,6919,885,5322,22044,1528,3343,249,638,164,207,1300,861,72,477,10,5,1,106,86,60,64,51,24,65,16,73,21,36,40,64,60,62,59,8,25,61,85,67,138
328,A_09775,124023,69347,0,6630,13381,1604,6965,26523,2957,3635,493,867,221,350,1685,1054,96,484,19,28,3,146,121,184,103,51,44,151,15,101,44,47,52,97,84,100,63,30,48,101,120,82,320
329,A_09776,60124,37133,0,3023,8863,1025,2454,13873,1308,2760,142,418,29,144,1055,586,50,202,6,4,1,68,64,76,33,38,17,113,13,57,17,25,37,34,28,31,53,12,20,50,74,23,187
330,A_09777,106144,65320,0,4198,11561,1282,4789,29243,1817,5142,296,633,68,231,2251,947,79,946,7,2,3,120,110,127,16,80,35,104,11,85,26,75,38,65,75,63,62,15,29,65,113,63,253
331,A_09778,108873,64090,0,3810,9316,1100,6401,28551,2026,5071,291,613,136,260,3189,797,91,614,7,13,0,111,93,156,18,58,40,94,23,78,24,36,39,78,89,79,39,20,40,52,110,79,274
332,A_09779,100343,59240,0,4771,8139,980,4828,29819,1499,3613,249,594,108,238,1602,789,46,650,10,9,6,72,79,57,20,38,19,65,7,71,18,35,39,61,61,55,25,17,18,60,75,77,149
333,A_09780,119411,76793,0,4637,14449,1251,5473,31496,2291,9950,261,782,77,265,2003,863,76,616,11,6,0,136,114,107,26,277,39,133,11,80,24,55,49,64,98,87,71,10,41,79,123,79,339
336,A_10041,243243,149551,41662,33218,23503,9989,13599,0,5780,1593,1192,2759,611,1558,1122,4612,216,71,69,93,28,554,245,61,255,167,62,462,47,223,83,116,190,254,361,135,136,58,148,246,471,226,905
337,A_10042,79282,55222,19894,12157,6290,2988,4792,0,2087,534,348,967,151,565,254,1070,88,40,10,9,8,227,93,50,13,41,22,60,8,88,24,49,61,79,133,61,58,9,37,54,215,92,193
338,A_10043,105049,68364,21543,16980,7217,4235,7115,0,2332,491,434,1396,234,857,231,1546,116,35,18,44,3,222,114,39,17,41,37,82,15,132,39,49,90,93,199,72,70,14,33,66,251,125,221
339,A_10044,153711,103631,34002,23988,11971,6046,9825,0,3627,983,773,2265,258,1161,391,2305,174,62,42,25,15,427,185,36,104,76,40,119,25,174,64,82,94,182,285,79,115,20,58,118,401,213,380
340,A_10045,113837,78970,24068,16478,11073,4265,8556,0,3105,1031,437,1552,199,1478,426,1901,133,67,17,18,4,271,144,75,33,72,28,152,16,131,52,47,82,124,201,75,73,30,31,80,307,138,351
341,A_10046,72330,53802,20728,12362,5704,2262,4170,0,1541,751,299,889,134,653,225,1161,68,28,7,12,9,168,72,19,8,38,9,56,13,85,31,30,58,85,126,43,54,12,21,49,178,83,165
344,A_11000,2508435,1520678,229352,211717,419377,179943,149177,0,71576,8109,12422,29702,3183,9743,8893,72846,2202,1049,2439,1016,431,4902,3130,1462,4303,2837,1194,18675,511,6870,664,1385,1613,2632,6617,1713,1939,928,4380,3410,3326,3709,17980
347,A_12051,58801,28624,5517,5007,3886,3278,4909,0,1031,907,161,540,125,427,114,745,67,26,64,22,8,127,90,28,14,57,20,74,30,112,31,36,48,85,91,26,45,12,24,55,75,126,144
348,A_12052,78559,45012,7179,7057,4327,5576,10911,0,2180,686,313,712,287,719,185,1366,127,45,118,58,6,189,141,69,21,118,46,143,36,170,46,47,57,186,161,67,84,24,65,81,185,258,249
349,A_12053,44982,22986,3817,3168,2535,4177,4698,0,974,309,133,306,112,327,58,739,74,22,55,44,1,79,71,26,11,60,19,82,12,79,22,14,30,85,81,30,34,12,12,35,80,129,93
350,A_12054,135094,86270,10733,15230,19813,12502,9322,0,3698,674,580,1696,179,906,523,4229,140,54,218,87,22,302,226,87,32,181,88,681,65,243,55,89,111,227,237,113,115,58,255,180,232,237,1131
351,A_12060,151574,88868,14420,13267,10792,13074,17216,0,3294,3528,467,1674,508,1425,379,2512,210,86,267,42,27,365,286,79,27,149,91,374,68,333,113,63,122,234,309,86,121,28,136,112,342,457,351
352,A_12061,136836,86332,15148,14191,10181,9904,17545,0,3731,1775,482,1787,696,1747,396,1926,261,141,208,79,23,486,317,79,65,152,85,313,48,392,111,77,122,222,324,123,136,49,73,150,362,414,372
353,A_12062,86352,51949,11455,8034,3083,5230,12538,0,2322,1282,254,909,562,1306,149,750,171,74,82,44,13,291,206,70,21,100,48,91,38,176,75,66,104,160,126,57,87,17,24,46,190,300,186
354,A_12063,131243,78129,15158,13531,11786,7643,13798,0,3629,1519,422,1597,600,1334,350,1698,166,103,70,66,15,482,280,73,50,112,57,210,39,313,65,59,121,167,247,83,89,31,59,122,253,282,359
355,A_12064,159898,95162,15116,14538,10237,14383,19763,0,4129,1903,446,1922,548,1937,423,2318,270,127,266,70,21,538,304,78,22,199,116,348,77,435,108,71,151,293,425,139,163,28,102,128,455,536,376
356,A_12065,172533,105536,19391,18401,14385,11380,19441,0,4722,1995,696,2256,882,1799,483,2484,254,97,142,51,22,613,371,183,44,185,81,322,78,452,99,78,137,246,345,115,133,40,92,148,412,375,506
357,A_12066,92588,52558,9840,8918,2951,5932,13596,0,2194,1148,262,869,609,1132,178,912,190,86,54,59,20,229,203,51,19,101,58,97,28,179,93,27,90,178,159,45,83,15,31,68,209,318,160
358,A_12067,148367,87721,13944,14108,8455,11529,19212,0,3847,2316,582,1614,954,1889,449,2049,275,112,182,93,25,511,337,83,38,178,74,316,54,397,98,49,119,292,339,102,140,47,72,116,331,443,367
359,A_12068,82700,44207,8866,8897,4801,5508,7822,0,1571,992,222,660,334,795,146,693,109,49,51,38,21,224,153,34,15,67,25,123,35,147,76,30,63,120,115,29,51,5,20,45,158,177,127
360,A_12069,172790,113815,21752,20940,19140,11415,16468,0,5755,2207,705,2007,611,2058,488,2498,305,161,203,71,44,537,343,99,60,179,106,460,97,369,85,95,153,266,293,132,124,46,93,159,374,458,636
361,A_12070,64169,35814,7441,7459,2889,4101,6730,0,1554,847,171,574,220,680,78,570,103,54,44,61,14,175,115,54,13,70,41,77,19,117,65,32,64,99,65,34,39,10,23,56,110,188,97
362,A_12071,96700,59372,10485,9070,3683,5962,17945,0,2800,976,220,911,449,1214,150,930,202,101,124,53,25,331,226,63,22,115,60,93,48,207,78,46,111,199,201,63,93,18,35,66,212,336,189
363,A_12072,135562,81353,14179,14256,9957,9093,15401,0,3485,1734,489,1927,472,1788,327,1975,255,95,133,75,30,583,361,105,35,139,80,250,69,315,86,73,136,230,270,69,102,30,76,115,357,354,371
364,A_12073,99858,54388,11082,10187,4323,6983,11102,0,1846,1110,281,792,591,1192,141,819,185,55,99,51,18,250,165,51,22,134,70,159,98,169,61,38,92,160,126,95,74,14,40,61,177,296,140
367,A_13003,168169,101031,17268,16635,17632,16747,12351,0,3581,1044,820,1393,562,1457,447,4406,287,64,195,122,23,294,254,158,34,128,102,397,35,315,81,103,184,275,329,109,158,44,132,238,290,373,608
368,A_13004,75984,44832,8650,8221,6137,6606,6986,0,1842,726,372,556,234,533,166,1051,102,26,123,47,7,145,98,74,36,89,41,114,10,111,35,37,72,136,151,36,77,17,50,70,122,178,218
369,A_13071,215869,119010,30486,16235,9622,18042,22803,0,4446,1793,492,1436,1208,1960,305,1851,438,60,166,133,44,455,306,164,40,167,118,220,64,249,140,91,216,441,315,216,174,44,91,138,372,637,319
370,A_13072,175793,107583,27814,16762,10752,13537,18147,0,4239,1760,499,1383,1133,1859,380,1664,338,62,149,89,28,447,312,397,48,155,86,212,70,253,131,91,199,362,363,113,159,24,73,115,362,552,346
371,A_13073,185938,103257,29362,11764,9459,13477,19721,0,3867,1229,579,1550,870,1836,249,1774,354,51,201,70,29,457,310,141,37,158,90,218,41,230,102,82,158,352,269,90,133,37,53,110,382,579,349
372,A_13074,127880,77174,17240,14920,9175,9755,11945,0,2819,841,467,967,835,1358,255,1286,228,57,110,53,18,313,197,71,23,95,61,162,26,181,91,54,136,226,246,54,107,23,77,117,246,348,269
373,A_13075,193787,111752,28181,13228,9952,13211,23749,0,4247,1417,471,2207,2341,1871,375,2146,379,70,169,69,23,469,285,175,43,211,104,261,59,239,143,77,210,376,323,136,142,33,94,186,409,688,433
374,A_13076,172741,104441,25893,19532,8556,13577,17503,0,4194,1387,487,1348,1338,1921,262,1309,318,65,131,76,23,443,271,180,27,117,90,135,31,236,117,83,186,379,331,84,131,30,74,105,412,513,307
377,A_14511,193089,120497,23868,12314,13317,16515,27980,0,6133,1793,744,1797,633,1540,824,4598,287,79,161,101,35,341,383,562,46,232,170,433,157,349,186,117,175,280,386,145,196,66,104,326,409,427,746
378,A_14521,283006,182031,48621,13628,9430,18887,49827,0,7938,7598,754,2468,2304,2734,919,2794,440,221,163,89,43,652,583,1499,44,243,197,237,270,410,273,173,269,450,435,152,268,46,102,229,738,747,545
379,A_14522,251968,161854,42234,12493,9898,16819,45066,0,7384,6351,737,2204,1472,2245,888,2979,376,160,144,89,23,578,472,472,58,279,146,291,203,417,171,106,268,398,407,116,210,58,95,241,580,694,575
380,A_14523,189613,115940,29904,11234,8194,13797,27082,0,5502,2898,513,2189,706,1663,820,2063,285,153,102,87,24,493,376,803,29,190,122,198,788,288,135,101,205,275,302,105,193,40,91,132,473,471,390
381,A_14524,264125,159475,40838,14183,11191,18838,37609,0,7799,5756,626,3013,1395,2088,867,3397,356,194,160,140,25,681,524,820,39,217,209,250,319,366,271,128,240,368,426,158,250,46,125,184,650,604,576
382,A_14612,428979,294298,54477,24539,51485,36287,57588,0,14684,6733,3221,3649,1375,2595,3397,13837,518,197,270,214,73,618,673,636,88,604,368,1819,156,709,266,279,372,499,801,391,396,181,689,889,724,877,4243
383,A_14625,249292,162461,39296,10874,8986,16218,50797,0,7834,5270,738,2176,1217,2829,1080,2728,541,227,147,88,33,484,513,408,65,285,257,330,118,423,260,118,322,529,478,184,281,54,92,204,598,792,515
384,A_14626,209406,132908,32282,8510,8215,13039,41988,0,4837,3637,610,2051,1186,2484,700,2464,480,182,124,74,29,575,501,490,51,288,164,284,114,450,196,109,247,382,442,166,270,33,101,182,556,730,421
385,A_14627,199321,128305,29621,9015,9993,12327,39018,0,6338,3620,667,1866,1308,1932,1142,2347,339,149,102,85,19,448,409,271,60,250,170,272,85,337,196,86,208,355,444,133,210,42,112,166,432,564,561
386,A_14628,201720,135002,30801,8342,9292,12255,43478,0,6168,5417,626,1893,1726,1932,868,2213,395,196,129,84,19,451,448,263,47,242,169,301,111,407,245,114,250,383,402,148,248,45,101,178,516,637,602
387,A_14713,454329,279855,44611,29478,55819,41364,42954,0,11631,4160,2207,4423,846,2667,2148,15648,553,174,309,300,84,833,750,480,107,767,452,2348,154,920,250,266,399,641,960,292,458,185,1227,860,904,834,3032
388,A_14729,213888,132163,34424,12920,10310,13918,32594,0,5959,3880,596,1999,975,2067,574,2345,340,108,127,86,31,547,417,220,48,207,185,289,113,406,267,98,204,356,440,103,204,52,111,151,565,586,558
389,A_14730,162384,94871,23753,9426,6277,10024,24687,0,4358,3260,445,1288,1068,1497,340,1535,254,77,92,65,29,397,281,91,31,127,108,148,126,276,164,54,144,253,290,79,127,40,64,116,412,466,263
392,A_15001,66949,36512,8288,4400,3754,4937,7303,0,1789,492,162,637,240,589,117,637,131,55,44,40,19,189,195,30,24,86,41,70,31,165,63,24,57,129,120,50,64,26,39,67,185,262,163
393,A_15002,185329,106938,18783,11965,17907,16456,16930,0,5462,1452,616,1688,324,1214,604,4718,258,141,160,155,33,416,408,159,60,254,141,767,50,399,105,85,93,249,426,197,150,78,330,332,375,506,931
394,A_15003,188108,102815,19188,14518,14670,15170,16283,0,4633,871,646,2051,402,1329,409,4146,299,67,112,146,38,482,923,103,48,242,119,508,60,306,108,71,113,252,294,222,141,56,128,277,357,530,882
395,A_15081,69354,38977,9374,5410,3339,6263,6538,0,1691,488,180,513,199,772,137,703,152,55,44,44,16,178,243,45,26,73,50,91,26,121,73,42,75,143,114,65,87,29,60,42,153,280,154
396,A_15082,135013,71757,17382,8225,4537,9949,15786,0,3256,1678,268,1280,461,1313,158,1158,197,69,99,98,25,442,451,79,38,141,101,135,52,209,123,57,103,223,206,81,106,38,48,88,468,557,212
397,A_15083,142547,76206,19072,10302,5605,9456,15221,0,3565,1188,303,1288,469,1548,251,1428,299,118,95,77,36,473,506,83,38,154,97,157,45,222,165,66,123,292,223,83,117,30,74,105,415,464,288
398,A_15084,148580,82394,18973,8803,4930,10738,19749,0,3975,1499,353,1291,1023,1642,264,1379,316,159,99,98,41,473,466,109,57,168,183,153,76,238,223,67,149,288,284,134,166,45,81,93,491,702,280
399,A_15085,182756,97792,25440,12593,8723,13851,17111,0,4079,1308,416,1754,546,1669,339,1849,302,148,99,92,41,555,550,112,52,166,123,217,59,262,160,75,134,296,280,140,164,35,101,130,489,636,341
400,A_15086,75723,41481,10153,5602,3282,5802,7831,0,1951,663,152,692,207,737,90,649,130,55,41,30,17,243,290,40,26,88,38,110,30,135,81,18,50,147,126,54,63,17,43,46,204,264,149
401,A_15087,115994,62291,13623,7345,3195,9239,15312,0,3076,905,206,1019,458,1139,154,970,177,117,88,80,26,455,311,50,38,133,107,94,42,169,135,52,77,228,212,86,93,17,50,56,327,482,194
402,A_15088,154540,88259,20518,9383,5886,11362,20915,0,5243,1342,362,1424,550,1654,215,1480,318,137,155,102,30,527,512,79,55,148,133,203,76,285,159,84,143,299,307,113,116,34,71,131,481,630,291
403,A_15089,161192,80658,19223,9814,5326,11589,16992,0,4147,932,275,1535,523,1429,154,1275,257,120,89,81,44,523,628,124,45,155,82,176,56,234,157,50,117,260,266,81,111,40,48,122,525,536,311
404,A_15090,93514,50842,11632,6939,4103,7543,9638,0,2430,785,192,802,266,1065,143,904,223,65,66,57,35,266,267,107,38,137,60,125,29,163,92,46,87,160,180,74,80,39,54,62,253,388,203
405,A_15091,106738,61436,14789,7144,4088,7727,13075,0,2445,3273,264,912,551,911,134,1089,167,104,72,67,33,287,297,83,28,141,88,103,60,172,94,49,86,178,154,82,78,24,46,56,326,411,228
408,A_16051,165659,100627,19565,12137,14638,15662,16672,0,4678,1785,983,1435,312,1051,640,4014,232,66,119,241,16,289,239,275,42,265,316,392,287,276,79,71,125,222,266,139,154,58,136,173,234,262,627
409,A_16052,76771,43578,7806,3961,3048,7421,12698,0,1855,668,199,556,328,557,174,1361,115,47,65,72,14,144,127,44,17,91,109,93,65,137,59,26,66,128,143,40,81,32,28,48,116,189,148
410,A_16053,82364,53518,8324,6368,10779,8292,6738,0,3444,633,494,636,123,419,425,2846,94,56,58,125,15,90,113,76,25,127,96,408,32,132,33,62,48,98,121,77,73,46,251,196,97,226,647
411,A_16054,30717,17351,4240,1942,1425,3333,3146,0,553,533,78,215,95,199,89,301,47,30,39,33,7,60,48,27,9,51,45,35,10,42,38,22,14,27,59,29,26,4,20,26,41,72,49
412,A_16055,49921,31460,6223,3556,6027,4675,4350,0,1278,328,297,455,197,331,183,1261,59,32,40,66,5,66,81,79,7,103,64,252,26,72,33,31,42,82,77,33,53,21,62,70,91,107,242
413,A_16056,33008,19656,3873,2436,1999,2877,3874,0,833,219,113,305,883,243,92,510,53,24,24,64,7,57,65,35,12,96,43,44,6,65,29,13,22,48,61,18,52,8,12,38,52,66,70
414,A_16061,80973,53326,21896,4317,3852,3782,9786,0,2226,1516,202,495,674,848,438,643,107,56,22,36,6,91,122,59,12,70,55,58,5,112,34,36,59,97,110,39,42,14,15,44,87,180,148
415,A_16062,69807,41083,9332,5373,3015,6489,8992,0,1799,509,160,619,414,614,151,745,126,32,41,106,10,145,138,66,11,193,67,65,24,119,41,22,56,116,110,28,58,2,22,33,135,173,139
416,A_16063,98890,61886,16902,6564,3966,7787,13890,0,2320,2347,248,781,1042,872,206,933,149,72,49,128,12,165,192,69,10,137,120,83,23,143,79,50,61,160,131,32,89,16,40,62,189,234,185
417,A_16064,84351,50181,13180,5844,3402,6073,11351,0,2199,1831,215,656,324,819,186,791,126,66,48,85,18,137,181,47,14,112,98,68,25,124,54,44,68,116,131,32,76,13,17,47,152,190,149
418,A_16065,63063,37495,8740,4903,1707,5896,8471,0,1340,919,172,556,751,547,120,503,110,45,45,60,9,147,137,29,18,84,87,42,15,104,54,28,67,90,85,34,64,4,23,49,151,142,98
419,A_16066,104437,63883,16264,8279,4357,8222,13895,0,2463,1787,333,885,498,984,245,1064,177,102,72,109,12,193,206,157,21,109,177,122,29,170,127,54,82,172,149,70,111,18,50,74,185,225,178
420,A_16067,107910,64599,15260,8949,4762,7840,14385,0,2462,1721,437,890,644,928,255,1378,169,73,47,108,20,229,183,91,24,130,155,105,91,188,107,54,93,188,166,74,112,28,48,77,251,239,229
421,A_16068,57450,35151,9493,3093,2087,4687,8493,0,1501,759,174,531,443,599,110,631,104,39,34,61,7,114,120,24,22,85,88,44,36,108,59,26,64,89,89,26,54,15,15,40,137,120,102
422,A_16069,52476,33914,8528,3325,1855,4660,8030,0,1080,1673,164,445,303,554,243,590,113,76,60,56,10,105,123,46,10,48,89,40,27,101,76,43,43,113,68,36,64,16,24,26,110,117,105
423,A_16070,85619,54305,12000,5426,4465,7262,13419,0,2229,1399,352,795,376,781,235,1519,162,53,44,120,6,163,177,77,19,151,180,117,54,160,87,56,78,156,164,70,100,29,31,91,201,170,218
424,A_16071,66547,43772,11837,3720,3236,4960,10449,0,1959,1370,223,640,521,690,144,828,129,54,37,73,6,142,128,54,16,100,90,77,57,164,69,36,64,121,148,64,55,16,42,81,162,144,147
425,A_16072,48378,27807,7146,2596,1696,4045,7206,0,889,407,110,389,267,316,234,583,54,70,36,97,11,124,75,42,8,46,52,41,30,94,42,30,51,71,65,19,34,3,16,33,110,73,72
426,A_16073,88342,53882,12180,5596,3328,6817,14592,0,2422,1355,273,780,485,818,217,1176,193,55,58,132,9,188,171,62,29,101,127,91,67,178,89,53,99,159,156,68,112,15,34,49,171,181,162
427,A_16074,68278,45101,11366,3966,3183,6282,10210,0,2310,1013,225,798,326,796,211,877,170,86,48,89,11,153,137,62,33,119,108,94,59,135,87,28,70,134,116,56,114,17,44,67,134,185,179
428,A_16075,67029,42514,10429,3791,2253,5713,11264,0,1946,1136,185,605,297,825,216,718,122,75,58,76,5,161,99,92,13,84,99,66,53,134,79,52,68,136,126,45,78,19,29,37,139,162,145
429,A_16076,82940,53197,14559,4859,3031,6427,13297,0,2288,999,244,866,375,978,195,934,152,111,48,80,10,216,175,120,26,146,126,96,64,164,88,46,104,166,158,80,104,24,36,48,193,254,171
430,A_16077,75936,42954,10674,4582,2298,5664,11371,0,1641,587,185,678,325,751,135,703,133,51,51,67,16,160,129,92,17,73,85,57,68,138,112,36,68,149,140,58,69,12,34,44,175,153,120
