,teryt_code,eligible_voters,issued_ballots,cdu,spd,gruene,linke,afd,csu,fdp,fw,piraten,tierschutz,npd,fpd,oedp,partei,ajddvpfdm,bayern,dkp,mlpd,sgvi,tierschutzdo,afmtn,bcfd,bfig,bg,direkt,diem25,dw,grauen,rechte,violetten,liebe,frauen,grauepanther,lkr,mwfdwga,nlds,oel,humanisten,pfdtd,pfg,volt
68,A_04012,80172,41806,8873,10776,7443,2788,4473,0,2105,209,505,715,96,243,88,1012,94,29,13,16,5,161,79,26,89,71,16,87,3,73,71,8,27,55,120,33,61,11,30,122,124,69,175
71,A_05111,414530,263153,64587,39877,76394,12587,18079,0,22172,1363,1721,3216,276,1097,1123,7742,255,163,129,162,19,588,308,172,1041,199,168,1334,25,434,88,192,224,251,592,352,176,183,198,526,401,295,3027
72,A_05112,325373,162888,32106,39558,31533,9320,19359,0,8447,995,1220,2952,463,1216,579,4902,288,100,92,307,47,517,261,167,2223,121,89,422,25,431,192,142,137,216,469,101,120,74,135,272,412,286,1043
73,A_05113,416106,246269,57242,51163,55645,11303,26304,0,15744,1342,1616,4491,415,1495,1015,6771,293,146,249,268,34,630,379,276,1276,200,142,713,36,551,124,192,185,288,538,231,228,136,171,423,363,261,1513
74,A_05114,162065,93883,24916,17017,22805,4388,7248,0,7041,462,694,1500,147,580,379,2297,121,51,43,63,7,214,126,70,468,116,62,317,11,173,38,76,74,97,168,85,63,41,71,150,212,128,588
75,A_05116,188522,103352,30600,16469,23257,4514,8868,0,7215,685,807,1892,231,664,430,2685,151,66,44,40,7,259,175,51,617,83,72,243,19,221,43,91,86,107,238,63,77,49,73,198,260,143,577
76,A_05117,123207,77168,18298,16230,17594,3243,7396,0,5832,465,521,1330,111,508,299,1880,84,47,35,71,11,202,106,73,287,56,33,196,13,146,37,104,54,84,194,84,40,48,53,120,172,102,437
77,A_05119,150624,82902,18091,20422,15337,4109,10010,0,4336,457,735,1752,235,651,299,2202,126,51,25,70,10,227,119,49,408,52,52,189,12,206,58,202,83,132,242,53,45,43,42,112,239,137,431
78,A_05120,77129,43470,11733,8290,9224,1910,4254,0,2932,244,343,748,60,273,226,1020,87,22,31,15,6,101,65,59,353,39,21,67,9,95,37,41,41,55,91,37,43,19,13,71,98,53,189
79,A_05122,112713,64681,16506,11310,15870,3090,5869,0,4623,380,525,1093,75,421,322,1547,83,27,27,51,12,186,78,61,459,42,38,140,7,109,38,73,58,61,129,51,40,21,35,137,149,67,375
80,A_05124,238998,140535,31132,25947,35420,8565,13628,0,8718,805,1032,2489,273,778,648,4182,189,89,81,109,16,369,217,178,697,114,104,572,15,271,116,96,133,180,271,119,93,77,112,291,300,195,864
81,A_05154,227070,136898,48747,23140,29494,4398,8693,0,9643,732,802,2026,177,936,622,2308,177,73,23,32,11,285,166,88,40,85,63,207,20,256,66,101,118,165,227,99,80,64,68,202,289,169,881
82,A_05158,367255,234389,67116,40333,54144,8214,20603,0,18496,1436,1783,3919,322,1589,1065,4623,347,172,65,100,30,661,322,251,893,140,151,589,35,522,129,202,163,304,602,263,171,121,124,337,499,287,1456
83,A_05162,334970,211310,68001,34152,45451,6704,16801,0,18190,1273,1433,3240,294,1474,977,4091,245,185,50,50,20,622,272,119,667,111,99,498,25,388,86,147,185,273,481,219,130,108,116,361,465,289,1430
84,A_05166,228023,141515,45987,22425,33174,4794,9873,0,11048,942,911,2354,222,987,495,2645,189,79,35,22,13,355,197,132,223,88,66,288,21,310,53,133,123,154,314,112,107,69,63,185,302,161,739
85,A_05170,356669,218516,59081,48737,44847,9330,19658,0,14243,1271,1337,3652,333,1713,681,4499,315,127,43,128,27,515,338,168,615,127,129,332,25,507,117,175,162,255,553,172,143,79,104,275,554,329,1013
86,A_05314,228055,158398,36302,24318,50340,7674,9418,0,11084,765,1171,1707,92,467,1035,4955,119,99,65,69,11,210,125,176,1234,143,70,1054,17,158,48,85,77,180,154,297,64,114,213,419,155,107,2859
87,A_05315,740448,478587,94223,80808,156515,29156,29372,0,29704,2213,3570,6244,370,1744,2247,16016,519,241,180,354,55,884,516,324,2115,431,223,3430,47,730,112,347,338,506,906,498,313,297,725,992,655,516,7624
88,A_05316,116207,69726,18053,13790,15693,2952,6510,0,4613,419,553,1048,103,453,313,1748,109,51,12,62,7,197,94,35,272,48,56,190,9,153,29,55,70,74,222,72,67,39,38,135,143,130,529
89,A_05334,405298,249038,66034,49126,60880,10988,17064,0,14901,1068,2236,3323,294,1151,2261,6785,263,123,60,74,27,543,243,142,670,157,120,1146,21,325,101,155,149,255,369,201,147,141,173,681,451,227,4205
90,A_05358,199697,120531,38646,23922,20431,4248,11541,0,8474,747,860,2210,243,1043,513,2013,258,96,40,20,4,405,189,113,186,81,77,219,23,258,62,109,135,157,351,104,60,49,36,165,318,196,670
91,A_05362,346326,220996,62997,43715,46003,7561,20340,0,16994,1481,1612,3504,339,1516,768,4307,354,156,40,50,15,525,288,120,662,127,123,537,37,457,142,145,197,243,614,226,154,94,94,349,546,298,1459
92,A_05366,151478,92833,31063,15099,16910,3101,8877,0,7807,632,589,1668,137,752,438,1715,168,56,14,12,7,286,147,94,56,71,49,184,14,196,44,88,107,115,240,98,67,38,41,119,269,152,424
93,A_05370,191077,112550,39869,18552,21245,4098,9358,0,7147,1080,697,2015,302,890,437,1946,166,73,12,18,12,321,180,56,148,70,58,162,15,225,62,92,106,139,372,63,72,52,50,128,315,129,642
94,A_05374,207897,126841,39855,22044,26072,4505,11601,0,8786,785,826,1995,162,1144,873,2305,208,85,21,36,13,341,155,624,216,102,89,237,25,247,88,109,138,102,283,108,102,47,62,180,273,154,659
95,A_05378,218103,148330,44232,24012,38570,5015,10646,0,11647,1157,834,2137,113,819,726,2674,205,98,30,34,13,330,182,181,217,87,79,422,9,240,44,98,101,111,274,187,101,75,62,224,272,173,1033
96,A_05382,455483,300253,89675,48389,72121,10666,24211,0,22440,1970,2200,4846,377,1864,1654,6262,857,207,62,72,19,689,395,459,666,200,159,818,36,579,121,261,227,281,634,429,227,167,168,504,607,355,2142
97,A_05512,87999,52298,12582,12867,8968,2138,6387,0,3021,262,373,958,97,379,652,1131,65,27,232,52,5,168,60,17,188,24,34,85,3,116,36,33,43,64,102,34,45,21,18,69,132,87,228
98,A_05513,172667,88496,17200,22497,13697,4025,14398,0,4573,696,566,2215,278,691,251,2306,130,62,52,261,2,287,162,73,1006,73,61,103,23,215,110,60,76,115,252,65,85,29,50,143,254,152,349
99,A_05515,234502,172718,41991,24719,62955,8565,6883,0,9791,734,1065,1550,61,488,1628,5537,80,64,69,47,6,151,137,120,197,97,60,833,19,159,27,65,79,130,180,149,77,95,225,385,170,117,2360
100,A_05554,278982,181446,74957,29102,37233,4563,9778,0,12301,1074,959,1762,177,1316,628,2665,170,81,41,18,6,275,155,97,101,47,93,259,20,252,28,89,106,155,278,86,106,74,58,220,220,196,703
