,teryt_code,eligible_voters,issued_ballots,cdu,gruene,spd,afd,csu,linke,fdp,partei,fw,tierschutz,oedp,fpd,volt,piraten,mera25,heimat,aptierschutz,pfsv,bfig,bcfd,humanisten,mwfdwga,dkp,mlpd,sgvi,abg,bdp,bundnisd,bsw,dava,klimaliste,pasdlg,pdv,pdf,v_partei3
276,A_09371,82470,54567,0,3358,5106,8186,23885,517,1369,622,5447,459,1049,197,613,202,38,40,171,23,13,70,83,66,10,9,6,38,285,176,1918,21,20,98,48,224,67
277,A_09372,103651,62153,0,2781,3026,11509,28014,431,1115,503,8854,357,828,153,452,150,43,46,145,20,12,50,93,46,8,5,3,45,126,279,2580,15,5,60,28,179,65
278,A_09373,104340,70458,0,4977,4379,9941,33688,689,1992,849,6263,563,1378,274,975,241,63,74,198,26,10,80,102,76,17,7,10,53,265,193,2353,73,22,116,39,255,96
279,A_09374,76314,50366,0,2538,4670,8179,23919,403,1189,395,4338,380,616,195,549,131,28,35,141,17,13,44,52,48,8,7,7,43,127,175,1636,22,11,60,22,159,76
280,A_09375,151862,105242,0,8904,7330,15878,45038,995,2969,1183,10950,846,2007,336,1914,318,82,75,270,27,23,115,214,95,9,12,6,56,332,276,3853,85,41,177,63,375,149
281,A_09376,116702,72320,0,3573,5640,12894,31713,583,1585,714,7786,572,1291,280,789,165,52,66,188,18,20,73,94,58,5,8,1,50,195,222,2954,72,14,89,41,262,88
282,A_09377,58347,39053,0,1775,3138,5994,18888,301,821,410,4015,281,436,194,305,124,24,32,125,14,10,34,54,40,7,6,1,31,134,132,1327,21,11,46,22,138,52
283,A_09461,55472,36622,0,7046,3624,3631,11190,1039,1673,820,1098,411,680,104,2226,231,131,14,95,24,16,43,144,39,8,23,4,14,154,135,1329,54,45,210,29,204,78
284,A_09462,55251,33850,0,4835,3926,3635,11735,656,1746,724,1244,376,551,95,1531,173,79,12,111,22,15,73,153,35,12,6,3,18,100,131,1307,51,37,104,19,192,66
285,A_09463,31294,19536,0,2400,2655,2330,6817,410,928,430,544,202,450,85,592,86,37,13,70,10,1,30,64,27,2,8,1,23,68,82,841,39,16,61,17,108,41
286,A_09464,32170,17713,0,1278,2014,2724,7342,306,549,288,641,240,195,61,302,118,35,19,63,9,13,88,54,28,8,5,2,11,47,58,819,171,6,26,9,101,31
287,A_09471,118281,81879,0,5691,5483,14026,36736,801,2593,1019,5845,740,1026,401,1594,374,108,57,236,43,20,91,169,125,10,29,7,62,297,352,3055,46,25,104,40,378,114
288,A_09472,84778,57283,0,3689,5272,7966,26651,497,1668,718,4929,528,637,257,883,146,50,44,181,25,14,62,95,66,8,2,3,47,190,188,1808,33,18,69,30,269,72
289,A_09473,69834,45883,0,3003,5515,7227,19194,493,1304,638,2842,499,699,249,644,164,34,41,177,20,19,67,116,62,10,16,4,38,167,151,1886,89,19,57,26,250,49
290,A_09474,91975,64475,0,6704,5392,8433,27393,679,2460,895,5149,622,800,255,1367,239,80,69,199,25,18,105,167,58,9,8,10,38,232,255,2051,59,29,100,49,292,93
291,A_09475,75640,48018,0,2418,5417,7482,21802,482,1196,663,3187,503,487,222,573,142,39,51,177,24,15,221,76,62,8,5,5,36,140,191,1817,90,16,63,23,207,62
292,A_09476,53633,34209,0,1487,3786,5643,16124,362,773,413,2151,308,332,141,292,97,20,40,126,12,9,77,51,34,4,6,2,28,69,130,1354,11,3,39,24,112,37
293,A_09477,58446,38051,0,2641,4116,5681,16166,451,1116,569,3054,375,484,144,601,118,31,29,137,16,10,88,67,41,3,6,3,22,95,150,1392,20,17,65,21,172,54
294,A_09478,53113,34256,0,1920,2797,5493,15529,326,830,506,2882,312,538,183,499,129,23,31,111,12,7,49,65,49,0,9,4,29,98,277,1165,42,9,27,17,148,36
295,A_09479,56287,34560,0,1767,4038,5908,14964,369,820,514,2145,405,380,150,375,80,29,34,153,10,6,55,67,42,3,9,4,21,66,109,1600,80,4,37,17,150,38
