,teryt_code,eligible_voters,issued_ballots,cdu,gruene,spd,afd,csu,linke,fdp,partei,fw,tierschutz,oedp,fpd,volt,piraten,mera25,heimat,aptierschutz,pfsv,bfig,bcfd,humanisten,mwfdwga,dkp,mlpd,sgvi,abg,bdp,bundnisd,bsw,dava,klimaliste,pasdlg,pdv,pdf,v_partei3
0,A_01001,70935,41851,8264,9912,6551,4275,0,1724,2117,1139,289,888,165,306,1780,351,173,27,137,23,21,43,106,80,24,7,6,16,157,117,2101,103,49,170,35,348,87
1,A_01002,187045,117023,22722,28411,19838,9353,0,5639,6030,4125,772,1959,415,598,6050,809,638,52,361,73,82,109,454,113,86,42,23,39,484,400,4447,578,148,599,63,832,210
2,A_01003,166429,96558,22072,18906,17909,10290,0,3251,5065,2213,983,1520,361,534,4376,601,329,73,337,33,55,118,273,119,34,43,13,37,244,335,3870,670,95,354,79,604,158
3,A_01004,59983,32967,9294,3720,5626,5697,0,709,1921,662,301,498,108,243,597,201,120,87,130,13,20,54,57,39,6,7,7,15,131,159,1518,336,24,47,24,313,53
4,A_01051,108756,68018,23596,5994,10553,11005,0,1150,4865,1123,1032,1034,133,615,1182,366,69,68,285,21,19,54,108,96,12,23,14,39,146,312,2894,23,28,116,55,421,77
5,A_01053,157270,103085,31909,13812,16752,14658,0,2011,6494,1731,1471,1584,364,869,2343,480,184,85,413,41,40,123,195,148,20,19,17,56,322,445,4279,279,62,207,61,859,172
6,A_01054,134516,86308,30037,12186,13845,9207,0,1504,5173,1583,1326,1448,253,892,1375,484,118,59,380,31,26,81,162,156,17,32,10,56,243,282,3495,39,67,177,72,623,133
7,A_01055,168745,106193,36231,13316,18406,13511,0,1688,6604,1638,1645,1740,290,864,1646,544,138,76,477,43,34,137,169,138,19,28,17,51,254,451,4143,71,59,178,89,674,149
8,A_01056,243296,161874,48469,24022,28200,18929,0,3467,11596,2852,1653,2428,629,1078,4238,852,387,97,536,79,71,180,333,194,48,40,22,71,468,736,6650,553,108,345,90,1293,233
9,A_01057,107875,73378,23139,11752,12624,8536,0,1315,4404,1397,916,1082,214,553,1646,393,100,50,274,31,17,80,137,97,14,12,10,27,322,275,2611,63,41,138,43,470,111
10,A_01058,224977,151330,49203,23197,24771,17527,0,2713,9456,3319,1769,2411,457,1114,2832,830,212,125,560,50,56,130,314,180,44,26,31,72,628,642,5867,263,87,309,107,1059,215
11,A_01059,166007,109276,35546,16340,17498,12730,0,2010,6098,1987,1924,1822,335,1090,1932,595,149,69,488,46,40,64,207,178,29,17,13,70,413,552,4890,99,44,214,97,812,186
12,A_01060,219840,141638,44319,18195,22481,19282,0,2697,10037,3205,1778,2269,460,1247,3115,805,233,102,462,73,67,140,284,185,33,24,16,86,561,716,5804,355,106,266,92,1191,224
13,A_01061,106230,68155,22582,8082,10394,10249,0,1235,3907,1426,1169,1028,209,589,1244,366,106,59,253,18,20,70,147,109,33,15,12,58,283,304,2746,117,41,137,50,550,116
14,A_01062,191558,132464,40658,20839,22016,15249,0,2514,9988,2379,1229,1930,475,929,3338,690,253,66,422,65,40,143,267,153,23,14,17,58,402,571,5056,318,99,287,87,1075,208
17,A_02000,1322628,872432,159977,182577,162776,69318,0,44373,60621,21787,4086,13019,3494,2776,51349,5376,5833,318,2470,417,846,964,2128,1091,593,331,125,322,1717,2760,42586,7675,1011,5150,471,5416,1533
20,A_03101,189994,125657,28003,22661,25264,12026,0,3929,7215,3436,853,2120,705,519,6345,1075,492,60,544,70,115,168,458,132,50,73,13,47,340,458,5368,625,150,610,93,941,233
21,A_03102,70385,38722,10123,2340,8672,8470,0,807,1547,664,353,598,73,189,456,140,145,41,223,24,23,50,63,52,14,7,9,26,62,134,2124,672,16,48,22,206,44
22,A_03103,87768,52749,15244,5115,11409,8250,0,918,2868,924,374,800,138,291,1105,305,140,44,245,26,43,136,102,83,13,28,4,29,128,259,2670,206,32,58,51,361,73
23,A_03151,138358,90974,28319,8686,17680,15484,0,1415,4852,1573,1132,1355,221,601,1425,453,93,63,418,44,60,539,161,111,24,21,6,56,225,439,3765,301,35,130,71,631,122
24,A_03153,104368,61634,18313,5283,13157,10004,0,1203,3509,1151,748,1076,138,393,1060,276,100,42,362,40,14,59,109,75,15,6,10,40,141,279,2976,194,35,93,47,321,74
25,A_03154,72270,45470,14056,3630,9678,7739,0,681,2242,797,571,763,184,327,648,261,44,47,274,28,20,41,78,57,4,5,5,13,149,216,2148,77,16,58,22,284,62
26,A_03155,106337,65568,19954,6094,15533,9616,0,1081,3311,1079,781,985,152,352,829,296,99,46,315,31,20,90,117,83,16,12,7,32,120,225,3134,129,32,128,27,346,71
27,A_03157,105808,69274,19827,6501,16103,10579,0,1131,3516,1216,918,1169,173,446,1234,393,131,42,389,30,29,95,144,81,19,16,5,34,200,337,2925,565,33,92,40,448,89
28,A_03158,96108,65518,19424,7730,14282,8812,0,1198,3559,1261,695,1040,193,398,1362,407,93,48,318,39,26,62,102,103,14,11,11,25,182,288,2566,187,41,131,35,450,83
29,A_03159,248689,158718,43365,24826,32452,17045,0,5153,8413,3389,1590,2188,539,778,4679,774,588,111,677,83,72,175,395,165,76,37,20,87,224,459,7056,489,167,705,100,791,193
30,A_03241,846458,558081,147610,91668,109242,62705,0,15086,30723,11925,4657,9113,1714,2480,17131,3784,2133,319,2556,339,485,863,1402,647,233,214,60,265,987,2162,24548,3457,464,1995,354,3724,818
31,A_03251,173605,109839,36377,11440,21249,13703,0,1991,6786,2000,2041,1520,359,664,1858,461,196,57,511,50,49,152,218,142,20,16,13,69,239,560,5024,307,68,225,81,836,126
32,A_03252,115087,70078,20986,7544,14600,11383,0,1211,3612,1127,787,1083,178,413,828,351,126,46,424,32,44,105,133,91,22,14,11,35,140,311,3066,246,57,112,64,444,86
33,A_03254,216581,140694,41438,17218,29983,19445,0,3197,6890,2594,1413,2347,463,806,2646,770,329,105,705,86,80,183,276,181,29,29,18,97,245,567,5935,394,99,309,93,906,189
34,A_03255,54889,33095,9881,2767,7643,5478,0,503,1993,544,359,442,70,205,394,155,54,29,189,15,13,87,47,31,5,3,7,20,56,111,1420,104,20,47,25,175,29
35,A_03256,95409,58078,18818,5624,11353,9090,0,946,2632,1005,1867,830,104,341,739,284,74,33,250,26,25,78,129,54,6,9,10,23,116,235,2428,134,22,111,32,330,74
36,A_03257,125179,79458,23506,8766,17095,11887,0,1250,3951,1379,1666,1323,226,515,991,342,100,60,434,46,24,191,159,105,13,16,10,50,196,314,3228,363,43,137,66,576,91
37,A_03351,141549,87276,29328,9099,14801,13846,0,1573,5187,1530,1121,1306,227,537,1537,376,104,57,447,52,33,188,153,113,18,7,9,49,234,416,3451,108,52,151,61,636,90
38,A_03352,161299,100827,37735,9072,19145,14257,0,1583,4521,1483,1117,1626,239,583,1365,382,125,63,544,42,28,107,167,103,13,21,11,44,216,492,4110,152,47,159,65,607,109
39,A_03353,207813,141751,43993,18747,23461,18329,0,2764,9931,2569,2241,2469,530,823,3256,694,284,105,613,82,69,238,292,205,43,18,25,73,419,700,6023,272,93,309,130,1175,213
40,A_03354,39668,25448,6733,4212,4160,3139,0,957,1094,685,862,432,104,154,287,152,56,17,118,14,8,26,28,35,20,8,4,8,86,61,1474,12,17,208,11,117,39
41,A_03355,147046,100244,24779,18167,17771,11942,0,3442,5851,2118,1150,1895,396,534,2706,648,343,68,523,63,43,116,224,143,25,18,21,47,364,437,4455,130,106,437,68,671,141
42,A_03356,92450,60247,18404,7710,12108,7499,0,1413,3080,990,536,922,195,342,1297,265,96,48,299,33,31,103,120,70,9,12,7,33,172,305,2974,139,43,125,43,537,71
43,A_03357,132480,86878,33145,8499,14998,11582,0,1545,4390,1366,1288,1119,203,522,1562,351,94,65,326,44,44,131,146,105,18,5,8,42,166,360,3348,95,61,183,54,598,85
44,A_03358,110766,69008,22104,6245,14415,10670,0,1087,3490,1123,1080,1075,217,459,1333,342,97,68,348,43,31,94,115,84,7,11,15,50,108,267,2883,90,47,95,41,454,90
45,A_03359,161592,105360,35959,11866,19010,14811,0,1951,5198,1768,1402,1478,271,671,2231,543,159,66,434,55,36,91,213,109,26,9,10,51,182,471,4394,314,45,190,82,749,114
46,A_03360,76118,48960,15365,5184,9343,7286,0,960,2641,855,932,802,164,326,733,280,86,43,275,25,25,71,67,71,19,8,3,19,113,204,2182,52,32,113,33,321,73
47,A_03361,108256,69110,21741,8770,13663,8822,0,1229,3525,1108,790,994,212,370,1633,313,106,41,275,23,23,106,138,88,16,12,7,41,155,323,3160,274,53,175,49,520,76
48,A_03401,55870,30329,8130,2541,6193,5564,0,711,1299,478,270,531,85,205,555,201,59,19,157,13,28,24,70,56,10,5,4,12,60,165,1895,381,12,57,31,262,35
49,A_03402,37557,21196,4434,2181,5529,3479,0,580,937,464,153,405,60,123,350,209,34,20,103,15,12,30,33,25,7,11,5,9,30,78,1484,17,9,38,25,132,34
50,A_03403,132509,88621,18048,20093,16438,6717,0,3582,4896,2256,501,1509,397,300,5214,725,343,40,330,38,44,70,348,90,34,29,11,22,151,300,4153,236,92,461,51,641,164
51,A_03404,122749,80949,19521,16743,15595,5847,0,2915,4573,1922,402,1215,340,262,4354,563,412,29,257,31,58,94,246,84,34,15,14,20,188,255,3093,448,83,346,38,548,115
52,A_03405,59591,30935,8158,2816,6679,5124,0,737,1814,709,279,595,78,162,504,227,79,22,181,18,15,22,86,54,10,15,5,23,63,149,1726,49,23,67,23,208,43
53,A_03451,101137,66376,21637,7766,12513,7911,0,1159,4194,1313,674,1037,261,408,1315,315,74,41,320,37,32,105,143,83,10,7,6,33,99,275,3424,75,27,110,51,516,89
54,A_03452,156981,96159,25345,8198,23680,16296,0,1739,4218,1519,2015,1696,238,651,1038,467,98,74,616,51,35,122,175,142,13,12,15,74,164,330,5243,72,41,169,77,601,142
55,A_03453,125521,76775,36045,4509,8963,12716,0,965,3529,1019,781,709,113,485,1145,267,80,52,240,37,33,138,114,87,11,0,7,38,78,297,3375,60,30,62,43,366,47
56,A_03454,248175,164332,81016,12126,22097,19063,0,2139,7245,2402,1831,1525,295,885,2434,592,211,67,477,53,62,140,268,190,31,17,22,67,165,663,6163,194,42,182,105,787,118
57,A_03455,83379,52023,15064,5098,11442,7249,0,935,3309,1015,563,916,156,364,736,267,82,36,295,35,18,34,98,67,11,14,7,38,218,261,2733,43,35,81,43,425,66
58,A_03456,100912,65604,26714,6021,13721,6261,0,982,3354,903,946,644,161,357,822,241,96,32,222,19,35,65,117,72,6,5,7,22,73,234,2599,112,27,74,40,355,50
59,A_03457,134961,82530,24563,6916,18073,14244,0,1506,3462,1608,920,1182,244,575,1059,344,96,55,397,42,44,342,128,122,26,12,8,43,184,359,4538,92,34,137,56,498,105
60,A_03458,104661,69923,21656,8516,12562,8984,0,1278,4928,1164,1296,1178,234,412,1454,348,106,43,336,29,31,54,170,79,23,9,9,36,128,343,3276,57,45,139,61,582,84
61,A_03459,278438,184343,68268,20453,35864,21045,0,2852,9786,2785,2127,2056,440,1030,2946,808,230,89,613,74,85,328,308,221,34,24,24,72,418,687,7835,366,97,248,147,1130,169
62,A_03460,105420,69870,35370,5693,7688,7739,0,1020,3359,949,824,624,226,383,1171,263,149,33,203,23,32,46,124,87,5,5,5,23,81,244,2432,143,24,68,57,388,70
63,A_03461,70014,41724,12441,3776,9184,6209,0,765,2322,843,545,631,100,299,616,193,69,32,209,19,15,29,65,58,17,15,12,19,54,180,2037,241,11,77,36,306,49
64,A_03462,47259,28375,9287,2136,6019,4667,0,411,1336,469,479,440,75,201,284,125,15,23,173,20,10,31,50,38,6,4,8,11,91,134,1395,14,18,39,16,182,30
67,A_04011,382366,225613,44025,38833,47605,20379,0,14007,12040,5147,1033,3204,730,629,11405,1133,1750,131,808,110,214,293,507,245,119,130,44,94,457,1516,12345,1978,252,1458,142,1502,333
68,A_04012,79500,37728,7798,3671,8724,6425,0,1194,1741,782,175,620,132,194,837,280,134,32,235,21,39,38,57,60,8,26,1,32,65,692,2370,547,51,108,21,257,58
71,A_05111,420681,268547,66644,51891,38171,22577,0,7356,29958,5738,1474,3794,885,928,12744,1337,1699,111,883,116,340,201,597,296,121,193,32,76,419,1034,12875,1577,312,853,176,1637,369
72,A_05112,321610,172477,39013,18404,37699,28526,0,4762,7397,3836,868,3465,568,1132,3493,889,807,139,1023,95,417,145,328,250,109,256,43,133,230,640,9792,4276,129,388,136,1259,253
73,A_05113,408493,249599,66181,34792,47740,33063,0,5983,14788,5932,1191,4726,788,1277,7795,1193,1000,141,1159,109,365,263,552,271,220,212,38,122,366,1000,11378,2197,159,586,165,1709,350
74,A_05114,159214,93823,27847,12499,15972,11147,0,2093,7177,1976,846,1573,314,507,1963,501,296,58,400,40,124,141,192,114,31,60,17,54,185,350,4494,1014,82,211,61,687,137
75,A_05116,186103,103753,33240,11791,16086,14334,0,2491,7043,2159,633,2083,354,545,2294,544,438,67,561,63,165,76,175,129,30,18,15,58,238,470,4923,718,70,230,90,707,165
76,A_05117,121350,79326,21880,10429,16439,9445,0,1428,5730,1688,379,1515,231,420,2175,390,242,41,374,26,164,76,139,85,25,54,11,33,110,325,3529,494,47,158,52,595,122
77,A_05119,147245,83537,21836,8003,18497,14007,0,1868,3821,1965,413,1694,258,625,1665,423,235,50,461,27,184,68,128,97,30,50,13,39,93,347,4221,813,49,150,48,589,107
78,A_05120,77043,43581,13309,4424,7696,6599,0,878,2635,833,236,782,116,292,829,202,120,28,184,14,60,52,100,80,11,20,11,19,99,142,2409,607,24,64,33,288,64
79,A_05122,113280,66821,19283,9031,11103,8710,0,1539,4435,1640,366,1129,253,387,1733,347,210,42,277,32,104,68,140,99,22,40,10,35,148,275,3274,801,39,134,41,519,105
80,A_05124,235790,138807,34126,20414,24229,19170,0,4530,8121,3297,774,2378,451,684,4556,762,787,96,583,73,215,187,264,171,104,99,23,76,310,493,8116,971,92,445,86,994,196
81,A_05154,230502,141240,56035,15728,22099,15632,0,2013,9302,2100,1398,2274,472,1012,2896,537,203,74,528,48,64,109,214,198,20,22,19,57,212,543,4856,66,69,219,122,1025,152
82,A_05158,366668,236106,74175,30847,37311,28635,0,3893,20157,4185,1496,4100,784,1337,5876,1473,671,137,983,95,253,347,403,310,53,92,37,117,455,1085,10830,1767,133,377,172,1789,325
83,A_05162,338485,217974,76153,26784,32658,24819,0,3342,19021,3779,1436,3522,694,1328,5183,1053,593,91,929,88,239,173,411,257,58,58,36,98,503,905,8590,1520,113,362,157,1500,298
84,A_05166,230020,145331,53113,18234,21214,16527,0,2186,11073,2830,1223,2604,535,876,2667,614,228,105,631,62,88,134,242,191,35,26,21,61,296,546,5652,440,74,258,115,1225,209
85,A_05170,359573,226195,70069,24684,47710,30070,0,3824,13329,4454,1451,4170,639,1733,3374,984,441,126,1072,96,199,186,320,318,39,103,40,131,361,952,9890,1339,122,338,179,1697,284
86,A_05314,232294,162927,39964,37442,22678,10906,0,5225,12599,3708,883,1801,619,404,11598,842,1107,41,413,88,835,172,528,120,76,67,20,32,443,531,6378,714,156,673,98,939,213
87,A_05315,752156,496356,103112,120241,75248,35895,0,19837,32991,12879,2304,7397,1793,1636,35310,2206,3364,150,1781,222,645,352,1281,579,205,276,65,125,835,1450,20866,4351,574,2202,268,3170,691
88,A_05316,115725,69217,20023,9021,12594,8944,0,1401,4541,1499,414,1005,210,444,2047,409,211,43,355,35,87,62,167,97,9,47,12,40,145,301,3237,512,88,129,31,529,77
89,A_05334,403167,258709,75063,41897,42018,27640,0,6093,15890,5373,1405,3988,1083,1214,11929,1736,1167,112,1058,85,274,184,951,271,58,74,40,150,482,960,11306,1568,211,666,153,1655,351
90,A_05358,203838,129083,45517,11577,20471,19907,0,2032,7652,2071,1093,2404,349,962,2517,691,250,87,710,52,98,167,255,180,24,23,10,88,236,582,6015,526,65,196,81,951,135
91,A_05362,353493,230868,75132,29835,38236,28267,0,4003,15629,3765,1803,3923,657,1388,6393,1304,633,113,1003,101,260,167,424,315,52,35,25,105,602,991,10253,1446,120,355,148,1722,266
92,A_05366,155957,100414,36989,9599,13495,14831,0,1475,7041,1636,1105,1954,347,684,1992,439,139,91,502,37,49,128,180,138,20,36,14,57,296,520,4599,126,52,143,79,756,129
93,A_05370,197341,120860,46541,11526,16849,17414,0,1813,6778,2135,1253,2264,341,904,2328,639,226,100,581,58,60,58,190,179,18,27,12,58,198,534,5030,397,67,157,89,912,142
94,A_05374,210910,135942,46217,13541,20250,21910,0,2192,8147,2449,1016,2262,535,991,2496,562,213,85,537,49,81,738,201,231,17,28,19,91,356,647,6937,525,62,191,107,1098,180
95,A_05378,220419,152790,50715,23957,22923,15090,0,2398,12175,2580,1187,2214,564,821,5534,608,277,79,577,50,89,200,267,193,31,31,27,51,363,704,5971,463,84,254,113,1152,202
96,A_05382,464140,315698,105402,44073,46011,36703,0,5026,24022,5667,2451,4927,1128,1744,9582,1571,743,157,1153,128,444,521,610,398,48,48,47,151,832,1400,14167,913,167,594,188,2452,407
97,A_05512,87839,53301,15517,4810,11528,8982,0,898,2630,953,267,1063,356,356,857,210,116,31,252,20,92,23,74,67,89,24,4,19,50,193,2424,457,24,80,51,341,73
98,A_05513,169647,88700,20630,6768,18942,19043,0,1787,3815,1642,443,2244,241,528,1358,451,341,64,767,43,236,74,116,112,43,238,14,55,91,344,4296,2300,34,147,43,539,115
99,A_05515,241110,179238,45109,48905,25916,8564,0,6047,11444,3701,722,2348,1156,547,11944,739,820,28,329,63,94,105,638,138,67,48,13,32,215,514,5383,398,164,858,76,1091,265
100,A_05554,286237,193891,88164,19577,27723,19333,0,2498,11733,2706,1869,2051,546,1537,3507,753,277,80,519,55,90,126,345,190,35,31,24,82,236,821,5694,412,87,198,129,1427,173
101,A_05558,177458,128028,53194,17285,19357,11820,0,1558,8018,1856,981,1457,347,1175,2653,585,152,56,351,51,42,55,242,121,13,11,10,55,150,443,3955,159,54,159,71,894,128
102,A_05562,465807,284930,84792,28085,58500,46572,0,4612,14429,5266,1613,5496,754,2106,4640,1262,637,207,1365,117,322,304,391,351,66,186,32,163,372,1308,12952,3196,115,397,217,1969,334
103,A_05566,346841,234932,88644,29146,43276,24288,0,3854,13411,3568,1949,2805,651,1558,4555,984,346,98,640,82,107,182,409,248,36,40,39,87,335,890,8501,532,93,301,148,1594,223
104,A_05570,213073,142697,56254,16539,22912,16111,0,2085,8538,2104,1432,1812,482,905,2447,518,255,65,397,46,63,140,215,171,23,19,19,62,225,543,5449,647,46,189,104,999,132
105,A_05711,237790,151731,36394,28063,27101,16327,0,6353,8930,4177,722,2298,548,694,4678,807,758,79,405,66,326,438,433,183,74,70,26,59,333,501,6921,1196,143,547,97,1062,192
106,A_05754,268700,173115,62091,21652,26400,22789,0,2771,10074,3117,1594,2242,588,1139,3657,693,267,100,500,60,162,359,309,243,35,26,18,104,375,720,7278,717,96,271,132,1241,206
107,A_05758,191491,120842,35617,12309,24263,19568,0,2443,6345,2291,1056,1992,367,772,1781,595,218,76,417,54,81,499,210,179,23,21,21,59,341,488,5957,678,53,181,103,842,160
108,A_05762,112011,73682,32624,6035,10041,10092,0,1035,3753,1219,717,895,320,571,735,323,89,56,236,18,35,86,114,127,15,5,5,70,129,258,2829,183,26,92,54,389,66
109,A_05766,268873,170001,48457,18888,32822,27936,0,3035,9760,3299,1968,2664,602,1237,2272,766,261,112,611,64,134,1512,334,225,32,21,28,85,375,810,8006,581,95,312,116,1162,209
110,A_05770,241948,149104,44708,15169,31278,23074,0,2459,7950,2906,1594,2082,400,1018,1906,652,250,88,503,64,83,1057,285,239,33,36,17,90,277,592,7302,444,69,254,117,986,166
111,A_05774,237159,151925,61814,18333,17181,20894,0,2778,8213,3071,910,1956,424,892,3019,653,350,79,393,40,118,328,337,158,19,23,31,68,425,591,6085,471,86,272,96,829,168
112,A_05911,268865,170047,39586,26420,36964,20173,0,5836,8160,4654,887,3050,579,926,5711,965,835,94,870,83,183,164,415,205,84,180,25,65,274,803,7031,1506,159,607,99,1137,268
113,A_05913,409352,251330,57582,37731,53046,32551,0,7054,12124,7595,1198,6007,707,1395,7534,1439,1175,220,1208,133,425,202,520,318,146,188,30,140,471,903,12136,2694,193,715,172,1598,323
114,A_05914,127308,70467,20345,6500,13374,12318,0,1449,3745,1324,373,1271,203,452,1088,284,200,64,426,30,114,89,106,89,30,85,16,43,118,342,3778,1007,46,101,53,474,108
115,A_05915,125041,73709,22012,6345,15471,12236,0,1263,3862,1209,367,1197,164,477,1364,334,255,54,304,31,90,48,94,89,19,13,11,44,86,278,3723,1033,33,82,51,418,79
116,A_05916,108911,59275,13971,5392,13976,10569,0,1473,2426,1179,320,1400,171,416,989,437,184,56,373,34,161,83,77,68,19,69,7,37,72,244,2879,1109,31,110,38,398,82
117,A_05954,249540,160666,44086,20698,33671,21573,0,2961,9799,3480,962,3130,594,1020,3275,868,323,107,701,67,109,269,282,228,56,138,19,89,304,717,7423,827,111,353,140,1133,212
118,A_05958,202149,133013,61708,9601,19123,16530,0,1561,6770,2275,1108,1781,312,781,1844,450,152,98,421,37,56,109,187,150,20,11,9,59,213,518,4848,360,44,128,114,800,134
119,A_05962,298668,174659,60186,13871,28283,29562,0,2779,9833,2845,1185,3319,796,1231,2338,777,337,134,763,63,173,469,274,234,49,36,41,111,478,860,8965,1611,52,245,129,1249,186
120,A_05966,102531,68373,33927,4608,8667,8340,0,709,3710,885,635,693,185,404,836,210,92,38,180,21,26,53,82,67,23,8,11,28,96,320,2499,188,17,66,46,348,56
121,A_05970,207816,133380,44110,11330,22890,20649,0,2444,8293,2533,1153,2055,772,889,2685,559,359,100,487,53,89,660,246,186,49,31,19,99,324,623,6880,671,63,176,93,853,139
122,A_05974,235256,150178,56066,15895,24342,20804,0,2368,8818,2595,1096,2315,427,969,2102,556,181,74,536,64,99,176,239,206,37,18,19,73,319,595,6327,361,87,244,109,1100,147
123,A_05978,304010,187278,53392,20262,40965,28173,0,3341,9638,3749,1239,3919,506,1426,2939,821,389,95,984,66,137,184,278,266,58,60,37,97,217,838,8258,1690,84,271,125,1329,222
126,A_06411,108079,73758,12759,16876,10682,5680,0,3291,4463,1956,601,984,447,165,7989,546,678,26,219,39,121,151,368,58,41,54,11,45,159,194,3153,427,156,452,33,445,156
127,A_06412,442433,274594,62354,56534,39190,20994,0,12955,23756,6293,2348,3190,888,589,17321,1238,2764,97,733,135,860,317,667,220,202,96,58,131,525,936,12745,2001,299,1116,146,1273,462
128,A_06413,68949,36466,8170,5595,5749,4044,0,2183,2161,841,502,711,115,89,1408,217,539,20,148,18,190,47,85,47,27,6,12,21,89,90,2100,542,46,166,15,167,73
129,A_06414,190458,113046,30020,18496,16739,12009,0,3705,8730,2271,1516,1544,406,303,6153,479,582,53,376,50,559,141,376,78,39,30,17,48,297,393,4920,687,118,342,52,624,224
130,A_06431,199821,130758,41690,14752,19956,21243,0,1999,8363,2099,2584,2385,460,632,2696,537,263,99,596,64,102,212,308,145,29,12,18,108,325,558,5693,355,94,194,107,854,224
131,A_06432,216402,142904,40977,19297,24594,18211,0,2956,8983,2734,2363,2447,630,601,5067,722,449,92,723,62,146,353,338,117,88,41,16,101,406,565,6291,541,221,285,97,894,252
132,A_06433,177473,106433,29895,12204,19083,13895,0,2623,6099,1939,2117,1668,439,478,2561,493,741,84,546,63,269,162,256,93,85,56,13,96,297,405,5670,1840,95,218,68,784,218
133,A_06434,166216,111957,38805,16698,14342,11280,0,1763,11358,1706,1925,1402,381,323,3306,497,277,54,315,45,104,157,255,114,27,16,21,51,370,427,3920,256,117,195,62,651,147
134,A_06435,301947,185521,57373,19027,29276,30936,0,3390,10516,3289,3848,3335,748,897,4224,821,559,168,937,75,230,257,365,211,105,27,22,181,397,743,8712,1272,132,298,135,1150,327
135,A_06436,167632,113345,39005,16129,15053,11791,0,2070,9798,1737,2017,1533,437,390,3729,462,407,76,351,49,170,126,246,103,23,26,15,48,333,566,4156,565,84,212,84,734,165
136,A_06437,70886,44141,13644,3896,8243,7168,0,834,2404,671,1002,765,154,225,721,179,85,44,244,30,27,91,52,65,30,11,9,30,164,157,2028,175,35,87,48,238,72
137,A_06438,241973,153154,49312,19794,22252,19071,0,3002,10510,2683,2860,2895,578,643,4262,717,771,112,685,96,285,215,305,170,52,25,27,94,356,511,6703,1264,144,296,110,905,274
138,A_06439,140068,93566,30783,12105,14130,11764,0,1602,7576,1679,1639,1365,361,337,2807,361,163,61,343,44,76,130,209,73,14,11,18,42,252,387,3344,196,60,155,60,575,195
139,A_06440,230158,148389,46522,17943,22629,21343,0,2511,9510,2862,4042,2392,574,642,3744,646,410,248,649,75,154,224,298,153,42,16,20,86,369,647,6251,499,117,297,99,874,272
140,A_06531,202688,128881,35545,16570,21675,17130,0,3939,6294,2880,3382,2216,784,468,5199,557,530,94,481,54,87,467,394,110,124,30,19,81,251,461,6018,511,131,342,90,746,259
141,A_06532,190666,112657,36911,8982,19559,20480,0,1755,5328,2145,2346,1597,639,450,1721,379,201,242,418,43,77,609,177,125,47,27,29,70,282,512,4636,769,69,139,60,578,145
142,A_06533,130486,80266,29182,7024,11855,12912,0,1208,4476,1113,1720,1236,260,350,2158,288,147,45,330,47,66,98,133,62,17,5,7,53,222,303,3215,267,54,105,55,456,114
143,A_06534,184257,119243,34046,15779,21283,16588,0,4128,5733,2336,2080,1850,535,492,3800,505,428,73,478,68,86,369,305,91,68,21,20,68,241,421,4768,442,286,365,69,555,204
144,A_06535,84321,52067,17326,3888,8748,9536,0,894,2476,811,1885,695,162,270,782,163,76,71,215,18,28,112,95,42,24,6,4,59,136,187,2316,61,48,95,31,252,78
145,A_06611,137802,83053,16850,16258,14762,8521,0,4990,3591,2128,857,1486,410,232,3113,354,488,37,302,49,70,142,190,99,89,71,15,30,206,262,4782,800,113,602,44,415,143
146,A_06631,171949,109503,45164,8140,10671,19986,0,1404,5648,1625,2788,1201,463,530,3083,331,197,97,324,49,39,395,156,100,16,20,9,132,218,496,4412,205,51,146,69,511,142
147,A_06632,92451,56629,17664,3331,12006,10630,0,821,2445,797,1749,767,170,285,1005,168,73,63,253,25,34,181,52,70,11,12,10,51,105,217,2654,65,26,60,43,249,42
148,A_06633,188801,119389,34269,11492,29022,16984,0,2408,4996,1746,2399,2004,386,607,1769,399,170,105,608,51,77,146,163,112,31,25,31,95,283,385,5708,403,91,233,67,592,173
149,A_06634,142262,91651,26084,7524,19828,16137,0,1502,4454,1304,3881,1397,250,447,965,318,101,108,468,43,25,150,125,88,25,17,19,75,168,307,3917,158,51,124,55,409,96
150,A_06635,123025,75097,25870,6178,13734,12701,0,1097,4177,1049,2005,969,227,351,745,215,88,61,345,28,34,144,94,56,29,4,8,53,160,227,3225,116,40,103,48,254,94
151,A_06636,79878,49349,14445,4173,10580,7858,0,1268,2194,814,1867,710,132,215,606,143,84,53,245,25,18,107,70,42,34,10,8,38,102,153,2364,25,29,118,27,187,63
154,A_07111,82420,51813,14734,7649,8606,5263,0,1462,3473,1304,1866,684,313,226,1859,257,156,25,167,23,44,53,130,72,10,8,6,15,118,165,1997,115,48,164,34,326,109
155,A_07131,100522,67406,25535,6791,9311,7037,0,945,4651,1076,3328,1040,411,435,1294,266,135,43,342,34,52,65,110,86,12,14,10,30,124,218,2652,115,43,107,37,353,59
156,A_07132,100932,64770,22869,4039,11142,10272,0,1049,3561,1034,2032,951,216,477,887,217,104,46,317,18,21,302,83,86,24,14,12,41,120,225,3169,168,34,91,63,319,77
157,A_07133,120969,78056,22843,6362,15372,11544,0,1273,5289,1177,2897,1168,377,578,1253,351,112,45,369,30,35,158,135,105,24,6,9,60,159,243,3878,218,79,152,61,394,107
158,A_07134,62855,38526,10738,1896,8146,7072,0,601,2236,587,2230,604,107,310,330,157,40,49,236,15,11,44,49,59,8,4,3,27,65,132,1870,15,24,60,28,135,49
