,teryt_code,eligible_voters,issued_ballots,cdu,spd,fdp,linke,gruene,csu,piraten,npd,tierschutz,rep,oedp,familie,21rrp,renter,bp,pbc,bueso,violetten,mlpd,volksabstimmung,psg,afd,big,prodeutschland,rechte,frauen,freiewahler,nichwahler,vernunft,partei
243,A_09188,95828,74973,0,12384,7777,1948,8359,34797,1325,210,582,121,832,0,18,0,670,0,12,136,8,0,0,3880,0,36,0,87,1336,0,79,0
244,A_09189,132287,91508,0,13634,3986,2763,8247,51554,1405,498,602,441,1220,0,33,0,1351,0,28,135,13,0,0,2812,0,64,0,129,1802,0,116,0
245,A_09190,100076,72771,0,12396,3347,2362,5988,36393,1220,424,475,169,1307,0,40,0,1503,0,11,106,28,0,0,4106,0,54,0,138,2074,0,66,0
246,A_09261,48500,31810,0,5800,1736,1286,2996,15567,555,191,284,55,310,0,4,0,285,0,5,70,4,0,0,1393,0,22,0,50,946,0,36,0
247,A_09262,37827,24238,0,4906,1413,1191,2127,11518,494,161,175,62,484,0,6,0,125,0,4,21,2,0,0,997,0,10,0,36,308,0,23,0
248,A_09263,34677,20027,0,3577,929,868,976,10826,369,279,130,55,324,0,2,0,204,0,6,20,8,0,0,806,0,9,0,32,457,0,21,0
249,A_09271,91396,55518,0,9082,2220,1776,2542,30903,793,810,367,277,568,0,17,0,681,0,10,56,5,0,0,2417,0,34,0,114,2352,0,48,0
250,A_09272,63686,38423,0,6356,1337,1331,1523,21578,487,630,294,158,367,0,19,0,878,0,3,31,6,0,0,1370,0,32,0,57,1655,0,18,0
251,A_09273,87035,58615,0,9895,2457,1662,3352,31979,888,623,400,163,799,0,13,0,921,0,3,79,10,0,0,1811,0,49,0,100,2932,0,50,0
252,A_09274,115738,81219,0,11465,3796,2213,5079,44523,1199,564,644,271,1067,0,23,0,1258,0,19,125,8,0,0,2907,0,82,0,159,5160,0,95,0
253,A_09275,148565,93153,0,16705,3785,3208,4768,51247,1317,943,689,287,1408,0,17,0,995,0,15,101,11,0,0,3521,0,71,0,154,3057,0,80,0
254,A_09276,62635,38031,0,6958,1441,1149,1496,21036,584,485,249,126,451,0,10,0,424,0,4,29,4,0,0,1790,0,23,0,68,1265,0,64,0
255,A_09277,91941,59122,0,8436,2330,1579,3076,35112,857,676,436,139,1046,0,33,0,734,0,20,51,13,0,0,2126,0,47,0,85,1725,0,60,0
256,A_09278,76461,53479,0,7255,2283,1280,1852,32025,674,749,309,196,1164,0,7,0,762,0,4,32,4,0,0,1779,0,27,0,91,2449,0,53,0
257,A_09279,71367,44752,0,7190,1865,1174,1920,25389,577,620,286,299,694,0,7,0,612,0,12,62,4,0,0,1597,0,35,0,100,1877,0,71,0
258,A_09361,33306,20365,0,4708,912,963,1325,9671,412,203,143,37,330,0,5,0,184,0,4,22,3,0,0,849,0,11,0,37,372,0,22,0
259,A_09362,103098,68458,0,14225,3593,3433,9009,28921,1757,342,478,107,1007,0,16,0,323,0,13,98,15,0,0,2842,0,35,0,119,1633,0,53,0
260,A_09363,33252,20743,0,5370,819,1027,1084,9708,391,282,139,29,183,0,4,0,157,0,2,25,0,0,0,903,0,12,0,44,353,0,27,0
261,A_09371,82545,58503,0,13189,2094,1999,3109,29543,1104,634,355,177,837,0,21,0,581,0,10,47,9,0,0,1926,0,50,0,92,2091,0,67,0
262,A_09372,102044,65634,0,9622,2560,1871,2718,37506,957,684,460,246,571,0,16,0,1025,0,13,51,12,0,0,2079,0,47,0,110,4230,0,78,0
263,A_09373,99295,72153,0,11139,2627,2090,4563,40859,1404,749,483,158,792,0,27,0,610,0,16,73,20,0,0,2498,0,48,0,151,3218,0,63,0
