,teryt_code,eligible_voters,issued_ballots,cdu,spd,linke,gruene,csu,fdp,afd,piraten,npd,freiewahler,tierschutz,oedp,partei,bp,volksabstimmung,pdv,mlpd,bueso,sgp,rechte,addemokraten,tierschutzallianz,bstern,bge,dib,dkp,dm,grauen,du,mg,menschliche,humanisten,gesundheitsforschung,vpartei3
93,A_05558,172726,140110,61149,29430,7483,10234,0,18926,8658,446,215,221,767,158,728,0,104,0,30,0,6,0,41,0,0,75,143,14,109,0,0,0,0,57,133,106
94,A_05562,473084,350228,102678,108671,23744,18408,0,36348,42630,1596,894,844,3029,245,2631,0,420,0,388,0,19,0,2650,0,0,270,285,158,369,0,0,0,0,160,376,307
95,A_05566,339903,264853,104760,68223,16147,18572,0,31196,17068,945,432,701,1369,231,1593,0,124,0,97,0,18,0,347,0,0,202,193,31,214,0,0,0,0,105,197,173
96,A_05570,209604,163531,65357,38992,8997,10815,0,21175,12025,538,271,472,808,153,1056,0,142,0,30,0,13,0,622,0,0,102,90,12,153,0,0,0,0,69,119,133
97,A_05711,237576,179272,48916,45103,19943,19748,0,20524,15987,909,277,366,1059,192,2116,0,135,0,142,0,27,0,1026,0,0,253,288,46,230,0,0,0,0,122,134,234
98,A_05754,263215,199263,75432,45035,12033,15620,0,25864,17199,697,366,745,1130,254,1232,0,172,0,47,0,11,0,501,0,0,157,147,23,215,0,0,0,0,84,188,203
99,A_05758,191877,141608,44102,40738,9753,9627,0,15845,15283,537,288,856,1032,112,836,0,120,0,65,0,7,0,379,0,0,92,108,14,134,0,0,0,0,67,122,138
100,A_05762,112543,86265,36255,18910,4762,4615,0,10808,7624,292,185,286,460,210,460,0,58,0,11,0,7,0,96,0,0,76,44,7,68,0,0,0,0,22,86,76
101,A_05766,268984,202556,62898,55637,13825,14448,0,24651,21720,864,429,1343,1375,259,1283,0,183,0,58,0,11,0,300,0,0,199,132,26,263,0,0,0,0,89,159,158
102,A_05770,241302,178237,58052,51168,11268,11483,0,20206,18644,729,347,564,1137,178,1218,0,181,0,56,0,5,0,257,0,0,189,140,28,181,0,0,0,0,85,163,186
103,A_05774,229056,171804,69450,31904,11433,12628,0,22800,16893,741,269,420,962,198,1167,0,158,0,39,0,13,0,267,0,0,153,179,9,277,0,0,0,0,106,145,197
104,A_05911,273708,206104,50808,62661,20703,17130,0,21821,21364,1029,609,440,1995,261,2463,0,180,0,249,0,17,0,1071,0,0,300,316,55,206,0,0,0,0,174,229,267
105,A_05913,414616,299931,72789,92937,28430,24892,0,32596,30707,1876,916,964,2601,273,3669,0,304,0,292,0,33,0,1868,0,0,392,469,109,289,0,0,0,0,217,336,380
106,A_05914,132850,93998,26297,27565,6948,4966,0,11050,11965,451,307,221,1016,97,742,0,131,0,123,0,7,0,699,0,0,69,85,27,113,0,0,0,0,77,118,96
107,A_05915,126462,91617,27760,28500,6473,4761,0,9341,10105,496,279,283,684,56,616,0,83,0,42,0,10,0,741,0,0,75,75,14,77,0,0,0,0,42,114,100
108,A_05916,111999,78811,18401,26894,6110,4146,0,7188,10827,524,309,183,858,50,695,0,93,0,119,0,24,0,939,0,0,78,83,13,71,0,0,0,0,52,106,83
109,A_05954,253040,193678,53959,56750,14887,14849,0,24942,18847,1113,414,480,1756,240,1618,0,194,0,209,0,17,0,577,0,0,214,249,60,173,0,0,0,0,107,194,199
110,A_05958,202768,154014,63651,34865,8183,7198,0,21919,12216,530,324,841,930,139,906,0,141,0,47,0,2,0,268,0,0,100,98,13,119,0,0,0,0,47,156,121
111,A_05962,304554,219478,73881,56694,14195,10792,0,29128,24512,940,603,622,1827,362,1345,0,276,0,81,0,19,0,1078,0,0,189,202,30,220,0,0,0,0,92,271,170
112,A_05966,102708,78538,36574,15768,3437,3134,0,10958,6023,295,166,170,410,91,414,0,51,0,15,0,8,0,133,0,0,42,64,12,52,0,0,0,0,28,69,68
113,A_05970,212912,162306,54648,42551,12624,8857,0,19125,17154,566,411,410,1116,578,1442,0,145,0,41,0,7,0,492,0,0,122,131,33,142,0,0,0,0,93,130,141
114,A_05974,232301,174364,62764,43184,11702,10723,0,23296,16165,634,310,387,1207,149,1183,0,159,0,40,0,11,0,184,0,0,168,183,28,168,0,0,0,0,78,176,175
115,A_05978,306624,230738,64412,75172,15677,14431,0,25533,23652,1252,731,883,2028,169,1700,0,255,0,156,0,27,0,1360,0,0,156,188,43,210,0,0,0,0,106,246,201
116,A_06411,106512,83759,19753,17127,10828,15255,0,8868,6930,712,127,354,667,277,1341,0,0,0,88,21,0,0,0,0,0,268,0,32,141,0,0,0,0,0,0,152
117,A_06412,423717,317234,82952,63254,37238,45890,0,44325,27079,1454,580,1461,2976,561,3820,0,0,0,248,61,0,0,0,0,0,766,0,144,575,0,0,0,0,0,0,616
118,A_06413,66812,45148,12077,10550,5197,4689,0,4343,5339,310,128,289,456,61,580,0,0,0,31,11,0,0,0,0,0,113,0,22,91,0,0,0,0,0,0,88
119,A_06414,189372,139775,40022,29247,13160,16286,0,18400,15496,578,222,943,1196,297,1360,0,0,0,75,54,0,0,0,0,0,341,0,26,273,0,0,0,0,0,0,253
120,A_06431,198418,156082,51088,34435,10197,13595,0,18196,19923,688,545,1227,1793,254,1261,0,0,0,57,48,0,0,0,0,0,243,0,27,298,0,0,0,0,0,0,219
121,A_06432,215017,171253,51942,40312,13477,17960,0,18654,18761,963,537,1363,1815,401,1480,0,0,0,145,32,0,0,0,0,0,322,0,123,438,0,0,0,0,0,0,303
122,A_06433,174727,133318,39950,33318,10755,11862,0,12645,15943,962,403,1387,1463,201,1192,0,0,0,124,42,0,0,0,0,0,244,0,81,386,0,0,0,0,0,0,222
123,A_06434,164970,135474,45571,23468,8420,14373,0,23674,13681,410,277,830,1533,216,945,0,0,0,27,22,0,0,0,0,0,228,0,23,193,0,0,0,0,0,0,209
124,A_06435,299541,229506,69798,52770,16132,17961,0,24860,33270,934,1159,1973,3166,428,2068,0,0,0,85,62,0,0,0,0,0,371,0,84,656,0,0,0,0,0,0,404
125,A_06436,166249,135107,46032,24836,8304,14170,0,20942,14099,497,303,1191,1248,302,1034,0,0,0,30,23,0,0,0,0,0,179,0,22,186,0,0,0,0,0,0,190
126,A_06437,70995,54381,16673,14382,4129,3903,0,5021,6985,192,200,407,633,103,416,0,0,0,48,5,0,0,0,0,0,89,0,27,143,0,0,0,0,0,0,86
127,A_06438,237902,186521,60710,37302,13571,18015,0,24327,21947,953,511,1656,1982,356,1614,0,0,0,68,38,0,0,0,0,0,338,0,51,327,0,0,0,0,0,0,346
128,A_06439,138563,111448,36763,22846,7312,10754,0,15157,12802,368,243,985,1195,183,968,0,0,0,28,21,0,0,0,0,0,205,0,22,183,0,0,0,0,0,0,189
129,A_06440,225174,175698,54642,40070,11672,15588,0,21304,21335,696,1465,1867,2083,285,1482,0,0,0,32,38,0,0,0,0,0,296,0,30,313,0,0,0,0,0,0,302
