,teryt_code,eligible_voters,issued_ballots,cdu,spd,gruene,csu,linke,fdp,rep,tierschutz,familie,oedp,frauen,volksabstimmung,pbc,cm,aufbruch,dkp,bp,psg,bueso,50plus,auf,dvu,grauen,violetten,ede,fbi,volksentscheide,fw,newropeans,piraten,rrp,renter
224,A_08326,151669,73872,30458,11124,8197,0,1615,10246,1083,886,762,237,218,300,567,229,97,46,72,26,24,160,130,285,211,141,92,110,174,1172,27,462,323,632
225,A_08327,96392,50545,21289,6551,4622,0,1030,8778,812,613,523,142,164,171,239,125,68,25,42,17,8,100,64,98,119,97,45,72,106,655,33,366,163,413
226,A_08335,197300,97121,34187,15203,16034,0,2666,14781,950,1246,859,305,326,385,396,193,133,59,94,36,30,200,165,175,275,225,100,108,279,1266,239,986,400,818
227,A_08336,159967,76474,24745,14982,12381,0,2092,9880,1136,951,746,208,219,371,637,186,104,46,84,21,30,138,163,92,230,176,87,96,206,1096,120,544,354,705
228,A_08337,119217,60313,24286,9082,7368,0,1156,7779,1078,677,593,337,198,231,388,174,90,31,60,20,23,108,145,94,181,140,57,79,164,1216,29,440,226,526
229,A_08415,198403,101686,37502,16335,14747,0,3097,15813,1713,1082,955,288,286,467,783,336,119,50,98,33,26,171,210,201,171,195,36,120,232,1047,46,715,348,732
230,A_08416,152944,85871,26001,13780,20245,0,4034,11280,1201,797,626,447,258,266,565,217,95,43,54,25,16,160,192,135,119,174,38,87,224,673,112,1039,183,433
231,A_08417,141038,69326,28460,10126,6335,0,1812,10562,1531,928,867,172,270,267,550,248,118,27,71,20,28,141,91,131,152,111,26,67,176,961,28,561,270,548
232,A_08421,80878,38714,12208,7562,7598,0,1365,5524,382,414,271,208,101,93,130,81,43,20,35,13,7,86,51,67,73,102,16,39,78,440,24,505,135,250
233,A_08425,138170,80953,36001,11118,9541,0,1700,9868,1445,972,1026,422,303,291,546,272,114,29,67,29,24,141,195,210,132,139,35,100,163,1234,33,601,222,543
234,A_08426,141587,78905,38299,8152,7838,0,1698,10214,1572,823,1154,814,495,254,282,445,107,31,71,12,38,184,149,113,101,137,20,78,125,872,25,547,218,497
