,teryt_code,eligible_voters,issued_ballots,spd,cdu,csu,gruene,fdp,linke,offensived,rep,npd,tierschutz,graue,pbc,frauen,familie,bueso,bp,zentrum,deutschland,agfg,appd,50plus,mlpd,partei,psg,prodm
227,A_09171,82929,62608,13146,0,35387,3463,5156,1633,0,802,870,0,191,70,129,328,155,407,0,0,0,0,0,38,0,0,0
228,A_09172,73636,56499,10695,0,32715,3657,4585,1569,0,832,533,0,175,228,115,351,43,303,0,0,0,0,0,14,0,0,0
229,A_09173,88777,70937,12570,0,39252,6157,7963,1697,0,422,587,0,234,99,133,424,47,595,0,0,0,0,0,25,0,0,0
230,A_09174,95529,77435,16481,0,41106,6442,7801,2085,0,487,704,0,246,89,164,481,39,416,0,0,0,0,0,28,0,0,0
231,A_09175,89850,75106,16655,0,37445,7659,8602,1875,0,359,488,0,233,77,153,426,34,395,0,0,0,0,0,18,0,0,0
232,A_09176,91266,74088,19383,0,39630,3947,4967,1984,0,685,967,0,143,138,130,675,43,424,0,0,0,0,0,27,0,0,0
233,A_09177,89531,71178,14326,0,38804,5185,6654,2072,0,1308,578,0,214,66,211,588,48,463,0,0,0,0,0,26,0,0,0
234,A_09178,111510,89675,18897,0,45500,8454,9645,2730,0,618,872,0,268,121,219,568,44,827,0,0,0,0,0,37,0,0,0
235,A_09179,147411,121703,29446,0,56983,13517,13670,3345,0,718,887,0,432,155,243,641,65,553,0,0,0,0,0,38,0,0,0
236,A_09180,65163,51397,8015,0,30623,3336,5898,1151,0,259,398,0,147,85,95,337,20,515,0,0,0,0,0,23,0,0,0
237,A_09181,82124,66448,13692,0,33730,6712,7376,1732,0,377,552,0,180,157,150,367,44,792,0,0,0,0,0,23,0,0,0
238,A_09182,70354,56469,10716,0,30628,4238,7151,1325,0,360,461,0,171,69,101,223,22,422,0,0,0,0,0,19,0,0,0
239,A_09183,83283,62260,11624,0,36484,3431,5257,1695,0,726,796,0,190,81,137,392,116,564,0,0,0,0,0,14,0,0,0
240,A_09184,221199,184533,44113,0,83082,19392,26706,4731,0,839,1213,0,733,190,353,904,102,800,0,0,0,0,0,51,0,0,0
241,A_09185,68469,53061,11595,0,30314,2502,4069,1576,0,595,704,0,127,70,130,410,16,335,0,0,0,0,0,10,0,0,0
242,A_09186,86031,67370,15796,0,35409,4254,6191,2153,0,637,815,0,191,104,156,451,39,504,0,0,0,0,0,24,0,0,0
243,A_09187,180919,143397,28043,0,79644,10969,13383,3338,0,2339,978,0,549,240,300,973,245,1029,0,0,0,0,0,49,0,0,0
244,A_09188,94199,79448,16036,0,37051,9849,12469,1639,0,328,426,0,246,76,122,279,37,366,0,0,0,0,0,17,0,0,0
245,A_09189,129311,101145,20128,0,56971,7415,8259,2770,0,944,1219,0,283,314,210,601,82,859,0,0,0,0,0,37,0,0,0
246,A_09190,97075,77762,17408,0,39683,6377,7428,2621,0,596,680,0,224,129,155,571,47,989,0,0,0,0,0,33,0,0,0
247,A_09261,45842,33859,7963,0,17098,2829,3129,1155,0,199,370,0,136,46,77,205,30,194,0,0,0,0,0,13,0,0,0
248,A_09262,38367,27272,6854,0,13121,2135,2963,1018,0,229,264,0,81,40,52,143,15,126,0,0,0,0,0,9,0,0,0
249,A_09263,34179,23464,5425,0,13120,958,1782,865,0,229,416,0,65,24,61,152,9,111,0,0,0,0,0,12,0,0,0
250,A_09271,89987,64458,13185,0,36931,2499,4934,2160,0,1337,1385,0,156,113,177,423,26,401,0,0,0,0,0,13,0,0,0
251,A_09272,64167,44738,8926,0,25324,1542,3596,1885,0,772,985,0,97,91,132,295,17,549,0,0,0,0,0,21,0,0,0
252,A_09273,84521,64179,15260,0,33904,3561,5738,1968,0,532,1163,0,139,68,161,446,33,414,0,0,0,0,0,26,0,0,0
253,A_09274,111739,88049,16562,0,51021,4649,8145,2460,0,802,1373,0,242,119,208,725,61,755,0,0,0,0,0,23,0,0,0
254,A_09275,146361,105148,23143,0,58758,4381,9132,3553,0,1027,1751,0,300,142,233,638,67,795,0,0,0,0,0,28,0,0,0
255,A_09276,63904,45295,10076,0,25376,1490,3278,1729,0,678,949,0,125,56,136,307,15,426,0,0,0,0,0,20,0,0,0
256,A_09277,91631,67609,12495,0,40722,3002,5073,1645,0,560,1372,0,166,67,162,434,194,475,0,0,0,0,0,25,0,0,0
257,A_09278,74533,58505,10430,0,36297,1736,4212,1698,0,753,1262,0,140,49,172,560,28,443,0,0,0,0,0,16,0,0,0
258,A_09279,69922,51996,10887,0,30473,1847,3621,1321,0,976,1033,0,108,53,167,373,101,341,0,0,0,0,0,29,0,0,0
259,A_09361,33863,24241,7263,0,10842,1519,1949,1040,0,135,553,0,98,83,75,111,19,159,0,0,0,0,0,8,0,0,0
260,A_09362,96827,70568,19197,0,30210,8395,6657,2818,0,217,808,0,178,72,136,531,63,494,0,0,0,0,0,23,0,0,0
261,A_09363,33516,24109,7826,0,10862,1301,1673,1058,0,112,420,0,80,34,52,169,14,156,0,0,0,0,0,8,0,0,0
262,A_09371,82860,64889,19302,0,30943,3198,4474,2406,0,521,1297,0,167,208,204,491,47,534,0,0,0,0,0,24,0,0,0
263,A_09372,101722,74581,15200,0,43130,2660,5453,2530,0,799,1806,0,161,131,184,650,31,677,0,0,0,0,0,25,0,0,0
264,A_09373,96433,77308,16173,0,44370,3997,5762,2300,0,456,1421,0,170,152,185,707,47,561,0,0,0,0,0,26,0,0,0
265,A_09374,77294,61621,18574,0,30326,2196,3759,2056,0,502,1396,0,130,77,204,502,38,595,0,0,0,0,0,26,0,0,0
266,A_09375,139592,110024,27313,0,56146,6815,9342,3645,0,912,1680,0,228,112,236,1133,125,989,0,0,0,0,0,38,0,0,0
267,A_09376,113755,85935,26339,0,41238,3385,5571,3407,0,824,1946,0,203,116,232,670,57,541,0,0,0,0,0,39,0,0,0
268,A_09377,61997,48906,13373,0,25827,1652,3026,1650,0,389,906,0,120,81,169,358,31,411,0,0,0,0,0,21,0,0,0
269,A_09461,53164,39193,10039,0,17088,4347,3826,1652,0,549,538,0,149,70,110,208,27,105,0,0,0,0,0,61,0,0,0
270,A_09462,57300,41924,12823,0,17495,3608,4556,1537,0,477,432,0,119,164,78,160,15,50,0,0,0,0,0,20,0,0,0
271,A_09463,32874,24325,8236,0,9638,1949,2327,1012,0,103,405,0,71,56,74,117,4,40,0,0,0,0,0,21,0,0,0
272,A_09464,36752,26564,8347,0,11266,1495,2520,1203,0,288,421,0,119,165,80,175,15,68,0,0,0,0,0,12,0,0,0
