,teryt_code,eligible_voters,issued_ballots,spd,cdu,csu,gruene,fdp,pds,deutschland,appd,apd,bp,bueso,bfb,c2000,cm,dpd,dvu,graue,rep,familie,frauen,hp,prodm,mlpd,tierschutz,npd,naturgesetz,forum,oedp,pbc,ab2000,nichwahler,pass,psg
66,A_05112,366989,298128,176629,66445,0,17858,12587,5010,204,256,0,0,91,164,184,150,0,4786,1185,4865,522,131,0,1513,244,783,423,107,0,70,120,0,164,0,127
67,A_05113,460974,377902,203046,100099,0,27680,21945,5821,133,269,0,0,47,170,234,147,0,4028,1545,4148,587,200,0,1819,165,1169,413,116,0,124,237,0,187,0,38
68,A_05114,168482,135952,61262,47900,0,8664,10235,1523,39,112,0,0,15,65,66,50,0,967,904,1116,232,39,0,630,30,255,156,87,0,36,76,0,85,0,12
69,A_05116,196587,154300,64839,56992,0,9888,12760,1700,88,113,0,0,31,84,91,55,0,1315,597,1418,375,96,0,933,17,511,137,177,0,90,87,0,115,0,18
70,A_05117,134026,114455,62570,30404,0,6877,8141,1338,40,77,0,0,13,128,79,33,0,766,428,933,154,52,0,444,36,235,135,34,0,45,89,0,61,0,6
71,A_05119,164266,134167,82400,30520,0,7736,4902,1666,69,122,0,0,10,58,106,45,0,1377,450,1505,202,65,0,675,53,384,204,39,0,79,40,0,62,0,10
72,A_05120,85582,69945,32038,21902,0,4174,6394,984,61,46,0,0,13,41,51,26,0,1191,265,848,182,43,0,473,8,215,54,35,0,77,61,0,51,0,5
73,A_05122,116213,95477,41852,31248,0,6065,9106,1368,62,73,0,0,37,156,60,40,0,1363,350,1208,222,51,0,503,40,299,82,21,0,125,104,0,49,0,10
74,A_05124,264550,217795,102316,62452,0,18011,18300,3704,132,203,0,0,39,152,197,102,0,2747,607,3026,476,126,0,1303,47,722,282,85,0,82,363,0,160,0,10
75,A_05154,211060,176895,70338,76209,0,9083,13165,1367,52,114,0,0,18,70,112,74,0,907,481,953,296,76,0,685,8,323,142,46,0,205,117,0,113,0,23
76,A_05158,372462,317118,140074,108479,0,19132,29863,3896,125,246,0,0,65,263,209,157,0,2961,1251,3207,627,229,0,1424,40,750,411,102,0,159,284,0,289,0,22
77,A_05162,321548,272640,107730,108696,0,15164,25500,2733,161,213,0,0,39,213,138,114,0,2077,950,2450,727,99,0,1493,15,722,254,136,0,123,107,0,232,0,28
78,A_05166,216060,180195,73392,69216,0,11138,16809,1702,92,166,0,0,25,91,86,63,0,1374,556,1156,453,63,0,934,5,547,102,188,0,51,78,0,97,0,13
79,A_05170,345865,292991,155592,85509,0,17974,17994,3040,265,279,0,0,47,279,150,69,0,2285,912,2649,542,118,0,1283,46,651,296,92,0,74,121,0,152,0,23
80,A_05313,166969,140431,54539,48629,0,17432,11987,2417,30,108,0,0,14,48,120,52,0,1004,455,884,169,40,0,373,15,300,98,145,0,73,74,0,105,0,21
81,A_05314,217218,185582,64933,67096,0,21625,21213,2821,70,190,0,0,82,424,96,63,0,973,627,1278,268,88,0,585,14,456,135,75,0,158,201,0,155,0,6
82,A_05315,662124,539319,238020,157169,0,66570,42281,8630,244,409,0,0,50,390,523,236,0,5370,2556,4901,697,364,0,2125,119,1318,947,216,0,253,393,0,627,0,89
83,A_05316,117505,97956,46155,32285,0,6541,7134,1183,87,83,0,0,48,80,47,42,0,596,362,1186,218,34,0,338,31,264,76,42,0,22,39,0,65,0,10
84,A_05354,222563,189139,92969,63897,0,9677,11167,2089,130,140,0,0,33,72,104,61,0,1726,797,1633,353,141,0,688,8,574,180,79,0,48,37,0,161,0,15
85,A_05358,192156,162257,72777,62386,0,8118,10193,1644,85,106,0,0,23,75,87,58,0,967,451,1320,457,87,0,629,7,455,139,59,0,68,140,0,126,0,15
86,A_05362,324235,275668,129197,94234,0,16267,20692,2671,113,177,0,0,60,173,117,80,0,2398,1064,2290,392,148,0,1103,19,734,301,92,0,101,143,0,212,0,40
87,A_05366,139489,115974,42366,50182,0,6603,9986,960,49,62,0,0,112,85,72,66,0,632,339,1245,219,77,0,485,9,331,78,45,0,75,113,0,132,0,19
88,A_05370,175607,147902,57707,64138,0,7555,9375,1112,104,162,0,0,16,72,64,69,0,1046,420,1587,428,35,0,630,8,383,108,180,0,56,86,0,91,0,21
89,A_05374,205296,173614,70643,68410,0,10295,13487,1579,118,123,0,0,31,118,60,108,0,1965,602,1475,380,54,0,849,11,514,143,73,0,191,375,0,104,0,8
90,A_05378,205879,178337,68631,65760,0,14343,19683,1903,78,159,0,0,47,139,97,73,0,1216,742,1551,312,76,0,798,6,492,150,87,0,128,288,0,151,0,18
91,A_05382,409762,351986,132089,139722,0,25479,35442,3777,481,268,0,0,70,374,138,115,0,2064,1086,2374,559,108,0,1321,23,1058,583,144,0,272,456,0,279,0,23
92,A_05512,91307,77606,46289,19691,0,3930,2990,997,41,65,0,0,8,15,18,25,0,671,128,1053,110,30,0,310,12,170,60,17,0,205,22,0,37,0,10
93,A_05513,205594,165134,101710,35816,0,8329,5934,2514,78,130,0,0,25,72,86,61,0,2331,525,3006,302,49,0,944,253,541,239,45,0,34,109,0,61,0,10
94,A_05515,200200,173696,62741,60657,0,23488,19249,2537,55,122,0,0,10,83,109,73,0,640,366,650,174,74,0,716,9,244,109,89,0,239,35,0,78,0,13
95,A_05554,250764,213002,81196,96636,0,12504,14318,1319,64,148,0,0,13,44,83,135,0,828,338,1067,406,50,0,1023,7,377,138,61,0,174,79,0,82,0,11
96,A_05558,154179,134172,49520,59127,0,9086,10665,1055,50,81,0,0,9,45,59,84,0,692,240,695,298,44,0,636,8,265,96,43,0,168,24,0,59,0,13
97,A_05562,492187,416261,234478,113179,0,22156,19703,5195,242,302,0,0,52,178,171,165,0,4890,1129,4674,804,132,0,2569,72,1015,466,135,0,210,214,0,175,0,35
98,A_05566,313915,269397,120147,100853,0,16843,19719,1998,98,266,0,0,21,115,86,128,0,1155,438,1682,509,99,0,1349,11,441,333,80,0,115,133,0,86,0,29
99,A_05570,200813,174366,71426,70015,0,9570,14476,1565,75,102,0,0,17,57,50,157,0,1193,275,1297,327,152,0,688,14,361,109,50,0,94,35,0,90,0,6
100,A_05711,235444,200846,89269,62396,0,20955,14273,3625,91,170,0,0,21,377,121,108,0,1999,601,1702,373,86,0,1003,21,428,268,84,0,157,330,0,129,0,15
101,A_05754,244701,208402,84261,81730,0,13762,16407,2036,144,165,0,0,28,257,87,185,0,1692,578,1906,480,75,0,978,5,437,238,66,0,218,114,0,105,0,17
102,A_05758,191909,163334,78736,54592,0,8951,10281,1689,125,117,0,0,20,174,107,64,0,1647,346,1601,310,53,0,971,18,366,192,59,0,118,310,0,102,0,16
103,A_05762,116685,100468,35263,48067,0,4099,7087,734,62,90,0,0,12,119,34,78,0,890,131,1018,300,30,0,481,5,164,104,45,0,200,41,0,38,0,11
104,A_05766,273689,233067,111560,75228,0,13948,17684,2423,134,147,0,0,40,689,91,170,0,2300,446,1775,435,89,0,1192,5,445,270,98,0,275,588,0,119,0,12
105,A_05770,243814,204146,97455,67992,0,11357,14587,1946,144,169,0,0,29,326,82,91,0,1826,415,1835,296,61,0,1152,12,409,214,54,0,178,792,0,103,0,16
106,A_05774,205311,172520,55505,84916,0,9296,12403,1371,102,139,0,0,16,396,74,155,0,1189,317,2063,558,41,0,769,13,334,152,123,0,175,238,0,96,0,10
107,A_05911,294739,249455,144078,58302,0,19782,11496,3597,83,262,0,0,35,129,196,112,0,2087,706,2833,432,118,0,1309,94,722,327,94,0,116,130,0,116,0,40
108,A_05913,429998,357303,200583,85677,0,27259,18220,5788,175,292,0,0,87,163,207,124,0,4402,1338,4645,461,128,0,2050,152,737,497,306,0,117,114,0,167,0,25
109,A_05914,150667,122771,63406,35641,0,6668,7498,1508,56,87,0,0,9,400,44,55,0,1333,282,2567,276,39,0,727,48,398,163,59,0,57,105,0,55,0,16
110,A_05915,130190,107933,56598,33790,0,4763,5961,1224,110,61,0,0,38,46,41,47,0,1156,186,1096,253,33,0,687,2,253,110,44,0,26,47,0,55,0,11
111,A_05916,125842,103808,64663,22291,0,5336,3590,1623,62,71,0,0,10,36,57,38,0,861,227,2394,212,29,0,629,58,261,179,39,0,23,58,0,46,0,8
112,A_05954,267395,228673,123248,60068,0,15992,15036,2628,122,162,0,0,24,127,126,106,0,1972,585,2845,435,82,0,1223,63,771,275,98,0,103,290,0,133,0,29
113,A_05958,210499,179981,70051,80110,0,7303,11934,1260,78,204,0,0,11,121,90,139,0,1746,320,2031,417,89,0,946,12,445,218,60,0,82,61,0,109,0,17
114,A_05962,325208,269472,122806,90583,0,13559,19733,3157,210,203,0,0,36,269,101,218,0,3312,809,6093,811,107,0,2184,21,893,442,147,0,133,493,0,168,0,21
115,A_05966,100716,85431,30199,43328,0,3137,4700,505,59,86,0,0,14,93,27,57,0,519,135,637,193,33,0,349,2,128,82,62,0,43,40,0,61,0,6
116,A_05970,219164,185164,85673,63846,0,9520,12395,2070,171,142,0,0,54,790,81,301,0,1323,323,3382,292,69,0,949,8,352,210,61,0,289,733,0,100,0,19
117,A_05974,222469,188036,80147,71474,0,10380,14519,1759,95,153,0,0,23,77,109,276,0,1835,517,1572,456,100,0,1309,6,413,175,157,0,93,75,0,98,0,13
118,A_05978,311530,266540,147240,72773,0,15527,13782,3146,189,191,0,0,47,141,109,122,0,2895,647,3097,529,73,0,1587,31,595,283,180,0,72,109,0,98,0,20
