,teryt_code,eligible_voters,issued_ballots,spd,cdu,csu,gruene,fdp,pds,rep,graue,tierschutz,npd,oedp,pbc,frauen,bp,familie,cm,bueso,hp,violetten,aufbruch,zentrum,kpd,prg,schill
74,A_05154,219163,175835,64591,77039,0,10970,16502,1339,273,285,586,299,130,127,119,0,373,63,16,25,59,0,49,0,0,1128
75,A_05158,375588,308603,123292,112341,0,25468,34034,3485,997,842,1068,1142,108,503,289,0,643,122,58,36,81,0,103,0,0,1509
76,A_05162,326640,267675,96348,110651,0,19739,29916,2391,813,568,905,468,95,146,267,0,649,81,43,31,55,0,421,0,0,2251
77,A_05166,222874,179695,66272,72409,0,13864,19617,1605,397,366,764,284,36,187,177,0,474,60,31,21,38,0,64,0,0,1196
78,A_05170,355154,289342,142097,86268,0,22988,24798,2942,843,609,1034,629,83,178,292,0,706,89,32,21,65,0,77,0,0,2641
79,A_05313,165242,133045,47560,44770,0,21933,12789,2143,212,229,367,258,56,70,95,0,182,61,15,13,35,0,36,0,0,934
80,A_05314,212477,176518,56971,63860,0,27278,20198,2773,305,458,634,259,100,272,161,0,257,54,40,22,47,0,53,0,0,896
81,A_05315,670457,515531,214189,149066,0,84702,45992,9785,1984,1704,1402,1119,199,395,374,0,572,142,70,90,108,0,95,0,0,2103
82,A_05316,117587,93667,41445,30792,0,8238,9071,1025,311,356,308,280,31,83,67,0,213,30,30,17,18,0,17,0,0,405
83,A_05354,225120,181166,80222,63027,0,12393,16863,1621,1166,264,666,563,40,73,152,0,405,55,13,28,28,0,36,0,0,1400
84,A_05358,196789,158285,64104,62303,0,10499,14095,1404,437,517,679,322,49,157,156,0,329,77,13,19,44,0,38,0,0,1203
85,A_05362,332422,271272,115759,92578,0,22788,28311,2574,810,778,1135,579,78,107,258,0,548,83,30,28,65,0,59,0,0,1401
86,A_05366,144090,114767,38321,50493,0,8106,12797,1025,394,200,452,215,42,104,119,0,307,63,29,15,40,0,40,0,0,462
87,A_05370,181929,145496,51527,65188,0,8195,13656,1274,581,273,598,343,37,126,165,0,435,59,23,14,41,0,35,0,0,819
88,A_05374,210055,170173,64657,70286,0,11951,15696,1644,452,285,671,448,144,519,158,0,369,128,15,18,48,0,56,0,0,813
89,A_05378,210429,177441,63857,66824,0,18709,20866,1895,440,331,636,326,137,354,155,0,333,69,73,12,37,0,30,0,0,851
90,A_05382,424822,352032,122198,141975,0,33587,40917,3251,622,727,1287,1215,139,534,251,0,652,105,50,43,75,0,105,0,0,1377
91,A_05512,91610,73558,40444,19709,0,4520,4781,879,492,101,243,171,255,39,55,0,136,12,16,5,15,0,18,0,0,862
92,A_05513,198882,149110,83125,35256,0,10423,10148,2094,1807,346,760,392,35,142,173,0,380,64,20,15,33,0,44,0,0,1895
93,A_05515,200908,169832,61055,57750,0,26228,19002,2359,197,275,356,231,204,65,115,0,201,36,14,21,42,0,53,0,0,358
94,A_05554,261126,214878,72289,102029,0,12967,21039,1386,364,268,542,329,84,102,168,0,520,105,14,21,37,0,83,0,0,774
95,A_05558,162009,136839,46448,60735,0,10645,14644,1001,278,172,373,223,121,40,117,0,285,48,14,8,32,0,53,0,0,527
96,A_05562,491698,392777,204511,111433,0,27465,29460,4477,1636,786,1484,1105,130,301,360,0,887,162,66,22,61,0,105,0,0,4187
97,A_05566,323380,268149,110556,102717,0,19418,26661,2081,508,277,689,540,76,206,223,0,589,60,17,7,34,0,114,0,0,703
98,A_05570,206718,172866,65889,71269,0,11197,18098,1423,480,230,422,296,52,94,127,0,419,74,6,9,27,0,45,0,0,866
99,A_05711,235551,192682,79127,60700,0,26691,14981,3471,536,345,708,504,67,617,155,0,374,119,22,13,40,0,35,0,0,1705
100,A_05754,252941,207209,76366,85267,0,16893,19756,1790,521,252,560,504,289,390,167,0,462,96,41,15,26,0,40,0,0,1596
101,A_05758,194733,158530,70997,55071,0,11324,13342,1550,527,241,503,335,40,391,128,0,299,78,52,17,18,0,16,0,0,1485
102,A_05762,117460,97584,30456,49990,0,4926,8147,640,311,109,225,213,151,131,53,0,413,48,3,3,6,0,20,0,0,611
103,A_05766,276121,228492,101304,77034,0,17547,20206,2189,1238,286,775,450,110,1912,153,0,516,104,37,15,36,0,44,0,0,1596
104,A_05770,246772,198954,87637,68854,0,13890,18076,1847,866,238,562,392,88,986,167,0,489,63,26,14,44,0,29,0,0,1944
105,A_05774,213014,172727,49709,89150,0,11227,14529,1404,452,172,418,203,81,196,150,0,622,101,6,11,31,0,48,0,0,2160
106,A_05911,289275,233251,123158,57090,0,23827,16139,4086,909,600,1260,725,99,240,214,0,516,86,47,32,87,0,71,0,0,1458
107,A_05913,427443,336666,178300,83933,0,34696,24763,5806,1452,771,1081,1002,104,208,291,0,466,82,47,42,125,0,74,0,0,2531
108,A_05914,146415,111832,54802,34291,0,7870,9057,1353,754,283,444,302,28,135,116,0,204,40,11,9,26,0,24,0,0,846
109,A_05915,129828,101330,49863,32734,0,5997,8466,945,447,121,313,229,18,75,96,0,225,35,14,10,8,0,24,0,0,461
110,A_05916,123025,94869,54188,22171,0,6245,5769,1519,1120,210,442,299,16,210,108,0,218,27,15,6,26,0,14,0,0,1079
111,A_05954,266508,215167,106283,59004,0,19089,18714,2521,613,439,1136,606,64,399,187,0,437,45,19,23,48,0,26,0,0,880
112,A_05958,211185,173157,59120,83372,0,8992,15511,1246,612,251,563,309,62,123,112,0,579,117,23,16,43,0,50,0,0,679
113,A_05962,325182,255049,108189,91966,0,15894,24537,2457,1374,446,904,1146,93,697,241,0,566,130,31,29,69,0,64,0,0,3158
114,A_05966,102888,84224,26184,44194,0,4318,6699,506,281,87,218,146,32,56,63,0,184,41,6,7,11,0,31,0,0,317
