,teryt_code,eligible_voters,issued_ballots,cdu,spd,csu,gruene,pds,fdp,rep,tierschutz,graue,npd,frauen,oedp,pbc,cm,bp,bueso,zentrum,familie,deutschland,unabhaengige,aufbruch,dkp,dp,psg
210,A_08216,165459,83294,42026,15304,0,8563,639,4875,1947,1311,636,440,548,208,252,122,0,23,147,975,503,247,115,76,205,62
211,A_08221,93521,49037,16280,10096,0,13868,1048,3957,398,484,334,176,221,289,121,50,0,13,36,233,170,96,32,62,59,30
212,A_08222,199179,87327,32403,24564,0,12506,1717,4980,2107,1292,1217,782,563,130,316,89,0,49,71,801,542,237,110,215,203,62
213,A_08225,110455,63691,35610,11210,0,4478,449,2715,1437,741,423,361,396,267,339,123,0,27,53,693,420,198,92,43,117,50
214,A_08226,387787,219676,95106,48134,0,28397,2159,14766,4159,3396,2320,2121,1328,585,896,361,0,96,208,2302,1400,597,232,188,529,168
215,A_08231,79102,32599,15238,6043,0,3656,389,2358,1273,501,367,204,224,75,160,36,0,15,35,305,263,209,60,29,101,23
216,A_08235,109374,59869,28993,9658,0,6412,521,4217,1707,804,624,440,406,195,1122,237,0,33,97,814,539,284,88,39,140,47
217,A_08236,139182,75315,32259,15722,0,9187,612,5153,2313,1152,707,393,442,213,1124,164,0,32,72,955,582,336,94,45,157,55
218,A_08237,87130,45537,23188,7380,0,4266,357,3045,1591,581,366,234,279,151,697,151,0,12,37,647,381,144,63,26,70,29
219,A_08311,142000,72860,21422,12958,0,26303,1741,3739,644,942,693,226,543,410,200,92,0,31,67,560,253,164,113,154,92,83
220,A_08315,181517,106270,47353,18252,0,19244,905,6847,1514,1613,1030,405,674,404,543,268,0,43,83,1320,667,374,161,83,133,79
221,A_08316,115984,63864,26765,13210,0,10281,568,3843,1009,1239,567,319,426,174,250,192,0,23,62,802,471,217,88,59,113,46
222,A_08317,307032,161180,79737,28728,0,18294,1517,8582,3385,2281,1321,823,1245,376,757,373,0,65,163,2305,1339,564,306,94,335,156
223,A_08325,103277,54530,27658,8489,0,4606,354,3529,1162,702,523,348,409,1214,428,151,0,32,52,753,494,200,98,27,98,44
224,A_08326,150893,75726,37681,12822,0,7988,616,5286,1418,1041,814,585,537,315,777,182,0,37,72,865,592,283,94,47,149,58
225,A_08327,94715,51285,27913,7612,0,4472,305,3599,989,615,430,477,313,167,280,98,0,25,59,572,381,147,61,40,81,33
226,A_08335,192162,94937,42376,16248,0,16140,1239,6853,1280,1242,1073,452,681,319,471,172,0,57,117,1113,567,405,153,91,150,66
227,A_08336,156808,76881,30228,17090,0,11865,1053,5148,1683,1131,873,361,497,201,768,158,0,28,78,875,480,401,117,51,132,45
228,A_08337,117055,62436,30677,10525,0,7634,485,3625,1795,831,622,222,442,499,501,134,0,23,42,693,341,177,92,29,64,49
229,A_08415,195041,102936,47078,18125,0,14786,1142,8037,2284,1282,838,655,570,348,666,268,0,41,387,1113,764,363,145,82,195,57
230,A_08416,145022,82300,31300,14611,0,19369,2109,5164,2488,777,533,222,492,514,515,190,0,24,101,745,360,333,71,84,66,47
231,A_08417,140120,71156,36912,11378,0,6209,490,4372,2207,1024,646,562,613,201,601,189,0,40,91,935,715,289,152,55,191,61
232,A_08421,78757,38664,15609,8213,0,7430,587,2569,541,461,375,247,240,241,130,66,0,29,26,357,257,131,85,36,81,34
233,A_08425,134395,79272,43274,11913,0,8390,526,3821,2321,904,582,610,508,441,498,221,0,39,73,945,509,276,132,45,142,60
234,A_08426,136736,79360,46867,8545,0,7342,358,3910,3128,784,450,570,873,728,272,281,0,47,60,981,382,263,97,44,117,46
235,A_08435,147059,80666,39814,12528,0,11868,717,5285,1073,1211,797,470,647,744,404,198,0,36,92,979,511,478,125,38,165,68
236,A_08436,195571,104747,57004,13119,0,14031,706,5079,1849,1332,817,463,700,2275,566,309,0,52,122,1303,654,406,175,66,191,74
237,A_08437,95714,54702,32130,6425,0,4602,395,2729,1671,671,490,412,350,227,193,108,0,22,66,695,384,243,85,40,152,33
240,A_09161,85221,25592,0,3946,13726,3013,340,1141,829,169,157,80,88,1064,105,34,200,8,20,139,104,59,31,15,40,9
241,A_09162,835708,324737,0,60674,134512,75317,5153,19444,3798,3659,2844,983,1145,5971,523,460,2332,323,207,1356,1209,761,854,404,505,126
242,A_09163,41202,15400,0,2100,8179,1970,171,564,850,170,116,27,51,530,39,36,177,16,16,81,61,30,24,12,26,5
