,teryt_code,eligible_voters,issued_ballots,cdu,spd,csu,gruene,pds,fdp,rep,tierschutz,graue,npd,frauen,oedp,pbc,cm,bp,bueso,zentrum,familie,deutschland,unabhaengige,aufbruch,dkp,dp,psg
0,A_01001,66793,19820,7486,5516,0,3246,507,1201,113,316,352,102,115,30,55,30,0,16,12,128,69,38,31,48,51,28
1,A_01002,176936,62414,21356,17032,0,13146,1918,3698,363,786,1312,365,200,120,175,53,0,42,31,312,160,123,58,108,109,49
2,A_01003,164951,54750,21763,16040,0,8453,1466,2961,330,562,670,310,181,90,117,69,0,37,26,295,185,87,48,54,98,38
3,A_01004,61258,17010,7354,5040,0,1726,338,956,100,240,200,144,74,36,128,23,0,14,15,100,71,37,7,25,39,11
4,A_01051,107791,37076,20040,8669,0,2433,544,2400,209,376,445,184,119,41,61,43,0,21,23,266,137,62,35,42,96,28
5,A_01053,143823,54727,25588,13336,0,6850,867,3617,395,632,635,470,170,73,110,81,0,41,36,353,202,59,43,51,111,40
6,A_01054,129007,45441,23358,10753,0,4506,552,2763,163,528,584,328,156,65,102,56,0,27,25,372,110,73,57,40,84,30
7,A_01055,162055,57791,28725,14990,0,5705,654,3638,268,604,637,269,110,66,171,72,0,26,43,332,153,87,65,34,94,36
8,A_01056,225624,85670,38283,20779,0,12433,1246,5939,398,930,1504,397,257,118,296,99,0,63,69,492,288,135,74,187,119,47
9,A_01057,102961,40744,18673,10323,0,5488,629,2326,195,502,789,261,120,51,95,40,0,27,30,232,102,70,31,40,64,27
10,A_01058,213766,82807,39734,20250,0,10328,1212,4751,317,962,1249,307,280,106,235,82,0,54,73,580,235,106,61,76,130,44
11,A_01059,153316,54955,28362,13113,0,5385,746,2987,259,687,754,177,218,87,124,58,0,32,40,441,137,112,71,46,91,40
12,A_01060,198646,76052,36596,17219,0,9277,1381,5273,365,849,1288,377,243,101,205,86,0,50,43,475,201,106,66,75,175,47
13,A_01061,105279,37544,18874,9079,0,3804,649,2115,188,402,410,235,126,42,112,50,0,23,23,238,120,43,33,45,110,29
14,A_01062,175106,69438,31195,16846,0,10368,1074,4775,298,817,1036,282,193,110,164,82,0,49,47,347,221,107,67,70,137,32
17,A_02000,1227905,428863,154690,106325,0,103454,11872,22991,1589,3237,5640,1831,1351,677,1027,255,0,315,172,1534,1217,613,395,900,684,260
20,A_03101,187660,78326,29003,23233,0,12517,2249,5146,859,966,857,471,297,130,201,88,0,48,51,463,283,119,68,136,151,55
21,A_03102,80901,29865,11664,10052,0,1868,638,1396,1845,383,399,167,128,29,103,50,0,15,40,175,136,29,26,26,93,17
22,A_03103,92024,33908,14758,10411,0,3166,708,1787,281,306,531,461,117,52,94,58,0,17,15,208,151,49,33,28,106,22
23,A_03151,130857,59441,28818,16648,0,5238,882,2796,510,593,544,416,211,71,470,67,0,31,61,443,188,104,54,42,140,46
24,A_03152,198129,81503,31158,21966,0,15684,1996,4593,412,650,802,855,212,149,165,137,0,42,57,484,294,153,81,170,157,60
25,A_03153,120251,44924,19609,13750,0,3959,948,2722,550,494,409,540,119,58,138,38,0,21,24,272,173,88,42,26,93,30
26,A_03154,77753,30180,13260,9694,0,2245,537,1579,208,393,262,692,101,31,78,40,0,18,26,201,118,46,34,23,72,15
27,A_03155,117172,48111,19123,17239,0,3837,788,3081,477,465,396,313,147,52,102,64,0,33,24,338,226,72,53,40,108,23
28,A_03156,67259,24456,10313,8368,0,1744,402,1383,238,295,255,222,88,29,68,26,0,13,23,190,111,27,29,21,72,23
29,A_03157,103100,41107,16528,14669,0,3636,690,2073,544,446,438,245,134,37,138,47,0,19,33,301,166,74,42,38,115,27
30,A_03158,98992,43154,18553,13249,0,4393,780,2351,575,610,400,380,156,58,115,60,0,24,42,308,180,53,46,33,108,21
31,A_03241,837141,357873,134929,105746,0,56166,7860,24027,3009,3470,4500,2783,1039,572,1167,426,0,281,214,2126,1430,631,318,460,848,257
32,A_03251,166243,61131,25790,15892,0,7742,974,6041,451,590,650,351,220,90,349,72,0,24,29,442,246,120,72,50,154,29
33,A_03252,123798,47729,20227,14638,0,4830,807,3016,523,507,509,336,190,58,146,60,0,34,47,330,360,86,57,32,156,27
34,A_03254,224077,96328,41950,30109,0,10372,1641,4695,917,826,817,591,305,146,382,141,0,45,71,560,345,171,76,71,253,63
35,A_03255,62697,30553,12214,11103,0,2207,321,1984,213,230,232,293,102,32,112,33,0,8,22,152,117,32,25,16,47,27
36,A_03256,96827,34025,15807,9802,0,3220,456,2039,355,279,258,194,113,42,70,43,0,17,25,238,178,253,28,32,121,19
37,A_03257,127292,50471,20723,16638,0,5123,695,2897,576,523,456,377,169,76,250,96,0,26,31,361,290,93,54,36,133,33
38,A_03351,140016,52289,25058,12133,0,5224,1208,3821,1448,525,495,273,169,84,238,80,0,33,34,305,177,92,47,50,162,36
39,A_03352,160317,55403,26375,14945,0,5676,758,3151,440,566,752,374,193,51,115,54,0,35,45,393,179,97,67,53,280,38
40,A_03353,183389,73902,34357,16105,0,10647,1191,5659,466,711,1005,607,233,154,252,93,0,53,43,523,251,156,72,54,229,43
41,A_03354,41242,16435,6720,2944,0,4327,354,771,123,147,185,85,48,22,82,9,0,7,6,87,52,20,27,20,63,33
42,A_03355,132617,53896,20488,12730,0,11178,1389,3750,353,583,561,588,181,108,143,50,0,33,47,426,185,113,63,63,101,41
43,A_03356,87211,33872,12695,9688,0,5431,654,2314,432,445,522,212,140,50,153,29,0,25,15,250,123,58,41,46,108,28
44,A_03357,125079,50379,25265,11493,0,5652,600,3787,310,395,329,365,172,53,317,58,0,34,30,367,175,74,58,37,193,36
45,A_03358,108857,41059,19826,10372,0,4082,627,2378,672,459,375,355,156,62,230,49,0,18,27,331,173,90,47,29,136,35
46,A_03359,149663,58175,26582,15416,0,6793,824,3917,331,494,696,577,186,66,141,55,0,34,37,402,242,94,52,39,185,28
47,A_03360,77360,29777,13977,7437,0,4272,462,1526,228,263,268,172,90,44,75,36,0,16,24,175,118,42,30,25,67,18
48,A_03361,102027,39390,15631,10904,0,5959,846,2689,321,432,456,496,137,57,255,34,0,13,19,292,154,87,28,17,163,19
49,A_03401,57441,17710,6963,5430,0,1962,428,1123,209,222,334,114,72,42,29,38,0,11,14,132,97,32,26,35,42,11
50,A_03402,38774,12173,3226,5288,0,1431,238,947,88,138,100,60,39,21,55,12,0,11,6,64,62,17,12,32,18,7
51,A_03403,120562,45236,14278,11639,0,11314,1676,3327,153,402,372,213,155,74,83,54,0,39,41,278,173,95,40,104,73,46
52,A_03404,119389,50966,22233,12212,0,9358,926,3177,206,397,487,231,154,97,114,42,0,26,43,203,142,89,49,92,102,41
53,A_03405,66316,22380,8825,6916,0,1979,530,1730,257,303,370,126,112,25,40,26,0,14,19,167,121,50,29,29,151,26
54,A_03451,88126,31573,13949,8158,0,3849,442,2872,199,272,231,209,114,43,40,35,0,18,24,259,136,70,34,27,65,20
55,A_03452,147023,50874,17485,20122,0,4789,833,2586,539,657,489,238,219,54,124,71,0,29,42,396,217,75,65,58,102,48
56,A_03453,110904,43055,31149,5200,0,1994,320,2292,167,214,196,113,102,24,50,76,0,11,35,213,118,40,40,12,82,21
57,A_03454,227465,101522,72378,14088,0,5250,723,4037,432,554,493,269,265,79,102,111,0,31,83,603,246,109,82,83,169,47
58,A_03455,79370,29741,11712,9110,0,2924,421,2625,256,353,318,184,128,31,76,35,0,13,26,284,130,72,35,37,81,22
59,A_03456,94831,45758,26066,11631,0,3274,329,1738,156,283,219,194,122,99,104,56,0,15,26,246,131,56,42,82,62,24
60,A_03457,124771,42562,17525,14675,0,3582,614,2102,368,457,418,274,177,47,402,112,0,21,20,267,228,65,44,50,106,38
61,A_03458,94600,37336,15959,9528,0,4741,603,3683,239,394,432,196,148,72,98,47,0,15,29,308,128,63,58,38,69,18
62,A_03459,266235,120354,67760,27435,0,10771,1154,6124,549,899,731,641,346,143,298,140,0,51,105,709,368,146,99,102,201,62
63,A_03460,92422,45527,32448,5325,0,2319,247,2900,221,238,168,100,120,27,29,63,0,16,48,224,83,59,31,16,103,17
64,A_03461,71512,24274,9329,8064,0,2420,406,1953,199,232,301,184,105,31,26,23,0,12,14,203,101,55,33,20,54,22
65,A_03462,44529,14672,6880,4360,0,1126,210,933,81,152,125,83,47,19,19,8,0,9,5,100,72,26,20,16,36,11
68,A_04011,399189,152371,41300,44810,0,36105,5816,9292,1251,2117,3447,1003,830,205,620,148,0,101,102,750,778,271,205,374,645,160
69,A_04012,86274,28737,8615,9585,0,3709,811,1968,311,551,1011,480,184,17,145,21,0,19,26,226,174,39,45,41,198,24
72,A_05111,408041,170620,69520,38891,0,27346,3930,16679,2756,1786,3000,539,633,329,311,157,0,140,170,889,576,331,121,333,243,99
73,A_05112,354684,125411,40846,43572,0,13732,5288,6545,2282,1853,2593,1093,685,159,227,157,0,101,169,1077,758,274,148,211,295,166
74,A_05113,443351,169869,63382,49764,0,23484,4612,10217,2864,2532,2971,1057,902,273,299,217,0,132,282,1379,807,309,224,577,274,155
75,A_05114,167339,68151,29794,15640,0,9067,1425,6006,779,849,1230,262,268,102,127,109,0,46,99,462,289,115,83,88,126,66
76,A_05116,195194,64763,31793,12603,0,7412,1302,6135,540,769,903,497,280,116,115,71,0,35,83,440,289,119,56,50,173,29
77,A_05117,130539,52716,19070,16384,0,6744,1277,3975,412,712,970,376,225,77,110,61,0,26,96,459,195,115,71,89,105,46
78,A_05119,161859,52753,17731,18512,0,5714,1885,2669,746,812,1087,569,264,85,82,58,0,20,93,432,260,101,63,73,144,55
79,A_05120,83581,30254,12630,7640,0,3176,671,2947,487,423,456,176,142,63,95,45,0,11,43,249,187,47,32,41,78,21
80,A_05122,115176,46047,19462,10939,0,5543,1123,4688,497,522,661,312,178,118,189,62,0,32,52,338,205,83,41,70,118,38
81,A_05124,256119,100048,36958,25044,0,15420,3115,8505,2172,1332,1839,550,384,159,350,138,0,58,145,692,453,213,125,180,202,80
82,A_05154,221746,94883,52842,18722,0,8135,1301,7245,492,907,887,365,328,193,109,92,0,41,118,718,285,173,94,70,142,69
83,A_05158,374982,160886,71511,38190,0,18752,3203,15145,1787,1774,2514,975,718,242,527,209,0,101,223,1098,634,355,153,199,288,82
84,A_05162,328533,142791,71593,29026,0,14599,2173,13655,1787,1497,1687,585,631,174,168,186,0,78,773,1083,482,311,98,137,227,81
85,A_05166,224765,95413,48194,18485,0,10361,1407,9139,775,1298,1148,390,410,108,190,74,0,41,117,808,332,179,90,55,169,60
86,A_05170,357708,146796,61591,44034,0,15595,3051,9744,1273,1753,2107,903,739,203,240,164,0,104,197,989,665,233,126,113,222,111
87,A_05313,173019,80573,32470,16893,0,17766,1922,6356,441,694,824,310,217,202,71,81,0,36,73,331,205,125,50,90,159,57
88,A_05314,210108,104341,42057,19784,0,23207,2265,10592,496,968,950,293,324,193,285,114,0,57,130,390,344,153,66,110,170,57
89,A_05315,673585,270101,92349,64006,0,63241,8191,23102,2222,2426,4820,1737,1124,556,400,311,0,190,279,1027,833,545,212,348,345,171
90,A_05316,117295,42937,18093,11235,0,5423,851,3336,460,535,834,273,214,69,95,58,0,30,54,296,186,69,33,43,94,31
91,A_05354,225569,94513,42050,26298,0,8593,1534,6125,1555,1210,1190,684,507,147,98,97,0,62,114,733,356,163,92,86,159,84
92,A_05358,197858,81153,40037,19806,0,7177,1254,5035,722,1159,1136,477,307,112,198,122,0,50,82,662,330,161,68,92,174,47
93,A_05362,335679,140286,60205,36737,0,15979,2260,12411,1228,1838,2410,860,591,249,140,149,0,63,142,954,545,281,140,100,283,86
94,A_05366,146008,59492,31312,10884,0,5738,885,5288,544,780,684,290,271,102,104,129,0,33,65,471,248,179,67,43,112,38
95,A_05370,183895,75811,41539,14738,0,5714,1070,5734,759,810,853,447,372,95,136,110,0,46,81,603,274,141,82,65,157,59
96,A_05374,211720,87529,43176,19718,0,9122,1308,6779,742,932,942,494,295,213,434,242,0,41,102,619,355,161,84,132,237,53
97,A_05378,212235,99215,44828,20982,0,14177,1573,10229,771,1094,1296,451,404,178,401,163,0,61,92,652,300,193,72,93,140,36
98,A_05382,431224,194132,93355,39326,0,26298,3234,17910,1227,2126,2187,998,720,347,509,244,0,82,241,1047,896,361,138,114,316,96
99,A_05512,91350,37062,13790,12612,0,3149,842,1747,660,536,503,245,200,572,32,37,0,21,50,353,175,62,43,325,77,31
100,A_05513,195849,66964,22151,23882,0,5919,2044,3224,1955,1026,1360,720,429,90,153,155,0,56,107,658,436,144,80,138,203,73
101,A_05515,203203,101049,42145,19621,0,23635,1957,7937,524,687,910,358,312,534,71,98,0,30,142,428,223,172,68,104,103,52
102,A_05554,264510,115217,71320,20202,0,9145,1074,6812,814,808,701,374,433,140,130,148,0,31,195,737,303,206,72,128,144,53
103,A_05558,164768,76542,42828,13824,0,8553,928,5601,502,615,598,233,226,216,59,92,0,19,113,601,241,114,51,43,131,46
104,A_05562,491555,192016,75909,62025,0,18370,4828,10725,3354,2569,2791,1249,1023,246,348,313,0,135,262,1671,891,381,203,333,490,172
105,A_05566,327325,142083,74043,34605,0,13874,1705,9177,867,1071,1079,628,477,170,162,96,0,46,253,957,400,188,89,83,213,60
106,A_05570,207964,94176,50772,19739,0,9180,1115,6657,928,812,761,413,370,160,95,158,0,29,140,670,309,203,96,62,156,36
107,A_05711,239975,107574,41052,28156,0,20352,2860,6497,752,1016,1210,733,373,180,444,159,0,63,77,580,486,181,82,139,291,105
108,A_05754,255193,106905,55593,22548,0,12301,1355,7185,756,880,1062,644,393,342,327,169,0,38,122,705,438,158,97,69,213,60
109,A_05758,195282,72978,31551,22374,0,7346,1257,4596,873,638,675,423,250,71,248,152,0,38,77,436,366,127,61,45,182,58
110,A_05762,117335,52369,32266,9198,0,3342,526,3044,453,315,319,286,195,172,111,115,0,14,63,489,237,87,42,33,113,29
111,A_05766,276085,116180,48144,35153,0,12636,2026,7829,1136,991,966,617,430,177,1464,177,0,59,88,774,539,221,84,91,298,98
112,A_05770,247334,97785,40929,29671,0,9438,1377,7762,1618,806,790,504,357,215,637,120,0,57,80,689,428,188,87,115,191,69
113,A_05774,215835,90184,54454,14367,0,8643,1053,5436,916,561,554,364,302,167,198,200,0,37,115,711,384,155,68,68,180,48
114,A_05911,290074,120947,38643,40699,0,17628,4036,6286,1355,1943,2257,1153,688,197,164,200,0,99,147,1140,563,241,145,214,277,104
115,A_05913,427536,163534,54095,53846,0,24888,6118,10025,2024,2080,3036,1089,805,272,333,238,0,107,176,926,644,342,148,332,332,131
116,A_05914,144903,53334,21038,16365,0,5257,1550,3519,1167,886,714,408,221,88,105,105,0,25,45,390,274,70,55,57,125,43
117,A_05915,130191,50218,22178,15304,0,4353,939,2735,1065,519,581,234,269,45,60,81,0,29,64,388,202,72,57,54,80,34
118,A_05916,122177,43935,14607,15920,0,3951,1413,1789,1324,747,808,407,250,43,115,64,0,48,54,487,275,96,48,73,101,49
119,A_05954,264905,109589,38498,34952,0,14226,2581,8092,1184,1837,1633,918,507,177,345,150,0,63,111,845,441,221,110,174,208,112
120,A_05958,211171,94467,59268,17895,0,5593,915,4835,941,676,680,395,294,106,107,157,0,45,118,628,341,118,68,42,147,47
121,A_05962,324763,124191,60233,30118,0,10516,2044,8635,2016,1452,1670,1275,583,154,544,239,0,72,192,977,674,240,133,124,311,76
122,A_05966,103345,46272,31046,7446,0,2648,371,1998,593,269,259,171,116,61,41,56,0,10,70,259,135,44,35,30,68,22
123,A_05970,219198,80066,38037,20003,0,7400,1294,4993,1474,826,721,496,274,292,1019,225,0,61,88,556,377,189,97,84,255,51
124,A_05974,229686,100322,52181,22758,0,8963,1401,7303,1066,914,917,426,409,132,198,244,0,63,125,740,425,142,88,93,192,70
125,A_05978,315208,129628,48955,43315,0,13869,2852,8124,1702,1704,1878,912,626,167,207,160,0,80,113,1007,622,273,140,114,315,114
128,A_06411,97150,41074,12962,8500,0,11246,1210,3225,492,490,494,202,241,88,124,55,0,50,30,274,157,120,49,100,97,33
129,A_06412,385689,153653,52916,29155,0,37710,5135,12170,3256,2259,2218,1257,837,338,281,229,0,118,170,780,556,339,175,414,492,141
130,A_06413,67489,23559,8986,4903,0,3990,719,1487,756,418,334,413,164,34,34,53,0,25,32,134,149,43,34,61,65,30
131,A_06414,186573,70231,27559,15339,0,12478,1240,6117,2149,778,763,326,355,152,199,118,0,107,63,352,261,155,77,106,164,56
132,A_06431,198240,71019,31058,16235,0,8769,851,4978,2159,1142,848,505,392,124,277,190,0,40,123,595,283,183,92,116,180,53
133,A_06432,209604,81882,30188,20170,0,13573,1490,6141,1632,1196,949,532,510,180,422,148,0,57,78,702,397,247,125,290,227,80
134,A_06433,170413,61899,22288,16678,0,8869,1312,3883,2421,883,857,386,341,106,239,93,0,59,57,500,374,212,90,161,226,57
135,A_06434,163826,71965,33012,12008,0,10904,1195,7864,1648,918,766,302,319,188,147,137,0,33,89,450,262,154,74,93,200,44
