ci|tid|sid|li|list_name                                                                                   |votes  |ts|orgs
01|001|028|04|MAGYAR DEMOKRATA FÓRUM                                                                      |0000025| 1|MDF                                                         
01|001|028|05|FIDESZ-KDNP                                                                                 |0000293| 2|FIDESZ,KDNP                                                 
01|002|001|01|MSZP                                                                                        |0000152| 1|MSZP                                                        
01|002|001|02|JOBBIK                                                                                      |0000044| 1|Jobbik                                                      
01|002|001|03|LEHET MÁS A POLITIKA                                                                        |0000098| 1|LEHET MÁS A POLITIKA                                        
01|002|001|04|MAGYAR DEMOKRATA FÓRUM                                                                      |0000039| 1|MDF                                                         
01|002|001|05|FIDESZ-KDNP                                                                                 |0000363| 2|FIDESZ,KDNP                                                 
01|002|002|01|MSZP                                                                                        |0000125| 1|MSZP                                                        
01|002|002|02|JOBBIK                                                                                      |0000031| 1|Jobbik                                                      
01|002|002|03|LEHET MÁS A POLITIKA                                                                        |0000062| 1|LEHET MÁS A POLITIKA                                        
01|002|002|04|MAGYAR DEMOKRATA FÓRUM                                                                      |0000026| 1|MDF                                                         
01|002|002|05|FIDESZ-KDNP                                                                                 |0000258| 2|FIDESZ,KDNP                                                 
01|002|003|01|MSZP                                                                                        |0000160| 1|MSZP                                                        
01|002|003|02|JOBBIK                                                                                      |0000062| 1|Jobbik                                                      
01|002|003|03|LEHET MÁS A POLITIKA                                                                        |0000102| 1|LEHET MÁS A POLITIKA                                        
01|002|003|04|MAGYAR DEMOKRATA FÓRUM                                                                      |0000034| 1|MDF                                                         
01|002|003|05|FIDESZ-KDNP                                                                                 |0000365| 2|FIDESZ,KDNP                                                 
01|002|004|01|MSZP                                                                                        |0000170| 1|MSZP                                                        
01|002|004|02|JOBBIK                                                                                      |0000026| 1|Jobbik                                                      
01|002|004|03|LEHET MÁS A POLITIKA                                                                        |0000083| 1|LEHET MÁS A POLITIKA                                        
01|002|004|04|MAGYAR DEMOKRATA FÓRUM                                                                      |0000030| 1|MDF                                                         
01|002|004|05|FIDESZ-KDNP                                                                                 |0000350| 2|FIDESZ,KDNP                                                 
01|002|005|01|MSZP                                                                                        |0000122| 1|MSZP                                                        
01|002|005|02|JOBBIK                                                                                      |0000033| 1|Jobbik                                                      
01|002|005|03|LEHET MÁS A POLITIKA                                                                        |0000066| 1|LEHET MÁS A POLITIKA                                        
01|002|005|04|MAGYAR DEMOKRATA FÓRUM                                                                      |0000034| 1|MDF                                                         
01|002|005|05|FIDESZ-KDNP                                                                                 |0000292| 2|FIDESZ,KDNP                                                 
01|002|006|01|MSZP                                                                                        |0000220| 1|MSZP                                                        
01|002|006|02|JOBBIK                                                                                      |0000158| 1|Jobbik                                                      
01|002|006|03|LEHET MÁS A POLITIKA                                                                        |0000195| 1|LEHET MÁS A POLITIKA                                        
01|002|006|04|MAGYAR DEMOKRATA FÓRUM                                                                      |0000075| 1|MDF                                                         
01|002|006|05|FIDESZ-KDNP                                                                                 |0000752| 2|FIDESZ,KDNP                                                 
01|002|007|01|MSZP                                                                                        |0000125| 1|MSZP                                                        
01|002|007|02|JOBBIK                                                                                      |0000041| 1|Jobbik                                                      
01|002|007|03|LEHET MÁS A POLITIKA                                                                        |0000073| 1|LEHET MÁS A POLITIKA                                        
01|002|007|04|MAGYAR DEMOKRATA FÓRUM                                                                      |0000019| 1|MDF                                                         
01|002|007|05|FIDESZ-KDNP                                                                                 |0000317| 2|FIDESZ,KDNP                                                 
01|002|008|01|MSZP                                                                                        |0000142| 1|MSZP                                                        
01|002|008|02|JOBBIK                                                                                      |0000033| 1|Jobbik                                                      
01|002|008|03|LEHET MÁS A POLITIKA                                                                        |0000064| 1|LEHET MÁS A POLITIKA                                        
01|002|008|04|MAGYAR DEMOKRATA FÓRUM                                                                      |0000032| 1|MDF                                                         
01|002|008|05|FIDESZ-KDNP                                                                                 |0000283| 2|FIDESZ,KDNP                                                 
01|002|009|01|MSZP                                                                                        |0000104| 1|MSZP                                                        
01|002|009|02|JOBBIK                                                                                      |0000049| 1|Jobbik                                                      
01|002|009|03|LEHET MÁS A POLITIKA                                                                        |0000091| 1|LEHET MÁS A POLITIKA                                        
01|002|009|04|MAGYAR DEMOKRATA FÓRUM                                                                      |0000022| 1|MDF                                                         
01|002|009|05|FIDESZ-KDNP                                                                                 |0000333| 2|FIDESZ,KDNP                                                 
01|002|010|01|MSZP                                                                                        |0000109| 1|MSZP                                                        
01|002|010|02|JOBBIK                                                                                      |0000041| 1|Jobbik                                                      
01|002|010|03|LEHET MÁS A POLITIKA                                                                        |0000075| 1|LEHET MÁS A POLITIKA                                        
01|002|010|04|MAGYAR DEMOKRATA FÓRUM                                                                      |0000018| 1|MDF                                                         
01|002|010|05|FIDESZ-KDNP                                                                                 |0000246| 2|FIDESZ,KDNP                                                 
01|002|011|01|MSZP                                                                                        |0000096| 1|MSZP                                                        
01|002|011|02|JOBBIK                                                                                      |0000027| 1|Jobbik                                                      
01|002|011|03|LEHET MÁS A POLITIKA                                                                        |0000062| 1|LEHET MÁS A POLITIKA                                        
01|002|011|04|MAGYAR DEMOKRATA FÓRUM                                                                      |0000029| 1|MDF                                                         
01|002|011|05|FIDESZ-KDNP                                                                                 |0000247| 2|FIDESZ,KDNP                                                 
01|002|012|01|MSZP                                                                                        |0000133| 1|MSZP                                                        
01|002|012|02|JOBBIK                                                                                      |0000032| 1|Jobbik                                                      
