01|Budapest                 |017|Budapest XVII.ker.       |001|FIDESZ-KDNP                   |0014777|
01|Budapest                 |017|Budapest XVII.ker.       |002|SZDSZ                         |0000826|
01|Budapest                 |017|Budapest XVII.ker.       |003|MCF ROMA Ö.                   |0000037|
01|Budapest                 |017|Budapest XVII.ker.       |004|MUNKÁSPÁRT                    |0000259|
01|Budapest                 |017|Budapest XVII.ker.       |005|MSZP                          |0005463|
01|Budapest                 |017|Budapest XVII.ker.       |006|JOBBIK                        |0004108|
01|Budapest                 |017|Budapest XVII.ker.       |007|LMP-HP                        |0001058|
01|Budapest                 |017|Budapest XVII.ker.       |008|MDF                           |0001997|
01|Budapest                 |018|Budapest XVIII.ker.      |001|FIDESZ-KDNP                   |0016090|
01|Budapest                 |018|Budapest XVIII.ker.      |002|SZDSZ                         |0001034|
01|Budapest                 |018|Budapest XVIII.ker.      |003|MCF ROMA Ö.                   |0000047|
01|Budapest                 |018|Budapest XVIII.ker.      |004|MUNKÁSPÁRT                    |0000338|
01|Budapest                 |018|Budapest XVIII.ker.      |005|MSZP                          |0007499|
01|Budapest                 |018|Budapest XVIII.ker.      |006|JOBBIK                        |0005090|
01|Budapest                 |018|Budapest XVIII.ker.      |007|LMP-HP                        |0001301|
01|Budapest                 |018|Budapest XVIII.ker.      |008|MDF                           |0002425|
01|Budapest                 |019|Budapest XIX.ker.        |001|FIDESZ-KDNP                   |0009476|
01|Budapest                 |019|Budapest XIX.ker.        |002|SZDSZ                         |0000692|
01|Budapest                 |019|Budapest XIX.ker.        |003|MCF ROMA Ö.                   |0000033|
01|Budapest                 |019|Budapest XIX.ker.        |004|MUNKÁSPÁRT                    |0000236|
01|Budapest                 |019|Budapest XIX.ker.        |005|MSZP                          |0004670|
01|Budapest                 |019|Budapest XIX.ker.        |006|JOBBIK                        |0002735|
01|Budapest                 |019|Budapest XIX.ker.        |007|LMP-HP                        |0000855|
01|Budapest                 |019|Budapest XIX.ker.        |008|MDF                           |0001379|
01|Budapest                 |020|Budapest XX.ker.         |001|FIDESZ-KDNP                   |0009254|
01|Budapest                 |020|Budapest XX.ker.         |002|SZDSZ                         |0000519|
01|Budapest                 |020|Budapest XX.ker.         |003|MCF ROMA Ö.                   |0000032|
01|Budapest                 |020|Budapest XX.ker.         |004|MUNKÁSPÁRT                    |0000194|
01|Budapest                 |020|Budapest XX.ker.         |005|MSZP                          |0004805|
01|Budapest                 |020|Budapest XX.ker.         |006|JOBBIK                        |0002815|
01|Budapest                 |020|Budapest XX.ker.         |007|LMP-HP                        |0000626|
01|Budapest                 |020|Budapest XX.ker.         |008|MDF                           |0001323|
01|Budapest                 |021|Budapest XXI.ker.        |001|FIDESZ-KDNP                   |0009836|
01|Budapest                 |021|Budapest XXI.ker.        |002|SZDSZ                         |0000651|
01|Budapest                 |021|Budapest XXI.ker.        |003|MCF ROMA Ö.                   |0000049|
01|Budapest                 |021|Budapest XXI.ker.        |004|MUNKÁSPÁRT                    |0000368|
01|Budapest                 |021|Budapest XXI.ker.        |005|MSZP                          |0005503|
01|Budapest                 |021|Budapest XXI.ker.        |006|JOBBIK                        |0003282|
01|Budapest                 |021|Budapest XXI.ker.        |007|LMP-HP                        |0000829|
01|Budapest                 |021|Budapest XXI.ker.        |008|MDF                           |0001423|
01|Budapest                 |022|Budapest XXII.ker.       |001|FIDESZ-KDNP                   |0010074|
01|Budapest                 |022|Budapest XXII.ker.       |002|SZDSZ                         |0000644|
01|Budapest                 |022|Budapest XXII.ker.       |003|MCF ROMA Ö.                   |0000034|
01|Budapest                 |022|Budapest XXII.ker.       |004|MUNKÁSPÁRT                    |0000157|
01|Budapest                 |022|Budapest XXII.ker.       |005|MSZP                          |0003862|
01|Budapest                 |022|Budapest XXII.ker.       |006|JOBBIK                        |0002788|
01|Budapest                 |022|Budapest XXII.ker.       |007|LMP-HP                        |0000896|
01|Budapest                 |022|Budapest XXII.ker.       |008|MDF                           |0001239|
01|Budapest                 |023|Budapest XXIII.ker.      |001|FIDESZ-KDNP                   |0003523|
01|Budapest                 |023|Budapest XXIII.ker.      |002|SZDSZ                         |0000149|
01|Budapest                 |023|Budapest XXIII.ker.      |003|MCF ROMA Ö.                   |0000023|
01|Budapest                 |023|Budapest XXIII.ker.      |004|MUNKÁSPÁRT                    |0000066|
01|Budapest                 |023|Budapest XXIII.ker.      |005|MSZP                          |0001369|
01|Budapest                 |023|Budapest XXIII.ker.      |006|JOBBIK                        |0000971|
01|Budapest                 |023|Budapest XXIII.ker.      |007|LMP-HP                        |0000216|
01|Budapest                 |023|Budapest XXIII.ker.      |008|MDF                           |0000438|
02|Baranya                  |001|Abaliget                 |001|FIDESZ-KDNP                   |0000063|
02|Baranya                  |001|Abaliget                 |002|SZDSZ                         |0000002|
02|Baranya                  |001|Abaliget                 |003|MCF ROMA Ö.                   |0000004|
02|Baranya                  |001|Abaliget                 |004|MUNKÁSPÁRT                    |0000000|
02|Baranya                  |001|Abaliget                 |005|MSZP                          |0000016|
02|Baranya                  |001|Abaliget                 |006|JOBBIK                        |0000018|
02|Baranya                  |001|Abaliget                 |007|LMP-HP                        |0000005|
02|Baranya                  |001|Abaliget                 |008|MDF                           |0000006|
02|Baranya                  |002|Adorjás                  |001|FIDESZ-KDNP                   |0000015|
02|Baranya                  |002|Adorjás                  |002|SZDSZ                         |0000000|
02|Baranya                  |002|Adorjás                  |003|MCF ROMA Ö.                   |0000017|
02|Baranya                  |002|Adorjás                  |004|MUNKÁSPÁRT                    |0000000|
02|Baranya                  |002|Adorjás                  |005|MSZP                          |0000009|
02|Baranya                  |002|Adorjás                  |006|JOBBIK                        |0000002|
02|Baranya                  |002|Adorjás                  |007|LMP-HP                        |0000000|
02|Baranya                  |002|Adorjás                  |008|MDF                           |0000002|
02|Baranya                  |003|Almamellék               |001|FIDESZ-KDNP                   |0000073|
02|Baranya                  |003|Almamellék               |002|SZDSZ                         |0000002|
02|Baranya                  |003|Almamellék               |003|MCF ROMA Ö.                   |0000001|
02|Baranya                  |003|Almamellék               |004|MUNKÁSPÁRT                    |0000000|
02|Baranya                  |003|Almamellék               |005|MSZP                          |0000020|
02|Baranya                  |003|Almamellék               |006|JOBBIK                        |0000006|
02|Baranya                  |003|Almamellék               |007|LMP-HP                        |0000000|
02|Baranya                  |003|Almamellék               |008|MDF                           |0000001|
02|Baranya                  |004|Almáskeresztúr           |001|FIDESZ-KDNP                   |0000013|
02|Baranya                  |004|Almáskeresztúr           |002|SZDSZ                         |0000001|
02|Baranya                  |004|Almáskeresztúr           |003|MCF ROMA Ö.                   |0000000|
02|Baranya                  |004|Almáskeresztúr           |004|MUNKÁSPÁRT                    |0000001|
02|Baranya                  |004|Almáskeresztúr           |005|MSZP                          |0000009|
02|Baranya                  |004|Almáskeresztúr           |006|JOBBIK                        |0000002|
02|Baranya                  |004|Almáskeresztúr           |007|LMP-HP                        |0000001|
02|Baranya                  |004|Almáskeresztúr           |008|MDF                           |0000001|
02|Baranya                  |005|Alsómocsolád             |001|FIDESZ-KDNP                   |0000057|
02|Baranya                  |005|Alsómocsolád             |002|SZDSZ                         |0000000|
02|Baranya                  |005|Alsómocsolád             |003|MCF ROMA Ö.                   |0000000|
02|Baranya                  |005|Alsómocsolád             |004|MUNKÁSPÁRT                    |0000000|
02|Baranya                  |005|Alsómocsolád             |005|MSZP                          |0000005|
02|Baranya                  |005|Alsómocsolád             |006|JOBBIK                        |0000007|
02|Baranya                  |005|Alsómocsolád             |007|LMP-HP                        |0000001|
02|Baranya                  |005|Alsómocsolád             |008|MDF                           |0000003|
02|Baranya                  |006|Alsószentmárton          |001|FIDESZ-KDNP                   |0000282|
02|Baranya                  |006|Alsószentmárton          |002|SZDSZ                         |0000000|
02|Baranya                  |006|Alsószentmárton          |003|MCF ROMA Ö.                   |0000008|
02|Baranya                  |006|Alsószentmárton          |004|MUNKÁSPÁRT                    |0000000|
02|Baranya                  |006|Alsószentmárton          |005|MSZP                          |0000012|
02|Baranya                  |006|Alsószentmárton          |006|JOBBIK                        |0000000|
02|Baranya                  |006|Alsószentmárton          |007|LMP-HP                        |0000000|
02|Baranya                  |006|Alsószentmárton          |008|MDF                           |0000001|
02|Baranya                  |007|Apátvarasd               |001|FIDESZ-KDNP                   |0000023|
02|Baranya                  |007|Apátvarasd               |002|SZDSZ                         |0000001|
02|Baranya                  |007|Apátvarasd               |003|MCF ROMA Ö.                   |0000000|
02|Baranya                  |007|Apátvarasd               |004|MUNKÁSPÁRT                    |0000001|
02|Baranya                  |007|Apátvarasd               |005|MSZP                          |0000000|
02|Baranya                  |007|Apátvarasd               |006|JOBBIK                        |0000000|
02|Baranya                  |007|Apátvarasd               |007|LMP-HP                        |0000001|
02|Baranya                  |007|Apátvarasd               |008|MDF                           |0000000|
02|Baranya                  |008|Aranyosgadány            |001|FIDESZ-KDNP                   |0000051|
02|Baranya                  |008|Aranyosgadány            |002|SZDSZ                         |0000001|
02|Baranya                  |008|Aranyosgadány            |003|MCF ROMA Ö.                   |0000000|
02|Baranya                  |008|Aranyosgadány            |004|MUNKÁSPÁRT                    |0000000|
02|Baranya                  |008|Aranyosgadány            |005|MSZP                          |0000008|
02|Baranya                  |008|Aranyosgadány            |006|JOBBIK                        |0000006|
02|Baranya                  |008|Aranyosgadány            |007|LMP-HP                        |0000002|
02|Baranya                  |008|Aranyosgadány            |008|MDF                           |0000001|
02|Baranya                  |009|Ág                       |001|FIDESZ-KDNP                   |0000029|
02|Baranya                  |009|Ág                       |002|SZDSZ                         |0000001|
02|Baranya                  |009|Ág                       |003|MCF ROMA Ö.                   |0000001|
02|Baranya                  |009|Ág                       |004|MUNKÁSPÁRT                    |0000001|
02|Baranya                  |009|Ág                       |005|MSZP                          |0000003|
02|Baranya                  |009|Ág                       |006|JOBBIK                        |0000000|
02|Baranya                  |009|Ág                       |007|LMP-HP                        |0000000|
02|Baranya                  |009|Ág                       |008|MDF                           |0000000|
02|Baranya                  |010|Áta                      |001|FIDESZ-KDNP                   |0000033|
02|Baranya                  |010|Áta                      |002|SZDSZ                         |0000000|
02|Baranya                  |010|Áta                      |003|MCF ROMA Ö.                   |0000001|
02|Baranya                  |010|Áta                      |004|MUNKÁSPÁRT                    |0000002|
02|Baranya                  |010|Áta                      |005|MSZP                          |0000006|
02|Baranya                  |010|Áta                      |006|JOBBIK                        |0000006|
02|Baranya                  |010|Áta                      |007|LMP-HP                        |0000001|
02|Baranya                  |010|Áta                      |008|MDF                           |0000007|
02|Baranya                  |011|Babarc                   |001|FIDESZ-KDNP                   |0000156|
02|Baranya                  |011|Babarc                   |002|SZDSZ                         |0000002|
02|Baranya                  |011|Babarc                   |003|MCF ROMA Ö.                   |0000000|
02|Baranya                  |011|Babarc                   |004|MUNKÁSPÁRT                    |0000000|
02|Baranya                  |011|Babarc                   |005|MSZP                          |0000027|
02|Baranya                  |011|Babarc                   |006|JOBBIK                        |0000014|
02|Baranya                  |011|Babarc                   |007|LMP-HP                        |0000000|
02|Baranya                  |011|Babarc                   |008|MDF                           |0000009|
02|Baranya                  |012|Babarcszõlõs             |001|FIDESZ-KDNP                   |0000036|
02|Baranya                  |012|Babarcszõlõs             |002|SZDSZ                         |0000001|
02|Baranya                  |012|Babarcszõlõs             |003|MCF ROMA Ö.                   |0000000|
02|Baranya                  |012|Babarcszõlõs             |004|MUNKÁSPÁRT                    |0000000|
02|Baranya                  |012|Babarcszõlõs             |005|MSZP                          |0000000|
02|Baranya                  |012|Babarcszõlõs             |006|JOBBIK                        |0000000|
02|Baranya                  |012|Babarcszõlõs             |007|LMP-HP                        |0000001|
02|Baranya                  |012|Babarcszõlõs             |008|MDF                           |0000000|
02|Baranya                  |013|Bakonya                  |001|FIDESZ-KDNP                   |0000042|
02|Baranya                  |013|Bakonya                  |002|SZDSZ                         |0000002|
