"JKV_TÍPUS","SZAVAZÓKÖR_AZON","JKV_AZONOSÍTÓ","MEGYEKÓD","MEGYE","TELEPÜLÉS_SORSZÁM","TELEPÜLÉS","SZAVAZÓKÖR","VÁLASZTÓPOLGÁR","MEGJELENTEK","URNÁBAN_BÉLYEGZÉS_NÉLKÜLI","URNÁBAN_LEBÉLYEGZETT","ELTÉRÉS","ÉRVÉNYTELEN","ÉRVÉNYES","LISTA","SZAVAZAT"
,"08059077T",37987,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",37
,"08059077T",37987,,,,,,,,,,,,,"JOBBIK",29
,"08059077T",37987,,,,,,,,,,,,,"LMP",24
,"08059077T",37987,,,,,,,,,,,,,"EGYÜTT-PM",15
,"08059077T",37987,,,,,,,,,,,,,"SMS",4
,"08059077T",37987,,,,,,,,,,,,,"A HAZA NEM ELADÓ",3
"Belföldi","08059078F",37983,"08","GYŐR-MOSON-SOPRON","059","Győr",78,892,329,0,329,0,3,326,,
,"08059078T",37983,,,,,,,,,,,,,"FIDESZ-KDNP",213
,"08059078T",37983,,,,,,,,,,,,,"MSZP",34
,"08059078T",37983,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",28
,"08059078T",37983,,,,,,,,,,,,,"JOBBIK",25
,"08059078T",37983,,,,,,,,,,,,,"EGYÜTT-PM",13
,"08059078T",37983,,,,,,,,,,,,,"LMP",11
,"08059078T",37983,,,,,,,,,,,,,"SMS",2
,"08059078T",37983,,,,,,,,,,,,,"A HAZA NEM ELADÓ",0
"Belföldi","08059079F",37982,"08","GYŐR-MOSON-SOPRON","059","Győr",79,1012,374,0,374,0,0,374,,
,"08059079T",37982,,,,,,,,,,,,,"FIDESZ-KDNP",219
,"08059079T",37982,,,,,,,,,,,,,"MSZP",46
,"08059079T",37982,,,,,,,,,,,,,"JOBBIK",44
,"08059079T",37982,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",32
,"08059079T",37982,,,,,,,,,,,,,"EGYÜTT-PM",17
,"08059079T",37982,,,,,,,,,,,,,"LMP",14
,"08059079T",37982,,,,,,,,,,,,,"SMS",2
,"08059079T",37982,,,,,,,,,,,,,"A HAZA NEM ELADÓ",0
"Belföldi","08059080F",37989,"08","GYŐR-MOSON-SOPRON","059","Győr",80,1131,414,0,414,0,0,414,,
,"08059080T",37989,,,,,,,,,,,,,"FIDESZ-KDNP",250
,"08059080T",37989,,,,,,,,,,,,,"JOBBIK",56
,"08059080T",37989,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",36
,"08059080T",37989,,,,,,,,,,,,,"EGYÜTT-PM",31
,"08059080T",37989,,,,,,,,,,,,,"MSZP",26
,"08059080T",37989,,,,,,,,,,,,,"LMP",12
,"08059080T",37989,,,,,,,,,,,,,"SMS",3
,"08059080T",37989,,,,,,,,,,,,,"A HAZA NEM ELADÓ",0
"Belföldi","08059081F",38994,"08","GYŐR-MOSON-SOPRON","059","Győr",81,932,351,0,351,0,4,347,,
,"08059081T",38994,,,,,,,,,,,,,"FIDESZ-KDNP",211
,"08059081T",38994,,,,,,,,,,,,,"JOBBIK",32
,"08059081T",38994,,,,,,,,,,,,,"EGYÜTT-PM",29
,"08059081T",38994,,,,,,,,,,,,,"MSZP",26
,"08059081T",38994,,,,,,,,,,,,,"LMP",25
,"08059081T",38994,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",23
,"08059081T",38994,,,,,,,,,,,,,"SMS",1
,"08059081T",38994,,,,,,,,,,,,,"A HAZA NEM ELADÓ",0
"Belföldi","08059082F",37435,"08","GYŐR-MOSON-SOPRON","059","Győr",82,1081,168,0,168,0,0,168,,
,"08059082T",37435,,,,,,,,,,,,,"FIDESZ-KDNP",111
,"08059082T",37435,,,,,,,,,,,,,"JOBBIK",21
,"08059082T",37435,,,,,,,,,,,,,"EGYÜTT-PM",12
,"08059082T",37435,,,,,,,,,,,,,"MSZP",11
,"08059082T",37435,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",6
,"08059082T",37435,,,,,,,,,,,,,"LMP",6
,"08059082T",37435,,,,,,,,,,,,,"SMS",1
,"08059082T",37435,,,,,,,,,,,,,"A HAZA NEM ELADÓ",0
"Belföldi","08059083F",37436,"08","GYŐR-MOSON-SOPRON","059","Győr",83,1116,244,0,244,0,1,243,,
,"08059083T",37436,,,,,,,,,,,,,"FIDESZ-KDNP",155
,"08059083T",37436,,,,,,,,,,,,,"JOBBIK",31
,"08059083T",37436,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",23
,"08059083T",37436,,,,,,,,,,,,,"EGYÜTT-PM",14
,"08059083T",37436,,,,,,,,,,,,,"LMP",11
,"08059083T",37436,,,,,,,,,,,,,"MSZP",9
,"08059083T",37436,,,,,,,,,,,,,"SMS",0
,"08059083T",37436,,,,,,,,,,,,,"A HAZA NEM ELADÓ",0
"Belföldi","08059084F",37437,"08","GYŐR-MOSON-SOPRON","059","Győr",84,1146,255,0,254,-1,0,254,,
,"08059084T",37437,,,,,,,,,,,,,"FIDESZ-KDNP",160
,"08059084T",37437,,,,,,,,,,,,,"JOBBIK",24
,"08059084T",37437,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",23
,"08059084T",37437,,,,,,,,,,,,,"MSZP",17
,"08059084T",37437,,,,,,,,,,,,,"EGYÜTT-PM",13
,"08059084T",37437,,,,,,,,,,,,,"LMP",13
,"08059084T",37437,,,,,,,,,,,,,"SMS",4
,"08059084T",37437,,,,,,,,,,,,,"A HAZA NEM ELADÓ",0
"Belföldi","08059085F",37438,"08","GYŐR-MOSON-SOPRON","059","Győr",85,1107,272,0,272,0,5,267,,
,"08059085T",37438,,,,,,,,,,,,,"FIDESZ-KDNP",145
,"08059085T",37438,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",41
,"08059085T",37438,,,,,,,,,,,,,"JOBBIK",33
,"08059085T",37438,,,,,,,,,,,,,"EGYÜTT-PM",18
,"08059085T",37438,,,,,,,,,,,,,"LMP",16
,"08059085T",37438,,,,,,,,,,,,,"MSZP",13
,"08059085T",37438,,,,,,,,,,,,,"SMS",1
,"08059085T",37438,,,,,,,,,,,,,"A HAZA NEM ELADÓ",0
"Belföldi","08059086F",37439,"08","GYŐR-MOSON-SOPRON","059","Győr",86,1072,358,0,358,0,0,358,,
,"08059086T",37439,,,,,,,,,,,,,"FIDESZ-KDNP",213
,"08059086T",37439,,,,,,,,,,,,,"JOBBIK",47
,"08059086T",37439,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",37
,"08059086T",37439,,,,,,,,,,,,,"MSZP",28
,"08059086T",37439,,,,,,,,,,,,,"EGYÜTT-PM",18
,"08059086T",37439,,,,,,,,,,,,,"LMP",12
,"08059086T",37439,,,,,,,,,,,,,"SMS",2
,"08059086T",37439,,,,,,,,,,,,,"A HAZA NEM ELADÓ",1
"Belföldi","08059087F",37444,"08","GYŐR-MOSON-SOPRON","059","Győr",87,1063,278,0,278,0,0,278,,
,"08059087T",37444,,,,,,,,,,,,,"FIDESZ-KDNP",145
,"08059087T",37444,,,,,,,,,,,,,"JOBBIK",39
,"08059087T",37444,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",32
,"08059087T",37444,,,,,,,,,,,,,"LMP",24
,"08059087T",37444,,,,,,,,,,,,,"MSZP",20
,"08059087T",37444,,,,,,,,,,,,,"EGYÜTT-PM",17
,"08059087T",37444,,,,,,,,,,,,,"SMS",1
,"08059087T",37444,,,,,,,,,,,,,"A HAZA NEM ELADÓ",0
"Belföldi","08059088F",37440,"08","GYŐR-MOSON-SOPRON","059","Győr",88,1223,340,0,339,-1,2,337,,
,"08059088T",37440,,,,,,,,,,,,,"FIDESZ-KDNP",180
,"08059088T",37440,,,,,,,,,,,,,"JOBBIK",46
,"08059088T",37440,,,,,,,,,,,,,"EGYÜTT-PM",44
,"08059088T",37440,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",29
,"08059088T",37440,,,,,,,,,,,,,"MSZP",27
,"08059088T",37440,,,,,,,,,,,,,"LMP",10
,"08059088T",37440,,,,,,,,,,,,,"SMS",1
,"08059088T",37440,,,,,,,,,,,,,"A HAZA NEM ELADÓ",0
"Belföldi","08059089F",38992,"08","GYŐR-MOSON-SOPRON","059","Győr",89,1061,265,0,265,0,0,265,,
,"08059089T",38992,,,,,,,,,,,,,"FIDESZ-KDNP",139
,"08059089T",38992,,,,,,,,,,,,,"JOBBIK",40
,"08059089T",38992,,,,,,,,,,,,,"EGYÜTT-PM",25
,"08059089T",38992,,,,,,,,,,,,,"LMP",21
,"08059089T",38992,,,,,,,,,,,,,"MSZP",19
,"08059089T",38992,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",18
,"08059089T",38992,,,,,,,,,,,,,"SMS",3
,"08059089T",38992,,,,,,,,,,,,,"A HAZA NEM ELADÓ",0
"Belföldi","08059090F",38377,"08","GYŐR-MOSON-SOPRON","059","Győr",90,1210,347,0,347,0,0,347,,
,"08059090T",38377,,,,,,,,,,,,,"FIDESZ-KDNP",208
,"08059090T",38377,,,,,,,,,,,,,"JOBBIK",41
,"08059090T",38377,,,,,,,,,,,,,"EGYÜTT-PM",31
,"08059090T",38377,,,,,,,,,,,,,"MSZP",28
,"08059090T",38377,,,,,,,,,,,,,"LMP",21
,"08059090T",38377,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",17
,"08059090T",38377,,,,,,,,,,,,,"SMS",1
,"08059090T",38377,,,,,,,,,,,,,"A HAZA NEM ELADÓ",0
"Belföldi","08059091F",38375,"08","GYŐR-MOSON-SOPRON","059","Győr",91,1157,386,0,386,0,2,384,,
,"08059091T",38375,,,,,,,,,,,,,"FIDESZ-KDNP",255
,"08059091T",38375,,,,,,,,,,,,,"JOBBIK",41
,"08059091T",38375,,,,,,,,,,,,,"MSZP",29
,"08059091T",38375,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",23
,"08059091T",38375,,,,,,,,,,,,,"LMP",22
,"08059091T",38375,,,,,,,,,,,,,"EGYÜTT-PM",8
,"08059091T",38375,,,,,,,,,,,,,"A HAZA NEM ELADÓ",3
,"08059091T",38375,,,,,,,,,,,,,"SMS",3
"Belföldi","08059092F",38378,"08","GYŐR-MOSON-SOPRON","059","Győr",92,998,341,0,341,0,3,338,,
,"08059092T",38378,,,,,,,,,,,,,"FIDESZ-KDNP",216
,"08059092T",38378,,,,,,,,,,,,,"JOBBIK",35
,"08059092T",38378,,,,,,,,,,,,,"EGYÜTT-PM",29
,"08059092T",38378,,,,,,,,,,,,,"MSZP",23
,"08059092T",38378,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",22
,"08059092T",38378,,,,,,,,,,,,,"LMP",9
,"08059092T",38378,,,,,,,,,,,,,"SMS",2
,"08059092T",38378,,,,,,,,,,,,,"A HAZA NEM ELADÓ",2
"Belföldi","08059093F",38475,"08","GYŐR-MOSON-SOPRON","059","Győr",93,939,263,0,263,0,1,262,,
,"08059093T",38475,,,,,,,,,,,,,"FIDESZ-KDNP",160
,"08059093T",38475,,,,,,,,,,,,,"JOBBIK",26
,"08059093T",38475,,,,,,,,,,,,,"EGYÜTT-PM",26
,"08059093T",38475,,,,,,,,,,,,,"LMP",19
,"08059093T",38475,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",17
,"08059093T",38475,,,,,,,,,,,,,"MSZP",13
,"08059093T",38475,,,,,,,,,,,,,"SMS",1
,"08059093T",38475,,,,,,,,,,,,,"A HAZA NEM ELADÓ",0
"Belföldi","08059094F",38996,"08","GYŐR-MOSON-SOPRON","059","Győr",94,1197,322,0,322,0,1,321,,
,"08059094T",38996,,,,,,,,,,,,,"FIDESZ-KDNP",192
,"08059094T",38996,,,,,,,,,,,,,"JOBBIK",35
,"08059094T",38996,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",35
,"08059094T",38996,,,,,,,,,,,,,"MSZP",27
,"08059094T",38996,,,,,,,,,,,,,"EGYÜTT-PM",17
,"08059094T",38996,,,,,,,,,,,,,"LMP",15
,"08059094T",38996,,,,,,,,,,,,,"A HAZA NEM ELADÓ",0
,"08059094T",38996,,,,,,,,,,,,,"SMS",0
"Belföldi","08059095F",38376,"08","GYŐR-MOSON-SOPRON","059","Győr",95,1223,434,0,434,0,0,434,,
,"08059095T",38376,,,,,,,,,,,,,"FIDESZ-KDNP",284
,"08059095T",38376,,,,,,,,,,,,,"JOBBIK",59
,"08059095T",38376,,,,,,,,,,,,,"MSZP",32
,"08059095T",38376,,,,,,,,,,,,,"LMP",23
,"08059095T",38376,,,,,,,,,,,,,"EGYÜTT-PM",18
,"08059095T",38376,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",14
,"08059095T",38376,,,,,,,,,,,,,"A HAZA NEM ELADÓ",3
,"08059095T",38376,,,,,,,,,,,,,"SMS",1
"Belföldi","08059096F",38474,"08","GYŐR-MOSON-SOPRON","059","Győr",96,1136,339,0,339,0,2,337,,
,"08059096T",38474,,,,,,,,,,,,,"FIDESZ-KDNP",221
,"08059096T",38474,,,,,,,,,,,,,"JOBBIK",34
,"08059096T",38474,,,,,,,,,,,,,"EGYÜTT-PM",26
,"08059096T",38474,,,,,,,,,,,,,"MSZP",21
,"08059096T",38474,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",18
,"08059096T",38474,,,,,,,,,,,,,"LMP",13
,"08059096T",38474,,,,,,,,,,,,,"A HAZA NEM ELADÓ",3
,"08059096T",38474,,,,,,,,,,,,,"SMS",1
"Belföldi","08060001F",38476,"08","GYŐR-MOSON-SOPRON","060","Győrasszonyfa",1,430,120,0,120,0,1,119,,
,"08060001T",38476,,,,,,,,,,,,,"FIDESZ-KDNP",84
,"08060001T",38476,,,,,,,,,,,,,"JOBBIK",16
,"08060001T",38476,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",8
,"08060001T",38476,,,,,,,,,,,,,"MSZP",6
,"08060001T",38476,,,,,,,,,,,,,"LMP",4
,"08060001T",38476,,,,,,,,,,,,,"EGYÜTT-PM",1
,"08060001T",38476,,,,,,,,,,,,,"SMS",0
,"08060001T",38476,,,,,,,,,,,,,"A HAZA NEM ELADÓ",0
"Belföldi","08061001F",38315,"08","GYŐR-MOSON-SOPRON","061","Győrladamér",1,1307,336,0,336,0,0,336,,
,"08061001T",38315,,,,,,,,,,,,,"FIDESZ-KDNP",195
,"08061001T",38315,,,,,,,,,,,,,"JOBBIK",39
,"08061001T",38315,,,,,,,,,,,,,"EGYÜTT-PM",26
,"08061001T",38315,,,,,,,,,,,,,"LMP",26
,"08061001T",38315,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",24
,"08061001T",38315,,,,,,,,,,,,,"MSZP",23
,"08061001T",38315,,,,,,,,,,,,,"A HAZA NEM ELADÓ",3
,"08061001T",38315,,,,,,,,,,,,,"SMS",0
"Belföldi","08062001F",38477,"08","GYŐR-MOSON-SOPRON","062","Győrság",1,1179,343,0,343,0,2,341,,
,"08062001T",38477,,,,,,,,,,,,,"FIDESZ-KDNP",269
,"08062001T",38477,,,,,,,,,,,,,"JOBBIK",26
,"08062001T",38477,,,,,,,,,,,,,"MSZP",16
,"08062001T",38477,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",9
,"08062001T",38477,,,,,,,,,,,,,"LMP",9
,"08062001T",38477,,,,,,,,,,,,,"EGYÜTT-PM",8
,"08062001T",38477,,,,,,,,,,,,,"SMS",2
,"08062001T",38477,,,,,,,,,,,,,"A HAZA NEM ELADÓ",2
"Belföldi","08063001F",37355,"08","GYŐR-MOSON-SOPRON","063","Győrsövényház",1,660,131,0,131,0,0,131,,
,"08063001T",37355,,,,,,,,,,,,,"FIDESZ-KDNP",75
,"08063001T",37355,,,,,,,,,,,,,"MSZP",16
,"08063001T",37355,,,,,,,,,,,,,"JOBBIK",15
,"08063001T",37355,,,,,,,,,,,,,"LMP",11
,"08063001T",37355,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",9
,"08063001T",37355,,,,,,,,,,,,,"EGYÜTT-PM",4
,"08063001T",37355,,,,,,,,,,,,,"SMS",1
,"08063001T",37355,,,,,,,,,,,,,"A HAZA NEM ELADÓ",0
"Belföldi","08064001F",37356,"08","GYŐR-MOSON-SOPRON","064","Győrszemere",1,811,90,0,90,0,0,90,,
,"08064001T",37356,,,,,,,,,,,,,"FIDESZ-KDNP",58
,"08064001T",37356,,,,,,,,,,,,,"JOBBIK",17
,"08064001T",37356,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",7
,"08064001T",37356,,,,,,,,,,,,,"LMP",4
,"08064001T",37356,,,,,,,,,,,,,"MSZP",4
,"08064001T",37356,,,,,,,,,,,,,"SMS",0
,"08064001T",37356,,,,,,,,,,,,,"A HAZA NEM ELADÓ",0
,"08064001T",37356,,,,,,,,,,,,,"EGYÜTT-PM",0
"Belföldi","08064002F",37357,"08","GYŐR-MOSON-SOPRON","064","Győrszemere",2,823,118,0,118,0,2,116,,
,"08064002T",37357,,,,,,,,,,,,,"FIDESZ-KDNP",76
,"08064002T",37357,,,,,,,,,,,,,"JOBBIK",18
,"08064002T",37357,,,,,,,,,,,,,"MSZP",10
,"08064002T",37357,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",6
,"08064002T",37357,,,,,,,,,,,,,"EGYÜTT-PM",3
,"08064002T",37357,,,,,,,,,,,,,"LMP",3
,"08064002T",37357,,,,,,,,,,,,,"A HAZA NEM ELADÓ",0
,"08064002T",37357,,,,,,,,,,,,,"SMS",0
"Belföldi","08064003F",37358,"08","GYŐR-MOSON-SOPRON","064","Győrszemere",3,920,219,0,219,0,0,219,,
,"08064003T",37358,,,,,,,,,,,,,"FIDESZ-KDNP",159
,"08064003T",37358,,,,,,,,,,,,,"JOBBIK",26
,"08064003T",37358,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",14
,"08064003T",37358,,,,,,,,,,,,,"MSZP",9
,"08064003T",37358,,,,,,,,,,,,,"EGYÜTT-PM",7
,"08064003T",37358,,,,,,,,,,,,,"A HAZA NEM ELADÓ",2
,"08064003T",37358,,,,,,,,,,,,,"LMP",2
,"08064003T",37358,,,,,,,,,,,,,"SMS",0
"Belföldi","08065001F",38478,"08","GYŐR-MOSON-SOPRON","065","Győrújbarát",1,1164,376,0,376,0,2,374,,
,"08065001T",38478,,,,,,,,,,,,,"FIDESZ-KDNP",240
,"08065001T",38478,,,,,,,,,,,,,"JOBBIK",47
,"08065001T",38478,,,,,,,,,,,,,"LMP",23
,"08065001T",38478,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",21
,"08065001T",38478,,,,,,,,,,,,,"MSZP",21
,"08065001T",38478,,,,,,,,,,,,,"EGYÜTT-PM",19
,"08065001T",38478,,,,,,,,,,,,,"A HAZA NEM ELADÓ",2
,"08065001T",38478,,,,,,,,,,,,,"SMS",1
"Belföldi","08065002F",38479,"08","GYŐR-MOSON-SOPRON","065","Győrújbarát",2,1282,371,0,371,0,0,371,,
,"08065002T",38479,,,,,,,,,,,,,"FIDESZ-KDNP",200
,"08065002T",38479,,,,,,,,,,,,,"JOBBIK",45
,"08065002T",38479,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",45
,"08065002T",38479,,,,,,,,,,,,,"EGYÜTT-PM",32
,"08065002T",38479,,,,,,,,,,,,,"LMP",28
,"08065002T",38479,,,,,,,,,,,,,"MSZP",19
,"08065002T",38479,,,,,,,,,,,,,"A HAZA NEM ELADÓ",1
,"08065002T",38479,,,,,,,,,,,,,"SMS",1
"Belföldi","08065003F",38480,"08","GYŐR-MOSON-SOPRON","065","Győrújbarát",3,1161,378,0,378,0,0,378,,
,"08065003T",38480,,,,,,,,,,,,,"FIDESZ-KDNP",217
,"08065003T",38480,,,,,,,,,,,,,"JOBBIK",54
,"08065003T",38480,,,,,,,,,,,,,"EGYÜTT-PM",37
,"08065003T",38480,,,,,,,,,,,,,"MSZP",32
,"08065003T",38480,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",21
,"08065003T",38480,,,,,,,,,,,,,"LMP",15
,"08065003T",38480,,,,,,,,,,,,,"SMS",2
,"08065003T",38480,,,,,,,,,,,,,"A HAZA NEM ELADÓ",0
"Belföldi","08065004F",38481,"08","GYŐR-MOSON-SOPRON","065","Győrújbarát",4,1150,393,0,393,0,1,392,,
,"08065004T",38481,,,,,,,,,,,,,"FIDESZ-KDNP",272
,"08065004T",38481,,,,,,,,,,,,,"JOBBIK",35
,"08065004T",38481,,,,,,,,,,,,,"MSZP",23
,"08065004T",38481,,,,,,,,,,,,,"EGYÜTT-PM",23
,"08065004T",38481,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",18
,"08065004T",38481,,,,,,,,,,,,,"LMP",16
,"08065004T",38481,,,,,,,,,,,,,"A HAZA NEM ELADÓ",3
,"08065004T",38481,,,,,,,,,,,,,"SMS",2
"Belföldi","08066001F",38316,"08","GYŐR-MOSON-SOPRON","066","Győrújfalu",1,1219,480,0,480,0,1,479,,
,"08066001T",38316,,,,,,,,,,,,,"FIDESZ-KDNP",336
,"08066001T",38316,,,,,,,,,,,,,"JOBBIK",59
,"08066001T",38316,,,,,,,,,,,,,"MSZP",26
,"08066001T",38316,,,,,,,,,,,,,"LMP",22
,"08066001T",38316,,,,,,,,,,,,,"EGYÜTT-PM",18
,"08066001T",38316,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",15
,"08066001T",38316,,,,,,,,,,,,,"A HAZA NEM ELADÓ",2
,"08066001T",38316,,,,,,,,,,,,,"SMS",1
"Belföldi","08067001F",38411,"08","GYŐR-MOSON-SOPRON","067","Győrzámoly",1,1077,285,0,285,0,0,285,,
,"08067001T",38411,,,,,,,,,,,,,"FIDESZ-KDNP",159
,"08067001T",38411,,,,,,,,,,,,,"JOBBIK",43
,"08067001T",38411,,,,,,,,,,,,,"MSZP",25
,"08067001T",38411,,,,,,,,,,,,,"LMP",23
,"08067001T",38411,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",17
,"08067001T",38411,,,,,,,,,,,,,"EGYÜTT-PM",16
,"08067001T",38411,,,,,,,,,,,,,"SMS",1
,"08067001T",38411,,,,,,,,,,,,,"A HAZA NEM ELADÓ",1
"Belföldi","08067002F",38412,"08","GYŐR-MOSON-SOPRON","067","Győrzámoly",2,875,237,0,237,0,1,236,,
,"08067002T",38412,,,,,,,,,,,,,"FIDESZ-KDNP",149
,"08067002T",38412,,,,,,,,,,,,,"JOBBIK",31
,"08067002T",38412,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",19
,"08067002T",38412,,,,,,,,,,,,,"EGYÜTT-PM",13
,"08067002T",38412,,,,,,,,,,,,,"LMP",11
,"08067002T",38412,,,,,,,,,,,,,"MSZP",11
,"08067002T",38412,,,,,,,,,,,,,"A HAZA NEM ELADÓ",2
,"08067002T",38412,,,,,,,,,,,,,"SMS",0
"Belföldi","08068001F",38413,"08","GYŐR-MOSON-SOPRON","068","Halászi",1,1169,288,0,288,0,0,288,,
,"08068001T",38413,,,,,,,,,,,,,"FIDESZ-KDNP",203
,"08068001T",38413,,,,,,,,,,,,,"JOBBIK",28
,"08068001T",38413,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",18
,"08068001T",38413,,,,,,,,,,,,,"LMP",13
,"08068001T",38413,,,,,,,,,,,,,"MSZP",12
,"08068001T",38413,,,,,,,,,,,,,"EGYÜTT-PM",10
,"08068001T",38413,,,,,,,,,,,,,"SMS",3
,"08068001T",38413,,,,,,,,,,,,,"A HAZA NEM ELADÓ",1
"Belföldi","08068002F",38414,"08","GYŐR-MOSON-SOPRON","068","Halászi",2,1199,294,0,294,0,1,293,,
,"08068002T",38414,,,,,,,,,,,,,"FIDESZ-KDNP",199
,"08068002T",38414,,,,,,,,,,,,,"JOBBIK",28
,"08068002T",38414,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",19
,"08068002T",38414,,,,,,,,,,,,,"MSZP",17
,"08068002T",38414,,,,,,,,,,,,,"LMP",15
,"08068002T",38414,,,,,,,,,,,,,"EGYÜTT-PM",12
,"08068002T",38414,,,,,,,,,,,,,"A HAZA NEM ELADÓ",3
,"08068002T",38414,,,,,,,,,,,,,"SMS",0
"Belföldi","08068003F",38415,"08","GYŐR-MOSON-SOPRON","068","Halászi",3,122,37,0,37,0,1,36,,
,"08068003T",38415,,,,,,,,,,,,,"FIDESZ-KDNP",23
,"08068003T",38415,,,,,,,,,,,,,"JOBBIK",7
,"08068003T",38415,,,,,,,,,,,,,"LMP",3
,"08068003T",38415,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",1
,"08068003T",38415,,,,,,,,,,,,,"MSZP",1
,"08068003T",38415,,,,,,,,,,,,,"EGYÜTT-PM",1
,"08068003T",38415,,,,,,,,,,,,,"SMS",0
,"08068003T",38415,,,,,,,,,,,,,"A HAZA NEM ELADÓ",0
"Belföldi","08069001F",40928,"08","GYŐR-MOSON-SOPRON","069","Harka",1,665,154,0,154,0,1,153,,
,"08069001T",40928,,,,,,,,,,,,,"FIDESZ-KDNP",78
,"08069001T",40928,,,,,,,,,,,,,"JOBBIK",28
,"08069001T",40928,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",23
,"08069001T",40928,,,,,,,,,,,,,"MSZP",16
,"08069001T",40928,,,,,,,,,,,,,"EGYÜTT-PM",4
,"08069001T",40928,,,,,,,,,,,,,"LMP",3
,"08069001T",40928,,,,,,,,,,,,,"A HAZA NEM ELADÓ",1
,"08069001T",40928,,,,,,,,,,,,,"SMS",0
"Belföldi","08069002F",40929,"08","GYŐR-MOSON-SOPRON","069","Harka",2,809,225,0,225,0,0,225,,
,"08069002T",40929,,,,,,,,,,,,,"FIDESZ-KDNP",127
,"08069002T",40929,,,,,,,,,,,,,"JOBBIK",32
,"08069002T",40929,,,,,,,,,,,,,"MSZP",20
,"08069002T",40929,,,,,,,,,,,,,"EGYÜTT-PM",20
,"08069002T",40929,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",17
,"08069002T",40929,,,,,,,,,,,,,"LMP",9
,"08069002T",40929,,,,,,,,,,,,,"SMS",0
,"08069002T",40929,,,,,,,,,,,,,"A HAZA NEM ELADÓ",0
"Belföldi","08070001F",38416,"08","GYŐR-MOSON-SOPRON","070","Hegyeshalom",1,948,244,1,243,-1,0,243,,
,"08070001T",38416,,,,,,,,,,,,,"FIDESZ-KDNP",118
,"08070001T",38416,,,,,,,,,,,,,"JOBBIK",39
,"08070001T",38416,,,,,,,,,,,,,"MSZP",31
,"08070001T",38416,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",19
,"08070001T",38416,,,,,,,,,,,,,"EGYÜTT-PM",19
,"08070001T",38416,,,,,,,,,,,,,"LMP",17
,"08070001T",38416,,,,,,,,,,,,,"A HAZA NEM ELADÓ",0
,"08070001T",38416,,,,,,,,,,,,,"SMS",0
"Belföldi","08070002F",38417,"08","GYŐR-MOSON-SOPRON","070","Hegyeshalom",2,995,197,0,197,0,0,197,,
,"08070002T",38417,,,,,,,,,,,,,"FIDESZ-KDNP",115
,"08070002T",38417,,,,,,,,,,,,,"JOBBIK",25
,"08070002T",38417,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",20
,"08070002T",38417,,,,,,,,,,,,,"MSZP",15
,"08070002T",38417,,,,,,,,,,,,,"LMP",13
