"JKV_TÍPUS","SZAVAZÓKÖR_AZON","JKV_AZONOSÍTÓ","MEGYEKÓD","MEGYE","TELEPÜLÉS_SORSZÁM","TELEPÜLÉS","SZAVAZÓKÖR","VÁLASZTÓPOLGÁR","MEGJELENTEK","URNÁBAN_BÉLYEGZÉS_NÉLKÜLI","URNÁBAN_LEBÉLYEGZETT","ELTÉRÉS","ÉRVÉNYTELEN","ÉRVÉNYES","LISTA","SZAVAZAT"
,"01001013T",31238,,,,,,,,,,,,,"FIDESZ-KDNP",319
,"01001013T",31238,,,,,,,,,,,,,"EGYÜTT-PM",69
,"01001013T",31238,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",48
,"01001013T",31238,,,,,,,,,,,,,"LMP",47
,"01001013T",31238,,,,,,,,,,,,,"JOBBIK",41
,"01001013T",31238,,,,,,,,,,,,,"MSZP",36
,"01001013T",31238,,,,,,,,,,,,,"SMS",2
,"01001013T",31238,,,,,,,,,,,,,"A HAZA NEM ELADÓ",0
"Belföldi","01001014F",31239,"01","BUDAPEST","001","Budapest I.ker.",14,1008,498,0,498,0,0,498,,
,"01001014T",31239,,,,,,,,,,,,,"FIDESZ-KDNP",249
,"01001014T",31239,,,,,,,,,,,,,"EGYÜTT-PM",80
,"01001014T",31239,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",61
,"01001014T",31239,,,,,,,,,,,,,"LMP",51
,"01001014T",31239,,,,,,,,,,,,,"MSZP",32
,"01001014T",31239,,,,,,,,,,,,,"JOBBIK",25
,"01001014T",31239,,,,,,,,,,,,,"SMS",0
,"01001014T",31239,,,,,,,,,,,,,"A HAZA NEM ELADÓ",0
"Belföldi","01001015F",31240,"01","BUDAPEST","001","Budapest I.ker.",15,995,518,0,518,0,1,517,,
,"01001015T",31240,,,,,,,,,,,,,"FIDESZ-KDNP",248
,"01001015T",31240,,,,,,,,,,,,,"EGYÜTT-PM",81
,"01001015T",31240,,,,,,,,,,,,,"LMP",57
,"01001015T",31240,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",48
,"01001015T",31240,,,,,,,,,,,,,"MSZP",45
,"01001015T",31240,,,,,,,,,,,,,"JOBBIK",37
,"01001015T",31240,,,,,,,,,,,,,"A HAZA NEM ELADÓ",1
,"01001015T",31240,,,,,,,,,,,,,"SMS",0
"Belföldi","01001016F",31241,"01","BUDAPEST","001","Budapest I.ker.",16,983,563,0,563,0,2,561,,
,"01001016T",31241,,,,,,,,,,,,,"FIDESZ-KDNP",286
,"01001016T",31241,,,,,,,,,,,,,"EGYÜTT-PM",78
,"01001016T",31241,,,,,,,,,,,,,"LMP",78
,"01001016T",31241,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",55
,"01001016T",31241,,,,,,,,,,,,,"JOBBIK",38
,"01001016T",31241,,,,,,,,,,,,,"MSZP",24
,"01001016T",31241,,,,,,,,,,,,,"SMS",1
,"01001016T",31241,,,,,,,,,,,,,"A HAZA NEM ELADÓ",1
"Belföldi","01001017F",31242,"01","BUDAPEST","001","Budapest I.ker.",17,1061,526,0,526,0,1,525,,
,"01001017T",31242,,,,,,,,,,,,,"FIDESZ-KDNP",244
,"01001017T",31242,,,,,,,,,,,,,"EGYÜTT-PM",90
,"01001017T",31242,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",65
,"01001017T",31242,,,,,,,,,,,,,"LMP",57
,"01001017T",31242,,,,,,,,,,,,,"MSZP",44
,"01001017T",31242,,,,,,,,,,,,,"JOBBIK",25
,"01001017T",31242,,,,,,,,,,,,,"SMS",0
,"01001017T",31242,,,,,,,,,,,,,"A HAZA NEM ELADÓ",0
"Belföldi","01001018F",31243,"01","BUDAPEST","001","Budapest I.ker.",18,1036,506,0,505,-1,2,503,,
,"01001018T",31243,,,,,,,,,,,,,"FIDESZ-KDNP",274
,"01001018T",31243,,,,,,,,,,,,,"EGYÜTT-PM",65
,"01001018T",31243,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",57
,"01001018T",31243,,,,,,,,,,,,,"LMP",49
,"01001018T",31243,,,,,,,,,,,,,"MSZP",33
,"01001018T",31243,,,,,,,,,,,,,"JOBBIK",23
,"01001018T",31243,,,,,,,,,,,,,"A HAZA NEM ELADÓ",2
,"01001018T",31243,,,,,,,,,,,,,"SMS",0
"Belföldi","01001019F",31244,"01","BUDAPEST","001","Budapest I.ker.",19,975,478,0,478,0,3,475,,
,"01001019T",31244,,,,,,,,,,,,,"FIDESZ-KDNP",230
,"01001019T",31244,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",61
,"01001019T",31244,,,,,,,,,,,,,"LMP",55
,"01001019T",31244,,,,,,,,,,,,,"EGYÜTT-PM",55
,"01001019T",31244,,,,,,,,,,,,,"JOBBIK",44
,"01001019T",31244,,,,,,,,,,,,,"MSZP",24
,"01001019T",31244,,,,,,,,,,,,,"A HAZA NEM ELADÓ",5
,"01001019T",31244,,,,,,,,,,,,,"SMS",1
"Belföldi","01001020F",31245,"01","BUDAPEST","001","Budapest I.ker.",20,992,530,0,529,-1,0,529,,
,"01001020T",31245,,,,,,,,,,,,,"FIDESZ-KDNP",238
,"01001020T",31245,,,,,,,,,,,,,"EGYÜTT-PM",87
,"01001020T",31245,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",65
,"01001020T",31245,,,,,,,,,,,,,"LMP",61
,"01001020T",31245,,,,,,,,,,,,,"MSZP",52
,"01001020T",31245,,,,,,,,,,,,,"JOBBIK",25
,"01001020T",31245,,,,,,,,,,,,,"SMS",1
,"01001020T",31245,,,,,,,,,,,,,"A HAZA NEM ELADÓ",0
"Belföldi","01002001F",31547,"01","BUDAPEST","002","Budapest II.ker.",1,1085,546,0,546,0,1,545,,
,"01002001T",31547,,,,,,,,,,,,,"FIDESZ-KDNP",280
,"01002001T",31547,,,,,,,,,,,,,"EGYÜTT-PM",71
,"01002001T",31547,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",59
,"01002001T",31547,,,,,,,,,,,,,"LMP",48
,"01002001T",31547,,,,,,,,,,,,,"JOBBIK",45
,"01002001T",31547,,,,,,,,,,,,,"MSZP",37
,"01002001T",31547,,,,,,,,,,,,,"A HAZA NEM ELADÓ",3
,"01002001T",31547,,,,,,,,,,,,,"SMS",2
"Belföldi","01002002F",31548,"01","BUDAPEST","002","Budapest II.ker.",2,966,509,0,509,0,0,509,,
,"01002002T",31548,,,,,,,,,,,,,"FIDESZ-KDNP",252
,"01002002T",31548,,,,,,,,,,,,,"EGYÜTT-PM",85
,"01002002T",31548,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",57
,"01002002T",31548,,,,,,,,,,,,,"LMP",45
,"01002002T",31548,,,,,,,,,,,,,"JOBBIK",36
,"01002002T",31548,,,,,,,,,,,,,"MSZP",33
,"01002002T",31548,,,,,,,,,,,,,"SMS",1
,"01002002T",31548,,,,,,,,,,,,,"A HAZA NEM ELADÓ",0
"Belföldi","01002003F",31549,"01","BUDAPEST","002","Budapest II.ker.",3,710,332,0,332,0,0,332,,
,"01002003T",31549,,,,,,,,,,,,,"FIDESZ-KDNP",160
,"01002003T",31549,,,,,,,,,,,,,"EGYÜTT-PM",45
,"01002003T",31549,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",39
,"01002003T",31549,,,,,,,,,,,,,"MSZP",37
,"01002003T",31549,,,,,,,,,,,,,"LMP",27
,"01002003T",31549,,,,,,,,,,,,,"JOBBIK",23
,"01002003T",31549,,,,,,,,,,,,,"A HAZA NEM ELADÓ",1
,"01002003T",31549,,,,,,,,,,,,,"SMS",0
"Belföldi","01002004F",31550,"01","BUDAPEST","002","Budapest II.ker.",4,1023,492,0,492,0,0,492,,
,"01002004T",31550,,,,,,,,,,,,,"FIDESZ-KDNP",255
,"01002004T",31550,,,,,,,,,,,,,"EGYÜTT-PM",67
,"01002004T",31550,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",55
,"01002004T",31550,,,,,,,,,,,,,"MSZP",44
