ci|tid| sid|        li|list_name                                                                                   |votes
01|001|0021|         1|FÜGGETLEN KISGAZDAPÁRT                                                                      |         1
01|001|0021|         2|CENTRUM                                                                                     |        37
01|001|0021|         3|MUNKÁSPÁRT                                                                                  |         8
01|001|0021|         4|MSZP                                                                                        |       162
01|001|0021|         5|SZDSZ                                                                                       |        72
01|001|0021|         6|MIÉP                                                                                        |        51
01|001|0021|         7|FIDESZ MDF                                                                                  |       144
01|001|0022|         1|FÜGGETLEN KISGAZDAPÁRT                                                                      |         3
01|001|0022|         2|CENTRUM                                                                                     |        23
01|001|0022|         3|MUNKÁSPÁRT                                                                                  |        11
01|001|0022|         4|MSZP                                                                                        |       125
01|001|0022|         5|SZDSZ                                                                                       |        64
01|001|0022|         6|MIÉP                                                                                        |        43
01|001|0022|         7|FIDESZ MDF                                                                                  |       214
01|001|0023|         1|FÜGGETLEN KISGAZDAPÁRT                                                                      |         4
01|001|0023|         2|CENTRUM                                                                                     |        36
01|001|0023|         3|MUNKÁSPÁRT                                                                                  |         7
01|001|0023|         4|MSZP                                                                                        |       189
01|001|0023|         5|SZDSZ                                                                                       |        54
01|001|0023|         6|MIÉP                                                                                        |        47
01|001|0023|         7|FIDESZ MDF                                                                                  |       186
01|001|0024|         1|FÜGGETLEN KISGAZDAPÁRT                                                                      |         0
01|001|0024|         2|CENTRUM                                                                                     |        30
01|001|0024|         3|MUNKÁSPÁRT                                                                                  |         7
01|001|0024|         4|MSZP                                                                                        |       186
01|001|0024|         5|SZDSZ                                                                                       |        73
01|001|0024|         6|MIÉP                                                                                        |        54
01|001|0024|         7|FIDESZ MDF                                                                                  |       274
01|001|0025|         1|FÜGGETLEN KISGAZDAPÁRT                                                                      |         0
01|001|0025|         2|CENTRUM                                                                                     |        36
01|001|0025|         3|MUNKÁSPÁRT                                                                                  |        11
01|001|0025|         4|MSZP                                                                                        |       158
01|001|0025|         5|SZDSZ                                                                                       |        84
01|001|0025|         6|MIÉP                                                                                        |        35
01|001|0025|         7|FIDESZ MDF                                                                                  |       216
01|001|0026|         1|FÜGGETLEN KISGAZDAPÁRT                                                                      |         0
01|001|0026|         2|CENTRUM                                                                                     |        27
01|001|0026|         3|MUNKÁSPÁRT                                                                                  |         3
01|001|0026|         4|MSZP                                                                                        |       131
01|001|0026|         5|SZDSZ                                                                                       |        79
01|001|0026|         6|MIÉP                                                                                        |        52
01|001|0026|         7|FIDESZ MDF                                                                                  |       229
01|001|0027|         1|FÜGGETLEN KISGAZDAPÁRT                                                                      |         0
01|001|0027|         2|CENTRUM                                                                                     |        32
01|001|0027|         3|MUNKÁSPÁRT                                                                                  |         2
01|001|0027|         4|MSZP                                                                                        |       196
01|001|0027|         5|SZDSZ                                                                                       |       120
01|001|0027|         6|MIÉP                                                                                        |        56
01|001|0027|         7|FIDESZ MDF                                                                                  |       346
01|001|0028|         1|FÜGGETLEN KISGAZDAPÁRT                                                                      |         1
01|001|0028|         2|CENTRUM                                                                                     |        40
01|001|0028|         3|MUNKÁSPÁRT                                                                                  |         4
01|001|0028|         4|MSZP                                                                                        |       197
01|001|0028|         5|SZDSZ                                                                                       |        94
01|001|0028|         6|MIÉP                                                                                        |        43
01|001|0028|         7|FIDESZ MDF                                                                                  |       238
01|001|0029|         1|FÜGGETLEN KISGAZDAPÁRT                                                                      |         0
01|001|0029|         2|CENTRUM                                                                                     |        43
01|001|0029|         3|MUNKÁSPÁRT                                                                                  |         8
01|001|0029|         4|MSZP                                                                                        |       210
01|001|0029|         5|SZDSZ                                                                                       |        80
01|001|0029|         6|MIÉP                                                                                        |        66
01|001|0029|         7|FIDESZ MDF                                                                                  |       271
01|001|0030|         1|FÜGGETLEN KISGAZDAPÁRT                                                                      |         0
01|001|0030|         2|CENTRUM                                                                                     |        33
01|001|0030|         3|MUNKÁSPÁRT                                                                                  |         7
