"SZAVAZÓKÖR_AZON","JKV_AZONOSÍTÓ","'LISTÁS'","MEGYEKÓD","MEGYE","OEVK","SZÉKHELY","SZH_KER","TELEPÜLÉS_SORSZÁM","TELEPÜLÉS","SZAVAZÓKÖR","VÁLASZTÓPOLGÁR","MEGJELENTEK","URNÁBAN_LEVŐ","ELTÉRÉS","ÉRVÉNYTELEN","ÉRVÉNYES","LISTA_TÍPUS","LISTA","SZAVAZAT","NEMZ_VÁLASZTÓPOLGÁR","NEMZ_MEGJELENTEK","NEMZ_URNÁBAN_LÉVŐ","NEMZ_ELTÉRÉS","NEMZ_ÉRVÉNYTELEN"
"01001006T",227677,,,,,,,,,,,,,,,," ","NORMÁLIS ÉLET PÁRTJA",3,,,,,
"01001007F",227679,"Listás","01","BUDAPEST","01","Budapest","05","001","Budapest I. kerület","007",837,671,671,0,4,667,,,,,,,,
"01001007T",227679,,,,,,,,,,,,,,,," ","DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT",306,,,,,
"01001007T",227679,,,,,,,,,,,,,,,," ","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT",296,,,,,
"01001007T",227679,,,,,,,,,,,,,,,," ","MAGYAR KÉTFARKÚ KUTYA PÁRT",41,,,,,
"01001007T",227679,,,,,,,,,,,,,,,," ","MI HAZÁNK MOZGALOM",17,,,,,
"01001007T",227679,,,,,,,,,,,,,,,," ","MEGOLDÁS MOZGALOM",5,,,,,
"01001007T",227679,,,,,,,,,,,,,,,," ","NORMÁLIS ÉLET PÁRTJA",1,,,,,
"01001007T",227679,,,,,,,,,,,,,,,,"Nemzetiségi","MAGYARORSZÁGI GÖRÖGÖK ORSZÁGOS ÖNKORMÁNYZATA",1,1,1,1,0,0
"01001007T",227679,,,,,,,,,,,,,,,,"Nemzetiségi","ORSZÁGOS RUSZIN ÖNKORMÁNYZAT",0,1,0,0,0,0
"01001008F",227681,"Listás","01","BUDAPEST","01","Budapest","05","001","Budapest I. kerület","008",843,674,671,0,4,667,,,,,,,,
"01001008T",227681,,,,,,,,,,,,,,,," ","DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT",323,,,,,
"01001008T",227681,,,,,,,,,,,,,,,," ","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT",260,,,,,
"01001008T",227681,,,,,,,,,,,,,,,," ","MAGYAR KÉTFARKÚ KUTYA PÁRT",49,,,,,
"01001008T",227681,,,,,,,,,,,,,,,," ","MI HAZÁNK MOZGALOM",24,,,,,
"01001008T",227681,,,,,,,,,,,,,,,," ","MEGOLDÁS MOZGALOM",8,,,,,
"01001008T",227681,,,,,,,,,,,,,,,," ","NORMÁLIS ÉLET PÁRTJA",0,,,,,
"01001008T",227681,,,,,,,,,,,,,,,,"Nemzetiségi","MAGYARORSZÁGI NÉMETEK ORSZÁGOS ÖNKORMÁNYZATA",3,3,3,3,0,0
"01001008T",227681,,,,,,,,,,,,,,,,"Nemzetiségi","UKRÁN ORSZÁGOS ÖNKORMÁNYZAT",0,1,0,0,0,0
"01001009F",227683,"Listás","01","BUDAPEST","01","Budapest","05","001","Budapest I. kerület","009",953,756,755,0,7,748,,,,,,,,
"01001009T",227683,,,,,,,,,,,,,,,," ","DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT",347,,,,,
