"SZAVAZÓKÖR_AZON","JKV_AZONOSÍTÓ","'LISTÁS'","MEGYEKÓD","MEGYE","OEVK","SZÉKHELY","SZH_KER","TELEPÜLÉS_SORSZÁM","TELEPÜLÉS","SZAVAZÓKÖR","VÁLASZTÓPOLGÁR","MEGJELENTEK","URNÁBAN_LEVŐ","ELTÉRÉS","ÉRVÉNYTELEN","ÉRVÉNYES","LISTA_TÍPUS","LISTA","SZAVAZAT","NEMZ_VÁLASZTÓPOLGÁR","NEMZ_MEGJELENTEK","NEMZ_URNÁBAN_LÉVŐ","NEMZ_ELTÉRÉS","NEMZ_ÉRVÉNYTELEN"
"05341001T",234935,,,,,,,,,,,,,,,," ","NORMÁLIS ÉLET PÁRTJA",4,,,,,
"05341001T",234935,,,,,,,,,,,,,,,," ","MEGOLDÁS MOZGALOM",1,,,,,
"05341001T",234935,,,,,,,,,,,,,,,,"Nemzetiségi","MAGYARORSZÁGI NÉMETEK ORSZÁGOS ÖNKORMÁNYZATA",2,2,2,2,0,0
"05341001T",234935,,,,,,,,,,,,,,,,"Nemzetiségi","ORSZÁGOS RUSZIN ÖNKORMÁNYZAT",1,1,1,1,0,0
"05342001F",234937,"Listás","05","BORSOD-ABAÚJ-ZEMPLÉN","02","Miskolc",,"342","Varbó","001",904,669,669,0,6,663,,,,,,,,
"05342001T",234937,,,,,,,,,,,,,,,," ","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT",313,,,,,
"05342001T",234937,,,,,,,,,,,,,,,," ","DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT",260,,,,,
"05342001T",234937,,,,,,,,,,,,,,,," ","MI HAZÁNK MOZGALOM",64,,,,,
"05342001T",234937,,,,,,,,,,,,,,,," ","MAGYAR KÉTFARKÚ KUTYA PÁRT",15,,,,,
"05342001T",234937,,,,,,,,,,,,,,,," ","NORMÁLIS ÉLET PÁRTJA",8,,,,,
"05342001T",234937,,,,,,,,,,,,,,,," ","MEGOLDÁS MOZGALOM",3,,,,,
"05343001F",234939,"Listás","05","BORSOD-ABAÚJ-ZEMPLÉN","03","Ózd",,"343","Varbóc","001",52,43,43,0,0,43,,,,,,,,
"05343001T",234939,,,,,,,,,,,,,,,," ","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT",30,,,,,
"05343001T",234939,,,,,,,,,,,,,,,," ","DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT",8,,,,,
"05343001T",234939,,,,,,,,,,,,,,,," ","MI HAZÁNK MOZGALOM",4,,,,,
"05343001T",234939,,,,,,,,,,,,,,,," ","MEGOLDÁS MOZGALOM",1,,,,,
"05343001T",234939,,,,,,,,,,,,,,,," ","MAGYAR KÉTFARKÚ KUTYA PÁRT",0,,,,,
"05343001T",234939,,,,,,,,,,,,,,,," ","NORMÁLIS ÉLET PÁRTJA",0,,,,,
"05344001F",234941,"Listás","05","BORSOD-ABAÚJ-ZEMPLÉN","07","Mezőkövesd",,"344","Vatta","001",686,493,493,0,2,491,,,,,,,,
"05344001T",234941,,,,,,,,,,,,,,,," ","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT",296,,,,,
"05344001T",234941,,,,,,,,,,,,,,,," ","DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT",133,,,,,
"05344001T",234941,,,,,,,,,,,,,,,," ","MI HAZÁNK MOZGALOM",45,,,,,
"05344001T",234941,,,,,,,,,,,,,,,," ","MAGYAR KÉTFARKÚ KUTYA PÁRT",9,,,,,
"05344001T",234941,,,,,,,,,,,,,,,," ","MEGOLDÁS MOZGALOM",4,,,,,
"05344001T",234941,,,,,,,,,,,,,,,," ","NORMÁLIS ÉLET PÁRTJA",4,,,,,
"05345001F",234943,"Listás","05","BORSOD-ABAÚJ-ZEMPLÉN","05","Sátoraljaújhely",,"345","Vágáshuta","001",80,52,52,0,0,52,,,,,,,,
"05345001T",234943,,,,,,,,,,,,,,,," ","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT",32,,,,,
"05345001T",234943,,,,,,,,,,,,,,,," ","DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT",14,,,,,
"05345001T",234943,,,,,,,,,,,,,,,," ","MI HAZÁNK MOZGALOM",2,,,,,
"05345001T",234943,,,,,,,,,,,,,,,," ","MEGOLDÁS MOZGALOM",1,,,,,
"05345001T",234943,,,,,,,,,,,,,,,," ","MAGYAR KÉTFARKÚ KUTYA PÁRT",0,,,,,
"05345001T",234943,,,,,,,,,,,,,,,," ","NORMÁLIS ÉLET PÁRTJA",0,,,,,
"05345001T",234943,,,,,,,,,,,,,,,,"Nemzetiségi","ORSZÁGOS SZLOVÁK ÖNKORMÁNYZAT",3,6,3,3,0,0
"05346001F",234945,"Listás","05","BORSOD-ABAÚJ-ZEMPLÉN","05","Sátoraljaújhely",,"346","Vámosújfalu","001",577,413,413,0,10,403,,,,,,,,
"05346001T",234945,,,,,,,,,,,,,,,," ","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT",237,,,,,
"05346001T",234945,,,,,,,,,,,,,,,," ","DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT",104,,,,,
"05346001T",234945,,,,,,,,,,,,,,,," ","MI HAZÁNK MOZGALOM",34,,,,,
"05346001T",234945,,,,,,,,,,,,,,,," ","MAGYAR KÉTFARKÚ KUTYA PÁRT",6,,,,,
"05346001T",234945,,,,,,,,,,,,,,,," ","MEGOLDÁS MOZGALOM",4,,,,,
"05346001T",234945,,,,,,,,,,,,,,,," ","NORMÁLIS ÉLET PÁRTJA",3,,,,,
"05346001T",234945,,,,,,,,,,,,,,,,"Nemzetiségi","ORSZÁGOS RUSZIN ÖNKORMÁNYZAT",15,26,17,17,0,2
"05347001F",234947,"Listás","05","BORSOD-ABAÚJ-ZEMPLÉN","05","Sátoraljaújhely",,"347","Vilmány","001",943,489,488,0,4,484,,,,,,,,
"05347001T",234947,,,,,,,,,,,,,,,," ","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT",413,,,,,
"05347001T",234947,,,,,,,,,,,,,,,," ","DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT",56,,,,,
"05347001T",234947,,,,,,,,,,,,,,,," ","MI HAZÁNK MOZGALOM",11,,,,,
"05347001T",234947,,,,,,,,,,,,,,,," ","MAGYAR KÉTFARKÚ KUTYA PÁRT",2,,,,,
"05347001T",234947,,,,,,,,,,,,,,,," ","MEGOLDÁS MOZGALOM",1,,,,,
"05347001T",234947,,,,,,,,,,,,,,,," ","NORMÁLIS ÉLET PÁRTJA",1,,,,,
"05348001F",234949,"Listás","05","BORSOD-ABAÚJ-ZEMPLÉN","05","Sátoraljaújhely",,"348","Vilyvitány","001",207,133,133,0,1,132,,,,,,,,
"05348001T",234949,,,,,,,,,,,,,,,," ","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT",94,,,,,
"05348001T",234949,,,,,,,,,,,,,,,," ","DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT",25,,,,,
"05348001T",234949,,,,,,,,,,,,,,,," ","MI HAZÁNK MOZGALOM",7,,,,,
"05348001T",234949,,,,,,,,,,,,,,,," ","MAGYAR KÉTFARKÚ KUTYA PÁRT",3,,,,,
"05348001T",234949,,,,,,,,,,,,,,,," ","NORMÁLIS ÉLET PÁRTJA",2,,,,,
"05348001T",234949,,,,,,,,,,,,,,,," ","MEGOLDÁS MOZGALOM",1,,,,,
"05348001T",234949,,,,,,,,,,,,,,,,"Nemzetiségi","ORSZÁGOS RUSZIN ÖNKORMÁNYZAT",0,1,0,0,0,0
"05349001F",234951,"Listás","05","BORSOD-ABAÚJ-ZEMPLÉN","05","Sátoraljaújhely",,"349","Viss","001",417,171,171,0,5,166,,,,,,,,
"05349001T",234951,,,,,,,,,,,,,,,," ","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT",118,,,,,
"05349001T",234951,,,,,,,,,,,,,,,," ","DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT",42,,,,,
"05349001T",234951,,,,,,,,,,,,,,,," ","MI HAZÁNK MOZGALOM",3,,,,,
"05349001T",234951,,,,,,,,,,,,,,,," ","MEGOLDÁS MOZGALOM",2,,,,,
"05349001T",234951,,,,,,,,,,,,,,,," ","MAGYAR KÉTFARKÚ KUTYA PÁRT",1,,,,,
"05349001T",234951,,,,,,,,,,,,,,,," ","NORMÁLIS ÉLET PÁRTJA",0,,,,,
"05350001F",234953,"Listás","05","BORSOD-ABAÚJ-ZEMPLÉN","04","Kazincbarcika",,"350","Viszló","001",52,43,43,0,0,43,,,,,,,,
"05350001T",234953,,,,,,,,,,,,,,,," ","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT",33,,,,,
"05350001T",234953,,,,,,,,,,,,,,,," ","MI HAZÁNK MOZGALOM",5,,,,,
"05350001T",234953,,,,,,,,,,,,,,,," ","DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT",4,,,,,
"05350001T",234953,,,,,,,,,,,,,,,," ","MAGYAR KÉTFARKÚ KUTYA PÁRT",1,,,,,
"05350001T",234953,,,,,,,,,,,,,,,," ","MEGOLDÁS MOZGALOM",0,,,,,
"05350001T",234953,,,,,,,,,,,,,,,," ","NORMÁLIS ÉLET PÁRTJA",0,,,,,
"05351001F",234955,"Listás","05","BORSOD-ABAÚJ-ZEMPLÉN","05","Sátoraljaújhely",,"351","Vizsoly","001",599,374,374,0,4,370,,,,,,,,
"05351001T",234955,,,,,,,,,,,,,,,," ","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT",274,,,,,
"05351001T",234955,,,,,,,,,,,,,,,," ","DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT",69,,,,,
"05351001T",234955,,,,,,,,,,,,,,,," ","MI HAZÁNK MOZGALOM",21,,,,,
"05351001T",234955,,,,,,,,,,,,,,,," ","MAGYAR KÉTFARKÚ KUTYA PÁRT",5,,,,,
"05351001T",234955,,,,,,,,,,,,,,,," ","NORMÁLIS ÉLET PÁRTJA",1,,,,,
"05351001T",234955,,,,,,,,,,,,,,,," ","MEGOLDÁS MOZGALOM",0,,,,,
"05352001F",234957,"Listás","05","BORSOD-ABAÚJ-ZEMPLÉN","05","Sátoraljaújhely",,"352","Zalkod","001",166,109,109,0,2,107,,,,,,,,
"05352001T",234957,,,,,,,,,,,,,,,," ","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT",72,,,,,
"05352001T",234957,,,,,,,,,,,,,,,," ","DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT",32,,,,,
"05352001T",234957,,,,,,,,,,,,,,,," ","MI HAZÁNK MOZGALOM",2,,,,,
"05352001T",234957,,,,,,,,,,,,,,,," ","MAGYAR KÉTFARKÚ KUTYA PÁRT",1,,,,,
"05352001T",234957,,,,,,,,,,,,,,,," ","MEGOLDÁS MOZGALOM",0,,,,,
"05352001T",234957,,,,,,,,,,,,,,,," ","NORMÁLIS ÉLET PÁRTJA",0,,,,,
"05353001F",234959,"Listás","05","BORSOD-ABAÚJ-ZEMPLÉN","03","Ózd",,"353","Zádorfalva","001",316,175,175,0,2,173,,,,,,,,
"05353001T",234959,,,,,,,,,,,,,,,," ","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT",139,,,,,
"05353001T",234959,,,,,,,,,,,,,,,," ","DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT",29,,,,,
"05353001T",234959,,,,,,,,,,,,,,,," ","MAGYAR KÉTFARKÚ KUTYA PÁRT",2,,,,,
"05353001T",234959,,,,,,,,,,,,,,,," ","MI HAZÁNK MOZGALOM",2,,,,,
"05353001T",234959,,,,,,,,,,,,,,,," ","NORMÁLIS ÉLET PÁRTJA",1,,,,,
"05353001T",234959,,,,,,,,,,,,,,,," ","MEGOLDÁS MOZGALOM",0,,,,,
"05354001F",234961,"Listás","05","BORSOD-ABAÚJ-ZEMPLÉN","05","Sátoraljaújhely",,"354","Zemplénagárd","001",503,256,256,0,3,253,,,,,,,,
"05354001T",234961,,,,,,,,,,,,,,,," ","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT",195,,,,,
"05354001T",234961,,,,,,,,,,,,,,,," ","DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT",48,,,,,
"05354001T",234961,,,,,,,,,,,,,,,," ","MI HAZÁNK MOZGALOM",7,,,,,
"05354001T",234961,,,,,,,,,,,,,,,," ","NORMÁLIS ÉLET PÁRTJA",2,,,,,
"05354001T",234961,,,,,,,,,,,,,,,," ","MAGYAR KÉTFARKÚ KUTYA PÁRT",1,,,,,
"05354001T",234961,,,,,,,,,,,,,,,," ","MEGOLDÁS MOZGALOM",0,,,,,
"05355001F",234963,"Listás","05","BORSOD-ABAÚJ-ZEMPLÉN","04","Kazincbarcika",,"355","Ziliz","001",296,191,191,0,7,184,,,,,,,,
"05355001T",234963,,,,,,,,,,,,,,,," ","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT",104,,,,,
"05355001T",234963,,,,,,,,,,,,,,,," ","DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT",54,,,,,
"05355001T",234963,,,,,,,,,,,,,,,," ","MI HAZÁNK MOZGALOM",22,,,,,
"05355001T",234963,,,,,,,,,,,,,,,," ","MAGYAR KÉTFARKÚ KUTYA PÁRT",2,,,,,
"05355001T",234963,,,,,,,,,,,,,,,," ","MEGOLDÁS MOZGALOM",1,,,,,
"05355001T",234963,,,,,,,,,,,,,,,," ","NORMÁLIS ÉLET PÁRTJA",1,,,,,
"05356001F",234965,"Listás","05","BORSOD-ABAÚJ-ZEMPLÉN","05","Sátoraljaújhely",,"356","Zsujta","001",143,100,100,0,0,100,,,,,,,,
"05356001T",234965,,,,,,,,,,,,,,,," ","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT",77,,,,,
"05356001T",234965,,,,,,,,,,,,,,,," ","DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT",19,,,,,
"05356001T",234965,,,,,,,,,,,,,,,," ","MI HAZÁNK MOZGALOM",2,,,,,
"05356001T",234965,,,,,,,,,,,,,,,," ","MAGYAR KÉTFARKÚ KUTYA PÁRT",1,,,,,
"05356001T",234965,,,,,,,,,,,,,,,," ","NORMÁLIS ÉLET PÁRTJA",1,,,,,
"05356001T",234965,,,,,,,,,,,,,,,," ","MEGOLDÁS MOZGALOM",0,,,,,
"05357001F",234967,"Listás","05","BORSOD-ABAÚJ-ZEMPLÉN","03","Ózd",,"357","Zubogy","001",400,276,276,0,0,276,,,,,,,,
"05357001T",234967,,,,,,,,,,,,,,,," ","DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT",122,,,,,
"05357001T",234967,,,,,,,,,,,,,,,," ","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT",116,,,,,
"05357001T",234967,,,,,,,,,,,,,,,," ","MI HAZÁNK MOZGALOM",29,,,,,
"05357001T",234967,,,,,,,,,,,,,,,," ","MEGOLDÁS MOZGALOM",4,,,,,
"05357001T",234967,,,,,,,,,,,,,,,," ","MAGYAR KÉTFARKÚ KUTYA PÁRT",3,,,,,
"05357001T",234967,,,,,,,,,,,,,,,," ","NORMÁLIS ÉLET PÁRTJA",2,,,,,
"05358001F",234969,"Listás","05","BORSOD-ABAÚJ-ZEMPLÉN","05","Sátoraljaújhely",,"358","Gibárt","001",288,200,200,0,2,198,,,,,,,,
"05358001T",234969,,,,,,,,,,,,,,,," ","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT",119,,,,,
"05358001T",234969,,,,,,,,,,,,,,,," ","DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT",53,,,,,
"05358001T",234969,,,,,,,,,,,,,,,," ","MI HAZÁNK MOZGALOM",16,,,,,
"05358001T",234969,,,,,,,,,,,,,,,," ","MAGYAR KÉTFARKÚ KUTYA PÁRT",6,,,,,
"05358001T",234969,,,,,,,,,,,,,,,," ","MEGOLDÁS MOZGALOM",2,,,,,
"05358001T",234969,,,,,,,,,,,,,,,," ","NORMÁLIS ÉLET PÁRTJA",1,,,,,
"05358001T",234969,,,,,,,,,,,,,,,,"Nemzetiségi","MAGYARORSZÁGI NÉMETEK ORSZÁGOS ÖNKORMÁNYZATA",1,1,1,1,0,0
"06001001F",234971,"Listás","06","CSONGRÁD-CSANÁD","04","Hódmezővásárhely",,"001","Algyő","001",1062,810,810,0,5,805,,,,,,,,
"06001001T",234971,,,,,,,,,,,,,,,," ","DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT",370,,,,,
"06001001T",234971,,,,,,,,,,,,,,,," ","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT",345,,,,,
"06001001T",234971,,,,,,,,,,,,,,,," ","MI HAZÁNK MOZGALOM",52,,,,,
"06001001T",234971,,,,,,,,,,,,,,,," ","MAGYAR KÉTFARKÚ KUTYA PÁRT",23,,,,,
"06001001T",234971,,,,,,,,,,,,,,,," ","MEGOLDÁS MOZGALOM",11,,,,,
"06001001T",234971,,,,,,,,,,,,,,,," ","NORMÁLIS ÉLET PÁRTJA",2,,,,,
"06001001T",234971,,,,,,,,,,,,,,,,"Nemzetiségi","MAGYARORSZÁGI ROMÁNOK ORSZÁGOS ÖNKORMÁNYZATA",1,1,1,1,0,0
"06001001T",234971,,,,,,,,,,,,,,,,"Nemzetiségi","ORSZÁGOS SZLOVÁK ÖNKORMÁNYZAT",1,1,1,1,0,0
"06001002F",234973,"Listás","06","CSONGRÁD-CSANÁD","04","Hódmezővásárhely",,"001","Algyő","002",1097,789,787,0,9,778,,,,,,,,
"06001002T",234973,,,,,,,,,,,,,,,," ","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT",360,,,,,
"06001002T",234973,,,,,,,,,,,,,,,," ","DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT",325,,,,,
"06001002T",234973,,,,,,,,,,,,,,,," ","MI HAZÁNK MOZGALOM",51,,,,,
"06001002T",234973,,,,,,,,,,,,,,,," ","MAGYAR KÉTFARKÚ KUTYA PÁRT",29,,,,,
"06001002T",234973,,,,,,,,,,,,,,,," ","NORMÁLIS ÉLET PÁRTJA",13,,,,,
"06001002T",234973,,,,,,,,,,,,,,,," ","MEGOLDÁS MOZGALOM",0,,,,,
"06001003F",234975,"Listás","06","CSONGRÁD-CSANÁD","04","Hódmezővásárhely",,"001","Algyő","003",1092,792,791,0,10,781,,,,,,,,
"06001003T",234975,,,,,,,,,,,,,,,," ","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT",354,,,,,
"06001003T",234975,,,,,,,,,,,,,,,," ","DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT",319,,,,,
"06001003T",234975,,,,,,,,,,,,,,,," ","MI HAZÁNK MOZGALOM",62,,,,,
"06001003T",234975,,,,,,,,,,,,,,,," ","MAGYAR KÉTFARKÚ KUTYA PÁRT",29,,,,,
"06001003T",234975,,,,,,,,,,,,,,,," ","MEGOLDÁS MOZGALOM",13,,,,,
"06001003T",234975,,,,,,,,,,,,,,,," ","NORMÁLIS ÉLET PÁRTJA",3,,,,,
"06001003T",234975,,,,,,,,,,,,,,,,"Nemzetiségi","MAGYARORSZÁGI NÉMETEK ORSZÁGOS ÖNKORMÁNYZATA",1,1,1,1,0,0
"06001004F",234977,"Listás","06","CSONGRÁD-CSANÁD","04","Hódmezővásárhely",,"001","Algyő","004",1051,690,690,0,5,685,,,,,,,,
"06001004T",234977,,,,,,,,,,,,,,,," ","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT",316,,,,,
"06001004T",234977,,,,,,,,,,,,,,,," ","DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT",244,,,,,
"06001004T",234977,,,,,,,,,,,,,,,," ","MI HAZÁNK MOZGALOM",75,,,,,
"06001004T",234977,,,,,,,,,,,,,,,," ","MAGYAR KÉTFARKÚ KUTYA PÁRT",29,,,,,
"06001004T",234977,,,,,,,,,,,,,,,," ","MEGOLDÁS MOZGALOM",12,,,,,
"06001004T",234977,,,,,,,,,,,,,,,," ","NORMÁLIS ÉLET PÁRTJA",9,,,,,
"06002001F",234979,"Listás","06","CSONGRÁD-CSANÁD","04","Hódmezővásárhely",,"002","Ambrózfalva","001",359,230,230,0,6,224,,,,,,,,
"06002001T",234979,,,,,,,,,,,,,,,," ","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT",110,,,,,
"06002001T",234979,,,,,,,,,,,,,,,," ","DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT",88,,,,,
"06002001T",234979,,,,,,,,,,,,,,,," ","MI HAZÁNK MOZGALOM",17,,,,,
"06002001T",234979,,,,,,,,,,,,,,,," ","MAGYAR KÉTFARKÚ KUTYA PÁRT",6,,,,,
"06002001T",234979,,,,,,,,,,,,,,,," ","MEGOLDÁS MOZGALOM",0,,,,,
"06002001T",234979,,,,,,,,,,,,,,,," ","NORMÁLIS ÉLET PÁRTJA",0,,,,,
"06002001T",234979,,,,,,,,,,,,,,,,"Nemzetiségi","ORSZÁGOS SZLOVÁK ÖNKORMÁNYZAT",3,4,4,4,0,1
"06002001T",234979,,,,,,,,,,,,,,,,"Nemzetiségi","MAGYARORSZÁGI NÉMETEK ORSZÁGOS ÖNKORMÁNYZATA",0,1,0,0,0,0
"06003001F",234981,"Listás","06","CSONGRÁD-CSANÁD","04","Hódmezővásárhely",,"003","Apátfalva","001",710,459,460,0,17,443,,,,,,,,
"06003001T",234981,,,,,,,,,,,,,,,," ","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT",269,,,,,
