,teryt_code,eligible_voters,issued_ballots,PATRIOTYCZNY,PPP,LPR,PD,SD,PIS,SLD,PO,PPN,PSL,CENTRUM,PKM,OKO,GIP,SAMOOBRONA,IRP,DO,NOP,SPRACY,SR,MN,MNS
200,T_1821,21937,8358,48,49,816,100,187,2111,1156,2099,15,382,13,103,0,0,888,0,14,0,0,0,0,0
201,T_1861,38999,17533,166,97,2030,278,585,5667,1791,4594,26,508,23,320,0,0,1056,0,65,0,0,0,0,0
202,T_1862,53723,22869,259,86,2126,434,455,8467,3727,4980,32,305,41,191,0,0,1045,0,71,0,0,0,0,0
203,T_1803,102033,44085,217,181,5330,702,631,17017,2309,4945,107,4456,0,480,0,50,5283,40,662,0,0,0,0,0
204,T_1806,46710,21155,122,89,4583,67,143,9980,501,1057,53,1993,0,224,0,13,1446,20,28,0,0,0,0,0
205,T_1808,53475,24282,144,63,3706,73,202,6769,766,7585,49,1921,0,191,0,19,1869,25,156,0,0,0,0,0
206,T_1810,59358,27938,201,91,5547,162,380,12106,894,3345,60,2356,0,244,0,25,1589,32,117,0,0,0,0,0
207,T_1811,103439,43753,276,159,4607,403,1275,14000,2791,8158,207,5245,0,575,0,36,4233,26,316,0,0,0,0,0
208,T_1812,51783,19564,179,92,3820,90,247,4987,1830,1806,83,3521,0,254,0,42,1702,25,145,0,0,0,0,0
209,T_1815,53908,25534,129,70,2316,71,311,8404,586,2403,24,8130,0,167,0,37,1818,41,188,0,0,0,0,0
210,T_1816,131683,62060,858,280,8090,282,701,27490,2816,8278,152,4892,0,694,0,92,4650,158,396,0,0,0,0,0
211,T_1818,87986,35174,382,139,4451,352,1068,13648,4390,5175,190,1225,0,507,0,59,2176,25,221,0,0,0,0,0
212,T_1819,47553,19148,112,118,2819,79,392,5746,665,2662,34,3292,0,225,0,28,2006,31,127,0,0,0,0,0
213,T_1820,42751,16997,97,82,1964,72,278,4909,2190,2826,50,1523,0,213,0,108,1915,20,58,0,0,0,0,0
214,T_1863,122218,60995,801,457,4203,947,2411,23910,6923,13987,133,2209,0,1244,0,81,1957,83,397,0,0,0,0,0
215,T_1864,39426,16173,101,55,1340,133,655,5035,2929,3275,48,539,0,352,0,23,1163,15,57,0,0,0,0,0
216,T_2001,46764,16534,345,201,1521,216,1231,3909,966,2319,68,1778,0,180,0,11,2719,41,194,0,0,0,0,0
217,T_2002,109622,43070,1377,458,4937,657,1588,14552,3769,5803,116,2173,0,533,0,46,4236,115,519,0,0,0,0,0
218,T_2003,49278,18417,532,276,2114,214,882,4733,3531,1383,57,1039,0,115,0,44,2410,73,54,0,0,0,0,0
219,T_2004,39177,12763,333,206,1615,132,241,3004,630,1100,38,2479,0,130,0,53,1497,160,156,0,0,0,0,0
220,T_2005,42134,12709,290,279,577,216,512,1105,4792,979,46,870,0,92,0,14,2117,39,30,0,0,0,0,0
221,T_2006,31355,11005,276,142,2094,67,97,2326,403,707,24,2417,0,54,0,25,1462,41,47,0,0,0,0,0
222,T_2007,39595,13785,449,177,2394,65,111,2591,525,904,52,2055,0,90,0,29,3015,45,387,0,0,0,0,0
223,T_2008,34461,11580,338,168,1612,109,223,2356,664,1007,36,1465,0,72,0,7,2621,42,98,0,0,0,0,0
224,T_2009,17226,5872,204,47,252,33,119,801,2093,373,19,487,0,30,0,5,977,20,72,0,0,0,0,0
225,T_2010,40174,14173,692,172,1562,121,233,2189,1989,1446,37,2461,0,92,0,21,2266,88,39,0,0,0,0,0
226,T_2011,59349,19841,575,256,2300,167,458,4852,1755,2019,71,2234,0,161,0,18,3189,51,396,0,0,0,0,0
227,T_2012,27284,9147,182,99,675,54,134,1658,497,807,49,1656,0,65,0,14,2295,41,407,0,0,0,0,0
228,T_2013,47909,20917,903,193,3973,94,238,6887,882,926,37,2355,0,86,0,21,2944,43,183,0,0,0,0,0
229,T_2014,36195,13356,273,145,2177,79,205,2934,1013,1869,24,1828,0,135,0,24,1784,31,75,0,0,0,0,0
230,T_2061,224082,100829,1424,970,7877,2263,5716,31229,14586,23085,336,2379,0,1622,0,88,4864,109,975,0,0,0,0,0
