,teryt_code,eligible_voters,issued_ballots,Kaczynski,Tusk
220,T_2005,42054,13345,3737,9400
221,T_2006,31266,13439,10635,2724
222,T_2007,39449,18371,15554,2687
223,T_2008,34465,13868,10451,3304
224,T_2009,17185,6104,3697,2340
225,T_2010,40038,15881,10545,5191
226,T_2011,59146,24127,16574,7355
227,T_2012,27150,11521,8648,2763
228,T_2013,47890,25781,21854,3756
229,T_2014,36108,17104,12895,4094
230,T_2061,224414,123495,61256,61039
231,T_2062,48718,24724,15748,8789
232,T_2063,52314,25351,14588,10549
233,T_2201,57653,26702,12481,13958
234,T_2202,70217,36601,18842,17403
235,T_2203,45399,19290,7743,11335
236,T_2204,63101,32994,13914,18810
237,T_2205,76622,46517,25001,21125
238,T_2206,50635,28351,15004,13120
239,T_2207,62362,26893,12117,14482
240,T_2208,48962,24208,10932,13032
241,T_2209,50028,23317,10246,12839
242,T_2210,28063,12059,5549,6381
243,T_2211,55792,31474,11568,19578
244,T_2212,72529,28469,12004,16143
245,T_2213,92528,47488,25378,21647
246,T_2214,86357,43483,20364,22755
247,T_2215,134179,78204,34361,43183
248,T_2216,33930,13841,6183,7488
249,T_2261,367181,233665,87621,143681
250,T_2262,200504,126589,45578,79701
251,T_2263,77847,40400,16833,23139
252,T_2264,33824,22587,7862,14517
253,T_2299,114,114,32,77
254,T_2401,126538,59109,27199,31140
255,T_2402,116867,67963,37172,30170
256,T_2403,135486,71836,30938,40116
257,T_2404,106257,46828,28139,18086
258,T_2405,92512,43076,21287,21377
259,T_2406,67247,29553,18542,10569
260,T_2407,60735,29212,14472,14423
261,T_2408,71618,40346,20594,19429
262,T_2409,58050,25325,14407,10604
263,T_2410,80573,46170,27129,18673
264,T_2411,90776,37189,14399,22438
265,T_2412,57559,30466,17966,12229
266,T_2413,112803,56008,25591,29921
267,T_2414,43313,24165,15499,8461
268,T_2415,123633,64422,36255,27671
269,T_2416,103270,46843,26110,20179
270,T_2417,116904,64384,39159,24650
271,T_2461,141476,84854,39503,44586
272,T_2462,153045,67735,29621,37423
273,T_2463,92641,45566,16720,28350
274,T_2464,199732,107728,50267,56259
275,T_2465,106319,50891,23064,27153
276,T_2466,159497,83620,32305,50490
277,T_2467,75896,40498,25255,14871
278,T_2468,76680,38712,18873,19476
279,T_2469,261467,148044,60349,86235
280,T_2470,60714,32460,16821,15337
281,T_2471,48549,24787,13109,11418
282,T_2472,116818,59703,31332,27781
283,T_2473,112016,59079,29669,28984
284,T_2474,59394,30163,12052,17791
285,T_2475,189702,93173,42006,49958
286,T_2476,44617,20236,8379,11638
287,T_2477,106461,60775,28196,32030
288,T_2478,152112,64930,27861,36421
289,T_2479,49802,26110,14052,11879
290,T_2601,62350,27293,19344,7700
291,T_2602,72037,30668,22364,7974
292,T_2603,29940,10542,7937,2496
293,T_2604,151845,69387,50209,18526
294,T_2605,70049,31916,20821,10766
295,T_2606,45910,16810,12570,4001
296,T_2607,96604,39502,23159,15868
297,T_2608,35128,13926,9435,4330
298,T_2609,66506,29065,20493,8219
299,T_2610,67235,31986,18184,13443
300,T_2611,77399,35025,21555,13101
301,T_2612,59307,25398,18607,6556
302,T_2613,37717,16644,11947,4512
303,T_2661,167336,94691,47020,46524
304,T_2801,51211,19855,9158,10442
305,T_2802,34696,13448,6373,6925
306,T_2803,51217,21769,12247,9319
307,T_2804,43977,16423,8661,7592
308,T_2805,64944,26466,13709,12368
309,T_2806,45643,19087,8086,10586
310,T_2807,70818,31844,16325,15146
311,T_2808,54513,21359,9201,11863
312,T_2809,34196,13877,6731,7013
313,T_2810,39868,17539,7836,9471
314,T_2811,26734,11066,6156,4723
315,T_2812,33107,14658,8545,5929
316,T_2813,26635,10591,6140,4295
317,T_2814,88248,36393,16038,19828
318,T_2815,83678,34194,15192,18600
319,T_2816,44847,18887,9993,8686
320,T_2817,54702,23399,11309,11719
321,T_2818,21285,7573,3688,3785
322,T_2819,19444,7303,3064,4125
323,T_2861,100041,52468,22558,29261
324,T_2862,134862,77537,30643,45653
325,T_3001,36679,18368,7570,10501
326,T_3002,67317,32294,14521,17407
327,T_3003,110474,56213,28687,26754
328,T_3004,58214,26485,14238,11905
329,T_3005,37093,17148,8797,8134
330,T_3006,54893,25185,13720,11106
331,T_3007,62291,27337,19660,7407
332,T_3008,42654,20950,11358,9351
333,T_3009,70795,31354,21731,9301
334,T_3010,93397,41893,29939,11540
335,T_3011,60451,29585,14421,14695
336,T_3012,59517,29229,16197,12655
337,T_3013,37588,17903,8781,8847
338,T_3014,28089,12026,5164,6615
339,T_3015,54931,26858,11847,14630
340,T_3016,43066,20903,9862,10772
341,T_3017,124125,63623,34990,27945
342,T_3018,41739,18914,11114,7473
343,T_3019,105833,55105,24501,29955
344,T_3020,48129,21665,12033,9269
345,T_3021,217471,121064,47644,72173
346,T_3022,46675,21184,10161,10679
347,T_3023,46298,20782,12773,7731
348,T_3024,68261,31997,14062,17513
349,T_3025,42222,20504,10211,10003
350,T_3026,45410,22368,10570,11514
351,T_3027,65233,30435,20288,9793
352,T_3028,51948,24631,13099,11199
353,T_3029,41574,20542,9130,11088
354,T_3030,57772,29097,15193,13537
355,T_3031,53253,24268,10847,13045
356,T_3061,86764,46594,21076,25011
357,T_3062,64759,35716,18306,16988
358,T_3063,50527,28072,9529,18217
359,T_3064,454440,281508,92680,185834
360,T_3201,37895,15099,6575,8348
361,T_3202,40353,14615,6603,7845
362,T_3203,47128,18970,8097,10659
363,T_3204,62668,26458,10283,15852
364,T_3205,48714,19655,8039,11376
365,T_3206,64916,27082,12427,14351
366,T_3207,38722,16093,6293,9611
367,T_3208,61260,28800,11495,16974
368,T_3209,48947,19709,8811,10693
369,T_3210,53250,22202,9619,12321
370,T_3211,47903,24151,8222,15698
371,T_3212,31997,12512,6393,5966
372,T_3213,45200,18033,9031,8785
373,T_3214,94343,42445,17845,24148
374,T_3215,61505,26769,11396,15084
375,T_3216,39377,15646,6919,8534
376,T_3217,43172,18323,7000,11085
377,T_3218,30371,11405,4832,6429
378,T_3261,87914,46456,18403,27510
379,T_3262,325782,182419,71296,109267
380,T_3263,33707,16808,6212,10430
381,T_3299,48,48,21,24
