,teryt_code,eligible_voters,issued_ballots,KE,LEWICA,POLEXIT,JEDNOSC,PIS,EC,WIOSNA,KONFEDERACJA,KUKIZ15,GWIAZDOWSKI
364,T_3204,64734,25012,11402,282,0,0,9825,0,1665,895,676,0
365,T_3205,49377,19533,9435,176,0,0,7603,0,1161,582,404,0
366,T_3206,64370,24264,9878,227,0,0,10639,0,1637,1057,558,0
367,T_3207,39508,16117,7948,166,0,0,5976,0,1037,533,337,0
368,T_3208,67007,31559,15195,258,0,0,11787,0,2544,894,604,0
369,T_3209,54176,21618,9409,261,0,0,8054,0,2033,792,825,0
370,T_3210,51486,18761,8327,190,0,0,7797,0,1065,729,470,0
371,T_3211,58103,28637,14902,325,0,0,8718,0,2473,1236,802,0
372,T_3212,31082,11522,4051,108,0,0,5957,0,587,419,259,0
373,T_3213,45995,18273,7580,178,0,0,7418,0,1849,581,493,0
374,T_3214,92681,38663,17560,432,0,0,14931,0,2473,1813,1102,0
375,T_3215,60587,22257,9632,235,0,0,9480,0,1364,848,497,0
376,T_3216,37521,13404,5503,176,0,0,5680,0,1043,441,407,0
377,T_3217,41338,15611,7477,213,0,0,5563,0,1150,571,516,0
378,T_3218,28723,9882,4505,109,0,0,4146,0,508,257,223,0
379,T_3261,82862,41533,21313,422,0,0,12273,0,3924,1430,1931,0
380,T_3262,296797,152779,77335,1613,0,0,50086,0,12235,6612,4118,0
381,T_3263,32701,15842,8682,178,0,0,4873,0,1050,581,385,0
