,teryt_code,eligible_voters,issued_ballots,Biedron,Bosak,Duda,Holownia,Jakubiak,KosiniakKamysz,Piotrowski,Tanajno,Trzaskowski,Witkowski,Zoltek
207,T_1815,58346,38834,368,3589,27138,2895,72,1016,49,34,3733,30,60
208,T_1816,132442,89779,943,9198,57559,8739,182,2198,96,115,11016,70,216
209,T_1817,74624,44098,826,3333,25183,4924,84,1216,49,47,8477,34,103
210,T_1818,82686,49493,752,4960,28791,4378,79,918,56,60,9716,35,126
211,T_1819,49057,30494,318,3046,20355,2894,64,739,35,40,3161,22,55
212,T_1820,42749,25713,327,2147,16345,2340,28,752,20,33,3765,24,87
213,T_1821,24686,15505,276,1149,8269,1815,34,442,11,15,3543,13,34
214,T_1861,36602,23635,775,1971,11102,2681,53,518,29,24,6602,30,50
215,T_1862,47555,27863,514,2040,13261,3245,47,582,31,39,8240,33,51
216,T_1863,151140,102761,2345,10381,41906,15677,276,2555,140,160,29713,134,350
217,T_1864,36713,22795,489,1774,10126,2714,38,552,24,27,7136,31,62
218,T_2001,46661,26408,403,1835,13981,3566,46,694,32,33,5822,22,71
219,T_2002,117980,73912,956,5969,37644,13667,165,1254,77,105,14406,48,186
220,T_2003,44517,25387,415,1395,13130,5286,36,518,31,20,4615,18,40
221,T_2004,37232,20068,212,1496,12117,2320,30,617,17,32,3289,11,32
222,T_2005,36325,19793,604,1215,6177,5773,30,452,29,21,5456,17,46
223,T_2006,30364,16646,161,1345,11446,1357,19,549,18,11,1787,12,28
224,T_2007,40716,23406,182,1857,16087,2107,50,562,19,20,2521,12,46
225,T_2008,32664,17333,174,1304,10851,2199,30,455,10,26,2268,8,32
226,T_2009,16847,8665,156,565,3965,1328,21,321,14,16,2348,14,17
227,T_2010,36379,19747,325,1514,10692,2652,39,690,33,27,3721,26,43
228,T_2011,53920,29282,326,2311,17061,4206,38,691,21,23,4698,23,70
229,T_2012,29087,16668,256,1292,9225,2178,27,507,19,40,3063,14,39
230,T_2013,45561,28745,249,1953,20605,2361,43,780,31,22,2781,16,59
231,T_2014,34813,20669,206,1509,13079,1988,25,553,25,24,3247,14,40
232,T_2061,218318,145128,3117,12302,55948,32712,307,1982,160,240,38727,199,419
233,T_2062,46436,27687,410,2241,14235,3685,64,506,35,34,6583,30,49
234,T_2063,52507,31320,594,2720,13870,4703,54,550,31,53,8744,34,82
235,T_2201,60497,35096,839,2273,15375,5232,46,791,23,42,10412,27,63
236,T_2202,73910,45654,851,2909,20959,6972,55,951,54,58,12926,34,91
237,T_2203,44168,24536,553,1449,9596,3898,34,657,28,39,8199,31,44
238,T_2204,86663,56725,1227,3911,16617,10189,106,1107,63,101,23368,67,123
239,T_2205,101600,68265,1041,4302,30442,12408,97,1294,79,86,18479,72,125
240,T_2206,55655,35695,582,2157,16571,6477,32,795,34,38,9087,30,78
241,T_2207,62014,35248,854,2391,14296,4934,57,736,32,53,11808,46,68
242,T_2208,50713,31861,889,2069,11256,5159,51,595,33,32,11736,31,60
243,T_2209,48187,27593,649,1628,9348,4820,31,593,22,32,10493,27,57
244,T_2210,31410,19314,462,1100,6564,3027,33,482,19,21,7580,29,29
245,T_2211,81231,58189,1300,3419,18943,10914,93,1107,40,83,22174,73,110
246,T_2212,77312,44121,1556,2319,16131,6005,61,1170,40,85,16727,50,61
247,T_2213,96166,57234,1069,3435,27377,8698,90,1429,72,89,14958,56,113
248,T_2214,85712,51134,1029,3659,20737,8565,71,1095,39,71,15854,64,138
249,T_2215,159724,105589,2425,7712,37862,18298,178,1919,137,162,36858,131,229
250,T_2216,32613,17037,454,820,7112,2642,22,427,16,20,5499,17,34
251,T_2261,363842,258113,7998,15805,65172,41939,374,4040,284,461,122183,533,797
252,T_2262,187271,133828,4150,8133,33709,20951,171,1997,137,239,64632,247,355
253,T_2263,68033,42608,1603,2424,13943,5261,65,883,37,45,18403,59,79
254,T_2264,29701,21769,624,1063,5159,3001,35,332,21,38,11630,47,62
255,T_2401,116986,75372,2322,4623,26845,11439,117,1560,78,100,28485,110,198
256,T_2402,127736,88280,1631,6822,38535,14269,136,1808,116,123,25482,97,162
257,T_2403,139013,90170,1958,6866,36439,17559,143,1828,113,140,26198,99,216
258,T_2404,109190,70125,1338,4475,35276,9868,94,2032,75,85,16882,82,158
259,T_2405,88063,53370,958,4133,22660,9542,88,1052,66,83,15000,69,116
260,T_2406,68569,43162,784,2697,21501,6486,72,1645,38,73,9940,39,123
261,T_2407,61206,35715,609,2283,17102,6179,65,753,54,74,8774,39,86
262,T_2408,74708,49835,911,3820,20394,8658,115,921,54,126,15387,68,126
263,T_2409,57052,35713,743,2337,17739,4963,48,862,31,57,9067,38,78
264,T_2410,83774,56960,990,4666,29063,8336,124,1214,74,82,13026,57,156
265,T_2411,82838,44878,846,3509,19108,7802,72,846,63,56,12841,54,106
266,T_2412,59491,37432,517,3193,19477,5398,46,609,43,65,8512,38,81
267,T_2413,109016,68936,1295,4503,28537,11656,127,1302,88,103,21790,86,170
268,T_2414,45665,30420,529,2481,16190,4112,61,526,43,59,6626,34,81
269,T_2415,119895,71907,1120,6699,37022,10689,129,1317,86,106,18414,90,142
270,T_2416,95306,60422,1308,3870,29087,7742,88,1651,34,109,16684,68,155
271,T_2417,121023,79729,1258,6077,44818,9231,159,1417,87,104,17273,67,178
272,T_2461,129895,88708,2015,6049,33075,14208,164,1431,116,140,31893,137,198
273,T_2462,116784,66873,1822,4603,25749,10942,103,1251,77,111,22239,111,166
274,T_2463,78477,47259,1358,3364,15629,7972,40,803,60,93,18011,82,143
275,T_2464,170655,112534,2970,6800,42963,16021,185,2057,118,177,41522,158,255
276,T_2465,92329,59642,1876,3593,21068,9084,90,1087,54,74,22686,118,150
277,T_2466,134493,88280,2169,6634,28425,14415,147,1645,100,145,34795,151,230
278,T_2467,67082,40937,846,3502,21181,5525,75,600,38,54,9782,49,108
279,T_2468,70175,44135,1166,3639,17364,6843,67,837,29,52,14254,52,100
280,T_2469,222973,149028,4493,9370,48486,22649,236,2815,165,266,60860,277,426
281,T_2470,55472,35703,1004,2485,14999,5320,67,627,31,68,11137,41,94
282,T_2471,41937,26052,553,1588,11924,4129,28,402,31,36,7371,34,67
283,T_2472,103534,62771,1464,4694,26652,10781,104,1058,70,91,17867,110,157
284,T_2473,103615,65965,1131,5472,28912,9766,110,1070,90,137,19707,72,167
285,T_2474,49940,32006,897,2257,11146,5494,48,580,29,56,11500,58,80
286,T_2475,155198,98922,3172,6040,34564,14087,129,1722,87,147,38883,201,220
287,T_2476,36685,21122,544,1497,8304,3494,25,347,22,45,6834,33,51
288,T_2477,95529,64829,1634,4782,24926,10238,133,1171,67,111,21985,90,185
289,T_2478,125352,68672,1997,5113,25258,11162,93,1298,74,149,23430,111,182
290,T_2479,46008,29615,577,2474,13003,5110,37,481,28,38,8056,27,88
291,T_2601,58960,35220,515,2011,21533,3185,60,1512,21,32,6410,19,58
292,T_2602,69195,42350,567,2617,27279,3657,55,1546,36,25,6699,35,59
293,T_2603,27945,14803,189,826,9511,1140,7,944,10,10,2274,8,20
294,T_2604,168192,107632,1464,8893,66262,10607,207,2935,135,127,17034,71,249
295,T_2605,65677,40440,850,2637,24468,3713,65,1195,48,45,7432,36,70
296,T_2606,42751,24682,395,1347,16296,2015,34,1215,26,37,3347,15,61
297,T_2607,86476,49636,1126,3142,25530,5667,74,1163,47,70,12996,69,98
298,T_2608,33167,19079,288,1128,11810,1592,30,783,12,6,3444,19,39
299,T_2609,63188,37478,628,2627,20900,3454,59,2392,38,40,7373,29,72
300,T_2610,59676,36986,735,2668,18180,4386,64,735,47,40,10206,39,93
301,T_2611,71283,43064,766,3317,22983,5181,81,861,42,52,10116,35,64
302,T_2612,58660,35205,519,2159,23173,3049,58,1140,36,18,5059,23,53
303,T_2613,36881,23113,394,1693,14814,1995,41,954,21,23,3133,20,46
304,T_2661,149357,101037,2292,7479,41013,12742,183,2119,95,143,35147,137,232
305,T_2801,46017,23827,432,1438,10230,3400,31,551,18,39,7573,26,52
306,T_2802,32780,16606,319,977,6912,2836,13,480,16,26,5006,19,30
307,T_2803,51149,28927,493,1611,14372,4628,45,792,20,30,6817,24,46
308,T_2804,44528,22882,388,1381,9901,3470,39,676,16,19,6994,23,42
309,T_2805,68161,35614,694,3035,14924,5520,65,803,51,64,10482,35,97
310,T_2806,47507,27358,529,1664,9550,4276,47,723,34,45,10467,36,57
311,T_2807,72130,41657,883,3056,19178,5495,80,1043,40,67,11835,57,76
312,T_2808,49381,25551,600,1551,10401,3813,39,730,28,41,8371,23,44
