,teryt_code,eligible_voters,issued_ballots,Grabowski,Ikonowicz,Kalinowski,KorwinMikke,Krzaklewski,Kwasniewski,Lepper,Lopuszanski,Olechowski,Pawlowski,Walesa,Wilecki
304,T_2804,41499,21871,93,43,1313,179,2040,14383,909,99,2393,20,138,18
305,T_2805,60832,33093,161,66,1497,398,5314,19500,850,295,4337,34,211,44
306,T_2806,66585,36163,110,78,1569,436,3733,23320,1200,175,4854,31,216,46
307,T_2807,66560,41428,150,61,2295,341,3681,27593,1515,187,4822,33,350,39
308,T_2808,53373,29161,110,41,1001,339,2919,19802,866,125,3475,27,168,34
309,T_2809,33344,18968,87,36,839,159,2054,12145,855,186,2243,16,116,23
310,T_2810,37850,20994,105,29,940,213,2756,13103,457,110,2878,14,155,24
311,T_2811,25864,15112,51,30,827,102,1787,10230,349,132,1319,7,74,13
312,T_2812,31622,19254,77,28,1674,135,2028,11725,1303,122,1692,9,153,26
313,T_2813,42514,21886,115,48,1254,202,2816,13432,842,133,2635,19,133,39
314,T_2814,82002,43265,161,77,1647,467,4501,28008,1509,323,5602,44,336,94
315,T_2815,80101,46865,155,85,1671,437,4218,32031,1564,315,5540,34,302,47
316,T_2816,42825,23483,116,49,1174,150,3855,13883,662,145,3024,19,150,37
317,T_2817,52037,28280,140,101,2014,229,3867,16968,793,159,3387,21,176,57
318,T_2861,97706,62926,358,141,1087,1115,8443,37373,1092,437,11694,60,600,66
319,T_2862,127087,84972,460,247,1432,1559,12135,48360,1093,786,17388,73,637,130
320,T_3001,34851,24166,85,40,1134,165,1784,16647,672,91,3128,11,168,17
321,T_3002,64280,41150,135,42,1495,357,4157,27148,1382,137,5402,35,324,38
322,T_3003,104341,72515,282,141,3995,668,7224,48321,2049,357,8117,49,572,89
323,T_3004,55184,37409,135,52,3294,302,3083,24198,1719,359,3500,28,302,38
324,T_3005,34667,23131,83,37,2078,130,1924,14817,985,189,2427,14,150,39
325,T_3006,52290,34932,172,67,2363,369,2917,23178,1214,189,3752,22,242,53
326,T_3007,59136,34931,97,48,5817,242,3234,19072,3008,319,2340,22,190,49
327,T_3008,40322,26471,135,55,2109,257,3203,15387,1023,231,3468,27,234,25
328,T_3009,69174,41097,188,96,4172,319,4061,24410,2735,283,3932,49,282,69
329,T_3010,87433,50158,232,73,4426,319,4882,29873,4153,182,4767,39,384,97
330,T_3011,56888,39070,166,46,2310,354,3336,25476,1448,191,4981,21,298,37
331,T_3012,56732,38432,175,62,4233,327,3205,23736,1467,251,4187,25,262,37
332,T_3013,34557,23493,100,24,1766,228,1970,15450,1187,143,2132,15,182,31
333,T_3014,26692,17307,68,28,901,107,1296,12145,466,45,1911,15,107,17
334,T_3015,51836,34702,117,38,1901,251,3495,22718,898,147,4492,21,230,39
335,T_3016,40380,27079,70,37,947,223,2449,18622,821,94,3235,29,230,35
336,T_3017,118466,79962,376,140,5191,767,9071,48001,3046,606,11104,79,677,98
337,T_3018,39908,25427,87,42,2547,194,2560,15362,1300,224,2608,21,153,35
338,T_3019,100982,67429,238,123,2601,694,8494,42727,1818,425,8799,48,636,101
339,T_3020,46110,29452,108,48,3074,234,2444,18476,1269,164,2990,23,207,28
340,T_3021,186999,124113,458,166,4430,1733,14688,71616,2472,708,24861,86,1322,149
341,T_3022,44319,29600,102,44,2240,248,2403,19981,1140,150,2695,20,212,39
342,T_3023,43893,27281,118,39,2383,212,2418,17413,1401,93,2625,29,155,42
343,T_3024,64230,41897,140,53,1838,375,3803,28488,1148,173,4977,57,290,66
344,T_3025,39827,27347,86,47,1561,398,2070,18146,1335,106,3075,22,161,29
345,T_3026,42661,28975,98,34,1782,236,2797,19208,642,109,3553,16,188,26
346,T_3027,62404,38298,170,84,2765,319,4142,22899,2333,174,4344,35,416,91
347,T_3028,48778,33026,101,53,2706,235,2704,21979,1283,84,3264,26,238,30
348,T_3029,39194,27824,86,22,1914,272,2658,18454,831,100,2938,20,204,37
349,T_3030,55040,36946,166,61,2099,459,3348,23520,1122,125,5321,40,263,41
350,T_3031,49972,31313,128,57,1533,284,4018,19188,1566,146,3719,24,248,34
351,T_3061,85670,58217,261,160,1269,949,7195,36297,953,414,9621,46,520,64
352,T_3062,63364,43437,207,170,748,531,5475,27370,777,147,7225,29,326,61
353,T_3063,48176,33574,129,41,491,587,3324,21598,353,280,6087,20,344,31
354,T_3064,444401,308807,1294,544,2693,6055,46237,158135,2577,1867,82159,241,3939,266
355,T_3201,35909,21621,96,31,364,120,1881,15979,650,73,2055,18,124,21
356,T_3202,38446,20600,66,43,810,137,1661,14534,789,36,2148,21,142,20
357,T_3203,45575,26570,97,47,720,242,2574,18170,1195,74,2896,15,226,25
358,T_3204,61893,35269,171,62,1151,472,3007,24079,1083,101,4494,25,249,38
359,T_3205,55744,30540,137,64,888,277,2690,21397,892,89,3518,25,194,27
360,T_3206,62016,34757,153,61,1117,386,3707,22787,1013,143,4730,21,277,41
361,T_3207,37556,21298,86,38,429,226,2005,14478,582,55,2992,10,149,26
362,T_3208,59018,36575,120,60,870,391,3681,24267,1012,117,5435,24,257,41
363,T_3209,45126,25574,113,40,817,169,2039,17529,1365,100,2821,20,180,34
364,T_3210,51527,29256,106,59,843,269,3207,19161,1036,108,3912,18,212,32
365,T_3211,41884,25014,103,30,370,464,2742,15359,409,92,4930,22,233,27
366,T_3212,30831,17100,84,22,932,171,1540,11182,937,43,1869,15,104,13
367,T_3213,43332,25694,110,46,736,202,2031,17225,2160,87,2610,30,129,29
368,T_3214,107249,62989,329,158,1622,868,6611,41430,1715,174,8879,42,453,101
369,T_3215,59095,34600,145,61,855,379,3881,22347,1174,107,4909,41,310,56
370,T_3216,38265,22581,106,48,824,195,1828,16041,803,67,2285,14,131,32
371,T_3217,41924,25363,86,66,583,276,2260,17575,714,81,3247,19,173,28
372,T_3261,84525,57465,252,172,855,716,6621,36074,1530,247,9974,46,539,61
373,T_3262,319706,202828,1061,441,2262,4530,29069,109614,2992,1321,47203,223,2111,310
374,T_3263,32999,21157,63,48,262,404,2623,13548,217,88,3553,10,177,22
375,T_3299,1680,1583,6,4,15,61,113,892,29,12,342,3,28,9
