,teryt_code,eligible_voters,issued_ballots,Jurek,Kaczynski,Komorowski,KorwinMikke,Lepper,Morawiecki,Napieralski,Olechowski,Pawlak,Zietek
136,T_1401,26784,13901,97,8161,2711,200,381,16,1538,120,564,9
137,T_1402,73603,37429,292,16995,10688,694,597,32,6008,453,1338,53
138,T_1403,84561,48097,666,27496,10346,700,812,56,5458,512,1578,88
139,T_1404,38239,18440,114,8457,4876,244,301,18,2473,153,1603,23
140,T_1405,65699,40550,547,14853,18024,1021,241,47,4398,632,474,42
141,T_1406,78828,43138,366,21174,10607,673,1156,37,6030,406,2356,56
142,T_1407,51971,26234,206,14107,6039,552,502,35,3599,278,686,35
143,T_1408,80284,51179,461,18095,22823,1316,267,60,6353,855,548,74
144,T_1409,30538,12673,176,5870,2597,218,438,13,2294,145,797,27
145,T_1410,26696,13222,117,7018,2708,237,403,17,1641,117,843,35
146,T_1411,37869,19199,158,10405,4145,265,441,25,2562,140,864,28
147,T_1412,113734,66548,871,28887,22735,1607,828,85,8479,1044,1378,120
148,T_1413,58862,28658,170,13660,7920,400,492,20,4472,252,988,34
149,T_1414,61605,33072,315,13467,12129,756,327,32,4784,443,593,44
150,T_1415,67742,32557,307,18287,7484,510,787,25,3016,246,1522,43
151,T_1416,60495,31152,216,18566,6820,426,489,30,3131,237,1006,27
152,T_1417,93667,60407,873,26557,21931,1872,392,69,6086,948,1119,102
153,T_1418,119681,77088,1277,25927,35853,2169,410,74,8499,1280,978,90
154,T_1419,85416,40056,264,20754,9189,508,799,31,5364,319,2415,44
155,T_1420,71414,33003,270,16312,8736,472,652,40,4580,296,1332,38
156,T_1421,118774,78693,895,28636,35486,2317,388,90,8017,1430,716,124
157,T_1422,42462,20955,198,11275,4758,341,443,28,2663,162,904,33
158,T_1423,35935,19781,261,12034,3182,230,454,19,2092,130,1161,24
159,T_1424,40588,20707,158,10154,5295,336,420,11,2826,185,1103,39
160,T_1425,115929,60861,786,35493,12290,1089,927,53,7590,559,1475,101
161,T_1426,63778,34548,322,21335,5547,609,734,41,3709,299,1651,47
162,T_1427,42575,20427,111,10549,4834,301,391,19,2951,172,909,32
163,T_1428,67173,35094,379,16674,10680,749,390,35,4519,432,926,42
164,T_1429,46857,26199,277,14476,5506,374,574,35,2941,249,1529,43
165,T_1430,32419,15943,156,9422,3094,226,249,11,2099,142,377,37
166,T_1432,80817,51895,701,19887,22385,1507,368,46,5103,837,651,54
167,T_1433,55327,29299,331,16062,6961,432,605,39,3248,283,1039,47
168,T_1434,163895,101473,1246,48985,34250,2613,675,94,9954,1593,1231,145
169,T_1435,57906,31797,339,16764,8561,524,442,28,3453,324,1002,50
170,T_1436,29873,13695,114,7690,2442,218,403,6,1926,97,635,21
171,T_1437,32646,15329,114,7655,3790,185,250,15,2346,94,747,18
172,T_1438,59775,33385,298,13724,12104,704,330,37,4460,484,904,47
173,T_1461,43021,24722,281,10894,8728,671,133,28,3038,356,324,40
174,T_1462,101375,58272,402,21336,23642,1357,283,65,9098,749,894,82
175,T_1463,178367,104643,1631,46212,36179,2780,524,112,13966,1614,780,178
176,T_1464,60537,37315,524,16235,12346,1166,197,39,5400,567,567,57
177,T_1465,1352608,932320,10728,278078,478471,29400,2833,1206,98012,18894,6436,1335
178,T_1499,198014,169094,1622,62422,81105,5481,389,220,12081,3308,921,166
179,T_1601,73886,37689,277,12552,16369,935,582,69,5486,533,480,53
180,T_1602,39815,18159,274,6632,7626,346,371,28,2266,213,257,24
181,T_1603,79881,37331,575,8149,20455,1065,513,49,5214,530,420,63
182,T_1604,55717,25242,343,7488,12443,539,461,36,2863,347,487,32
183,T_1605,54088,20988,384,3719,12861,567,386,30,2240,330,241,46
184,T_1606,34924,17885,142,5790,7903,346,368,35,2489,208,474,32
185,T_1607,118463,56944,609,19854,24109,1326,989,75,7728,832,818,98
186,T_1608,54772,22718,442,5908,10675,499,513,28,3520,305,550,66
187,T_1609,108461,44381,986,8523,26651,1224,746,63,4397,696,618,76
188,T_1610,47245,21024,332,6366,9975,505,510,31,2518,306,272,32
189,T_1611,64874,25969,623,5609,14897,605,553,30,2702,329,287,53
190,T_1661,97794,58302,741,11671,33971,1841,263,64,7853,1090,398,69
191,T_1801,18072,8280,78,3214,3159,180,132,7,1166,83,218,9
192,T_1802,52110,26919,426,17191,5186,450,322,25,2429,225,479,24
193,T_1803,106376,58199,940,33561,13906,1281,793,44,5590,598,1022,79
194,T_1804,97174,51501,892,28749,12451,971,831,46,5000,430,1678,105
195,T_1805,92814,48358,591,27672,11712,1043,532,54,4785,454,1077,76
196,T_1806,48884,25054,485,15868,4600,500,303,22,2216,241,616,43
197,T_1807,88442,45432,688,24916,11692,949,526,62,4842,411,959,71
198,T_1808,55300,30241,440,19937,5394,640,379,25,2289,267,646,31
199,T_1809,46790,22226,335,10880,5984,449,478,25,2532,206,1156,30
200,T_1810,61955,36136,834,22230,7669,749,343,37,2805,408,802,58
201,T_1811,107322,57869,711,31396,14171,1243,736,70,6733,671,1705,103
202,T_1812,53884,26337,404,15720,5235,660,395,35,2791,278,600,32
203,T_1813,57636,27417,467,14229,7478,484,645,19,2952,191,692,29
204,T_1814,62984,32343,497,18374,7100,595,553,23,3415,271,1250,53
205,T_1815,56652,32020,521,21364,5154,620,475,44,2404,250,894,47
206,T_1816,125608,73989,1241,45783,15645,1632,919,101,5950,755,1393,100
207,T_1817,77339,37941,527,17162,12646,841,455,35,4728,458,760,57
208,T_1818,87935,45431,527,22650,13142,1436,393,47,5724,534,641,72
209,T_1819,49294,25992,416,15723,5268,528,363,41,2400,257,786,49
210,T_1820,43669,20821,238,11171,5178,425,301,25,2574,206,471,42
211,T_1821,23212,11735,153,5361,3938,233,207,12,1357,132,249,16
212,T_1861,38801,22159,314,9003,8441,782,119,28,2876,271,185,34
213,T_1862,53093,29402,518,11553,12037,706,196,39,3675,300,161,45
214,T_1863,140362,89167,1722,35475,34496,3307,404,125,10755,1453,804,135
215,T_1864,39552,21630,182,8024,8759,569,158,25,3235,277,194,40
216,T_2001,47965,23229,305,9375,8658,497,624,16,2442,277,802,42
217,T_2002,112407,58863,667,27960,20284,1276,771,50,5641,667,1072,75
218,T_2003,48967,24714,218,10654,8683,352,490,12,3487,159,439,24
219,T_2004,39559,17864,134,8964,5084,294,461,16,1939,180,654,20
220,T_2005,40724,18888,84,2172,11102,380,528,28,3899,129,392,27
221,T_2006,31737,14283,104,8162,3000,190,436,17,1367,120,754,13
222,T_2007,40834,20111,231,13428,3303,210,398,13,1453,132,749,18
223,T_2008,34913,14971,175,7498,4205,231,507,14,1407,118,657,17
224,T_2009,17482,8333,61,2200,4141,130,347,8,1056,53,267,13
225,T_2010,39745,18333,137,7925,6460,293,415,15,2188,156,590,27
226,T_2011,58993,26337,283,12021,8518,446,680,21,2917,231,993,31
227,T_2012,28476,13117,127,5251,4154,277,740,23,1597,123,706,19
228,T_2013,48127,26522,273,18189,4263,316,419,18,1839,163,876,31
229,T_2014,36831,18786,246,10723,4629,301,290,12,1742,130,536,27
230,T_2061,229490,136004,1600,47473,61097,4284,629,105,16616,2038,1068,138
231,T_2062,49653,27011,382,12557,8936,684,127,14,3469,377,230,47
232,T_2063,53934,28490,322,9786,12258,747,380,22,4174,298,294,37
233,T_2201,60149,29834,227,8517,14811,565,753,39,3670,396,558,35
234,T_2202,72978,40420,405,13069,18645,698,774,50,5400,487,586,73
235,T_2203,46534,22673,158,4454,12250,455,621,43,3735,259,438,40
236,T_2204,71420,39977,395,10589,21355,958,447,47,4647,788,413,42
237,T_2205,85384,51344,694,21027,21089,830,1046,49,4671,753,734,71
238,T_2206,53693,30018,306,11257,13193,406,673,35,3046,393,462,34
239,T_2207,64426,30018,191,7983,15389,706,495,38,4125,422,406,41
240,T_2208,51994,28309,259,7446,14733,599,391,30,3928,389,263,50
241,T_2209,50687,25285,191,6164,13027,528,360,32,3942,387,417,47
242,T_2210,30529,15090,101,3829,7786,288,288,16,2069,180,327,15
243,T_2211,66751,42033,512,11369,22888,931,499,70,4314,651,461,45
244,T_2212,76935,36257,243,8383,19328,712,863,56,5300,497,563,48
245,T_2213,96149,49958,413,17781,20931,873,869,64,7003,693,844,91
246,T_2214,88353,46941,494,13835,23054,971,693,52,6082,735,626,59
247,T_2215,146755,86691,1082,26916,43183,2083,1007,88,9181,1601,765,130
248,T_2216,34243,14768,122,3563,7296,320,362,24,2438,206,291,31
249,T_2261,363435,236321,2318,63529,133927,7080,968,267,20244,4783,1216,251
250,T_2262,197678,129905,1269,31927,74677,3905,537,167,12911,2602,615,150
251,T_2263,76822,44104,278,10801,23444,1056,428,41,6816,625,290,44
252,T_2264,33237,22747,207,5874,13435,749,46,26,1638,479,109,20
253,T_2299,314,314,2,61,181,18,3,0,38,7,1,0
254,T_2401,125692,68445,375,16946,31655,1828,632,86,14659,1033,548,189
255,T_2402,123584,74596,1245,26880,32302,1822,491,94,9286,1048,844,117
256,T_2403,140699,82072,1443,23379,40749,1835,718,108,11309,1063,836,192
257,T_2404,109435,56274,374,19998,19456,1330,1048,77,11287,656,1439,140
258,T_2405,91728,45646,973,14887,20690,1186,599,58,5637,744,388,138
259,T_2406,69111,34949,194,12691,12112,782,660,92,6723,371,938,91
260,T_2407,62574,31354,687,10884,13827,731,530,54,3441,501,350,103
261,T_2408,73846,42770,867,15123,19068,1126,344,55,4849,697,277,118
262,T_2409,59060,29436,236,10383,10818,740,500,48,5544,379,464,109
263,T_2410,83390,48918,1268,21279,17323,1176,428,60,5650,784,545,130
264,T_2411,89781,40592,965,10819,21455,899,501,56,4535,602,372,90
265,T_2412,59478,32286,670,14012,12039,599,298,29,3579,483,262,108
266,T_2413,112266,59196,1255,19190,27787,1595,462,72,6836,1014,452,168
267,T_2414,45107,25404,532,12021,8255,602,172,29,2981,363,214,83
268,T_2415,125590,67035,1300,26933,26579,1458,539,73,8175,954,482,170
269,T_2416,102168,53105,313,17265,19524,1305,796,68,11420,614,1069,363
270,T_2417,121444,69096,920,32130,24843,1249,570,58,7187,740,800,120
271,T_2461,140075,86107,1203,27293,42647,2339,385,85,9693,1175,622,178
272,T_2462,137891,68490,795,20158,32878,1926,419,92,9963,1222,322,211
273,T_2463,88529,46433,622,11304,25020,1296,270,54,6280,835,210,212
274,T_2464,194688,114758,1041,35243,51985,3477,581,168,18817,1721,709,264
275,T_2465,103571,56846,276,14394,25863,1588,382,72,12360,971,331,216
276,T_2466,150954,87932,1324,22269,47138,2618,432,102,11081,1622,567,187
277,T_2467,73540,41359,471,18336,14205,997,320,45,5841,505,311,69
278,T_2468,76777,41823,352,12794,18562,1271,247,51,7209,640,280,128
279,T_2469,250807,149965,2074,41795,77279,4429,662,196,18666,2745,723,524
280,T_2470,59963,34018,491,11954,14121,907,217,37,5150,570,205,98
281,T_2471,47208,25370,410,9460,10858,563,139,24,3041,455,130,71
282,T_2472,114468,60774,940,22135,25392,1451,334,69,8432,1034,308,220
283,T_2473,111679,61582,1176,21683,27169,1556,403,62,7457,1084,398,216
284,T_2474,56918,30923,433,7887,15950,844,184,45,4581,545,156,105
285,T_2475,181112,101397,558,25832,46147,2840,647,116,22330,1499,463,269
286,T_2476,42759,20420,330,5844,10182,532,115,20,2734,327,95,91
287,T_2477,104785,62292,975,19685,28935,2000,326,69,8403,952,377,206
