,teryt_code,eligible_voters,issued_ballots,SOLIDARNA,RN,SLDUP,PIS,EPTR,GOWIN,NP,PO,PSL,DB,SAMOOBRONA,ZIELONI
324,T_2861,97070,20457,764,210,2183,5776,781,456,1423,7663,498,69,34,0
325,T_2862,134724,37892,827,477,4879,9379,1495,879,2858,13856,1984,161,98,0
326,T_3001,37681,7881,238,88,1089,1503,496,195,463,2652,732,0,0,0
327,T_3002,69258,11970,372,116,1304,3042,642,276,805,3764,1073,0,0,0
328,T_3003,114589,24840,897,363,5788,6223,914,581,1484,6050,1373,0,0,0
329,T_3004,60992,10129,391,143,1232,2668,423,234,749,2025,1809,0,0,0
330,T_3005,39494,6515,232,124,598,1533,252,166,384,1796,1019,0,0,0
331,T_3006,56891,11539,430,132,1204,2982,797,253,733,2472,1716,0,0,0
332,T_3007,66069,11499,590,122,1911,3496,265,270,664,1400,2324,0,0,0
333,T_3008,44736,10945,728,63,358,1686,270,128,430,1287,5564,0,0,0
334,T_3009,71980,12068,550,185,1155,4308,422,302,895,2122,1612,0,0,0
335,T_3010,101798,15976,685,158,1401,5589,558,457,1012,3151,2102,0,0,0
336,T_3011,62959,11686,369,117,1429,2885,456,253,754,3381,1386,0,0,0
