,teryt_code,eligible_voters,issued_ballots,Bartoszewicz,Biejat,Braun,Holownia,Jakubiak,Maciak,Mentzen,Nawrocki,Senyszyn,Stanowski,Trzaskowski,Woch,Zandberg
119,T_1205,81622,52208,212,1116,4554,2188,342,92,9018,22716,336,479,9514,45,1405
120,T_1206,225104,161831,837,5723,10126,8966,1477,258,26739,52650,1793,2267,42357,158,7849
121,T_1207,98303,68898,280,904,5564,2024,514,97,13500,35741,349,584,7226,38,1862
122,T_1208,37748,24231,110,747,1946,927,192,58,4240,10156,229,215,4412,27,858
123,T_1209,98558,70996,300,1532,5239,3041,678,116,13996,29895,548,818,11910,65,2586
124,T_1210,163040,115874,443,1420,8452,3326,845,177,22546,59612,623,914,14220,68,2780
125,T_1211,145418,90502,323,1502,8959,2862,546,129,17120,40049,562,853,14396,60,2744
126,T_1212,83616,56939,285,2250,3707,2398,451,103,8456,19933,546,652,15454,44,2403
127,T_1213,114218,79268,379,2694,4596,3777,617,141,12786,25424,705,961,23359,77,3486
128,T_1214,33701,21383,67,517,1764,971,155,42,4118,9179,174,202,3322,20,755
129,T_1215,64083,42295,154,924,3074,1557,329,60,8325,17608,307,387,8030,39,1336
130,T_1216,152679,100431,452,1768,8517,4267,870,189,18794,46232,738,997,13989,81,3165
131,T_1217,53901,35394,122,802,4254,1284,236,49,5169,14122,249,323,7532,29,1112
132,T_1218,121743,82609,352,2270,5800,4448,639,151,14835,29753,745,1001,19066,96,3101
133,T_1219,105055,76669,371,2818,4715,4870,722,92,13370,23584,854,1187,19840,68,3889
134,T_1261,621058,466379,1996,28219,19142,29109,3947,630,56765,97053,7881,7390,163093,440,49483
135,T_1262,60103,41932,173,927,2550,1801,295,84,6411,16090,305,523,11229,50,1366
136,T_1263,80265,52954,249,1743,3224,3003,456,77,6776,16645,493,605,17310,35,2188
137,T_1401,26089,18153,74,418,1221,568,138,32,3152,8900,122,171,2721,11,491
138,T_1402,66476,43301,211,1337,3204,1860,614,85,6511,16946,334,464,10046,32,1464
139,T_1403,82314,60040,336,1395,4826,2310,611,107,10745,27923,404,700,8397,42,1932
140,T_1404,33868,21283,90,649,1389,790,170,52,3295,8863,181,215,4818,9,644
141,T_1405,77847,59408,348,3034,3328,3308,583,104,8197,14348,797,963,21020,49,3099
142,T_1406,76140,53641,307,1836,3894,2317,576,130,9505,20003,493,596,11848,36,1856
143,T_1407,46239,31796,176,934,2536,1050,243,59,5043,13940,232,323,6149,13,940
144,T_1408,97171,74854,427,3659,3636,4419,729,94,9974,18350,993,1186,27113,78,3884
145,T_1409,25839,15450,97,470,1264,544,130,20,2703,6929,143,127,2525,11,403
146,T_1410,23019,15317,85,313,1938,466,164,37,2811,6928,107,123,1916,24,338
147,T_1411,33730,21999,86,470,1750,772,256,49,3716,10151,140,169,3825,12,501
148,T_1412,119901,88121,551,3482,5714,5252,966,167,13950,29543,916,1274,21889,109,3925
149,T_1413,53797,33741,163,931,2552,1287,316,58,6421,13125,266,305,7272,16,835
150,T_1414,61314,42464,210,1695,2578,1934,386,66,6257,13655,459,610,12515,40,1867
151,T_1415,68284,44265,211,925,4257,1738,356,92,9018,19516,248,392,6115,26,1148
152,T_1416,54300,35967,142,840,2468,1240,310,73,6395,16650,233,323,6154,39,932
153,T_1417,96585,74141,486,2888,4242,4174,783,133,10027,24059,802,1101,21741,84,3257
154,T_1418,151808,118097,669,6024,5519,6722,1154,172,15516,26561,1549,1941,45376,116,6315
155,T_1419,85225,54531,235,1774,3905,2714,489,79,8767,22851,421,631,10592,52,1715
156,T_1420,66767,41194,174,1271,3204,1671,409,89,6713,16439,296,458,8968,34,1243
157,T_1421,131030,102373,586,5110,4755,5829,983,138,12650,24274,1442,1713,38739,113,5649
158,T_1422,38167,24096,101,566,1977,935,221,38,4310,10507,161,236,4233,21,648
159,T_1423,31715,22200,81,461,1547,688,155,34,3600,12092,131,165,2641,18,481
160,T_1424,39712,26110,144,714,1969,1257,255,54,4427,10558,221,291,5217,27,834
161,T_1425,116370,79276,423,1967,6317,2879,686,118,14700,35882,543,766,12096,54,2430
