,teryt_code,eligible_voters,issued_ballots,PO,LEWICA,TD,KONFEDERACJA,NK,POLEXIT,PLSP,PIS,RNP,BSNPWNE,GSP
245,T_2211,75735,35051,17739,1162,2316,3491,0,111,0,9695,0,354,0
246,T_2212,75583,27259,13575,908,1133,2221,0,119,0,8824,0,267,0
247,T_2213,94266,32747,12842,869,1698,3557,0,113,0,12969,0,481,0
248,T_2214,83346,29845,13131,946,1874,3146,0,107,0,9956,0,460,0
249,T_2215,161852,66534,31429,2459,4032,7365,0,219,0,19896,0,793,0
250,T_2216,31196,9304,4326,348,497,863,0,54,0,2965,0,160,0
251,T_2261,350938,183197,104855,12556,9905,14383,0,505,0,38526,0,1983,0
252,T_2262,177274,90000,50881,6189,5636,7006,0,236,0,18856,0,924,0
253,T_2263,64042,26353,14286,969,869,1866,0,95,0,7982,0,189,0
254,T_2264,26763,15667,9720,1006,619,914,0,43,0,3207,0,113,0
255,T_2401,112428,45713,21625,3126,2005,4049,188,105,67,13822,141,334,0
256,T_2402,126917,55285,20892,1836,3261,6448,248,118,60,21630,126,363,0
257,T_2403,136219,54205,21699,2241,2955,6346,288,135,83,19692,158,357,0
258,T_2404,106758,39915,11482,1929,2768,4013,225,85,82,18594,190,292,0
259,T_2405,86079,31872,13320,1021,1503,3620,181,88,64,11525,96,260,0
260,T_2406,66852,23067,5460,840,3534,2457,118,47,33,10247,48,156,0
261,T_2407,59906,21450,7373,556,1123,2637,137,67,53,9099,58,177,0
262,T_2408,74745,32523,12956,940,2852,3692,109,70,41,11404,74,224,0
263,T_2409,55095,20743,6539,951,857,1938,98,50,55,9968,43,142,0
264,T_2410,83369,35822,11279,963,1917,4307,208,60,31,16594,73,241,0
265,T_2411,79398,25023,10677,658,966,2801,93,45,37,9351,49,186,0
266,T_2412,58401,21803,7473,402,754,2518,99,38,32,10169,51,150,0
267,T_2413,107434,44436,18652,1478,2374,4816,204,112,70,16067,129,314,0
268,T_2414,45009,18955,5086,492,1352,2473,117,39,22,9080,44,149,0
269,T_2415,116301,43101,16055,1005,1589,4690,183,76,47,18924,87,250,0
270,T_2416,91173,35014,12461,1521,1584,3580,163,70,152,14895,116,240,0
