,teryt_code,eligible_voters,issued_ballots,PO,ZER,KONFEDERACJA,PSL,PRAWICA,PIS,LIROY,SLD,BIS,MN
210,T_1818,83200,47139,7220,0,4007,2757,0,28543,581,3592,0,0
211,T_1819,49164,28041,2462,0,2457,1968,0,19433,141,1307,0,0
212,T_1820,43113,23663,2901,0,1499,2794,0,14951,156,1101,0,0
213,T_1821,24783,14470,2720,0,879,1690,0,7703,0,1312,0,0
214,T_1861,36985,22475,6215,0,1742,1124,0,10707,0,2544,0,0
215,T_1862,48029,26905,7402,0,2231,1613,0,12642,0,2755,0,0
216,T_1863,151191,99330,26451,0,9780,7261,0,42426,707,12129,0,0
217,T_1864,36999,21783,6007,0,1733,1818,0,9746,150,2154,0,0
218,T_2001,45785,23960,3827,82,1383,3493,0,13041,87,1623,165,0
219,T_2002,117348,70124,15317,229,5270,4654,0,36994,346,6008,664,0
220,T_2003,45008,24115,6110,65,1074,1844,0,12163,72,2364,184,0
221,T_2004,37267,18849,2085,77,1381,2604,0,11371,55,948,70,0
222,T_2005,36381,17887,6053,103,999,2150,0,5274,102,2808,134,0
223,T_2006,30610,15421,984,43,851,1973,0,10372,47,836,61,0
224,T_2007,40823,22087,1925,50,1279,2045,0,15596,56,717,136,0
225,T_2008,32854,15963,1977,38,1012,1838,0,10095,53,686,80,0
226,T_2009,16394,7861,1569,66,424,1262,0,3621,46,721,55,0
227,T_2010,36496,18075,3468,36,1001,2195,0,9584,64,1418,108,0
228,T_2011,54290,27998,3264,87,2049,3726,0,16745,76,1635,107,0
229,T_2012,28574,15144,1764,58,987,2433,0,8703,86,847,84,0
230,T_2013,45730,26775,1746,57,1465,2823,0,19220,61,959,155,0
231,T_2014,35335,19259,1831,43,1064,3137,0,11901,85,897,90,0
232,T_2061,220079,144655,43541,481,12117,7504,0,57929,749,20116,1309,0
233,T_2062,46992,27481,6582,99,1743,1825,0,14749,87,1887,327,0
234,T_2063,52552,29914,7484,161,2108,3060,0,13530,200,2872,272,0
235,T_2201,60117,32572,8576,0,2137,3018,0,14047,0,4352,0,0
236,T_2202,73210,42909,12996,0,3033,3401,0,19217,0,3747,0,0
237,T_2203,44358,22774,7720,0,1419,2060,0,8432,0,2699,0,0
238,T_2204,85129,54636,23087,0,4497,3628,0,16186,0,6562,0,0
239,T_2205,99529,65307,20666,0,4788,5251,0,29265,0,4532,0,0
240,T_2206,54689,33373,7444,0,2504,5055,0,15217,0,2685,0,0
241,T_2207,62621,33271,10506,0,2588,1739,0,12864,0,5031,0,0
242,T_2208,49089,28810,9931,0,2217,2718,0,9900,0,3655,0,0
243,T_2209,48438,26875,9379,0,1914,2355,0,8949,0,3931,0,0
244,T_2210,28308,15445,6199,0,973,1250,0,5209,0,1583,0,0
245,T_2211,66256,42260,15611,0,2991,3365,0,15406,0,4385,0,0
246,T_2212,74506,39254,12067,0,2383,3586,0,14422,0,6222,0,0
247,T_2213,96294,54392,12869,0,3758,5964,0,25616,0,5352,0,0
248,T_2214,85917,49050,14836,0,3842,4252,0,19658,0,5681,0,0
249,T_2215,157388,101325,36296,0,8344,7551,0,36694,0,11300,0,0
250,T_2216,32917,15548,5133,0,876,1437,0,5997,0,1732,0,0
251,T_2261,362250,262886,125440,0,18471,9798,0,69751,0,37915,0,0
252,T_2262,187565,136042,61672,0,9980,7603,0,34933,0,20958,0,0
253,T_2263,68457,42646,15229,0,2568,2524,0,14049,0,7901,0,0
254,T_2264,29777,22152,11035,0,1234,780,0,5523,0,3449,0,0
255,T_2401,118130,74635,23727,0,5021,3510,0,25141,0,16515,0,0
256,T_2402,127767,85359,22355,0,6732,7336,0,38636,0,9494,0,0
257,T_2403,140899,87793,24590,0,6709,7114,0,36049,0,12437,0,0
258,T_2404,109379,66142,12157,0,3851,7336,0,32353,0,8204,1331,0
