,teryt_code,eligible_voters,issued_ballots,UPR,PSL,SAMOOBRONA,PPP,LIBERTAS,SLDUP,ZIELONI,PRAWICA,PO,PIS,PPS,PIAST
149,T_1414,61059,12357,85,968,130,79,123,1661,314,527,5109,3145,0,0
150,T_1415,66670,10475,65,3596,347,85,138,342,169,183,1739,3609,0,0
151,T_1416,60274,11419,71,2926,246,73,154,552,165,161,2308,4543,0,0
152,T_1417,92471,27998,322,1977,145,146,235,1704,617,1994,11744,8692,0,0
153,T_1418,115935,37949,416,2998,201,124,282,2891,1063,2126,19718,7719,0,0
154,T_1419,84585,12839,90,4273,346,101,234,723,170,143,2683,3706,0,0
155,T_1420,70831,12097,80,3279,348,82,197,732,225,348,3239,3234,0,0
156,T_1421,116921,40441,515,1493,189,144,347,3084,1161,1748,20902,10422,0,0
157,T_1422,42673,7658,73,1719,146,76,110,393,258,95,2203,2451,0,0
158,T_1423,36034,7288,71,1883,291,64,350,341,111,294,1022,2586,0,0
159,T_1424,40173,7467,77,2447,147,66,121,403,154,102,1616,2169,0,0
160,T_1425,115039,20302,219,2754,481,167,647,1425,324,967,4565,8225,0,0
161,T_1426,63296,11203,85,3520,344,87,199,377,152,294,1647,4232,0,0
162,T_1427,42675,6290,63,1425,177,67,84,390,165,65,1763,1928,0,0
163,T_1428,66829,12419,94,2428,152,49,184,1070,241,253,4133,3609,0,0
164,T_1429,46930,10658,113,2817,257,76,173,416,203,200,1983,4161,0,0
165,T_1430,32455,4860,43,616,102,45,183,360,93,138,1170,1969,0,0
166,T_1432,79190,24991,342,1156,160,103,224,1652,726,1182,12650,6564,0,0
167,T_1433,54925,9848,79,2195,301,91,220,439,182,206,2120,3804,0,0
168,T_1434,160418,43408,521,2590,319,217,430,2968,953,2397,16906,15547,0,0
169,T_1435,56915,11900,87,3613,168,79,98,367,152,202,3496,3385,0,0
170,T_1436,29821,4725,68,962,229,28,176,547,62,143,767,1628,0,0
171,T_1437,32653,4426,21,982,123,20,48,912,64,53,849,1246,0,0
172,T_1438,59641,12761,111,1196,181,100,268,861,432,254,5565,3512,0,0
173,T_1461,43376,10519,104,1331,56,81,187,871,266,211,3513,3718,0,0
174,T_1462,101934,24523,205,2095,138,162,363,2653,621,305,11410,6197,0,0
175,T_1463,179787,49023,558,1725,245,289,1547,6126,1019,2428,16725,17667,0,0
176,T_1464,60884,15672,164,1265,94,110,302,1578,452,535,6185,4772,0,0
177,T_1465,1348903,586021,6728,9141,1366,2044,3829,65850,23759,23061,314970,129512,0,0
178,T_1499,25921,19319,310,371,60,59,225,1465,1035,828,9181,5497,0,0
179,T_1601,73918,15540,176,951,494,160,188,1540,236,194,7204,4088,0,0
180,T_1602,39980,6817,86,591,277,82,153,601,80,187,2839,1726,0,0
181,T_1603,80586,16515,219,1374,216,144,177,2400,215,268,8506,2625,0,0
182,T_1604,55655,10418,106,2543,226,67,93,704,166,161,3885,2244,0,0
183,T_1605,54101,8216,107,1619,128,89,90,635,134,110,4116,955,0,0
184,T_1606,34869,7621,99,1413,276,103,72,863,97,102,2749,1636,0,0
185,T_1607,118367,22842,224,1841,713,254,298,2267,350,722,8853,6777,0,0
186,T_1608,54610,8363,104,1811,193,125,90,839,127,126,3407,1272,0,0
187,T_1609,108146,17487,220,3195,290,144,179,1182,241,294,9029,2276,0,0
188,T_1610,47190,8261,119,1172,275,103,81,732,103,130,3523,1780,0,0
189,T_1611,65049,10231,126,1709,183,106,93,776,114,191,5158,1451,0,0
190,T_1661,98399,31053,404,1130,199,190,232,3857,575,323,18873,4877,0,0
191,T_1801,18060,3258,34,245,61,29,30,501,35,68,1316,871,0,0
192,T_1802,52008,8623,77,729,253,46,83,398,72,133,2307,4312,0,0
193,T_1803,105760,23768,219,1755,543,136,278,1861,268,591,5734,11731,0,0
194,T_1804,96909,20953,201,3707,608,117,143,1114,204,744,4632,9043,0,0
195,T_1805,92628,18714,356,1923,238,128,130,984,154,302,5853,8222,0,0
196,T_1806,48555,10414,177,902,130,33,60,392,81,2324,2116,3954,0,0
197,T_1807,88100,16484,196,1259,363,139,138,1017,161,322,5082,7475,0,0
