,teryt_code,eligible_voters,issued_ballots,BS,TD,LEWICA,PIS,KONFEDERACJA,PO,PJJ,DIP,NK,ANTYPARTIA,RNP,MN
323,T_2819,16795,10850,258,1872,912,3619,637,3043,143,0,0,0,0,0
324,T_2861,86152,63443,717,7949,6646,18222,3281,24820,659,0,220,0,0,0
325,T_2862,127035,98935,1482,15277,10863,23636,6370,38726,1306,0,0,0,0,0
326,T_3001,35126,25971,1063,4554,2114,6469,1577,9062,346,0,0,0,0,0
327,T_3002,63993,45482,658,7341,3205,13807,2940,15282,826,0,0,0,0,0
328,T_3003,108782,81549,1225,14734,11760,24586,5508,20502,931,419,0,0,0,0
329,T_3004,56786,40045,937,6089,4484,15165,3398,8006,761,0,0,0,0,0
330,T_3005,38746,28024,463,5065,2302,9043,2193,7577,568,0,0,0,0,0
331,T_3006,53335,38793,716,5993,3091,15101,2519,9899,474,0,0,0,0,0
332,T_3007,64302,46307,1106,7524,2994,21472,3349,7936,743,0,0,0,0,0
333,T_3008,42646,31496,474,4363,1709,11193,2181,10251,512,0,0,0,0,0
334,T_3009,64864,45326,908,6253,2856,21866,3323,8148,541,218,0,0,0,0
335,T_3010,100115,71373,2073,10034,5164,33583,4871,12453,994,178,0,0,0,0
336,T_3011,60898,46017,921,8592,3898,13901,2851,13667,822,0,0,0,0,0
337,T_3012,57297,41196,921,6824,3211,15671,2870,10030,598,0,0,0,0,0
338,T_3013,44763,33374,1029,5983,2851,10271,2640,8935,524,0,0,0,0,0
339,T_3014,27750,19771,320,3066,2161,5334,1181,6867,275,0,0,0,0,0
340,T_3015,56593,42527,656,6316,2612,11217,2750,17255,699,0,0,0,0,0
341,T_3016,43845,32979,578,7673,2661,8582,2095,9813,586,0,0,0,0,0
342,T_3017,121837,90774,1611,12395,7995,32211,6059,27182,1309,0,0,0,0,0
343,T_3018,42028,30418,559,5767,2089,11480,2174,7056,451,0,0,0,0,0
344,T_3019,98473,71864,1288,11379,5420,20713,4992,25273,1120,0,0,0,0,0
345,T_3020,47713,34238,623,5986,2274,13334,2246,8241,521,0,0,0,0,0
346,T_3021,314289,263164,4871,45698,25881,54017,16156,113125,0,0,0,0,0,0
347,T_3022,45522,33189,747,5721,3002,10982,2448,8675,525,0,0,0,0,0
348,T_3023,45247,32226,1682,6982,2160,12161,1968,5617,502,91,0,0,0,0
349,T_3024,70823,54106,885,8436,3873,14160,3272,20968,1020,0,0,0,0,0
350,T_3025,45795,34696,637,6356,3122,10411,2752,9795,549,206,0,0,0,0
351,T_3026,46162,34195,652,6160,3095,10270,2506,9597,623,360,0,0,0,0
352,T_3027,63103,45772,1147,6729,3442,21089,3047,8522,638,157,0,0,0,0
353,T_3028,51960,37833,528,7770,3493,11170,2417,10700,593,0,0,0,0,0
354,T_3029,43107,32308,617,6368,2141,9445,2603,9575,560,0,0,0,0,0
355,T_3030,59044,44574,758,6890,3952,14370,3056,13648,576,352,0,0,0,0
356,T_3031,50875,34400,822,5028,2396,10361,2350,11742,605,0,0,0,0,0
357,T_3061,72093,55165,2213,7316,4442,15728,3060,20948,611,0,0,0,0,0
358,T_3062,53263,40019,769,5602,4210,13856,2177,12298,422,154,0,0,0,0
359,T_3063,45429,35350,1077,5075,4182,7907,2043,14164,388,0,0,0,0,0
360,T_3064,408994,339425,4606,52891,47464,62649,19026,149654,0,0,0,0,0,0
361,T_3201,33831,22012,326,2244,1744,7057,1341,8416,220,0,0,0,0,0
362,T_3202,34868,22754,373,2543,2039,7783,1327,7515,363,0,0,0,0,0
363,T_3203,41682,27284,403,3927,2466,8609,1811,8969,340,0,0,0,0,0
364,T_3204,62097,43762,719,6171,3619,12849,2793,15894,418,144,0,0,0,0
365,T_3205,44169,29764,409,4463,2572,9542,1552,9934,250,165,0,0,0,0
366,T_3206,59783,40871,658,4492,3224,14147,2446,14066,503,193,0,0,0,0
367,T_3207,36313,24838,346,3083,2084,7371,1352,9556,248,120,0,0,0,0
368,T_3208,65492,48673,562,5438,4037,14362,2355,20254,738,0,0,0,0,0
369,T_3209,49922,34765,723,5190,2449,10333,2315,12253,465,0,0,0,0,0
370,T_3210,47490,31754,523,3321,3448,9858,1828,11303,386,224,0,0,0,0
371,T_3211,60698,47610,739,6332,4189,10828,2864,21321,495,169,0,0,0,0
372,T_3212,28487,19196,400,2477,1447,7782,1129,5002,280,118,0,0,0,0
373,T_3213,42659,29051,694,3225,2204,9716,1844,10232,367,0,0,0,0,0
374,T_3214,88805,63962,1388,8092,5114,19881,3855,23336,771,230,0,0,0,0
375,T_3215,55606,37162,622,3921,2733,12847,2227,13442,410,0,0,0,0,0
376,T_3216,34304,22307,313,2881,2818,7642,1275,6516,219,0,0,0,0,0
377,T_3217,38267,26438,370,3408,2429,7701,1516,10053,284,0,0,0,0,0
378,T_3218,26015,16415,257,2714,1220,5605,894,4785,121,210,0,0,0,0
379,T_3261,78643,59747,878,6999,5182,14973,3368,26975,575,0,0,0,0,0
380,T_3262,286421,223188,3252,26544,21585,55718,12996,97615,2473,523,0,0,0,0
381,T_3263,31531,23576,294,2268,3530,5994,1233,9615,273,76,0,0,0,0
